40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 1 2 3 8 5 4 7 6 9],3025,[0 1 2 7 4 5 3 6 9 8],1680,[0 1 2 5 6 3 4 7 8 9],2147,[0 1 2 5 9 8 4 7 6 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,140321,[0 4 5 8 9 2 6 7 3 1],925956,[2 5 9 7 0 3 6 1 4 8],31768,[0 1 8 4 2 7 6 9 3 5],907256,[2 5 6 0 1 7 4 8 3 9]
2,100535,[0 3 5 9 6 7 8 4 2 1],954142,[2 6 7 3 1 0 9 8 4 5],387855,[1 0 6 9 7 2 5 4 8 3],826813,[2 3 6 0 5 1 8 4 9 7]
3,1311061,[3 6 5 0 9 4 7 1 8 2],310616,[0 8 6 5 3 4 2 7 1 9],605916,[1 7 0 3 6 4 8 2 5 9],637577,[1 7 8 4 5 0 6 9 3 2]
4,1197007,[3 2 7 5 6 0 4 1 9 8],701059,[1 9 4 0 7 2 8 3 6 5],310859,[0 8 6 5 7 3 2 9 4 1],873054,[2 4 7 1 6 5 3 0 8 9]
5,430495,[1 2 7 4 9 5 3 0 8 6],443613,[1 3 0 2 4 8 9 6 7 5],419622,[1 2 5 3 8 9 4 0 6 7],771923,[2 1 3 4 0 8 6 9 7 5]
6,590855,[1 6 7 2 5 8 9 4 3 0],1284710,[3 5 8 9 1 7 4 2 0 6],147731,[0 4 7 3 2 1 6 9 8 5],103519,[0 3 6 5 8 7 2 1 9 4]
7,461630,[1 3 5 7 0 9 6 4 2 8],863252,[2 4 5 1 9 7 8 3 0 6],639727,[1 7 8 9 4 0 3 2 6 5],88523,[0 3 2 6 9 7 4 8 5 1]
8,1383905,[3 8 2 6 0 5 7 9 4 1],675004,[1 8 6 9 4 0 2 7 3 5],756934,[2 0 8 3 4 7 9 6 1 5],932413,[2 6 1 0 3 4 8 5 9 7]
9,313962,[0 8 7 3 1 4 9 2 5 6],226922,[0 6 7 1 3 2 4 8 5 9],360808,[0 9 8 5 1 6 4 7 2 3],273904,[0 7 8 3 4 5 6 9 1 2]
10,1020158,[2 8 3 4 9 1 6 5 0 7],1257203,[3 5 1 6 0 8 4 9 7 2],37336,[0 1 9 4 8 2 6 7 3 5],721405,[1 9 8 0 7 5 4 2 6 3]
11,781580,[2 1 5 0 7 3 9 6 4 8],914532,[2 5 7 4 1 0 8 3 6 9],1073781,[2 9 6 0 4 1 8 5 7 3],1264790,[3 5 2 9 6 8 4 1 0 7]
12,563790,[1 5 9 8 0 3 4 2 6 7],938502,[2 6 3 1 5 9 4 0 7 8],520067,[1 4 9 2 3 8 5 7 6 0],748069,[2 0 6 4 9 8 5 1 7 3]
13,861761,[2 4 3 9 8 1 6 7 5 0],390500,[1 0 7 5 4 2 9 6 3 8],1215206,[3 4 1 0 8 7 6 5 2 9],972910,[2 7 1 0 4 6 9 8 3 5]
14,1198705,[3 2 7 8 9 1 0 4 6 5],6794,[0 1 3 5 6 8 2 7 4 9],229703,[0 6 7 5 1 2 9 8 4 3],1349525,[3 7 4 8 2 0 1 9 6 5]
15,79790,[0 2 9 7 6 8 4 3 1 5],969805,[2 7 0 4 9 6 5 1 8 3],616114,[1 7 3 2 8 4 5 9 0 6],168587,[0 5 2 6 1 9 4 8 7 3]
16,510237,[1 4 7 2 6 9 8 3 5 0],1073245,[2 9 5 8 4 6 3 0 7 1],211333,[0 6 2 9 5 1 7 3 8 4],728669,[2 0 1 7 3 5 4 9 8 6]
17,637995,[1 7 8 5 0 6 2 4 9 3],168914,[0 5 2 6 7 8 1 4 3 9],1160163,[3 1 8 2 5 0 4 7 9 6],1353818,[3 7 5 6 1 9 0 4 2 8]
18,167172,[0 5 2 3 4 1 8 6 7 9],601529,[1 6 9 3 4 7 5 8 2 0],169518,[0 5 2 7 4 8 3 1 6 9],1305869,[3 6 4 0 8 2 1 9 7 5]
19,969032,[2 7 0 3 9 4 5 6 1 8],617648,[1 7 3 5 9 0 4 6 2 8],1244982,[3 4 9 0 1 8 5 2 6 7],1167615,[3 1 9 6 7 0 5 4 8 2]
20,897784,[2 5 3 0 9 6 7 8 1 4],463628,[1 3 5 9 8 4 7 2 0 6],490831,[1 4 2 5 8 3 6 0 9 7],1394380,[3 8 5 6 4 9 0 7 1 2]
21,1064208,[2 9 4 1 0 6 3 5 7 8],1165261,[3 1 9 2 5 6 7 0 8 4],545567,[1 5 6 2 8 3 9 7 4 0],940004,[2 6 3 5 7 1 9 4 0 8]
22,105593,[0 3 6 9 5 8 4 7 2 1],880864,[2 4 8 7 3 5 6 9 0 1],455219,[1 3 4 5 2 7 6 9 8 0],801373,[2 1 9 0 3 4 7 5 8 6]
23,885414,[2 4 9 6 7 3 1 0 5 8],1408852,[3 8 9 4 6 2 0 7 1 5],753473,[2 0 7 5 4 9 6 8 3 1],1442269,[3 9 7 1 0 8 5 2 6 4]
24,383987,[1 0 6 3 4 9 5 8 7 2],378216,[1 0 5 2 4 9 3 6 7 8],288103,[0 8 2 3 1 9 5 4 7 6],931921,[2 6 0 9 4 1 3 5 8 7]
25,1112158,[3 0 6 7 5 9 8 4 1 2],278537,[0 7 9 2 8 1 5 6 4 3],243178,[0 7 1 3 8 5 4 9 2 6],1335247,[3 7 0 9 5 1 4 2 8 6]
26,1277663,[3 5 7 4 6 0 9 8 2 1],1435414,[3 9 5 7 4 6 8 2 0 1],1004877,[2 7 9 3 5 8 6 1 4 0],669315,[1 8 5 7 4 6 0 3 9 2]
27,662164,[1 8 4 3 7 0 2 9 5 6],539419,[1 5 4 0 3 2 9 6 8 7],787398,[2 1 6 3 7 8 4 0 5 9],384789,[1 0 6 4 5 7 9 3 8 2]
28,1145191,[3 1 5 2 7 4 6 0 9 8],1149859,[3 1 6 2 0 4 9 5 8 7],658656,[1 8 3 6 7 9 0 2 4 5],1407156,[3 8 9 1 4 2 6 0 5 7]
29,141501,[0 4 6 1 7 2 9 5 8 3],273426,[0 7 8 2 6 4 9 1 3 5],252132,[0 7 3 1 4 2 8 5 6 9],878594,[2 4 8 3 1 7 0 6 5 9]
30,763275,[2 0 9 5 1 7 3 6 8 4],424245,[1 2 6 3 4 5 9 7 8 0],1106244,[3 0 5 6 4 8 7 1 2 9],570078,[1 6 2 0 8 7 4 3 5 9]
31,161923,[0 5 1 2 9 4 8 3 7 6],903367,[2 5 4 1 8 0 6 3 9 7],994793,[2 7 6 3 5 9 4 8 1 0],108063,[0 3 7 5 1 6 8 4 9 2]
32,836605,[2 3 7 9 8 5 4 0 6 1],594273,[1 6 7 9 3 2 4 5 8 0],1223836,[3 4 2 8 7 6 0 9 1 5],1233817,[3 4 6 8 5 9 0 1 7 2]
33,455944,[1 3 4 6 2 7 8 9 0 5],886367,[2 4 9 8 0 3 7 6 5 1],1354829,[3 7 5 8 6 1 0 9 4 2],421130,[1 2 5 6 9 4 0 7 3 8]
34,173090,[0 5 3 4 6 7 1 8 2 9],639882,[1 7 8 9 5 2 6 0 3 4],284308,[0 8 1 4 9 3 2 7 5 6],1159561,[3 1 8 0 6 2 4 5 9 7]
35,1154427,[3 1 7 0 5 4 2 8 9 6],609063,[1 7 0 8 9 4 5 3 6 2],164074,[0 5 1 6 9 3 4 8 2 7],717805,[1 9 7 3 8 5 4 0 6 2]
36,235006,[0 6 8 5 3 2 9 7 1 4],137370,[0 4 5 2 8 7 9 1 3 6],910293,[2 5 6 7 1 8 9 3 4 0],1326250,[3 6 9 1 0 2 5 8 4 7]
37,2008,[0 1 2 5 8 7 6 9 3 4],1453316,[4 0 1 5 6 9 8 3 2 7],1382585,[3 8 2 4 1 6 7 9 5 0],900993,[2 5 3 8 4 1 6 7 9 0]
38,92771,[0 3 4 5 9 1 6 8 7 2],1354951,[3 7 5 8 9 1 2 0 6 4],1148436,[3 1 5 9 0 4 7 2 6 8],661104,[1 8 4 2 3 5 0 6 7 9]
39,1263412,[3 5 2 7 8 4 0 9 1 6],202707,[0 6 1 3 7 4 2 8 9 5],1266982,[3 5 4 2 8 0 9 7 1 6],1333915,[3 7 0 6 5 9 8 1 4 2]
40,1038968,[2 8 7 1 0 3 5 6 4 9],556814,[1 5 8 4 3 0 7 6 2 9],1316029,[3 6 7 0 8 9 4 1 5 2],890336,[2 5 0 7 6 4 3 8 1 9]
41,1347568,[3 7 4 2 6 8 5 9 0 1],988320,[2 7 5 0 8 1 3 4 6 9],677820,[1 8 7 4 3 5 6 0 2 9],466547,[1 3 6 5 9 8 2 7 4 0]
