2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 1 2 3 8 5 4 7 6 9],3025,[0 1 2 7 4 5 3 6 9 8],1680,[0 1 2 5 6 3 4 7 8 9],2147,[0 1 2 5 9 8 4 7 6 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,60402,[0 2 5 9 8 3 7 1 4 6],28662,[0 1 7 6 8 9 3 2 4 5],74018,[0 2 8 6 7 9 1 4 3 5],59416,[0 2 5 8 6 1 7 9 3 4]
2,55111,[0 2 4 9 6 3 5 1 8 7],74446,[0 2 8 7 4 3 9 6 1 5],12684,[0 1 4 6 7 8 5 2 3 9],68206,[0 2 7 5 8 3 9 6 1 4]
3,20272,[0 1 6 2 3 9 7 8 4 5],32573,[0 1 8 5 3 6 2 9 7 4],50012,[0 2 3 9 5 7 8 4 1 6],24836,[0 1 6 9 4 8 7 3 2 5]
4,44512,[0 2 1 8 7 9 5 6 3 4],67802,[0 2 7 5 3 1 4 8 6 9],51056,[0 2 4 1 9 6 5 7 3 8],36213,[0 1 9 3 4 7 8 5 6 2]
5,45284,[0 2 1 9 8 4 7 5 3 6],4514,[0 1 2 9 4 7 3 6 5 8],49072,[0 2 3 8 1 9 6 7 4 5],73212,[0 2 8 5 7 1 6 3 4 9]
6,609,[0 1 2 3 9 4 6 7 8 5],67906,[0 2 7 5 3 9 4 8 1 6],45329,[0 2 1 9 8 6 5 7 4 3],70497,[0 2 7 9 8 4 3 5 6 1]
7,17901,[0 1 5 6 9 2 8 4 7 3],42069,[0 2 1 5 6 7 9 4 8 3],9684,[0 1 3 9 5 7 6 2 4 8],11413,[0 1 4 3 9 2 7 5 8 6]
8,6412,[0 1 3 4 9 6 2 8 5 7],75079,[0 2 8 9 3 6 4 1 7 5],10875,[0 1 4 3 2 8 5 7 9 6],3757,[0 1 2 8 4 5 7 3 9 6]
9,31356,[0 1 8 3 6 4 7 2 5 9],29279,[0 1 7 8 5 9 6 4 3 2],65270,[0 2 6 9 5 8 4 3 1 7],69431,[0 2 7 8 4 5 9 6 3 1]
10,37793,[0 1 9 5 4 8 6 7 3 2],60339,[0 2 5 9 7 8 1 4 6 3],23597,[0 1 6 7 8 5 2 9 4 3],25696,[0 1 7 2 8 3 6 9 4 5]
11,22574,[0 1 6 5 4 2 8 7 3 9],58242,[0 2 5 6 9 3 8 1 4 7],59843,[0 2 5 9 1 7 4 8 6 3],46581,[0 2 3 4 8 1 9 6 7 5]
12,40647,[0 2 1 3 6 8 7 5 9 4],72833,[0 2 8 5 1 9 6 7 4 3],47399,[0 2 3 5 8 9 7 6 4 1],24152,[0 1 6 8 5 3 4 7 2 9]
13,40540,[0 2 1 3 5 9 4 8 6 7],35055,[0 1 8 9 6 2 5 4 7 3],68334,[0 2 7 5 9 4 3 1 6 8],37925,[0 1 9 5 7 2 3 8 6 4]
14,38693,[0 1 9 6 7 4 2 8 5 3],23819,[0 1 6 8 2 5 4 9 7 3],72030,[0 2 8 4 1 5 6 3 7 9],10676,[0 1 4 2 8 9 7 5 3 6]
15,21600,[0 1 6 4 2 3 5 7 8 9],9566,[0 1 3 9 4 7 6 5 2 8],32246,[0 1 8 4 7 6 5 3 2 9],40757,[0 2 1 3 7 8 4 9 6 5]
16,57879,[0 2 5 6 4 3 8 7 9 1],18239,[0 1 5 7 3 9 8 6 4 2],45584,[0 2 3 1 5 9 6 7 4 8],10343,[0 1 4 2 6 3 9 8 7 5]
17,61136,[0 2 6 1 9 5 4 7 3 8],51790,[0 2 4 3 9 6 8 7 1 5],15284,[0 1 5 2 4 6 9 7 3 8],62172,[0 2 6 4 5 1 8 3 7 9]
18,60600,[0 2 6 1 4 3 5 7 8 9],66666,[0 2 7 3 6 5 9 1 4 8],44342,[0 2 1 8 6 5 7 4 3 9],29548,[0 1 7 9 2 4 3 8 5 6]
19,60570,[0 2 6 1 3 8 9 4 5 7],65602,[0 2 7 1 3 8 5 9 4 6],71023,[0 2 8 1 6 9 4 3 7 5],66547,[0 2 7 3 5 6 9 1 8 4]
20,34746,[0 1 8 9 3 5 7 2 4 6],48989,[0 2 3 8 1 5 4 9 7 6],68846,[0 2 7 6 5 8 4 3 1 9],46071,[0 2 3 1 9 8 6 5 7 4]
21,53308,[0 2 4 7 1 5 3 9 6 8],9869,[0 1 3 9 7 4 2 8 6 5],46546,[0 2 3 4 7 9 5 8 1 6],65091,[0 2 6 9 4 5 1 7 8 3]
22,61275,[0 2 6 3 1 8 4 7 9 5],40871,[0 2 1 3 8 6 9 7 5 4],54688,[0 2 4 8 9 6 5 7 1 3],16070,[0 1 5 3 4 9 7 6 2 8]
23,40694,[0 2 1 3 7 4 8 6 5 9],45446,[0 2 3 1 4 8 7 6 5 9],69619,[0 2 7 8 6 1 9 3 5 4],21352,[0 1 6 3 7 9 5 8 2 4]
24,51728,[0 2 4 3 9 1 6 7 5 8],31896,[0 1 8 4 3 9 2 5 6 7],19029,[0 1 5 8 4 6 9 3 7 2],73873,[0 2 8 6 5 7 1 3 9 4]
25,2327,[0 1 2 6 4 5 9 8 7 3],61228,[0 2 6 3 1 5 4 9 7 8],9716,[0 1 3 9 5 8 7 4 2 6],57082,[0 2 5 4 3 8 6 9 1 7]
26,62300,[0 2 6 4 7 1 9 5 3 8],39822,[0 1 9 8 3 7 4 2 5 6],10431,[0 1 4 2 6 9 7 5 8 3],8614,[0 1 3 7 9 6 8 5 2 4]
27,24720,[0 1 6 9 4 2 3 5 7 8],50261,[0 2 3 9 7 8 1 6 5 4],25151,[0 1 6 9 8 4 7 5 3 2],63817,[0 2 6 7 5 9 1 3 8 4]
28,33442,[0 1 8 6 4 7 3 9 2 5],54965,[0 2 4 9 5 1 3 8 7 6],46458,[0 2 3 4 7 1 9 5 6 8],62839,[0 2 6 5 3 8 4 1 9 7]
29,21946,[0 1 6 4 5 9 3 8 2 7],10944,[0 1 4 3 5 6 2 7 8 9],14814,[0 1 4 9 6 5 3 2 7 8],8340,[0 1 3 7 6 5 8 2 4 9]
30,15372,[0 1 5 2 6 3 8 4 7 9],19714,[0 1 5 9 4 3 6 8 2 7],7648,[0 1 3 6 7 8 5 9 2 4],65804,[0 2 7 1 5 4 9 6 3 8]
31,11677,[0 1 4 5 3 6 8 2 9 7],74314,[0 2 8 7 3 4 5 9 1 6],65922,[0 2 7 1 6 4 9 3 5 8],16876,[0 1 5 4 6 8 2 9 3 7]
32,49037,[0 2 3 8 1 7 4 9 6 5],63596,[0 2 6 7 3 9 8 4 1 5],50224,[0 2 3 9 7 5 6 8 1 4],28969,[0 1 7 8 3 5 2 4 9 6]
33,13267,[0 1 4 7 5 6 9 2 8 3],23132,[0 1 6 7 2 8 9 4 3 5],56834,[0 2 5 3 9 7 1 6 4 8],24145,[0 1 6 8 5 3 2 4 9 7]
34,26600,[0 1 7 3 9 6 4 5 2 8],15904,[0 1 5 3 2 7 8 9 4 6],53065,[0 2 4 6 8 3 1 5 9 7],57242,[0 2 5 4 7 1 3 8 6 9]
35,4692,[0 1 2 9 6 3 7 4 5 8],71172,[0 2 8 1 9 3 6 4 5 7],10619,[0 1 4 2 8 6 5 9 7 3],50138,[0 2 3 9 6 8 1 5 4 7]
36,61700,[0 2 6 3 8 1 9 5 4 7],53018,[0 2 4 6 7 9 1 5 3 8],69854,[0 2 7 9 1 3 6 5 4 8],8568,[0 1 3 7 9 5 2 4 6 8]
37,31319,[0 1 8 3 5 9 7 6 4 2],6547,[0 1 3 5 2 7 9 4 8 6],72140,[0 2 8 4 3 1 9 6 5 7],63888,[0 2 6 7 8 4 1 3 5 9]
38,64548,[0 2 6 8 5 9 4 1 3 7],18912,[0 1 5 8 3 7 2 4 6 9],70855,[0 2 8 1 5 6 4 3 9 7],16307,[0 1 5 3 7 9 4 8 6 2]
39,68616,[0 2 7 6 3 9 1 4 5 8],67332,[0 2 7 4 6 1 8 3 5 9],48236,[0 2 3 6 9 8 7 4 1 5],44766,[0 2 1 9 4 3 6 5 7 8]
40,50775,[0 2 4 1 7 3 8 6 9 5],36522,[0 1 9 3 7 4 8 2 5 6],43306,[0 2 1 7 3 9 5 8 4 6],72043,[0 2 8 4 1 5 9 3 7 6]
41,37763,[0 1 9 5 4 7 3 8 6 2],16528,[0 1 5 3 9 7 6 8 2 4],57586,[0 2 5 4 9 8 3 7 1 6],51657,[0 2 4 3 8 6 5 7 9 1]
42,56036,[0 2 5 1 8 9 7 4 3 6],42634,[0 2 1 6 4 5 7 9 3 8],14741,[0 1 4 9 5 8 2 7 6 3],19660,[0 1 5 9 3 8 2 7 4 6]
