2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,81851,[0 3 1 4 8 2 6 9 7 5],1656125,[4 6 0 7 2 1 3 9 8 5],515961,[1 4 8 3 6 7 2 5 9 0],387565,[1 0 6 9 3 7 5 2 8 4],1170563,[3 2 0 4 8 7 5 9 6 1],1717639,[4 7 5 8 3 6 1 0 9 2],2078314,[5 7 4 2 6 1 3 9 0 8],1393304,[3 8 5 4 0 9 2 6 1 7],1239945,[3 4 8 0 1 9 5 6 7 2],298547,[0 8 4 2 6 9 3 7 5 1]
2,21595,[0 1 6 3 9 8 7 2 5 4],1684069,[4 6 8 0 9 7 3 1 5 2],503828,[1 4 5 9 7 3 8 2 0 6],320640,[0 8 9 5 3 1 2 4 6 7],1123728,[3 0 8 9 6 4 1 2 5 7],1690030,[4 6 9 2 1 5 8 7 0 3],2146938,[5 9 1 8 7 0 6 2 3 4],1442986,[3 9 7 2 0 8 4 6 1 5],1185897,[3 2 5 4 0 7 6 8 9 1],260032,[0 7 4 6 1 9 5 8 2 3]
3,26592,[0 1 7 3 9 6 2 4 5 8],1686870,[4 6 8 5 9 1 2 0 3 7],522516,[1 4 9 6 7 2 5 0 3 8],338779,[0 9 4 2 6 1 8 3 7 5],1122185,[3 0 8 6 5 4 7 9 2 1],1675331,[4 6 5 2 9 0 3 8 7 1],2146162,[5 9 1 7 6 4 2 8 0 3],1380847,[3 8 1 9 7 0 4 2 6 5],1206745,[3 2 9 5 0 4 1 6 8 7],275016,[0 7 8 4 9 6 1 2 3 5]
4,45608,[0 2 3 1 6 4 7 8 5 9],1692228,[4 6 9 7 1 8 3 0 2 5],520095,[1 4 9 2 5 0 7 6 8 3],373903,[1 0 4 3 5 9 6 2 8 7],1135295,[3 1 2 4 8 7 9 6 5 0],1695462,[4 7 0 3 8 9 2 1 5 6],2111282,[5 8 2 9 3 0 1 6 4 7],1415074,[3 9 0 7 4 2 5 8 1 6],1224715,[3 4 2 9 8 7 6 0 5 1],263576,[0 7 5 3 1 6 4 8 2 9]
5,37116,[0 1 9 4 6 3 7 2 5 8],1677516,[4 6 5 8 9 1 3 0 2 7],508454,[1 4 6 9 2 0 7 5 3 8],333625,[0 9 3 2 5 4 1 6 8 7],1158298,[3 1 7 8 6 4 2 9 0 5],1668232,[4 6 2 9 8 7 3 5 0 1],2142734,[5 9 1 2 0 3 7 6 4 8],1418592,[3 9 1 5 2 7 0 4 6 8],1217067,[3 4 1 6 5 2 0 8 9 7],267692,[0 7 6 1 8 5 9 3 2 4]
6,12578,[0 1 4 6 5 9 2 7 3 8],1669702,[4 6 3 2 0 1 9 8 5 7],503306,[1 4 5 9 0 3 2 7 6 8],374250,[1 0 4 3 8 7 9 2 5 6],1146927,[3 1 5 6 9 7 4 2 8 0],1700077,[4 7 1 3 2 5 8 0 9 6],2133408,[5 8 9 2 0 4 1 3 6 7],1410381,[3 8 9 6 7 0 5 2 4 1],1232688,[3 4 6 7 0 5 1 2 8 9],324690,[0 9 1 4 8 6 7 2 3 5]
7,10298,[0 1 4 2 5 9 3 7 6 8],1722680,[4 7 6 8 3 5 1 2 0 9],518619,[1 4 8 9 2 7 0 5 6 3],325155,[0 9 1 5 6 7 2 4 8 3],1160394,[3 1 8 2 6 9 7 0 4 5],1700281,[4 7 1 3 6 0 2 5 9 8],2084008,[5 7 6 3 2 8 4 9 0 1],1398832,[3 8 6 4 7 9 2 5 0 1],1241455,[3 4 8 2 1 6 5 0 9 7],272059,[0 7 6 9 8 1 5 2 4 3]
8,25580,[0 1 7 2 6 3 9 5 4 8],1667676,[4 6 2 9 1 3 7 0 5 8],517104,[1 4 8 6 2 3 0 5 7 9],368045,[1 0 3 2 5 4 6 9 8 7],1108466,[3 0 5 9 6 2 1 7 4 8],1689258,[4 6 9 1 2 0 8 3 5 7],2099296,[5 8 0 4 7 1 6 9 2 3],1421442,[3 9 2 0 4 5 8 1 6 7],1217589,[3 4 1 7 0 6 9 5 8 2],270132,[0 7 6 5 2 1 8 3 4 9]
9,26560,[0 1 7 3 9 4 6 8 2 5],1671685,[4 6 3 7 8 5 2 0 9 1],492022,[1 4 2 7 5 0 9 8 3 6],341802,[0 9 4 7 6 2 8 1 3 5],1108765,[3 0 5 9 8 6 4 1 7 2],1698339,[4 7 0 9 6 8 1 3 5 2],2102469,[5 8 1 2 0 6 9 4 7 3],1425858,[3 9 2 8 4 0 7 1 5 6],1213138,[3 4 0 7 9 5 2 8 1 6],298195,[0 8 4 2 1 9 7 3 6 5]
10,10219,[0 1 4 2 5 3 9 6 8 7],1714506,[4 7 5 1 2 6 9 0 3 8],498874,[1 4 3 9 8 2 5 7 0 6],340494,[0 9 4 5 8 3 2 1 6 7],1107384,[3 0 5 8 1 4 2 6 7 9],1720241,[4 7 6 2 1 3 8 9 5 0],2087935,[5 7 8 1 9 3 2 0 6 4],1400836,[3 8 6 9 4 5 0 7 1 2],1240267,[3 4 8 0 6 5 9 1 7 2],258985,[0 7 4 3 8 2 1 5 9 6]
11,28555,[0 1 7 6 5 9 8 2 4 3],1708305,[4 7 2 9 5 8 1 3 6 0],512125,[1 4 7 6 2 8 5 0 9 3],356796,[0 9 7 6 4 2 5 1 3 8],1153111,[3 1 6 8 5 2 4 0 9 7],1691854,[4 6 9 5 7 3 8 2 0 1],2086669,[5 7 8 0 1 9 4 2 6 3],1386003,[3 8 4 0 1 2 5 7 9 6],1187065,[3 2 5 6 8 1 0 4 9 7],324180,[0 9 1 4 3 6 7 2 5 8]
12,32354,[0 1 8 4 9 6 2 5 3 7],1682467,[4 6 7 8 5 2 9 0 3 1],490590,[1 4 2 5 6 3 7 0 8 9],353089,[0 9 7 1 4 5 2 3 8 6],1163350,[3 1 8 7 6 4 9 5 0 2],1722767,[4 7 6 8 5 1 9 3 2 0],2132342,[5 8 9 0 4 3 6 2 1 7],1384124,[3 8 2 6 4 1 9 5 0 7],1235813,[3 4 7 1 5 6 0 9 8 2],310383,[0 8 6 5 1 4 7 3 9 2]
13,46814,[0 2 3 5 1 4 8 7 6 9],1702256,[4 7 1 8 2 5 3 6 0 9],481580,[1 3 9 5 8 0 7 4 2 6],349418,[0 9 6 3 2 8 1 5 4 7],1127263,[3 0 9 6 5 8 2 1 7 4],1727404,[4 7 8 6 1 0 2 9 3 5],2093204,[5 7 9 2 1 3 8 4 0 6],1380176,[3 8 1 7 9 4 2 5 0 6],1241628,[3 4 8 2 5 9 6 0 1 7],255107,[0 7 3 6 2 9 4 8 5 1]
14,44970,[0 2 1 9 5 7 8 3 4 6],1699432,[4 7 1 2 3 9 6 8 0 5],497615,[1 4 3 8 0 7 9 6 5 2],369499,[1 0 3 5 4 2 9 6 8 7],1142848,[3 1 4 8 2 7 6 9 0 5],1683929,[4 6 8 0 7 5 3 9 2 1],2141755,[5 9 0 8 4 7 6 1 3 2],1433144,[3 9 5 2 4 8 1 6 0 7],1231413,[3 4 6 2 1 8 9 5 7 0],282390,[0 8 1 2 4 5 6 3 7 9]
15,74112,[0 2 8 6 9 5 1 3 4 7],1707045,[4 7 2 6 9 1 8 3 5 0],541178,[1 5 4 3 7 9 0 6 2 8],336852,[0 9 3 7 8 1 5 2 4 6],1100232,[3 0 4 5 1 8 2 6 7 9],1737773,[4 8 0 7 5 3 1 9 6 2],2098687,[5 8 0 3 9 1 4 2 7 6],1393639,[3 8 5 4 6 7 1 0 9 2],1217537,[3 4 1 7 0 2 8 9 6 5],312496,[0 8 7 1 2 3 6 9 4 5]
16,59561,[0 2 5 8 7 3 6 9 4 1],1683464,[4 6 8 0 1 9 3 5 2 7],544275,[1 5 4 9 8 6 0 3 7 2],347254,[0 9 5 8 2 6 7 4 1 3],1111755,[3 0 6 7 1 8 2 5 9 4],1668396,[4 6 3 0 2 5 8 1 7 9],2136979,[5 9 0 1 2 3 8 4 7 6],1427075,[3 9 4 1 0 5 6 8 7 2],1237612,[3 4 7 5 9 2 0 8 1 6],299821,[0 8 4 5 3 6 7 1 9 2]
17,76804,[0 2 9 3 7 1 4 8 5 6],1708078,[4 7 2 9 1 8 6 5 0 3],502986,[1 4 5 8 6 3 9 0 2 7],340851,[0 9 4 6 3 5 1 7 8 2],1140851,[3 1 4 5 7 0 6 9 8 2],1675865,[4 6 5 3 7 2 8 9 1 0],2126432,[5 8 6 9 2 1 3 4 0 7],1397199,[3 8 6 1 5 2 7 4 9 0],1208946,[3 2 9 8 0 5 7 1 4 6],312714,[0 8 7 1 3 9 6 2 4 5]
18,68275,[0 2 7 5 8 9 6 1 4 3],1670080,[4 6 3 2 7 1 8 9 0 5],507016,[1 4 6 7 2 0 8 9 3 5],342333,[0 9 4 8 3 6 7 2 5 1],1102918,[3 0 4 8 7 9 6 5 1 2],1725378,[4 7 8 2 3 0 9 1 5 6],2144201,[5 9 1 4 0 3 7 8 6 2],1389476,[3 8 4 6 7 9 5 1 0 2],1237617,[3 4 7 5 9 2 1 6 8 0],294969,[0 8 3 5 7 1 4 6 9 2]
19,76636,[0 2 9 3 5 7 1 8 4 6],1700934,[4 7 1 5 3 6 2 0 8 9],492030,[1 4 2 7 5 3 6 0 8 9],389701,[1 0 7 4 3 6 8 2 9 5],1165068,[3 1 9 2 0 8 6 4 5 7],1726782,[4 7 8 5 1 9 2 0 3 6],2116652,[5 8 3 9 6 4 7 1 0 2],1403502,[3 8 7 4 1 9 2 0 5 6],1195117,[3 2 7 0 9 4 6 1 8 5],273863,[0 7 8 3 4 1 9 6 5 2]
20,73484,[0 2 8 6 1 4 9 5 3 7],1682872,[4 6 7 9 1 8 3 5 0 2],502721,[1 4 5 8 2 3 7 9 6 0],388120,[1 0 7 2 3 5 8 9 4 6],1145326,[3 1 5 2 8 4 9 7 0 6],1725836,[4 7 8 2 9 6 5 1 0 3],2091547,[5 7 8 9 6 2 4 0 3 1],1394557,[3 8 5 6 9 1 4 0 7 2],1208685,[3 2 9 7 6 1 8 4 5 0],303427,[0 8 5 2 4 6 9 1 7 3]
21,35500,[0 1 9 2 4 8 3 7 5 6],1721961,[4 7 6 5 3 8 1 2 9 0],496635,[1 4 3 6 8 7 0 5 9 2],343192,[0 9 5 1 6 8 4 7 2 3],1127191,[3 0 9 6 5 2 4 1 8 7],1708494,[4 7 2 9 8 3 1 0 5 6],2107611,[5 8 2 1 3 6 0 7 9 4],1437549,[3 9 6 1 5 4 8 2 7 0],1252015,[3 5 0 4 9 6 2 1 8 7],289662,[0 8 2 5 3 9 4 1 6 7]
22,34030,[0 1 8 7 3 5 9 6 2 4],1685666,[4 6 8 3 1 2 0 7 5 9],486759,[1 4 0 7 2 5 8 6 9 3],368165,[1 0 3 2 6 4 5 9 8 7],1101370,[3 0 4 6 8 1 5 9 2 7],1733880,[4 8 0 1 3 2 5 6 7 9],2095525,[5 7 9 6 2 4 3 0 8 1],1447622,[3 9 8 1 5 4 6 2 0 7],1195169,[3 2 7 0 9 6 5 8 4 1],266438,[0 7 5 9 1 3 6 4 2 8]
23,13485,[0 1 4 7 8 3 9 5 6 2],1682838,[4 6 7 9 1 5 2 0 3 8],479648,[1 3 9 2 4 0 6 7 5 8],364821,[1 0 2 5 8 3 9 6 7 4],1165931,[3 1 9 4 5 0 6 8 7 2],1681390,[4 6 7 5 1 3 9 8 0 2],2118645,[5 8 4 2 6 1 9 3 7 0],1397701,[3 8 6 2 1 5 7 0 9 4],1205822,[3 2 9 1 7 5 6 4 0 8],267136,[0 7 6 1 2 3 8 9 4 5]
24,29078,[0 1 7 8 4 3 6 5 2 9],1723189,[4 7 6 9 1 8 3 0 5 2],497059,[1 4 3 7 5 0 9 2 8 6],319978,[0 8 9 4 3 5 2 7 1 6],1164774,[3 1 9 0 7 5 4 2 6 8],1736460,[4 8 0 5 7 3 6 1 2 9],2115277,[5 8 3 6 9 1 4 0 7 2],1403488,[3 8 7 4 1 6 5 9 0 2],1248538,[3 4 9 7 0 5 2 8 1 6],301356,[0 8 4 7 5 2 6 1 3 9]
25,26553,[0 1 7 3 9 4 5 6 8 2],1695431,[4 7 0 3 8 5 9 6 2 1],514260,[1 4 8 0 3 6 7 2 5 9],326355,[0 9 1 7 3 6 2 5 8 4],1158516,[3 1 7 9 0 4 6 2 5 8],1700814,[4 7 1 5 2 6 3 0 8 9],2144456,[5 9 1 4 3 6 2 7 0 8],1395057,[3 8 5 7 4 2 1 6 9 0],1237514,[3 4 7 5 8 6 0 2 1 9],276762,[0 7 8 9 3 2 6 1 4 5]
26,43910,[0 2 1 7 9 8 5 4 3 6],1680420,[4 6 7 2 9 3 5 0 1 8],489500,[1 4 2 0 9 3 8 6 5 7],354870,[0 9 7 3 8 2 4 1 5 6],1100496,[3 0 4 5 6 9 1 2 7 8],1719206,[4 7 6 0 8 5 3 2 1 9],2123959,[5 8 6 2 9 4 1 0 7 3],1431571,[3 9 5 0 2 7 8 1 6 4],1230001,[3 4 6 0 5 1 2 7 9 8],295791,[0 8 3 6 7 9 4 2 5 1]
27,48243,[0 2 3 7 1 4 5 8 9 6],1726538,[4 7 8 3 9 6 0 2 1 5],511235,[1 4 7 5 0 3 6 9 8 2],365355,[1 0 2 6 5 8 3 7 9 4],1114334,[3 0 7 1 8 2 6 5 4 9],1737514,[4 8 0 7 2 3 5 9 1 6],2074875,[5 7 3 6 8 4 0 2 9 1],1398241,[3 8 6 4 0 1 2 5 9 7],1190482,[3 2 6 1 5 8 4 9 0 7],298996,[0 8 4 3 2 7 1 9 5 6]
28,50006,[0 2 3 9 5 7 6 4 1 8],1708083,[4 7 2 9 3 0 1 6 8 5],479643,[1 3 9 2 4 0 5 7 8 6],362615,[0 9 8 7 4 5 6 3 2 1],1150876,[3 1 6 4 5 8 0 9 2 7],1669753,[4 6 3 2 0 8 1 5 9 7],2128037,[5 8 7 1 4 6 0 9 3 2],1401480,[3 8 7 0 5 1 2 4 6 9],1221557,[3 4 2 5 7 8 0 9 6 1],281536,[0 7 9 8 1 2 5 6 3 4]
29,43366,[0 2 1 7 4 5 9 8 3 6],1723361,[4 7 6 9 3 1 5 8 2 0],501702,[1 4 5 6 8 9 2 0 3 7],343668,[0 9 5 2 3 8 6 1 4 7],1108289,[3 0 5 9 2 7 6 8 4 1],1679943,[4 6 7 2 1 5 8 3 9 0],2105401,[5 8 1 7 2 0 3 4 9 6],1381997,[3 8 2 1 5 7 0 9 6 4],1251251,[3 5 0 2 9 1 6 8 7 4],296226,[0 8 3 7 4 5 9 1 2 6]
30,65084,[0 2 6 9 4 3 8 5 1 7],1709611,[4 7 3 1 5 8 9 0 6 2],484278,[1 4 0 2 7 8 5 3 6 9],386873,[1 0 6 8 3 9 5 7 4 2],1128538,[3 0 9 8 4 5 2 7 1 6],1705399,[4 7 2 3 6 8 1 0 9 5],2104995,[5 8 1 6 4 7 0 3 9 2],1390202,[3 8 4 7 9 0 1 5 2 6],1192525,[3 2 6 7 1 8 5 0 9 4],312912,[0 8 7 1 5 6 2 3 4 9]
31,56465,[0 2 5 3 6 7 8 9 4 1],1676583,[4 6 5 7 3 2 8 1 9 0],519902,[1 4 9 2 0 6 7 5 3 8],357863,[0 9 8 1 2 3 7 6 5 4],1102643,[3 0 4 8 5 7 2 9 6 1],1686881,[4 6 8 5 9 1 3 7 2 0],2114969,[5 8 3 6 2 7 4 9 1 0],1423301,[3 9 2 4 7 8 0 6 5 1],1184630,[3 2 5 0 4 9 7 6 1 8],303215,[0 8 5 2 1 7 9 6 4 3]
