100%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,3914,[5 2 4 0 3 1 6]
2,3278,[4 3 1 5 2 0 6]
3,1019,[1 3 4 2 6 5 0]
4,2735,[3 5 4 6 2 1 0]
5,3115,[4 1 6 5 0 3 2]
6,2031,[2 5 6 3 1 4 0]
7,1382,[1 6 3 4 2 0 5]
8,4573,[6 2 0 4 1 5 3]
9,2751,[3 5 6 2 1 4 0]
10,2404,[3 2 0 1 6 4 5]
11,4900,[6 4 5 0 3 1 2]
12,1553,[2 0 6 4 5 3 1]
13,2532,[3 4 0 5 1 2 6]
14,115,[0 1 6 5 2 4 3]
15,2625,[3 4 6 1 2 5 0]
16,4498,[6 1 3 2 5 0 4]
17,3227,[4 2 6 1 5 3 0]
18,219,[0 2 6 1 4 5 3]
19,4421,[6 0 5 1 4 3 2]
20,1000,[1 3 2 5 6 0 4]
21,2173,[3 0 1 5 2 6 4]
22,338,[0 3 6 1 4 2 5]
23,333,[0 3 5 6 2 4 1]
24,2125,[2 6 4 3 0 5 1]
25,441,[0 4 5 2 3 6 1]
26,3670,[5 0 3 6 4 1 2]
27,1843,[2 4 1 6 0 5 3]
28,146,[0 2 3 1 5 4 6]
29,1455,[2 0 1 5 4 6 3]
30,2115,[2 6 4 0 3 5 1]
31,3371,[4 5 0 2 6 3 1]
32,4107,[5 4 1 0 3 6 2]
33,757,[1 0 3 5 2 6 4]
34,2800,[3 6 1 4 5 0 2]
35,1752,[2 3 5 0 1 4 6]
36,4896,[6 4 5 0 1 2 3]
37,626,[0 6 2 1 4 3 5]
38,3163,[4 2 1 6 0 5 3]
39,4499,[6 1 3 2 5 4 0]
40,3854,[5 2 0 4 3 1 6]
41,4830,[6 4 1 2 0 3 5]
42,4862,[6 4 2 3 1 0 5]
43,1211,[1 5 0 3 6 4 2]
44,3556,[4 6 3 0 5 1 2]
45,3202,[4 2 5 1 6 0 3]
46,1876,[2 4 5 0 6 1 3]
47,1271,[1 5 3 6 4 2 0]
48,2957,[4 0 5 1 6 3 2]
49,849,[1 2 0 4 5 6 3]
50,1012,[1 3 4 0 6 2 5]
51,502,[0 5 1 6 4 2 3]
52,3738,[5 1 0 6 2 3 4]
53,3670,[5 0 3 6 4 1 2]
54,479,[0 4 6 5 3 2 1]
55,1073,[1 3 6 4 5 2 0]
56,3831,[5 1 6 3 2 4 0]
57,3190,[4 2 3 6 5 0 1]
58,3935,[5 2 4 6 3 1 0]
59,2294,[3 1 0 5 4 2 6]
60,4485,[6 1 2 5 3 4 0]
61,233,[0 2 6 4 5 3 1]
62,1106,[1 4 2 0 5 3 6]
63,3118,[4 1 6 5 3 0 2]
64,635,[0 6 2 3 5 4 1]
65,4074,[5 3 6 4 0 1 2]
66,792,[1 0 5 2 3 4 6]
67,795,[1 0 5 2 4 6 3]
68,4773,[6 3 4 5 1 2 0]
69,3595,[4 6 5 3 0 2 1]
70,2770,[3 6 0 2 5 1 4]
71,3872,[5 2 1 3 4 0 6]
72,358,[0 3 6 5 4 1 2]
73,743,[1 0 2 6 5 4 3]
74,566,[0 5 4 3 2 1 6]
75,1211,[1 5 0 3 6 4 2]
76,2352,[3 1 5 0 2 4 6]
77,3912,[5 2 4 0 1 3 6]
78,1572,[2 1 0 5 3 4 6]
79,3963,[5 3 0 1 4 6 2]
80,3605,[5 0 1 2 6 4 3]
81,2399,[3 1 6 5 4 2 0]
82,3926,[5 2 4 3 1 0 6]
83,4467,[6 1 2 0 4 5 3]
84,442,[0 4 5 2 6 1 3]
85,1612,[2 1 4 0 6 3 5]
86,4673,[6 2 5 3 4 1 0]
87,437,[0 4 5 1 6 3 2]
88,144,[0 2 3 1 4 5 6]
89,1726,[2 3 1 6 5 0 4]
90,2962,[4 0 5 2 6 1 3]
91,1706,[2 3 1 0 5 4 6]
92,1732,[2 3 4 0 6 1 5]
93,869,[1 2 3 0 6 5 4]
94,408,[0 4 3 1 2 5 6]
95,3666,[5 0 3 6 1 2 4]
96,3724,[5 1 0 2 6 3 4]
97,1743,[2 3 4 5 1 6 0]
98,575,[0 5 4 6 3 2 1]
99,4523,[6 1 4 2 5 3 0]
100,2409,[3 2 0 4 5 6 1]
1,1080,[1 4 0 2 3 5 6]
2,1538,[2 0 6 1 4 3 5]
3,4402,[6 0 4 2 5 1 3]
4,3120,[4 2 0 1 3 5 6]
5,2180,[3 0 1 6 4 2 5]
6,439,[0 4 5 2 1 6 3]
7,2994,[4 0 6 5 1 2 3]
8,3103,[4 1 6 2 0 5 3]
9,4309,[5 6 4 2 0 3 1]
10,3762,[5 1 2 6 0 3 4]
11,4959,[6 5 1 3 2 4 0]
12,1617,[2 1 4 3 5 6 0]
13,5012,[6 5 3 4 1 0 2]
14,3729,[5 1 0 3 4 6 2]
15,2086,[2 6 1 5 4 0 3]
16,1302,[1 5 6 2 0 3 4]
17,1679,[2 1 6 5 4 3 0]
18,2675,[3 5 1 2 6 4 0]
19,4064,[5 3 6 1 2 0 4]
20,4441,[6 1 0 2 3 5 4]
21,66,[0 1 4 6 2 3 5]
22,517,[0 5 2 4 1 6 3]
23,3046,[4 1 2 6 5 0 3]
24,633,[0 6 2 3 4 5 1]
25,1064,[1 3 6 2 4 0 5]
26,2140,[2 6 5 0 4 1 3]
27,4234,[5 6 1 2 4 0 3]
28,730,[1 0 2 4 6 3 5]
29,1941,[2 5 0 6 3 4 1]
30,2527,[3 4 0 2 1 6 5]
31,609,[0 6 1 3 4 5 2]
32,3336,[4 3 6 0 1 2 5]
33,2089,[2 6 3 0 1 5 4]
34,1553,[2 0 6 4 5 3 1]
35,2525,[3 4 0 1 6 5 2]
36,860,[1 2 0 6 4 3 5]
37,4565,[6 2 0 1 5 4 3]
38,1347,[1 6 2 0 4 5 3]
39,3302,[4 3 2 5 1 0 6]
40,1172,[1 4 5 6 2 0 3]
41,1678,[2 1 6 5 4 0 3]
42,2374,[3 1 5 6 4 0 2]
43,1009,[1 3 4 0 2 6 5]
44,3005,[4 1 0 2 6 5 3]
45,3043,[4 1 2 6 0 5 3]
46,333,[0 3 5 6 2 4 1]
47,1760,[2 3 5 1 4 0 6]
48,2180,[3 0 1 6 4 2 5]
49,2968,[4 0 5 3 6 1 2]
50,2363,[3 1 5 2 6 4 0]
51,2044,[2 6 0 1 5 3 4]
52,4108,[5 4 1 0 6 2 3]
53,1552,[2 0 6 4 5 1 3]
54,339,[0 3 6 1 4 5 2]
55,2054,[2 6 0 4 3 1 5]
56,562,[0 5 4 2 6 1 3]
57,3533,[4 6 2 0 5 3 1]
58,3769,[5 1 3 0 2 6 4]
59,2056,[2 6 0 4 5 1 3]
60,381,[0 4 1 6 3 5 2]
61,1245,[1 5 2 6 3 4 0]
62,2264,[3 0 6 2 4 1 5]
63,1161,[1 4 5 2 3 6 0]
64,1781,[2 3 6 0 5 4 1]
65,3152,[4 2 1 3 5 0 6]
66,1622,[2 1 4 5 3 0 6]
67,4568,[6 2 0 3 4 1 5]
68,3458,[4 5 6 0 2 1 3]
69,1204,[1 5 0 2 6 3 4]
70,1226,[1 5 2 0 4 3 6]
71,1778,[2 3 6 0 4 1 5]
72,89,[0 1 5 4 6 3 2]
73,4414,[6 0 4 5 3 1 2]
74,2891,[4 0 1 3 6 5 2]
75,2762,[3 6 0 1 4 2 5]
76,3021,[4 1 0 6 3 5 2]
77,4549,[6 1 5 3 0 4 2]
78,381,[0 4 1 6 3 5 2]
79,2630,[3 4 6 2 1 0 5]
80,975,[1 3 0 5 4 6 2]
81,42,[0 1 3 6 2 4 5]
82,2054,[2 6 0 4 3 1 5]
83,2802,[3 6 1 5 0 2 4]
84,4619,[6 2 3 1 5 4 0]
85,482,[0 5 1 2 4 3 6]
86,1542,[2 0 6 3 1 4 5]
87,1784,[2 3 6 1 4 0 5]
88,2007,[2 5 4 3 1 6 0]
89,4540,[6 1 5 0 4 2 3]
90,1962,[2 5 1 6 0 3 4]
91,2367,[3 1 5 4 2 6 0]
92,795,[1 0 5 2 4 6 3]
93,4332,[6 0 1 4 2 3 5]
94,3261,[4 3 0 6 2 5 1]
95,4967,[6 5 1 4 3 2 0]
96,4455,[6 1 0 4 3 5 2]
97,1213,[1 5 0 4 2 6 3]
98,4268,[5 6 2 4 1 0 3]
99,4894,[6 4 3 5 2 0 1]
100,1420,[1 6 5 0 4 2 3]
1,560,[0 5 4 2 3 1 6]
2,3342,[4 3 6 1 0 2 5]
3,976,[1 3 0 5 6 2 4]
4,1741,[2 3 4 5 0 6 1]
5,584,[0 5 6 2 3 1 4]
6,1712,[2 3 1 4 5 0 6]
7,4735,[6 3 2 1 0 5 4]
8,3701,[5 0 6 1 4 3 2]
9,2360,[3 1 5 2 4 0 6]
10,4073,[5 3 6 2 4 1 0]
11,1053,[1 3 5 6 2 4 0]
12,3493,[4 6 0 3 1 5 2]
13,1138,[1 4 3 2 6 0 5]
14,1080,[1 4 0 2 3 5 6]
15,4702,[6 3 0 5 4 1 2]
16,4232,[5 6 1 2 3 0 4]
17,4503,[6 1 3 4 2 5 0]
18,1583,[2 1 0 6 5 4 3]
19,1299,[1 5 6 0 3 4 2]
20,1610,[2 1 4 0 5 3 6]
21,4879,[6 4 3 1 0 5 2]
22,2560,[3 4 1 5 6 0 2]
23,3959,[5 2 6 4 3 1 0]
24,4282,[5 6 3 1 4 0 2]
25,3899,[5 2 3 1 6 4 0]
26,982,[1 3 0 6 5 2 4]
27,1041,[1 3 5 2 4 6 0]
28,1152,[1 4 5 0 2 3 6]
29,2965,[4 0 5 3 1 6 2]
30,3348,[4 3 6 2 0 1 5]
31,1808,[2 4 0 3 5 1 6]
32,140,[0 2 1 6 4 3 5]
33,234,[0 2 6 5 1 3 4]
34,1209,[1 5 0 3 4 6 2]
35,7,[0 1 2 4 3 6 5]
36,2077,[2 6 1 4 0 5 3]
37,1077,[1 3 6 5 2 4 0]
38,1061,[1 3 6 0 5 4 2]
39,4034,[5 3 4 0 2 1 6]
40,3811,[5 1 4 6 0 3 2]
41,1847,[2 4 1 6 5 3 0]
42,3124,[4 2 0 1 6 3 5]
43,4687,[6 3 0 2 1 5 4]
44,467,[0 4 6 2 5 3 1]
45,908,[1 2 4 6 3 0 5]
46,3915,[5 2 4 0 3 6 1]
47,4698,[6 3 0 5 1 2 4]
48,3251,[4 3 0 2 6 5 1]
49,3600,[5 0 1 2 3 4 6]
50,735,[1 0 2 5 4 6 3]
51,4993,[6 5 3 0 1 4 2]
52,4670,[6 2 5 3 1 0 4]
53,2969,[4 0 5 3 6 2 1]
54,3283,[4 3 1 6 0 5 2]
55,1582,[2 1 0 6 5 3 4]
56,3040,[4 1 2 5 6 0 3]
57,4424,[6 0 5 2 3 1 4]
58,1734,[2 3 4 1 0 5 6]
59,2882,[4 0 1 2 5 3 6]
60,4642,[6 2 4 1 5 0 3]
61,671,[0 6 3 5 4 2 1]
62,3582,[4 6 5 1 0 2 3]
63,736,[1 0 2 5 6 3 4]
64,4053,[5 3 4 6 1 2 0]
65,2265,[3 0 6 2 4 5 1]
66,772,[1 0 4 2 6 3 5]
67,3305,[4 3 2 5 6 1 0]
68,4969,[6 5 2 0 1 4 3]
69,666,[0 6 3 5 1 2 4]
70,2625,[3 4 6 1 2 5 0]
