70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,10,[0 1 2 4 6 3 5],4936,[6 5 0 3 4 1 2],5025,[6 5 4 1 2 3 0],102,[0 1 6 3 2 4 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3087,[4 1 5 3 2 6 0],4427,[6 0 5 2 4 3 1],4223,[5 6 0 4 3 2 1],1105,[1 4 2 0 3 6 5]
2,3020,[4 1 0 6 3 2 5],1995,[2 5 4 0 3 6 1],4332,[6 0 1 4 2 3 5],1137,[1 4 3 2 5 6 0]
3,1965,[2 5 1 6 3 4 0],4067,[5 3 6 1 4 2 0],3399,[4 5 1 3 2 6 0],394,[0 4 2 3 6 1 5]
4,947,[1 2 6 3 5 4 0],3168,[4 2 3 0 1 5 6],2964,[4 0 5 3 1 2 6],867,[1 2 3 0 5 6 4]
5,2343,[3 1 4 5 2 6 0],4970,[6 5 2 0 3 1 4],4230,[5 6 1 2 0 3 4],3321,[4 3 5 1 2 6 0]
6,2225,[3 0 4 5 6 2 1],4834,[6 4 1 2 5 0 3],3002,[4 1 0 2 5 3 6],431,[0 4 3 6 5 2 1]
7,3450,[4 5 3 6 0 1 2],4632,[6 2 4 0 1 3 5],2311,[3 1 2 4 0 6 5],2659,[3 5 0 6 1 4 2]
8,1082,[1 4 0 2 5 3 6],2126,[2 6 4 3 1 0 5],4585,[6 2 1 0 3 5 4],2707,[3 5 2 6 0 4 1]
9,592,[0 5 6 3 4 1 2],2744,[3 5 6 1 2 0 4],3379,[4 5 0 6 1 3 2],2048,[2 6 0 3 4 1 5]
10,426,[0 4 3 6 1 2 5],3190,[4 2 3 6 5 0 1],3176,[4 2 3 1 5 0 6],1245,[1 5 2 6 3 4 0]
11,3298,[4 3 2 1 6 0 5],2546,[3 4 1 0 5 2 6],3200,[4 2 5 1 3 0 6],3252,[4 3 0 5 1 2 6]
12,892,[1 2 4 0 6 3 5],2172,[3 0 1 5 2 4 6],2919,[4 0 2 5 3 6 1],1234,[1 5 2 3 6 0 4]
13,2258,[3 0 6 1 4 2 5],4665,[6 2 5 1 3 4 0],3573,[4 6 3 5 1 2 0],2777,[3 6 0 4 5 2 1]
14,1725,[2 3 1 6 4 5 0],2229,[3 0 4 6 2 5 1],3109,[4 1 6 3 0 5 2],3113,[4 1 6 3 5 2 0]
15,1671,[2 1 6 4 3 5 0],1944,[2 5 1 0 3 4 6],4059,[5 3 6 0 2 4 1],837,[1 0 6 5 3 4 2]
16,2471,[3 2 4 6 5 1 0],4841,[6 4 1 3 5 2 0],3448,[4 5 3 2 6 0 1],1843,[2 4 1 6 0 5 3]
17,1568,[2 1 0 4 5 3 6],4300,[5 6 4 0 3 1 2],3482,[4 6 0 1 3 2 5],468,[0 4 6 3 1 2 5]
18,953,[1 2 6 4 5 3 0],2410,[3 2 0 4 6 1 5],2713,[3 5 4 0 1 6 2],1688,[2 3 0 4 5 1 6]
