2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,10,[0 1 2 4 6 3 5],4936,[6 5 0 3 4 1 2],5025,[6 5 4 1 2 3 0],102,[0 1 6 3 2 4 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,26,[0 1 3 2 5 4 6],4884,[6 4 3 2 0 1 5],4996,[6 5 3 0 4 1 2],188,[0 2 4 6 3 1 5]
2,84,[0 1 5 4 2 3 6],4900,[6 4 5 0 3 1 2],4933,[6 5 0 3 1 4 2],186,[0 2 4 6 1 3 5]
3,35,[0 1 3 4 6 5 2],4874,[6 4 3 0 2 1 5],4990,[6 5 2 4 3 0 1],194,[0 2 5 1 4 3 6]
4,87,[0 1 5 4 3 6 2],4913,[6 4 5 2 3 1 0],4926,[6 5 0 2 1 3 4],189,[0 2 4 6 3 5 1]
5,14,[0 1 2 5 4 3 6],4925,[6 5 0 1 4 3 2],5007,[6 5 3 2 1 4 0],200,[0 2 5 3 4 1 6]
6,101,[0 1 6 2 5 4 3],4898,[6 4 5 0 2 1 3],4935,[6 5 0 3 2 4 1],108,[0 1 6 4 2 3 5]
7,57,[0 1 4 3 5 6 2],4890,[6 4 3 5 0 1 2],4927,[6 5 0 2 1 4 3],105,[0 1 6 3 4 5 2]
8,25,[0 1 3 2 4 6 5],4884,[6 4 3 2 0 1 5],4938,[6 5 0 4 1 2 3],176,[0 2 4 3 5 1 6]
9,27,[0 1 3 2 5 6 4],4896,[6 4 5 0 1 2 3],4968,[6 5 2 0 1 3 4],130,[0 2 1 4 6 3 5]
10,53,[0 1 4 2 6 5 3],4854,[6 4 2 1 0 3 5],4954,[6 5 1 2 4 0 3],128,[0 2 1 4 5 3 6]
11,45,[0 1 3 6 4 5 2],4867,[6 4 2 5 0 3 1],5004,[6 5 3 2 0 1 4],154,[0 2 3 4 6 1 5]
12,29,[0 1 3 2 6 5 4],4894,[6 4 3 5 2 0 1],4959,[6 5 1 3 2 4 0],154,[0 2 3 4 6 1 5]
13,107,[0 1 6 3 5 4 2],4903,[6 4 5 1 0 3 2],4988,[6 5 2 4 1 0 3],119,[0 1 6 5 4 3 2]
14,82,[0 1 5 3 6 2 4],4912,[6 4 5 2 3 0 1],4938,[6 5 0 4 1 2 3],130,[0 2 1 4 6 3 5]
15,79,[0 1 5 3 2 6 4],4923,[6 5 0 1 3 4 2],5008,[6 5 3 2 4 0 1],120,[0 2 1 3 4 5 6]
16,69,[0 1 4 6 3 5 2],4895,[6 4 3 5 2 1 0],4981,[6 5 2 3 0 4 1],165,[0 2 3 6 4 5 1]
17,106,[0 1 6 3 5 2 4],4917,[6 4 5 3 1 2 0],4944,[6 5 1 0 2 3 4],187,[0 2 4 6 1 5 3]
18,82,[0 1 5 3 6 2 4],4869,[6 4 2 5 1 3 0],5022,[6 5 4 1 0 2 3],180,[0 2 4 5 1 3 6]
19,12,[0 1 2 5 3 4 6],4853,[6 4 2 0 5 3 1],4979,[6 5 2 1 4 3 0],129,[0 2 1 4 5 6 3]
