10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,10,[0 1 2 4 6 3 5],4936,[6 5 0 3 4 1 2],5025,[6 5 4 1 2 3 0],102,[0 1 6 3 2 4 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,398,[0 4 2 5 3 1 6],4707,[6 3 1 0 4 5 2],4581,[6 2 0 5 3 4 1],102,[0 1 6 3 2 4 5]
2,494,[0 5 1 4 3 2 6],4771,[6 3 4 5 0 2 1],4899,[6 4 5 0 2 3 1],523,[0 5 2 6 1 4 3]
3,182,[0 2 4 5 3 1 6],4606,[6 2 1 5 4 0 3],4780,[6 3 5 0 4 1 2],207,[0 2 5 4 3 6 1]
4,53,[0 1 4 2 6 5 3],4931,[6 5 0 2 4 3 1],4869,[6 4 2 5 1 3 0],558,[0 5 4 2 1 3 6]
5,266,[0 3 2 1 5 4 6],4769,[6 3 4 2 5 1 0],4845,[6 4 1 5 2 3 0],341,[0 3 6 1 5 4 2]
6,133,[0 2 1 5 3 6 4],4632,[6 2 4 0 1 3 5],4609,[6 2 3 0 1 5 4],166,[0 2 3 6 5 1 4]
7,267,[0 3 2 1 5 6 4],4640,[6 2 4 1 3 0 5],4648,[6 2 4 3 5 0 1],135,[0 2 1 5 4 6 3]
8,35,[0 1 3 4 6 5 2],4559,[6 1 5 4 3 2 0],4639,[6 2 4 1 0 5 3],105,[0 1 6 3 4 5 2]
9,297,[0 3 4 2 5 6 1],4918,[6 4 5 3 2 0 1],4799,[6 3 5 4 2 1 0],370,[0 4 1 3 6 2 5]
10,378,[0 4 1 6 2 3 5],4700,[6 3 0 5 2 1 4],4859,[6 4 2 1 5 3 0],522,[0 5 2 6 1 3 4]
11,492,[0 5 1 4 2 3 6],4857,[6 4 2 1 3 5 0],4723,[6 3 1 5 0 4 2],293,[0 3 4 1 6 5 2]
12,261,[0 3 1 6 4 5 2],4714,[6 3 1 2 5 0 4],4793,[6 3 5 2 4 1 0],297,[0 3 4 2 5 6 1]
13,180,[0 2 4 5 1 3 6],4664,[6 2 5 1 3 0 4],4905,[6 4 5 1 2 3 0],515,[0 5 2 3 6 4 1]
14,470,[0 4 6 3 2 1 5],4449,[6 1 0 3 4 5 2],5004,[6 5 3 2 0 1 4],181,[0 2 4 5 1 6 3]
15,232,[0 2 6 4 5 1 3],4843,[6 4 1 5 0 3 2],4541,[6 1 5 0 4 3 2],463,[0 4 6 2 1 5 3]
16,488,[0 5 1 3 4 2 6],4743,[6 3 2 4 1 5 0],4607,[6 2 1 5 4 3 0],175,[0 2 4 3 1 6 5]
17,29,[0 1 3 2 6 5 4],4886,[6 4 3 2 1 0 5],4728,[6 3 2 0 1 4 5],305,[0 3 4 5 6 2 1]
18,337,[0 3 6 1 2 5 4],4528,[6 1 4 3 5 0 2],4555,[6 1 5 4 0 3 2],222,[0 2 6 3 1 4 5]
19,246,[0 3 1 4 2 5 6],4626,[6 2 3 5 0 1 4],4833,[6 4 1 2 3 5 0],294,[0 3 4 2 1 5 6]
