100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,353844,[0 9 7 2 4 6 5 1 3 8],2909943,[8 0 2 4 6 5 7 3 9 1],3421168,[9 3 7 6 4 5 2 8 0 1],1900532,[5 2 1 0 7 8 9 4 3 6],1117297,[3 0 7 6 8 9 1 2 5 4]
2,1637177,[4 5 6 8 9 0 3 7 2 1],250293,[0 7 2 6 5 8 9 3 4 1],2005555,[5 4 7 9 2 8 6 0 3 1],1657782,[4 6 0 9 3 8 2 1 5 7],1328206,[3 6 9 4 7 1 8 5 0 2]
3,206162,[0 6 1 9 4 2 3 7 5 8],2582914,[7 1 0 5 4 3 6 9 2 8],1807267,[4 9 7 5 0 3 8 1 6 2],3097191,[8 4 7 3 5 9 2 1 6 0],1528590,[4 1 9 3 0 5 6 2 7 8]
4,478200,[1 3 8 9 2 0 4 5 6 7],2147021,[5 9 1 8 7 6 0 4 3 2],2669409,[7 3 1 6 5 0 4 8 9 2],2878932,[7 9 3 1 5 0 6 2 4 8],1011922,[2 8 0 7 4 6 3 9 1 5]
5,81821,[0 3 1 4 7 9 2 8 6 5],3378504,[9 2 7 3 4 1 0 5 6 8],3524973,[9 6 3 2 7 5 8 1 4 0],1499424,[4 1 2 6 7 3 0 5 8 9],3287981,[9 0 5 3 6 8 1 7 4 2]
6,1731509,[4 7 9 3 8 1 0 6 5 2],704685,[1 9 4 7 6 2 8 3 5 0],3400976,[9 3 2 7 5 4 1 6 0 8],1808499,[4 9 7 6 5 8 0 2 3 1],2859793,[7 8 9 2 6 4 0 1 5 3]
7,1970180,[5 3 8 9 2 0 7 4 1 6],1419945,[3 9 1 7 0 8 4 5 6 2],2920276,[8 0 4 3 9 6 1 7 2 5],1574178,[4 3 0 5 6 1 9 2 7 8],2074884,[5 7 3 6 8 4 2 0 1 9]
8,2208779,[6 0 8 2 7 4 3 9 5 1],280325,[0 7 9 5 3 1 2 8 6 4],712862,[1 9 6 4 0 5 7 3 2 8],1838363,[5 0 6 8 2 7 3 9 4 1],216683,[0 6 3 9 8 5 2 7 4 1]
9,2654952,[7 2 8 6 3 5 0 1 4 9],1376158,[3 8 1 0 4 9 7 6 2 5],3465267,[9 4 8 3 7 1 0 5 6 2],2209912,[6 0 8 4 2 9 5 7 1 3],839750,[2 3 8 6 1 9 5 4 0 7]
10,488717,[1 4 0 9 7 6 2 8 5 3],1419547,[3 9 1 6 5 4 8 0 7 2],1384114,[3 8 2 6 4 1 5 9 0 7],1884735,[5 1 7 9 6 0 4 3 8 2],2617491,[7 1 9 3 4 5 0 6 8 2]
11,3406606,[9 3 4 8 2 1 7 6 0 5],3064197,[8 3 9 7 5 6 4 1 2 0],1994758,[5 4 3 8 2 9 7 6 0 1],2109166,[5 8 2 4 3 1 9 7 0 6],1086241,[2 9 8 4 6 0 1 3 7 5]
12,1793151,[4 9 3 7 2 8 5 1 6 0],196819,[0 5 9 1 4 2 8 3 7 6],3495652,[9 5 6 4 0 3 1 8 2 7],608408,[1 7 0 8 2 3 5 6 4 9],2170106,[5 9 7 4 0 2 1 6 3 8]
13,1627197,[4 5 2 8 9 7 6 1 3 0],2190946,[6 0 3 7 9 8 2 5 1 4],2741173,[7 4 9 8 1 0 5 2 6 3],1608789,[4 3 9 1 5 6 8 2 7 0],2454566,[6 7 9 0 1 5 4 3 2 8]
14,668537,[1 8 5 6 4 0 7 9 3 2],3297249,[9 0 7 2 5 1 4 6 8 3],2251712,[6 1 8 7 3 2 4 5 0 9],1861986,[5 1 2 6 0 7 9 3 4 8],2003709,[5 4 7 3 9 2 8 1 6 0]
15,3093804,[8 4 6 7 9 3 2 0 1 5],2572678,[7 0 8 4 1 9 6 5 2 3],2755525,[7 5 2 8 0 6 4 1 9 3],3027404,[8 3 0 6 7 2 9 4 1 5],1803021,[4 9 6 7 1 0 8 3 5 2]
16,3616658,[9 8 5 4 0 7 1 3 2 6],728978,[2 0 1 7 5 9 3 6 4 8],3166615,[8 6 4 2 0 5 3 1 9 7],2615142,[7 1 8 9 0 6 3 2 4 5],3462773,[9 4 8 0 3 5 1 7 6 2]
17,1787013,[4 9 2 5 8 6 7 1 3 0],2097677,[5 8 0 2 4 7 1 9 6 3],1063061,[2 9 3 8 4 7 0 6 5 1],2188969,[6 0 3 4 2 7 1 5 9 8],667870,[1 8 5 4 6 3 9 7 0 2]
18,3275518,[9 0 2 8 3 7 6 5 1 4],2183895,[6 0 2 4 3 1 8 7 9 5],1549754,[4 2 5 6 3 8 0 7 1 9],1560228,[4 2 7 5 9 8 3 0 1 6],814247,[2 3 1 6 9 4 8 7 5 0]
19,1698989,[4 7 1 0 8 3 2 9 6 5],3004932,[8 2 5 1 6 0 7 3 4 9],354493,[0 9 7 3 4 1 6 2 8 5],770131,[2 1 0 8 6 7 9 3 5 4],2957583,[8 1 3 7 6 4 5 2 9 0]
20,2254797,[6 1 9 3 5 8 7 2 4 0],199950,[0 5 9 6 7 2 3 1 4 8],3613360,[9 8 4 7 3 1 5 6 0 2],876214,[2 4 7 8 9 5 6 3 0 1],3555322,[9 7 1 3 8 5 2 6 0 4]
21,2664737,[7 3 0 8 1 2 6 9 5 4],54917,[0 2 4 9 3 7 1 8 6 5],617237,[1 7 3 5 2 8 0 9 6 4],1129757,[3 1 0 4 2 8 5 9 7 6],2255751,[6 1 9 4 8 7 3 2 5 0]
22,613594,[1 7 2 8 3 4 5 9 0 6],205068,[0 6 1 7 8 9 4 2 3 5],3486113,[9 5 3 6 7 8 2 4 1 0],2999764,[8 2 4 1 5 0 3 9 6 7],2856951,[7 8 6 5 9 4 2 1 3 0]
23,2163290,[5 9 6 1 4 3 0 7 2 8],129765,[0 4 2 8 3 5 9 6 7 1],3096578,[8 4 7 2 6 9 0 3 1 5],1106240,[3 0 5 6 4 8 2 7 1 9],1420445,[3 9 1 7 8 0 2 6 5 4]
24,1417190,[3 9 1 2 4 8 6 5 0 7],924080,[2 5 9 3 4 7 1 6 0 8],638077,[1 7 8 5 2 3 6 0 9 4],146242,[0 4 7 1 2 8 5 9 3 6],3572313,[9 7 4 6 3 1 2 5 8 0]
25,3474287,[9 5 1 3 4 2 8 7 6 0],2266176,[6 2 1 7 4 9 0 3 5 8],34921,[0 1 8 9 5 2 3 4 7 6],1053307,[2 9 0 8 7 4 6 1 5 3],2323015,[6 3 5 9 2 4 1 0 8 7]
26,168039,[0 5 2 4 6 3 8 7 9 1],1742284,[4 8 1 6 9 0 2 7 3 5],1980231,[5 4 0 9 2 8 6 3 7 1],227405,[0 6 7 1 9 2 3 8 5 4],817569,[2 3 4 1 7 0 6 8 9 5]
27,2430260,[6 7 2 1 4 0 9 5 3 8],102269,[0 3 6 4 1 5 2 9 8 7],607142,[1 7 0 5 3 6 8 4 2 9],3401684,[9 3 2 8 5 1 7 4 0 6],934748,[2 6 1 5 3 7 9 4 0 8]
28,71260,[0 2 8 1 9 7 3 6 4 5],2915339,[8 0 3 5 1 6 4 9 7 2],2571209,[7 0 8 2 1 6 5 9 4 3],3513693,[9 6 1 2 0 7 8 4 5 3],3337301,[9 1 7 2 0 8 3 6 5 4]
29,2997953,[8 2 3 7 6 9 4 5 1 0],3092541,[8 4 6 5 1 0 9 3 7 2],1543054,[4 2 3 1 0 8 9 7 5 6],1397789,[3 8 6 2 4 1 0 9 7 5],804747,[2 1 9 6 7 3 0 5 8 4]
30,940017,[2 6 3 5 7 4 1 8 9 0],2130718,[5 8 7 6 1 9 4 3 0 2],1610515,[4 3 9 5 7 8 6 0 2 1],2896934,[7 9 6 5 3 0 4 2 1 8],1050652,[2 9 0 5 3 6 1 8 4 7]
31,1340408,[3 7 1 9 6 0 4 5 2 8],2648958,[7 2 6 5 0 8 3 1 4 9],118013,[0 3 9 4 8 5 1 7 6 2],3555227,[9 7 1 3 6 8 2 5 4 0],666506,[1 8 5 2 7 3 0 6 4 9]
32,3210675,[8 7 5 0 2 6 1 4 9 3],1420204,[3 9 1 7 5 0 2 8 4 6],3092385,[8 4 6 3 9 7 1 2 5 0],3284487,[9 0 4 6 7 5 3 2 8 1],800327,[2 1 8 7 5 3 9 6 4 0]
33,3498775,[9 5 7 1 3 4 2 0 8 6],140829,[0 4 5 9 6 3 8 2 7 1],298619,[0 8 4 2 7 5 3 9 6 1],1205243,[3 2 9 0 8 6 4 7 5 1],1569302,[4 2 9 3 6 5 7 1 0 8]
34,2654655,[7 2 8 6 0 1 5 4 9 3],2650697,[7 2 6 9 4 0 5 8 3 1],862184,[2 4 5 0 6 9 3 7 1 8],2074246,[5 7 3 4 9 1 8 6 0 2],3127078,[8 5 4 3 0 9 7 6 1 2]
35,1193278,[3 2 6 8 1 9 7 5 0 4],2829003,[7 8 1 3 2 0 4 6 9 5],2706642,[7 4 1 0 3 5 9 2 6 8],423845,[1 2 6 0 8 3 4 9 7 5],1960641,[5 3 7 0 1 8 4 6 9 2]
36,2640317,[7 2 4 9 0 6 1 8 5 3],3471259,[9 5 0 7 2 1 8 3 6 4],774349,[2 1 3 7 5 9 6 0 8 4],1528873,[4 1 9 3 5 7 0 2 8 6],2552965,[7 0 3 5 8 6 4 1 9 2]
37,2775289,[7 5 8 4 3 2 0 1 9 6],1144259,[3 1 5 0 4 7 6 9 8 2],3181250,[8 6 9 1 3 4 0 5 2 7],398977,[1 0 9 3 2 8 4 5 7 6],3584523,[9 7 8 1 4 0 2 5 6 3]
38,321444,[0 8 9 6 3 5 4 1 2 7],2482373,[6 8 4 3 7 2 0 9 5 1],2932649,[8 0 6 9 1 5 4 7 3 2],1641080,[4 5 7 6 1 8 2 3 0 9],2462590,[6 8 0 5 2 4 9 7 1 3]
39,3578148,[9 7 5 8 3 6 2 0 1 4],3452996,[9 4 6 0 7 8 5 2 1 3],2088803,[5 7 8 3 0 6 2 9 4 1],2109944,[5 8 2 6 3 9 1 4 0 7],3273927,[9 0 2 6 1 7 5 4 8 3]
