99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,2442107,[6 7 4 3 8 9 1 5 2 0],2191880,[6 0 3 9 2 7 4 5 1 8],1631371,[4 5 3 7 8 6 9 0 2 1],189858,[0 5 7 6 8 1 9 2 3 4],1108224,[3 0 5 9 2 4 1 6 7 8],1144887,[3 1 5 2 0 8 7 6 9 4],2057582,[5 7 0 2 8 4 6 3 1 9],585720,[1 6 5 2 7 0 3 4 8 9],1277759,[3 5 7 4 6 9 8 2 1 0],1465735,[4 0 3 8 7 5 2 1 9 6],3257932,[8 9 6 2 7 3 0 5 1 4],1546267,[4 2 3 8 6 5 9 0 7 1],1930045,[5 2 8 9 4 6 3 0 7 1],1078200,[2 9 6 8 4 0 1 3 5 7],3122919,[8 5 3 6 2 1 7 4 9 0],2264005,[6 2 1 3 5 8 7 0 9 4],3239984,[8 9 2 6 7 5 1 3 0 4],1383686,[3 8 2 5 7 6 4 1 0 9],3002280,[8 2 4 6 9 0 1 3 5 7],161557,[0 5 1 2 6 4 8 3 9 7]
2,2902722,[7 9 8 6 3 1 5 0 2 4],243929,[0 7 1 4 8 6 5 9 3 2],1403249,[3 8 7 2 9 5 4 6 1 0],2218103,[6 1 0 2 8 3 9 7 5 4],2709966,[7 4 1 6 9 0 3 2 5 8],2274779,[6 2 4 3 5 7 1 9 8 0],3296628,[9 0 7 1 5 8 4 2 3 6],1466536,[4 0 3 9 8 1 6 7 2 5],2183589,[6 0 2 3 8 5 9 4 7 1],2846137,[7 8 4 5 9 6 0 1 3 2],1074993,[2 9 6 3 0 4 5 7 8 1],345344,[0 9 5 4 6 8 2 3 1 7],875550,[2 4 7 8 0 3 5 1 6 9],648785,[1 8 0 7 2 5 6 9 4 3],1171362,[3 2 0 5 9 4 8 1 6 7],721978,[1 9 8 2 6 4 3 7 0 5],641092,[1 7 9 2 4 5 0 8 3 6],1034073,[2 8 6 1 3 4 5 7 9 0],3323118,[9 1 4 3 5 7 2 0 6 8],1547822,[4 2 5 0 8 6 7 3 1 9]
3,1605035,[4 3 8 5 1 2 6 9 7 0],3244444,[8 9 3 6 1 0 2 7 4 5],299990,[0 8 4 5 6 9 3 2 1 7],1590505,[4 3 5 7 0 2 1 6 9 8],2411056,[6 5 8 2 7 0 4 9 1 3],2331182,[6 3 8 4 7 2 5 1 0 9],1704439,[4 7 2 1 3 8 5 0 9 6],1630445,[4 5 3 6 7 0 1 9 8 2],2732274,[7 4 8 0 6 9 5 1 2 3],2702592,[7 4 0 2 6 8 1 3 5 9],3544550,[9 6 8 1 7 5 3 2 0 4],2956874,[8 1 3 6 7 5 0 4 2 9],2206185,[6 0 7 8 1 9 3 4 5 2],2286379,[6 2 7 5 4 0 9 1 8 3],981794,[2 7 3 8 5 6 0 4 1 9],2225135,[6 1 2 5 4 8 9 7 3 0],812727,[2 3 1 4 8 7 6 5 9 0],2576862,[7 0 9 2 8 6 3 1 4 5],2866802,[7 9 0 6 5 1 2 4 3 8],2184449,[6 0 2 4 9 7 5 8 3 1]
4,1853517,[5 0 9 7 2 8 6 3 4 1],428446,[1 2 7 0 3 5 9 8 4 6],1292325,[3 6 0 4 9 2 8 5 7 1],2236757,[6 1 4 8 5 7 0 9 3 2],294467,[0 8 3 4 9 7 2 6 5 1],3037221,[8 3 2 6 4 0 9 5 7 1],2744649,[7 5 0 6 1 2 4 8 9 3],3075454,[8 4 2 1 5 7 9 6 0 3],3144400,[8 5 9 7 1 2 4 6 0 3],440550,[1 2 9 4 8 3 5 0 6 7],2243147,[6 1 7 0 4 9 3 8 5 2],3594370,[9 8 1 2 3 0 5 7 4 6],463012,[1 3 5 9 0 6 2 8 4 7],1769325,[4 8 9 0 3 2 7 5 6 1],1587588,[4 3 2 9 8 7 5 0 1 6],2528764,[6 9 5 7 1 0 2 8 3 4],1891290,[5 1 9 2 7 6 8 0 3 4],2412293,[6 5 8 4 2 3 0 9 7 1],2589788,[7 1 2 8 9 4 6 3 0 5],231815,[0 6 7 9 8 4 5 3 2 1]
5,1096018,[3 0 2 6 4 7 5 9 1 8],1387250,[3 8 4 1 7 5 0 6 2 9],834287,[2 3 7 5 8 1 9 6 4 0],954510,[2 6 7 3 8 1 4 0 5 9],2322032,[6 3 5 8 0 2 4 7 1 9],2719111,[7 4 3 5 6 1 2 0 9 8],2844537,[7 8 4 2 6 3 1 5 9 0],1191935,[3 2 6 5 4 8 9 7 1 0],2929431,[8 0 6 2 5 9 4 3 7 1],1299867,[3 6 1 9 4 2 0 7 8 5],2051671,[5 6 9 0 4 2 3 1 8 7],563305,[1 5 9 7 3 2 0 4 8 6],781354,[2 1 5 0 4 6 7 9 3 8],1479370,[4 0 7 5 8 1 3 9 2 6],712810,[1 9 6 4 0 2 5 8 3 7],2019087,[5 6 0 7 2 8 4 3 9 1],348493,[0 9 6 2 1 3 7 4 8 5],3211118,[8 7 5 0 9 2 4 3 1 6],3554758,[9 7 1 3 0 8 6 5 2 4],2147251,[5 9 2 0 3 7 8 1 6 4]
6,3040698,[8 3 4 2 1 0 9 5 6 7],42882,[0 2 1 6 7 4 9 3 5 8],1460589,[4 0 2 8 6 5 9 3 7 1],1540158,[4 2 1 7 0 8 5 3 6 9],2629829,[7 2 1 8 5 3 0 9 6 4],604435,[1 6 9 8 3 7 5 0 4 2],3001499,[8 2 4 5 7 3 1 9 6 0],2705130,[7 4 0 8 1 6 9 2 3 5],2089070,[5 7 8 3 2 9 4 1 0 6],1947055,[5 3 2 4 1 7 6 0 9 8],2232381,[6 1 3 9 5 0 8 4 7 2],1697830,[4 7 0 9 1 5 8 6 2 3],2852975,[7 8 6 0 3 5 9 4 2 1],1336739,[3 7 1 2 6 5 4 9 8 0],1995848,[5 4 6 0 1 2 7 8 3 9],1420552,[3 9 1 7 8 6 4 5 0 2],774548,[2 1 3 7 8 5 9 4 0 6],3446426,[9 4 3 7 6 1 0 5 2 8],689698,[1 9 0 7 8 4 3 6 2 5],954490,[2 6 7 3 8 0 4 9 1 5]
7,807974,[2 3 0 5 4 1 8 7 6 9],1311903,[3 6 5 2 0 7 8 4 9 1],1245349,[3 4 9 0 6 8 5 1 7 2],945656,[2 6 4 7 3 5 1 8 0 9],240255,[0 6 9 5 7 1 4 3 8 2],2334927,[6 3 9 1 8 5 4 2 7 0],107471,[0 3 7 4 2 6 9 8 5 1],3578161,[9 7 5 8 4 0 1 2 6 3],1658283,[4 6 1 0 3 2 5 8 9 7],219385,[0 6 4 5 8 2 1 3 9 7],2889696,[7 9 5 2 3 8 0 1 4 6],3445430,[9 4 3 6 1 8 5 2 0 7],503114,[1 4 5 8 7 6 0 3 2 9],2343867,[6 4 1 0 5 3 2 8 9 7],559729,[1 5 9 0 4 6 2 3 8 7],1238749,[3 4 7 8 2 9 5 0 6 1],918500,[2 5 8 1 7 0 9 4 3 6],1163416,[3 1 8 7 9 0 5 6 2 4],1420238,[3 9 1 7 5 2 6 4 0 8],616105,[1 7 3 2 8 4 0 5 9 6]
