2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,19977,[0 1 5 9 7 4 3 6 8 2],1715750,[4 7 5 2 9 8 3 1 0 6],477959,[1 3 8 7 6 9 5 4 2 0],355288,[0 9 7 4 3 6 5 8 1 2],1145272,[3 1 5 2 7 9 6 8 0 4],1712546,[4 7 3 8 5 1 0 6 2 9],2103063,[5 8 1 2 9 4 6 3 7 0],1404122,[3 8 7 5 1 0 2 6 4 9],1185639,[3 2 5 1 8 4 7 6 9 0],313229,[0 8 7 2 1 4 3 9 6 5],299848,[0 8 4 5 3 7 6 9 1 2],1205715,[3 2 9 1 6 7 0 5 8 4],2536396,[6 9 8 1 5 4 0 7 2 3],1354112,[3 7 5 6 8 1 2 4 0 9],3116178,[8 5 2 3 0 1 9 4 6 7],3023278,[8 2 9 6 7 5 4 3 0 1],448910,[1 3 2 0 6 9 7 5 4 8],373208,[1 0 4 2 6 3 7 8 5 9],837409,[2 3 8 1 0 6 4 5 9 7],1690468,[4 6 9 2 8 1 0 7 3 5]
2,29777,[0 1 7 9 4 2 6 8 5 3],1660151,[4 6 1 3 8 5 9 7 2 0],514139,[1 4 8 0 2 6 5 9 7 3],380501,[1 0 5 6 4 9 2 8 7 3],1134193,[3 1 2 0 5 8 4 6 9 7],1712765,[4 7 3 8 9 0 1 6 5 2],2130378,[5 8 7 4 9 0 6 1 2 3],1447195,[3 9 8 0 7 6 5 1 4 2],1193962,[3 2 6 9 1 7 4 8 0 5],263254,[0 7 5 2 6 8 9 4 1 3],356515,[0 9 7 6 1 8 5 2 4 3],1158684,[3 1 7 9 2 6 5 0 4 8],2551915,[7 0 3 4 2 9 8 1 6 5],1365656,[3 7 8 9 5 2 1 4 0 6],3092249,[8 4 6 3 7 5 2 9 1 0],3046489,[8 3 5 4 1 6 0 2 9 7],447228,[1 3 0 8 2 9 6 4 5 7],398830,[1 0 9 2 8 5 7 6 3 4],860558,[2 4 3 8 1 5 7 6 0 9],1716174,[4 7 5 3 6 2 1 0 8 9]
3,79403,[0 2 9 7 3 6 4 8 5 1],1663542,[4 6 2 0 5 9 3 1 7 8],495240,[1 4 3 2 9 0 5 6 7 8],378470,[1 0 5 2 7 9 6 4 3 8],1153287,[3 1 6 8 7 5 4 2 9 0],1683600,[4 6 8 0 3 1 2 5 7 9],2090163,[5 7 8 6 0 1 2 4 9 3],1450732,[3 9 8 6 7 2 0 5 1 4],1225575,[3 4 5 1 2 0 8 7 9 6],276153,[0 7 8 6 4 2 3 5 9 1],307565,[0 8 6 1 3 2 4 9 7 5],1196336,[3 2 7 4 6 5 1 8 0 9],2539197,[6 9 8 5 3 7 4 1 2 0],1318297,[3 6 7 4 9 8 0 1 5 2],3058663,[8 3 7 9 0 6 2 1 5 4],3040187,[8 3 4 1 5 9 2 7 6 0],448714,[1 3 2 0 5 6 7 9 4 8],388542,[1 0 7 2 6 9 4 3 5 8],805704,[2 1 9 8 0 4 3 5 6 7],1725810,[4 7 8 2 9 5 6 0 1 3]
4,31042,[0 1 8 3 2 7 5 9 4 6],1685544,[4 6 8 3 0 2 1 5 7 9],541184,[1 5 4 3 7 9 2 6 0 8],366034,[1 0 2 7 5 4 6 9 3 8],1126765,[3 0 9 5 8 6 4 1 7 2],1691622,[4 6 9 5 2 8 1 0 3 7],2108984,[5 8 2 4 0 9 3 6 1 7],1435574,[3 9 5 7 8 0 4 2 1 6],1208795,[3 2 9 7 8 1 4 6 5 0],303603,[0 8 5 2 7 1 3 6 9 4],325882,[0 9 1 6 5 7 3 8 2 4],1177815,[3 2 1 7 9 0 6 5 8 4],2571029,[7 0 8 1 9 3 2 6 5 4],1309275,[3 6 4 8 2 7 0 5 9 1],3073401,[8 4 1 7 5 6 2 3 9 0],3074536,[8 4 2 0 3 1 7 9 5 6],421994,[1 2 5 8 0 7 3 6 4 9],389527,[1 0 7 4 2 3 6 5 9 8],816451,[2 3 1 9 8 6 7 0 5 4],1683391,[4 6 8 0 1 3 5 2 9 7]
5,23336,[0 1 6 7 4 5 3 8 2 9],1681669,[4 6 7 5 3 9 2 0 8 1],503823,[1 4 5 9 7 3 6 2 8 0],323229,[0 9 1 2 8 5 7 4 6 3],1111787,[3 0 6 7 1 9 4 8 5 2],1726071,[4 7 8 3 1 9 5 2 6 0],2130802,[5 8 7 6 2 4 1 9 0 3],1446320,[3 9 7 8 5 4 1 2 0 6],1204202,[3 2 8 9 5 0 1 6 4 7],288459,[0 8 2 3 6 9 1 5 7 4],337960,[0 9 4 1 5 3 7 8 2 6],1206136,[3 2 9 4 1 0 7 8 5 6],2565774,[7 0 6 1 5 4 3 2 8 9],1345158,[3 7 2 9 1 6 4 0 5 8],3073364,[8 4 1 7 5 2 9 3 0 6],3046707,[8 3 5 4 6 1 0 7 9 2],439099,[1 2 9 0 8 3 7 4 6 5],400818,[1 0 9 5 7 2 8 3 4 6],832986,[2 3 7 1 9 5 8 0 4 6],1680279,[4 6 7 2 8 1 5 3 9 0]
6,76035,[0 2 9 1 6 7 3 5 8 4],1688939,[4 6 9 0 7 3 2 8 5 1],512196,[1 4 7 6 3 2 8 0 5 9],339508,[0 9 4 3 6 2 1 8 5 7],1131052,[3 1 0 5 9 6 2 8 4 7],1699581,[4 7 1 2 6 0 9 5 8 3],2106165,[5 8 1 9 2 3 7 4 6 0],1380554,[3 8 1 9 4 6 0 5 2 7],1219611,[3 4 1 9 8 5 0 6 7 2],276826,[0 7 8 9 3 6 2 5 1 4],309835,[0 8 6 4 2 9 7 1 5 3],1183859,[3 2 4 9 1 6 5 8 7 0],2533736,[6 9 7 5 0 3 2 4 1 8],1318506,[3 6 7 5 1 4 9 0 2 8],3100332,[8 4 9 1 0 2 6 3 5 7],3020310,[8 2 9 1 7 3 4 0 5 6],430561,[1 2 7 5 0 3 4 6 9 8],433377,[1 2 7 9 8 4 3 5 6 0],865395,[2 4 5 7 9 6 0 3 8 1],1665993,[4 6 2 5 9 1 3 7 8 0]
7,26997,[0 1 7 4 5 9 8 3 6 2],1689741,[4 6 9 1 8 0 7 3 5 2],491589,[1 4 2 6 8 5 9 3 7 0],341925,[0 9 4 7 8 2 6 3 5 1],1099523,[3 0 4 2 1 8 6 9 7 5],1680252,[4 6 7 2 8 0 5 1 3 9],2130891,[5 8 7 6 3 2 0 4 9 1],1432450,[3 9 5 1 6 0 4 8 2 7],1197531,[3 2 7 6 1 5 0 8 9 4],270127,[0 7 6 5 2 1 4 3 9 8],344177,[0 9 5 3 1 2 7 8 6 4],1179449,[3 2 4 0 1 8 7 9 6 5],2520992,[6 9 4 1 3 2 5 7 0 8],1328490,[3 6 9 5 0 7 8 1 2 4],3085611,[8 4 5 1 6 3 0 7 9 2],3062773,[8 3 9 5 7 0 4 1 6 2],451852,[1 3 2 7 6 5 0 9 4 8],381556,[1 0 5 7 9 6 2 8 3 4],807609,[2 3 0 4 8 1 6 7 9 5],1715947,[4 7 5 3 1 6 9 0 8 2]
