70%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,2759,[3 5 6 4 2 1 0]
2,3184,[4 2 3 5 6 0 1]
3,1362,[1 6 2 5 0 3 4]
4,896,[1 2 4 3 5 0 6]
5,732,[1 0 2 5 3 4 6]
6,2465,[3 2 4 5 6 1 0]
7,790,[1 0 4 6 5 2 3]
8,1261,[1 5 3 4 0 6 2]
9,2329,[3 1 4 0 2 6 5]
10,608,[0 6 1 3 4 2 5]
11,2201,[3 0 2 5 6 4 1]
12,3097,[4 1 6 0 2 5 3]
13,2690,[3 5 2 0 4 1 6]
14,3394,[4 5 1 2 6 0 3]
15,3372,[4 5 0 3 1 2 6]
16,617,[0 6 1 4 5 3 2]
17,1745,[2 3 4 5 6 1 0]
18,3275,[4 3 1 2 6 5 0]
19,1117,[1 4 2 5 0 6 3]
20,2184,[3 0 2 1 4 5 6]
21,1066,[1 3 6 2 5 0 4]
22,1303,[1 5 6 2 0 4 3]
23,2366,[3 1 5 4 2 0 6]
24,3383,[4 5 0 6 3 2 1]
25,206,[0 2 5 4 3 1 6]
26,1415,[1 6 4 5 3 2 0]
27,657,[0 6 3 2 4 5 1]
28,411,[0 4 3 1 5 6 2]
29,1164,[1 4 5 3 0 2 6]
30,2612,[3 4 5 6 1 0 2]
31,300,[0 3 4 5 1 2 6]
32,2377,[3 1 6 0 2 5 4]
33,934,[1 2 5 6 4 0 3]
34,2400,[3 2 0 1 4 5 6]
35,2879,[3 6 5 4 2 1 0]
36,1984,[2 5 3 4 6 0 1]
37,2228,[3 0 4 6 2 1 5]
38,2687,[3 5 1 6 4 2 0]
39,2069,[2 6 1 0 5 4 3]
40,863,[1 2 0 6 5 4 3]
41,1716,[2 3 1 5 0 4 6]
42,2658,[3 5 0 6 1 2 4]
43,2728,[3 5 4 2 6 0 1]
44,881,[1 2 3 5 6 4 0]
45,3545,[4 6 2 3 5 1 0]
46,2331,[3 1 4 0 5 6 2]
47,2164,[3 0 1 2 6 4 5]
48,1840,[2 4 1 5 6 0 3]
49,3416,[4 5 2 1 3 0 6]
50,1175,[1 4 5 6 3 2 0]
51,3406,[4 5 1 6 3 0 2]
52,206,[0 2 5 4 3 1 6]
53,2455,[3 2 4 1 0 6 5]
54,2280,[3 1 0 2 4 5 6]
55,3435,[4 5 3 0 2 6 1]
56,1583,[2 1 0 6 5 4 3]
57,945,[1 2 6 3 4 5 0]
58,1633,[2 1 5 0 3 6 4]
59,680,[0 6 4 2 3 1 5]
60,2971,[4 0 5 6 1 3 2]
61,1935,[2 5 0 4 3 6 1]
62,780,[1 0 4 5 2 3 6]
63,325,[0 3 5 4 1 6 2]
64,3371,[4 5 0 2 6 3 1]
65,486,[0 5 1 3 2 4 6]
66,3479,[4 5 6 3 2 1 0]
67,2290,[3 1 0 4 6 2 5]
68,131,[0 2 1 4 6 5 3]
69,642,[0 6 2 5 1 3 4]
70,1514,[2 0 5 1 4 3 6]
71,2044,[2 6 0 1 5 3 4]
72,2712,[3 5 4 0 1 2 6]
73,1333,[1 6 0 4 2 5 3]
74,167,[0 2 3 6 5 4 1]
75,594,[0 5 6 4 1 2 3]
76,2062,[2 6 0 5 4 1 3]
77,2229,[3 0 4 6 2 5 1]
78,1611,[2 1 4 0 5 6 3]
79,3493,[4 6 0 3 1 5 2]
80,1665,[2 1 6 3 4 5 0]
81,2905,[4 0 2 1 3 6 5]
82,2472,[3 2 5 0 1 4 6]
83,173,[0 2 4 1 6 5 3]
84,3644,[5 0 2 6 3 1 4]
85,2861,[3 6 5 0 4 2 1]
86,3561,[4 6 3 1 2 5 0]
87,3577,[4 6 5 0 1 3 2]
88,2308,[3 1 2 0 6 4 5]
89,2619,[3 4 6 0 2 5 1]
90,1423,[1 6 5 2 0 4 3]
91,1166,[1 4 5 3 2 0 6]
92,721,[1 0 2 3 4 6 5]
93,2134,[2 6 4 5 3 0 1]
94,2752,[3 5 6 2 4 0 1]
95,2583,[3 4 2 5 1 6 0]
96,1063,[1 3 6 2 0 5 4]
97,2562,[3 4 1 6 0 2 5]
98,3012,[4 1 0 5 2 3 6]
99,522,[0 5 2 6 1 3 4]
100,355,[0 3 6 5 1 4 2]
1,380,[0 4 1 6 3 2 5]
2,1874,[2 4 5 0 3 1 6]
3,1324,[1 6 0 2 5 3 4]
4,2029,[2 5 6 3 0 4 1]
5,2785,[3 6 1 0 2 5 4]
6,820,[1 0 6 2 5 3 4]
7,2663,[3 5 0 6 4 2 1]
8,2201,[3 0 2 5 6 4 1]
9,1813,[2 4 0 5 1 6 3]
10,1499,[2 0 4 3 6 5 1]
11,3008,[4 1 0 3 5 2 6]
12,2988,[4 0 6 3 1 2 5]
13,1795,[2 3 6 5 0 4 1]
14,2669,[3 5 1 0 6 4 2]
15,356,[0 3 6 5 2 1 4]
16,3117,[4 1 6 5 2 3 0]
17,531,[0 5 3 1 4 6 2]
18,315,[0 3 5 1 4 6 2]
19,637,[0 6 2 4 1 5 3]
20,579,[0 5 6 1 3 4 2]
21,3556,[4 6 3 0 5 1 2]
22,3637,[5 0 2 4 1 6 3]
23,1452,[2 0 1 5 3 4 6]
24,2874,[3 6 5 4 0 1 2]
25,474,[0 4 6 5 1 2 3]
26,1449,[2 0 1 4 5 6 3]
27,705,[0 6 5 2 3 4 1]
28,2235,[3 0 5 1 4 6 2]
29,1452,[2 0 1 5 3 4 6]
30,3186,[4 2 3 6 0 1 5]
31,3155,[4 2 1 3 6 5 0]
32,2871,[3 6 5 2 1 4 0]
33,1216,[1 5 0 4 6 2 3]
34,3426,[4 5 2 6 0 1 3]
35,1624,[2 1 4 5 6 0 3]
36,1158,[1 4 5 2 0 3 6]
37,1274,[1 5 4 0 3 2 6]
38,2001,[2 5 4 1 3 6 0]
39,986,[1 3 2 0 5 4 6]
40,2167,[3 0 1 4 2 6 5]
41,1024,[1 3 4 5 6 0 2]
42,1502,[2 0 4 5 3 1 6]
43,622,[0 6 1 5 4 2 3]
44,1246,[1 5 2 6 4 0 3]
45,2069,[2 6 1 0 5 4 3]
46,1833,[2 4 1 3 5 6 0]
47,2581,[3 4 2 5 0 6 1]
48,3119,[4 1 6 5 3 2 0]
49,2686,[3 5 1 6 4 0 2]
50,3120,[4 2 0 1 3 5 6]
51,659,[0 6 3 2 5 4 1]
52,2456,[3 2 4 1 5 0 6]
53,2501,[3 2 6 0 5 4 1]
54,3597,[4 6 5 3 1 2 0]
55,257,[0 3 1 5 6 4 2]
56,362,[0 4 1 2 5 3 6]
57,548,[0 5 3 6 2 1 4]
58,2105,[2 6 3 4 5 1 0]
59,1681,[2 3 0 1 4 6 5]
60,1462,[2 0 1 6 5 3 4]
61,306,[0 3 4 6 1 2 5]
62,555,[0 5 4 1 3 6 2]
63,875,[1 2 3 4 6 5 0]
64,2282,[3 1 0 2 5 4 6]
65,1999,[2 5 4 1 0 6 3]
66,284,[0 3 2 6 4 1 5]
67,1899,[2 4 6 0 3 5 1]
68,2023,[2 5 6 1 0 4 3]
69,1171,[1 4 5 6 0 3 2]
70,2689,[3 5 2 0 1 6 4]
71,1970,[2 5 3 0 4 1 6]
72,2184,[3 0 2 1 4 5 6]
73,2902,[4 0 1 6 5 2 3]
74,2125,[2 6 4 3 0 5 1]
75,3209,[4 2 5 3 6 1 0]
76,2181,[3 0 1 6 4 5 2]
77,3141,[4 2 0 6 3 5 1]
78,216,[0 2 6 1 3 4 5]
79,932,[1 2 5 6 3 0 4]
80,2296,[3 1 0 5 6 2 4]
81,2522,[3 4 0 1 5 2 6]
82,1240,[1 5 2 4 6 0 3]
83,3203,[4 2 5 1 6 3 0]
84,1987,[2 5 3 6 0 4 1]
85,2653,[3 5 0 4 1 6 2]
86,826,[1 0 6 3 5 2 4]
87,497,[0 5 1 4 6 3 2]
88,1273,[1 5 4 0 2 6 3]
89,3262,[4 3 0 6 5 1 2]
90,1565,[2 1 0 3 6 5 4]
91,737,[1 0 2 5 6 4 3]
92,2824,[3 6 2 4 5 0 1]
93,447,[0 4 5 3 2 6 1]
94,3178,[4 2 3 1 6 0 5]
95,2051,[2 6 0 3 5 4 1]
96,596,[0 5 6 4 2 1 3]
97,754,[1 0 3 4 6 2 5]
98,1995,[2 5 4 0 3 6 1]
99,2902,[4 0 1 6 5 2 3]
100,1932,[2 5 0 4 1 3 6]
1,3588,[4 6 5 2 0 1 3]
2,685,[0 6 4 3 1 5 2]
3,2075,[2 6 1 3 5 4 0]
4,3652,[5 0 3 1 6 2 4]
5,1277,[1 5 4 0 6 3 2]
6,2129,[2 6 4 3 5 1 0]
7,3208,[4 2 5 3 6 0 1]
8,503,[0 5 1 6 4 3 2]
9,515,[0 5 2 3 6 4 1]
10,1765,[2 3 5 4 0 6 1]
11,699,[0 6 5 1 3 4 2]
12,206,[0 2 5 4 3 1 6]
13,1300,[1 5 6 0 4 2 3]
14,3039,[4 1 2 5 3 6 0]
15,2595,[3 4 5 0 2 6 1]
16,2657,[3 5 0 4 6 2 1]
17,1006,[1 3 2 6 5 0 4]
18,2543,[3 4 0 6 5 2 1]
19,3283,[4 3 1 6 0 5 2]
20,1300,[1 5 6 0 4 2 3]
21,3421,[4 5 2 3 0 6 1]
22,753,[1 0 3 4 5 6 2]
23,2416,[3 2 0 5 6 1 4]
24,3261,[4 3 0 6 2 5 1]
25,2078,[2 6 1 4 3 0 5]
26,2801,[3 6 1 4 5 2 0]
27,1864,[2 4 3 5 6 0 1]
28,3378,[4 5 0 6 1 2 3]
29,348,[0 3 6 4 1 2 5]
30,2740,[3 5 6 0 4 1 2]
31,1553,[2 0 6 4 5 3 1]
32,1273,[1 5 4 0 2 6 3]
33,1085,[1 4 0 2 6 5 3]
34,2654,[3 5 0 4 2 1 6]
35,2362,[3 1 5 2 6 0 4]
36,1964,[2 5 1 6 3 0 4]
37,2820,[3 6 2 4 0 1 5]
38,3206,[4 2 5 3 1 0 6]
39,836,[1 0 6 5 3 2 4]
40,651,[0 6 3 1 4 5 2]
41,1272,[1 5 4 0 2 3 6]
42,3648,[5 0 3 1 2 4 6]
43,885,[1 2 3 6 4 5 0]
44,1623,[2 1 4 5 3 6 0]
45,992,[1 3 2 4 5 0 6]
46,521,[0 5 2 4 6 3 1]
47,1650,[2 1 5 6 0 3 4]
48,1062,[1 3 6 2 0 4 5]
49,710,[0 6 5 3 2 1 4]
50,3049,[4 1 3 0 2 6 5]
51,3245,[4 3 0 1 6 5 2]
52,1865,[2 4 3 5 6 1 0]
53,2367,[3 1 5 4 2 6 0]
54,1729,[2 3 4 0 1 6 5]
55,2165,[3 0 1 2 6 5 4]
56,2962,[4 0 5 2 6 1 3]
57,1924,[2 5 0 1 6 3 4]
58,2468,[3 2 4 6 1 0 5]
59,1700,[2 3 0 6 4 1 5]
60,2131,[2 6 4 5 0 3 1]
61,156,[0 2 3 5 1 4 6]
62,3484,[4 6 0 1 5 2 3]
63,430,[0 4 3 6 5 1 2]
64,1430,[1 6 5 3 2 0 4]
65,210,[0 2 5 6 1 3 4]
66,3081,[4 1 5 2 3 6 0]
67,2912,[4 0 2 3 5 1 6]
68,2300,[3 1 0 6 4 2 5]
69,804,[1 0 5 4 2 3 6]
70,757,[1 0 3 5 2 6 4]
71,3492,[4 6 0 3 1 2 5]
