10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,429482,[1 2 7 3 6 0 4 8 5 9],413277,[1 2 3 9 8 7 6 4 5 0],462394,[1 3 5 8 2 4 6 9 0 7],605608,[1 7 0 3 2 8 6 9 4 5],1052885,[2 9 0 8 4 1 3 7 6 5],1544622,[4 2 3 6 1 9 5 0 7 8],2149366,[5 9 2 4 1 3 8 7 0 6],1374369,[3 8 0 6 9 1 4 5 7 2],1133337,[3 1 0 9 2 6 5 7 8 4],290338,[0 8 2 6 3 5 4 9 1 7]
2,310986,[0 8 6 5 9 3 7 1 2 4],373125,[1 0 4 2 5 6 9 7 8 3],534721,[1 5 3 0 8 2 4 6 9 7],514390,[1 4 8 0 5 6 9 7 2 3],1092802,[3 0 1 8 7 6 4 9 2 5],1804113,[4 9 6 8 5 1 2 3 7 0],1968510,[5 3 8 6 0 2 4 1 7 9],1569934,[4 2 9 5 3 7 8 6 0 1],1310462,[3 6 5 0 1 7 8 4 2 9],420676,[1 2 5 6 3 8 0 9 4 7]
3,468643,[1 3 6 9 8 2 7 0 5 4],356812,[0 9 7 6 4 3 1 8 2 5],487867,[1 4 0 8 6 5 9 2 7 3],546501,[1 5 6 4 0 2 9 7 8 3],1263049,[3 5 2 7 1 6 0 4 9 8],1631414,[4 5 3 7 9 0 6 2 1 8],2120523,[5 8 4 7 1 0 2 6 9 3],1514617,[4 1 6 5 7 9 0 2 8 3],1315901,[3 6 7 0 5 9 1 8 4 2],475686,[1 3 8 4 7 0 5 2 6 9]
4,334946,[0 9 3 5 2 4 1 7 6 8],422705,[1 2 5 9 0 6 7 8 4 3],754663,[2 0 7 8 1 9 4 3 6 5],375301,[1 0 4 6 3 7 8 2 9 5],1273882,[3 5 6 8 1 7 2 9 0 4],1764658,[4 8 7 0 9 3 2 6 1 5],2034016,[5 6 3 7 0 1 8 9 2 4],1595221,[4 3 6 5 7 2 8 0 9 1],1329646,[3 6 9 7 5 1 8 4 0 2],269400,[0 7 6 4 2 1 3 5 8 9]
5,278147,[0 7 9 2 3 8 4 6 5 1],410175,[1 2 3 5 8 0 7 6 9 4],655723,[1 8 3 0 7 4 9 2 6 5],514101,[1 4 8 0 2 3 9 6 7 5],1287504,[3 5 9 4 1 2 0 6 7 8],1585972,[4 3 2 7 8 5 0 9 1 6],1938759,[5 3 0 7 8 2 6 4 9 1],1331334,[3 7 0 2 1 6 5 4 8 9],1265348,[3 5 4 0 6 7 9 2 1 8],328538,[0 9 2 3 4 8 1 6 5 7]
6,243329,[0 7 1 3 9 6 5 8 4 2],317902,[0 8 9 1 5 2 7 6 3 4],715199,[1 9 6 8 2 7 5 4 3 0],519188,[1 4 9 0 2 6 8 5 3 7],1191997,[3 2 6 5 7 1 8 0 9 4],1782625,[4 9 1 6 8 2 0 3 7 5],2118331,[5 8 4 2 0 7 9 1 6 3],1388471,[3 8 4 5 2 6 9 7 1 0],1198356,[3 2 7 8 4 1 6 0 5 9],513452,[1 4 7 9 0 6 8 3 2 5]
7,320004,[0 8 9 4 3 6 5 1 2 7],333876,[0 9 3 2 7 4 6 1 5 8],676826,[1 8 7 3 0 4 2 6 5 9],393374,[1 0 8 2 5 3 7 6 4 9],1254149,[3 5 0 8 9 2 1 7 6 4],1892820,[5 1 9 4 8 3 6 0 2 7],1940184,[5 3 0 9 7 2 1 4 6 8],1416878,[3 9 1 0 8 4 6 5 2 7],1305285,[3 6 2 9 8 1 7 4 5 0],448994,[1 3 2 0 7 8 4 6 5 9]
8,471709,[1 3 7 6 0 9 5 2 8 4],285944,[0 8 1 7 2 9 4 5 3 6],690249,[1 9 0 8 6 2 4 5 7 3],363856,[1 0 2 4 6 3 8 9 5 7],1227585,[3 4 5 6 9 8 1 2 7 0],1629354,[4 5 3 1 9 8 7 0 2 6],2166295,[5 9 6 7 4 2 1 0 8 3],1546305,[4 2 3 8 6 9 1 5 7 0],1218091,[3 4 1 7 8 6 9 0 5 2],422263,[1 2 5 8 4 9 3 0 7 6]
9,157964,[0 4 9 3 5 2 8 6 1 7],477430,[1 3 8 7 0 5 9 6 2 4],457378,[1 3 4 8 2 6 5 9 0 7],604112,[1 6 9 8 0 3 4 5 2 7],1059208,[2 9 3 1 0 7 6 8 4 5],1688704,[4 6 9 0 3 5 7 8 1 2],2145104,[5 9 1 6 2 8 3 4 0 7],1512658,[4 1 6 0 9 5 3 8 2 7],1257079,[3 5 1 4 9 7 2 0 8 6],379447,[1 0 5 4 2 3 7 6 9 8]
10,231574,[0 6 7 9 4 5 8 3 1 2],201371,[0 5 9 8 6 1 3 7 4 2],517459,[1 4 8 6 7 0 9 2 5 3],654881,[1 8 2 9 5 3 6 7 4 0],1256642,[3 5 1 4 6 0 2 8 7 9],1814135,[4 9 8 7 3 5 6 2 1 0],1968005,[5 3 8 4 2 0 1 9 7 6],1424336,[3 9 2 6 1 5 4 7 0 8],1094510,[3 0 2 4 1 9 7 6 5 8],590665,[1 6 7 2 4 3 0 5 9 8]
11,371159,[1 0 3 7 5 9 8 6 4 2],126727,[0 4 2 3 1 5 7 6 9 8],661185,[1 8 4 2 3 9 5 6 7 0],588053,[1 6 5 7 8 3 0 9 4 2],1011542,[2 8 0 6 9 4 5 3 1 7],1829450,[5 0 3 9 8 4 1 6 2 7],1974479,[5 3 9 7 1 8 6 4 2 0],1279858,[3 5 7 9 4 2 1 8 0 6],1192139,[3 2 6 5 8 4 1 9 7 0],262965,[0 7 5 2 3 4 9 6 8 1]
12,342924,[0 9 5 1 3 7 6 2 4 8],167095,[0 5 2 3 1 7 6 4 9 8],567705,[1 6 0 7 4 9 3 5 8 2],640020,[1 7 8 9 6 3 4 0 2 5],1185633,[3 2 5 1 8 4 6 7 9 0],1889946,[5 1 8 9 7 3 6 0 2 4],1969039,[5 3 8 6 7 4 1 0 9 2],1306830,[3 6 4 2 0 5 7 1 8 9],1381192,[3 8 2 0 4 9 6 7 1 5],487079,[1 4 0 7 5 9 8 6 3 2]
13,179189,[0 5 4 6 9 2 1 8 7 3],175447,[0 5 3 8 7 1 4 2 9 6],659358,[1 8 3 7 6 5 2 0 4 9],577098,[1 6 3 5 7 0 9 2 4 8],1318111,[3 6 7 4 8 1 2 0 9 5],1736021,[4 8 0 5 1 9 2 7 6 3],2129197,[5 8 7 3 1 2 6 0 9 4],1601426,[4 3 7 8 1 2 0 6 5 9],1202283,[3 2 8 5 9 0 1 6 7 4],570176,[1 6 2 0 9 5 4 7 3 8]
14,160101,[0 4 9 7 3 1 8 5 6 2],271708,[0 7 6 9 3 2 1 8 4 5],458201,[1 3 4 9 5 2 7 8 6 0],485112,[1 4 0 3 8 7 2 5 6 9],1084323,[2 9 8 1 0 3 4 6 7 5],1571236,[4 2 9 7 1 6 0 8 3 5],2180877,[6 0 1 7 9 8 5 3 4 2],1430236,[3 9 4 7 2 6 0 8 1 5],1256291,[3 5 1 2 9 0 6 8 7 4],313172,[0 8 7 1 9 5 6 3 2 4]
15,366886,[1 0 2 8 6 4 9 7 3 5],134736,[0 4 3 8 1 9 2 5 6 7],473503,[1 3 7 9 5 8 2 0 6 4],614877,[1 7 2 9 8 6 5 3 4 0],1341799,[3 7 2 1 6 8 4 0 9 5],1625362,[4 5 2 6 3 8 1 9 0 7],2189120,[6 0 3 4 5 8 2 7 1 9],1303291,[3 6 2 7 0 8 9 1 5 4],1285727,[3 5 9 0 7 2 8 6 4 1],489356,[1 4 2 0 7 9 8 5 3 6]
16,319213,[0 8 9 3 4 1 6 2 7 5],244851,[0 7 1 6 2 5 3 8 9 4],439742,[1 2 9 3 7 5 6 4 0 8],306987,[0 8 5 9 3 2 1 6 7 4],1101147,[3 0 4 6 5 2 1 8 9 7],1583362,[4 3 2 1 0 8 6 9 5 7],2198147,[6 0 5 1 9 8 3 7 4 2],1528205,[4 1 9 2 6 0 3 8 7 5],1207361,[3 2 9 5 8 1 6 7 4 0],242208,[0 7 1 2 5 6 3 4 8 9]
17,358422,[0 9 8 1 6 7 3 2 4 5],288095,[0 8 2 3 1 7 9 6 5 4],570352,[1 6 2 3 0 9 7 8 4 5],608620,[1 7 0 8 3 9 2 6 4 5],1171555,[3 2 0 6 1 9 8 4 7 5],1611678,[4 3 9 7 2 6 1 0 5 8],2150460,[5 9 2 6 7 3 4 0 1 8],1408370,[3 8 9 4 0 5 1 6 2 7],1118835,[3 0 7 9 8 5 1 4 6 2],285323,[0 8 1 6 3 7 4 9 5 2]
18,145184,[0 4 6 8 5 9 2 3 1 7],446376,[1 3 0 6 9 8 2 4 5 7],725771,[2 0 1 3 4 5 7 9 8 6],388409,[1 0 7 2 5 8 6 9 4 3],1025191,[2 8 4 3 9 1 5 0 7 6],1734091,[4 8 0 1 5 7 9 2 6 3],2218474,[6 1 0 3 4 5 7 9 2 8],1346758,[3 7 4 1 5 9 8 6 0 2],1231373,[3 4 6 2 1 7 0 9 8 5],335414,[0 9 3 5 8 1 6 4 2 7]
