98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,2232906,[6 1 4 0 3 7 9 2 5 8],580367,[1 6 4 2 0 5 9 8 7 3],2773706,[7 5 8 2 3 1 0 6 4 9],2304077,[6 3 1 2 0 8 4 9 7 5],2745365,[7 5 0 8 1 2 3 9 6 4],914581,[2 5 7 4 1 6 8 0 9 3],1532031,[4 1 9 8 6 7 3 2 5 0],3240254,[8 9 2 7 3 0 5 4 1 6],3383229,[9 2 8 1 7 4 6 3 5 0],707946,[1 9 5 4 2 6 8 0 3 7]
2,646503,[1 8 0 3 9 5 6 4 7 2],1350073,[3 7 4 9 0 6 1 2 8 5],2211075,[6 0 8 5 9 4 1 3 7 2],1975122,[5 3 9 8 1 2 7 0 4 6],743453,[2 0 5 6 7 4 1 9 8 3],523664,[1 4 9 8 2 7 3 5 0 6],3388696,[9 3 0 4 6 1 7 8 2 5],805745,[2 1 9 8 0 5 6 7 4 3],3320066,[9 1 3 7 2 4 0 6 5 8],1322763,[3 6 8 4 1 0 2 7 9 5]
3,2080846,[5 7 4 9 0 2 8 6 1 3],2236679,[6 1 4 8 3 9 7 5 2 0],2890139,[7 9 5 3 0 4 2 8 6 1],2574310,[7 0 8 6 3 4 9 5 1 2],2639317,[7 2 4 6 8 1 5 0 9 3],930134,[2 6 0 5 9 1 7 4 3 8],2593780,[7 1 3 6 4 9 0 8 2 5],2134658,[5 8 9 3 6 7 0 2 1 4],1705049,[4 7 2 3 0 8 6 9 5 1],3369954,[9 2 5 6 3 8 7 0 1 4]
4,48042,[0 2 3 6 8 4 9 1 5 7],3143747,[8 5 9 6 1 7 2 4 3 0],2287246,[6 2 7 8 5 1 9 4 0 3],310255,[0 8 6 4 9 3 2 1 7 5],321209,[0 8 9 6 1 5 4 7 3 2],3194220,[8 7 1 6 3 4 5 0 2 9],3277715,[9 0 3 4 5 2 6 8 7 1],3374212,[9 2 6 4 3 5 0 8 1 7],3429921,[9 4 0 5 7 6 2 3 8 1],80657,[0 3 1 2 4 5 8 9 7 6]
5,1251974,[3 5 0 4 9 1 7 6 2 8],2039992,[5 6 4 8 1 9 3 7 0 2],122682,[0 4 1 5 6 3 9 2 7 8],3407162,[9 3 5 0 2 1 4 7 6 8],2795288,[7 6 2 5 3 0 4 8 1 9],289243,[0 8 2 4 7 3 9 1 6 5],1997304,[5 4 6 2 0 3 1 7 8 9],1527690,[4 1 9 0 7 6 8 2 3 5],388465,[1 0 7 2 6 4 3 5 9 8],2117985,[5 8 4 1 6 9 2 3 7 0]
6,2605400,[7 1 5 9 4 6 2 3 0 8],1064729,[2 9 4 1 7 6 5 8 3 0],1553348,[4 2 6 1 5 7 9 3 0 8],1373623,[3 8 0 5 7 9 2 1 6 4],1184727,[3 2 5 0 6 8 7 4 9 1],427915,[1 2 6 9 3 8 7 0 5 4],810376,[2 3 0 8 6 1 7 9 4 5],1661122,[4 6 1 7 0 8 3 9 2 5],1748738,[4 8 2 9 6 7 0 3 1 5],2553048,[7 0 3 5 9 4 1 2 6 8]
7,2407035,[6 5 7 4 0 8 1 3 9 2],2987690,[8 2 0 7 5 4 1 6 3 9],2903439,[8 0 1 2 6 4 7 5 9 3],2878519,[7 9 3 0 8 5 2 1 6 4],3403703,[9 3 4 2 5 0 8 7 6 1],2063203,[5 7 1 3 6 2 9 0 8 4],1653814,[4 6 0 1 9 7 8 5 2 3],3145102,[8 6 0 1 3 2 9 7 4 5],1964105,[5 3 7 6 9 2 4 8 1 0],434964,[1 2 8 4 0 7 6 3 5 9]
8,460418,[1 3 5 4 6 9 0 7 2 8],3488919,[9 5 4 1 7 2 6 3 8 0],836542,[2 3 7 9 8 0 6 5 1 4],1313063,[3 6 5 4 8 0 9 7 2 1],2862121,[7 8 9 6 1 0 2 3 5 4],2809432,[7 6 5 2 9 8 3 4 0 1],1076640,[2 9 6 5 3 0 1 4 7 8],2799006,[7 6 3 2 5 0 4 1 8 9],1601121,[4 3 7 6 8 5 1 2 9 0],1268781,[3 5 4 8 1 0 9 6 7 2]
9,2895181,[7 9 6 3 0 4 5 1 8 2],101923,[0 3 6 2 7 4 9 1 8 5],1787139,[4 9 2 6 0 8 1 5 7 3],1472614,[4 0 6 2 3 8 9 7 1 5],633231,[1 7 6 5 3 9 4 2 8 0],2189386,[6 0 3 4 8 9 2 7 1 5],384581,[1 0 6 4 2 9 3 8 7 5],3258248,[8 9 6 3 2 0 4 5 1 7],1615299,[4 5 0 6 3 9 1 7 8 2],650066,[1 8 0 9 7 3 2 5 4 6]
10,3320374,[9 1 3 7 5 6 8 4 0 2],1636886,[4 5 6 8 2 7 3 1 0 9],3304479,[9 0 8 5 4 2 6 3 7 1],2030820,[5 6 2 9 4 3 7 0 1 8],1271946,[3 5 6 2 7 4 9 0 1 8],2076186,[5 7 3 9 4 2 8 0 1 6],3230631,[8 9 0 7 6 5 3 2 4 1],2916127,[8 0 3 6 2 1 5 4 9 7],1295810,[3 6 1 0 8 5 2 7 4 9],1220804,[3 4 2 1 7 5 9 6 0 8]
11,2040848,[5 6 4 9 3 0 2 7 1 8],86232,[0 3 2 1 8 7 4 5 6 9],2256748,[6 1 9 7 3 2 0 8 4 5],162146,[0 5 1 3 4 6 2 8 7 9],410882,[1 2 3 6 8 0 4 7 5 9],3297932,[9 0 7 3 4 6 8 2 1 5],1537717,[4 2 1 0 8 5 7 3 9 6],1451646,[4 0 1 2 5 3 7 6 8 9],1646552,[4 5 8 6 9 1 2 3 0 7],2810380,[7 6 5 4 1 9 0 8 2 3]
12,2797923,[7 6 3 1 0 2 4 8 9 5],51261,[0 2 4 3 5 1 9 7 8 6],968684,[2 7 0 3 5 4 9 6 1 8],1648076,[4 5 8 9 7 6 3 1 0 2],1057477,[2 9 1 7 6 3 5 0 8 4],228692,[0 6 7 3 5 8 9 2 1 4],296420,[0 8 3 7 6 1 9 4 2 5],2255224,[6 1 9 4 2 5 7 8 0 3],2010328,[5 4 8 9 0 6 3 7 1 2],3440438,[9 4 2 6 3 1 7 5 0 8]
13,1750877,[4 8 3 2 7 6 0 9 5 1],2788827,[7 6 1 3 4 2 0 8 9 5],2346405,[6 4 1 5 9 2 8 3 7 0],2391735,[6 5 2 4 9 0 7 3 8 1],1433363,[3 9 5 2 7 6 1 8 4 0],2586047,[7 1 2 0 8 4 9 6 5 3],2655106,[7 2 8 6 4 9 1 5 0 3],3477568,[9 5 1 8 7 4 3 6 0 2],3334845,[9 1 6 5 7 2 8 3 4 0],1395973,[3 8 5 9 7 0 4 1 6 2]
14,2719682,[7 4 3 6 2 0 1 8 5 9],1998407,[5 4 6 3 7 1 9 8 2 0],412930,[1 2 3 9 6 0 5 8 4 7],2856310,[7 8 6 5 0 3 9 4 1 2],500400,[1 4 5 3 0 2 6 7 8 9],1425719,[3 9 2 8 0 7 6 5 4 1],2973665,[8 1 7 0 2 5 6 9 4 3],1563188,[4 2 8 1 0 6 9 5 3 7],947378,[2 6 4 9 7 8 0 3 1 5],1951733,[5 3 4 1 8 6 0 9 7 2]
15,2316265,[6 3 4 7 0 2 1 5 9 8],2703436,[7 4 0 3 8 6 1 9 2 5],1255381,[3 5 1 0 7 6 8 2 9 4],3536864,[9 6 5 7 1 8 2 3 0 4],1346718,[3 7 4 1 5 8 2 0 6 9],718520,[1 9 7 4 8 5 2 3 0 6],3180685,[8 6 9 0 4 5 3 1 7 2],2424164,[6 7 0 9 8 2 5 3 1 4],1353810,[3 7 5 6 1 8 9 0 2 4],1531539,[4 1 9 8 0 7 2 5 6 3]
16,1200307,[3 2 8 1 0 6 9 4 7 5],169273,[0 5 2 7 1 8 3 4 9 6],344303,[0 9 5 3 2 1 8 7 6 4],212243,[0 6 3 1 8 7 4 9 5 2],1496687,[4 1 0 9 7 3 8 6 5 2],3317293,[9 1 3 2 5 0 7 4 8 6],3355740,[9 2 1 7 6 4 5 0 3 8],550252,[1 5 7 2 3 6 0 9 4 8],1768076,[4 8 7 6 3 9 5 1 0 2],2118932,[5 8 4 2 9 6 7 1 0 3]
17,3344030,[9 1 8 4 3 7 5 2 0 6],1318117,[3 6 7 4 8 1 5 0 9 2],316334,[0 8 7 6 3 1 5 4 2 9],2272947,[6 2 3 9 8 1 0 5 7 4],3036038,[8 3 2 4 7 1 6 5 0 9],2738452,[7 4 9 2 3 5 0 8 1 6],2631581,[7 2 3 0 9 8 1 6 5 4],2829109,[7 8 1 3 2 9 5 0 6 4],1168205,[3 1 9 7 5 0 2 8 6 4],1702906,[4 7 1 9 0 8 3 6 2 5]
