100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,2241,[3 0 5 2 4 6 1],4257,[5 6 2 1 3 4 0],4123,[5 4 1 6 0 3 2],1307,[1 5 6 2 4 3 0],4728,[6 3 2 0 1 4 5],130,[0 2 1 4 6 3 5],1618,[2 1 4 3 6 0 5],3949,[5 2 6 3 0 4 1],2852,[3 6 4 5 1 0 2],4561,[6 2 0 1 3 5 4]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,4421,[6 0 5 1 4 3 2],1942,[2 5 0 6 4 1 3],2296,[3 1 0 5 6 2 4],463,[0 4 6 2 1 5 3],3988,[5 3 1 0 6 2 4],2834,[3 6 4 0 2 1 5],2843,[3 6 4 1 5 2 0],3450,[4 5 3 6 0 1 2],4359,[6 0 2 4 3 5 1],2258,[3 0 6 1 4 2 5]
3,2457,[3 2 4 1 5 6 0],829,[1 0 6 4 2 5 3],2169,[3 0 1 4 5 6 2],4376,[6 0 3 2 4 1 5],315,[0 3 5 1 4 6 2],7,[0 1 2 4 3 6 5],2781,[3 6 0 5 2 4 1],1489,[2 0 4 1 3 6 5],3372,[4 5 0 3 1 2 6],4375,[6 0 3 2 1 5 4]
5,4669,[6 2 5 3 0 4 1],503,[0 5 1 6 4 3 2],4222,[5 6 0 4 3 1 2],496,[0 5 1 4 6 2 3],1611,[2 1 4 0 5 6 3],3364,[4 5 0 1 6 2 3],2806,[3 6 1 5 4 0 2],909,[1 2 4 6 3 5 0],1450,[2 0 1 4 6 3 5],786,[1 0 4 6 2 3 5]
7,3434,[4 5 3 0 2 1 6],4871,[6 4 2 5 3 1 0],437,[0 4 5 1 6 3 2],4789,[6 3 5 2 0 4 1],609,[0 6 1 3 4 5 2],2567,[3 4 1 6 5 2 0],815,[1 0 5 6 4 3 2],4340,[6 0 1 5 3 2 4],4769,[6 3 4 2 5 1 0],1828,[2 4 1 0 6 3 5]
9,4253,[5 6 2 0 4 3 1],4732,[6 3 2 0 5 1 4],1348,[1 6 2 0 5 3 4],1381,[1 6 3 4 0 5 2],4939,[6 5 0 4 1 3 2],3523,[4 6 1 5 0 3 2],3305,[4 3 2 5 6 1 0],3101,[4 1 6 0 5 3 2],1923,[2 5 0 1 4 6 3],2452,[3 2 4 0 6 1 5]
11,749,[1 0 3 2 6 5 4],4495,[6 1 3 2 0 5 4],2183,[3 0 1 6 5 4 2],366,[0 4 1 3 2 5 6],3870,[5 2 1 3 0 4 6],1933,[2 5 0 4 1 6 3],1383,[1 6 3 4 2 5 0],17,[0 1 2 5 6 4 3],2624,[3 4 6 1 2 0 5],4487,[6 1 2 5 4 3 0]
13,3317,[4 3 5 0 6 2 1],4151,[5 4 2 6 3 1 0],4575,[6 2 0 4 3 5 1],1813,[2 4 0 5 1 6 3],106,[0 1 6 3 5 2 4],3542,[4 6 2 3 1 0 5],1954,[2 5 1 3 6 0 4],110,[0 1 6 4 3 2 5],457,[0 4 6 1 2 5 3],2403,[3 2 0 1 5 6 4]
