40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,10,[0 1 2 4 6 3 5],4936,[6 5 0 3 4 1 2],5025,[6 5 4 1 2 3 0],102,[0 1 6 3 2 4 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1268,[1 5 3 6 2 0 4],4520,[6 1 4 2 3 0 5],4625,[6 2 3 4 5 1 0],637,[0 6 2 4 1 5 3]
2,993,[1 3 2 4 5 6 0],3249,[4 3 0 2 5 6 1],3883,[5 2 1 6 0 4 3],1877,[2 4 5 0 6 3 1]
3,1768,[2 3 5 4 6 0 1],3380,[4 5 0 6 2 1 3],3758,[5 1 2 4 3 0 6],828,[1 0 6 4 2 3 5]
4,949,[1 2 6 4 0 5 3],4634,[6 2 4 0 3 1 5],4990,[6 5 2 4 3 0 1],448,[0 4 5 3 6 1 2]
5,1469,[2 0 3 1 6 5 4],4343,[6 0 1 5 4 3 2],4168,[5 4 3 2 6 0 1],1821,[2 4 0 6 3 5 1]
6,900,[1 2 4 5 0 3 6],3534,[4 6 2 1 0 3 5],5027,[6 5 4 1 3 2 0],1422,[1 6 5 2 0 3 4]
7,1019,[1 3 4 2 6 5 0],3969,[5 3 0 2 4 6 1],3231,[4 2 6 3 1 5 0],629,[0 6 2 1 5 4 3]
8,826,[1 0 6 3 5 2 4],4263,[5 6 2 3 1 4 0],4321,[6 0 1 2 3 5 4],1844,[2 4 1 6 3 0 5]
9,1868,[2 4 3 6 1 0 5],3398,[4 5 1 3 2 0 6],4263,[5 6 2 3 1 4 0],287,[0 3 2 6 5 4 1]
10,291,[0 3 4 1 5 6 2],4253,[5 6 2 0 4 3 1],3129,[4 2 0 3 5 6 1],1994,[2 5 4 0 3 1 6]
11,627,[0 6 2 1 4 5 3],3813,[5 1 4 6 2 3 0],3438,[4 5 3 1 0 2 6],1962,[2 5 1 6 0 3 4]
12,1256,[1 5 3 2 4 0 6],4789,[6 3 5 2 0 4 1],4620,[6 2 3 4 0 1 5],2015,[2 5 4 6 3 1 0]
13,1458,[2 0 1 6 3 4 5],3280,[4 3 1 5 6 0 2],3742,[5 1 0 6 4 2 3],1612,[2 1 4 0 6 3 5]
14,1213,[1 5 0 4 2 6 3],3424,[4 5 2 3 6 0 1],4611,[6 2 3 0 4 5 1],537,[0 5 3 2 4 6 1]
15,171,[0 2 4 1 5 6 3],3297,[4 3 2 1 5 6 0],3223,[4 2 6 1 0 5 3],456,[0 4 6 1 2 3 5]
16,26,[0 1 3 2 5 4 6],4796,[6 3 5 4 1 0 2],3385,[4 5 1 0 2 6 3],2058,[2 6 0 5 1 3 4]
17,1413,[1 6 4 5 2 3 0],3014,[4 1 0 5 3 2 6],3495,[4 6 0 3 2 5 1],1056,[1 3 6 0 2 4 5]
18,581,[0 5 6 1 4 3 2],3565,[4 6 3 2 0 5 1],4698,[6 3 0 5 1 2 4],506,[0 5 2 1 4 3 6]
19,1401,[1 6 4 2 3 5 0],4251,[5 6 2 0 3 4 1],4753,[6 3 4 0 1 5 2],817,[1 0 6 2 3 5 4]
