100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,10,[0 1 2 4 6 3 5],4936,[6 5 0 3 4 1 2],5025,[6 5 4 1 2 3 0],102,[0 1 6 3 2 4 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3766,[5 1 2 6 4 0 3],3124,[4 2 0 1 6 3 5],563,[0 5 4 2 6 3 1],495,[0 5 1 4 3 6 2]
2,2685,[3 5 1 6 2 4 0],2691,[3 5 2 0 4 6 1],2024,[2 5 6 1 3 0 4],4482,[6 1 2 5 0 3 4]
3,118,[0 1 6 5 4 2 3],4960,[6 5 1 3 4 0 2],3121,[4 2 0 1 3 6 5],2434,[3 2 1 4 6 0 5]
4,4802,[6 4 0 1 3 2 5],2034,[2 5 6 4 0 1 3],949,[1 2 6 4 0 5 3],2346,[3 1 4 6 0 2 5]
5,2798,[3 6 1 4 2 0 5],1421,[1 6 5 0 4 3 2],367,[0 4 1 3 2 6 5],2044,[2 6 0 1 5 3 4]
6,818,[1 0 6 2 4 3 5],3265,[4 3 1 0 2 6 5],1665,[2 1 6 3 4 5 0],2906,[4 0 2 1 5 3 6]
7,1570,[2 1 0 4 6 3 5],4560,[6 2 0 1 3 4 5],4888,[6 4 3 2 5 0 1],4065,[5 3 6 1 2 4 0]
8,4703,[6 3 0 5 4 2 1],4276,[5 6 3 0 4 1 2],1573,[2 1 0 5 3 6 4],234,[0 2 6 5 1 3 4]
9,106,[0 1 6 3 5 2 4],2916,[4 0 2 5 1 3 6],4248,[5 6 2 0 1 3 4],540,[0 5 3 4 1 2 6]
10,1598,[2 1 3 5 4 0 6],1943,[2 5 0 6 4 3 1],3322,[4 3 5 1 6 0 2],3211,[4 2 5 6 0 3 1]
11,3188,[4 2 3 6 1 0 5],3587,[4 6 5 1 3 2 0],3726,[5 1 0 3 2 4 6],795,[1 0 5 2 4 6 3]
12,1111,[1 4 2 3 0 6 5],4384,[6 0 3 4 5 1 2],3035,[4 1 2 3 6 5 0],669,[0 6 3 5 2 4 1]
13,458,[0 4 6 1 3 2 5],4577,[6 2 0 4 5 3 1],3448,[4 5 3 2 6 0 1],1396,[1 6 4 0 5 2 3]
14,632,[0 6 2 3 4 1 5],28,[0 1 3 2 6 4 5],2978,[4 0 6 1 3 2 5],2419,[3 2 0 6 1 5 4]
15,4093,[5 4 0 3 1 6 2],2509,[3 2 6 4 0 5 1],500,[0 5 1 6 3 2 4],454,[0 4 5 6 3 1 2]
16,2008,[2 5 4 3 6 0 1],475,[0 4 6 5 1 3 2],2594,[3 4 5 0 2 1 6],3897,[5 2 3 1 4 6 0]
17,3999,[5 3 1 4 2 6 0],2981,[4 0 6 1 5 3 2],2468,[3 2 4 6 1 0 5],2064,[2 6 1 0 3 4 5]
18,4099,[5 4 0 6 1 3 2],804,[1 0 5 4 2 3 6],3142,[4 2 0 6 5 1 3],2566,[3 4 1 6 5 0 2]
19,1532,[2 0 5 6 3 1 4],2766,[3 6 0 2 1 4 5],1861,[2 4 3 5 0 6 1],4186,[5 4 6 1 3 0 2]
