100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,866,[1 2 3 0 5 4 6],743,[1 0 2 6 5 4 3],1759,[2 3 5 1 0 6 4],2620,[3 4 6 0 5 1 2]
2,1033,[1 3 5 0 2 6 4],318,[0 3 5 2 1 4 6],3610,[5 0 1 3 6 2 4],40,[0 1 3 5 6 2 4]
3,3929,[5 2 4 3 6 1 0],1933,[2 5 0 4 1 6 3],3666,[5 0 3 6 1 2 4],3181,[4 2 3 5 0 6 1]
4,5023,[6 5 4 1 0 3 2],2359,[3 1 5 2 0 6 4],1324,[1 6 0 2 5 3 4],3641,[5 0 2 4 6 3 1]
5,2988,[4 0 6 3 1 2 5],4298,[5 6 4 0 2 1 3],4890,[6 4 3 5 0 1 2],2203,[3 0 2 6 1 5 4]
6,1738,[2 3 4 1 6 0 5],1757,[2 3 5 0 6 4 1],4018,[5 3 2 1 6 0 4],2421,[3 2 0 6 4 5 1]
7,1239,[1 5 2 4 3 6 0],3466,[4 5 6 1 3 0 2],689,[0 6 4 3 5 2 1],3366,[4 5 0 2 1 3 6]
8,3942,[5 2 6 1 0 3 4],1311,[1 5 6 3 2 4 0],2262,[3 0 6 2 1 4 5],3648,[5 0 3 1 2 4 6]
9,4355,[6 0 2 3 5 4 1],1181,[1 4 6 0 5 3 2],4125,[5 4 1 6 2 3 0],3172,[4 2 3 0 6 1 5]
10,2470,[3 2 4 6 5 0 1],3486,[4 6 0 2 1 3 5],1841,[2 4 1 5 6 3 0],760,[1 0 3 5 6 2 4]
11,1286,[1 5 4 3 2 0 6],2358,[3 1 5 2 0 4 6],4938,[6 5 0 4 1 2 3],3578,[4 6 5 0 2 1 3]
12,4799,[6 3 5 4 2 1 0],2726,[3 5 4 2 1 0 6],131,[0 2 1 4 6 5 3],1476,[2 0 3 5 1 4 6]
13,4094,[5 4 0 3 2 1 6],3288,[4 3 2 0 1 5 6],2025,[2 5 6 1 3 4 0],2434,[3 2 1 4 6 0 5]
14,4536,[6 1 5 0 2 3 4],3604,[5 0 1 2 6 3 4],3293,[4 3 2 0 6 5 1],3615,[5 0 1 4 3 6 2]
15,871,[1 2 3 4 0 6 5],477,[0 4 6 5 2 3 1],4923,[6 5 0 1 3 4 2],2032,[2 5 6 3 4 0 1]
16,4781,[6 3 5 0 4 2 1],3700,[5 0 6 1 4 2 3],3957,[5 2 6 4 1 3 0],530,[0 5 3 1 4 2 6]
17,53,[0 1 4 2 6 5 3],2634,[3 4 6 5 0 1 2],3854,[5 2 0 4 3 1 6],2175,[3 0 1 5 4 6 2]
