10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,956,[1 2 6 5 3 0 4],2819,[3 6 2 1 5 4 0],1622,[2 1 4 5 3 0 6],2115,[2 6 4 0 3 5 1]
2,512,[0 5 2 3 4 1 6],3204,[4 2 5 3 0 1 6],2008,[2 5 4 3 6 0 1],2033,[2 5 6 3 4 1 0]
3,548,[0 5 3 6 2 1 4],3093,[4 1 5 6 2 3 0],2014,[2 5 4 6 3 0 1],2185,[3 0 2 1 4 6 5]
4,822,[1 0 6 3 2 4 5],3127,[4 2 0 3 1 6 5],1943,[2 5 0 6 4 3 1],2299,[3 1 0 6 2 5 4]
5,550,[0 5 3 6 4 1 2],3052,[4 1 3 0 6 2 5],1658,[2 1 6 0 4 3 5],2058,[2 6 0 5 1 3 4]
6,837,[1 0 6 5 3 4 2],3054,[4 1 3 2 0 5 6],1944,[2 5 1 0 3 4 6],2242,[3 0 5 2 6 1 4]
7,536,[0 5 3 2 4 1 6],2811,[3 6 2 0 4 5 1],1994,[2 5 4 0 3 1 6],2386,[3 1 6 2 5 0 4]
8,946,[1 2 6 3 5 0 4],2998,[4 0 6 5 3 1 2],1612,[2 1 4 0 6 3 5],2229,[3 0 4 6 2 5 1]
9,533,[0 5 3 1 6 4 2],3078,[4 1 5 2 0 3 6],1591,[2 1 3 4 0 6 5],2077,[2 6 1 4 0 5 3]
10,756,[1 0 3 5 2 4 6],2849,[3 6 4 2 5 1 0],1897,[2 4 6 0 1 5 3],1974,[2 5 3 1 0 4 6]
11,912,[1 2 5 0 3 4 6],2938,[4 0 3 2 6 1 5],1840,[2 4 1 5 6 0 3],2316,[3 1 2 5 0 4 6]
12,589,[0 5 6 3 1 4 2],3082,[4 1 5 2 6 0 3],1618,[2 1 4 3 6 0 5],1992,[2 5 4 0 1 3 6]
13,830,[1 0 6 4 3 2 5],3212,[4 2 5 6 1 0 3],1611,[2 1 4 0 5 6 3],2193,[3 0 2 4 5 6 1]
14,841,[1 2 0 3 4 6 5],2794,[3 6 1 2 5 0 4],1776,[2 3 6 0 1 4 5],2220,[3 0 4 5 1 2 6]
15,563,[0 5 4 2 6 3 1],2942,[4 0 3 5 2 1 6],1748,[2 3 4 6 1 0 5],1988,[2 5 3 6 1 0 4]
16,500,[0 5 1 6 3 2 4],2900,[4 0 1 6 3 2 5],1557,[2 0 6 5 3 4 1],2114,[2 6 4 0 3 1 5]
17,832,[1 0 6 4 5 2 3],2858,[3 6 5 0 2 1 4],1702,[2 3 0 6 5 1 4],2346,[3 1 4 6 0 2 5]
