40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1466,[2 0 3 1 5 4 6],3338,[4 3 6 0 2 1 5],1395,[1 6 4 0 3 5 2],1392,[1 6 4 0 2 3 5]
2,1924,[2 5 0 1 6 3 4],2719,[3 5 4 1 0 6 2],1020,[1 3 4 5 0 2 6],2970,[4 0 5 6 1 2 3]
3,844,[1 2 0 3 6 4 5],2373,[3 1 5 6 2 4 0],2315,[3 1 2 4 6 5 0],3131,[4 2 0 3 6 5 1]
4,1465,[2 0 3 1 4 6 5],1885,[2 4 5 3 0 6 1],1893,[2 4 5 6 1 3 0],3297,[4 3 2 1 5 6 0]
5,1825,[2 4 1 0 3 6 5],2015,[2 5 4 6 3 1 0],1419,[1 6 5 0 3 4 2],2069,[2 6 1 0 5 4 3]
6,1670,[2 1 6 4 3 0 5],2159,[2 6 5 4 3 1 0],2152,[2 6 5 3 4 0 1],1627,[2 1 4 6 0 5 3]
7,1514,[2 0 5 1 4 3 6],2698,[3 5 2 1 6 0 4],1791,[2 3 6 4 1 5 0],1646,[2 1 5 4 3 0 6]
8,1781,[2 3 6 0 5 4 1],2960,[4 0 5 2 3 1 6],1579,[2 1 0 6 3 5 4],1344,[1 6 2 0 3 4 5]
9,821,[1 0 6 2 5 4 3],3374,[4 5 0 3 2 1 6],2235,[3 0 5 1 4 6 2],1750,[2 3 4 6 5 0 1]
10,1300,[1 5 6 0 4 2 3],3242,[4 3 0 1 5 2 6],2757,[3 5 6 4 1 2 0],2300,[3 1 0 6 4 2 5]
11,2304,[3 1 2 0 4 5 6],2967,[4 0 5 3 2 6 1],1634,[2 1 5 0 4 3 6],1860,[2 4 3 5 0 1 6]
12,1486,[2 0 3 6 5 1 4],2882,[4 0 1 2 5 3 6],1395,[1 6 4 0 3 5 2],3080,[4 1 5 2 3 0 6]
13,1340,[1 6 0 5 3 2 4],3446,[4 5 3 2 1 0 6],1176,[1 4 6 0 2 3 5],2600,[3 4 5 1 2 0 6]
14,683,[0 6 4 2 5 3 1],2424,[3 2 1 0 4 5 6],1543,[2 0 6 3 1 5 4],2267,[3 0 6 2 5 4 1]
15,973,[1 3 0 5 2 6 4],3679,[5 0 4 2 1 6 3],2344,[3 1 4 5 6 0 2],1674,[2 1 6 5 0 3 4]
16,2312,[3 1 2 4 5 0 6],2056,[2 6 0 4 5 1 3],1926,[2 5 0 3 1 4 6],1492,[2 0 4 1 6 3 5]
17,325,[0 3 5 4 1 6 2],3134,[4 2 0 5 3 1 6],2661,[3 5 0 6 2 4 1],2962,[4 0 5 2 6 1 3]
