2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,520,[0 5 2 4 6 1 3],2986,[4 0 6 2 5 1 3],1736,[2 3 4 1 5 0 6],2153,[2 6 5 3 4 1 0]
2,544,[0 5 3 4 6 1 2],2980,[4 0 6 1 5 2 3],1726,[2 3 1 6 5 0 4],2130,[2 6 4 5 0 1 3]
3,545,[0 5 3 4 6 2 1],3049,[4 1 3 0 2 6 5],1703,[2 3 0 6 5 4 1],2153,[2 6 5 3 4 1 0]
4,517,[0 5 2 4 1 6 3],3042,[4 1 2 6 0 3 5],1660,[2 1 6 0 5 3 4],2199,[3 0 2 5 4 6 1]
5,519,[0 5 2 4 3 6 1],2999,[4 0 6 5 3 2 1],1663,[2 1 6 3 0 5 4],2167,[3 0 1 4 2 6 5]
6,591,[0 5 6 3 2 4 1],3016,[4 1 0 5 6 2 3],1739,[2 3 4 1 6 5 0],2141,[2 6 5 0 4 3 1]
7,545,[0 5 3 4 6 2 1],3009,[4 1 0 3 5 6 2],1741,[2 3 4 5 0 6 1],2108,[2 6 3 5 1 0 4]
8,565,[0 5 4 3 1 6 2],3055,[4 1 3 2 0 6 5],1707,[2 3 1 0 5 6 4],2126,[2 6 4 3 1 0 5]
9,517,[0 5 2 4 1 6 3],2981,[4 0 6 1 5 3 2],1733,[2 3 4 0 6 5 1],2157,[2 6 5 4 1 3 0]
10,574,[0 5 4 6 3 1 2],3064,[4 1 3 5 6 0 2],1702,[2 3 0 6 5 1 4],2120,[2 6 4 1 3 0 5]
11,553,[0 5 4 1 2 6 3],3064,[4 1 3 5 6 0 2],1669,[2 1 6 4 0 5 3],2128,[2 6 4 3 5 0 1]
12,578,[0 5 6 1 3 2 4],3008,[4 1 0 3 5 2 6],1692,[2 3 0 5 1 4 6],2170,[3 0 1 4 6 2 5]
13,539,[0 5 3 2 6 4 1],3033,[4 1 2 3 5 6 0],1692,[2 3 0 5 1 4 6],2171,[3 0 1 4 6 5 2]
14,577,[0 5 6 1 2 4 3],2980,[4 0 6 1 5 2 3],1649,[2 1 5 4 6 3 0],2170,[3 0 1 4 6 2 5]
15,547,[0 5 3 6 1 4 2],3031,[4 1 2 3 0 6 5],1691,[2 3 0 4 6 5 1],2109,[2 6 3 5 1 4 0]
16,583,[0 5 6 2 1 4 3],3000,[4 1 0 2 3 5 6],1725,[2 3 1 6 4 5 0],2110,[2 6 3 5 4 0 1]
17,536,[0 5 3 2 4 1 6],3007,[4 1 0 3 2 6 5],1697,[2 3 0 5 6 4 1],2188,[3 0 2 1 6 4 5]
