100%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,348,[0 3 6 4 1 2 5]
2,113,[0 1 6 4 5 3 2]
3,2308,[3 1 2 0 6 4 5]
4,2380,[3 1 6 0 5 2 4]
5,1847,[2 4 1 6 5 3 0]
6,3728,[5 1 0 3 4 2 6]
7,4737,[6 3 2 1 4 5 0]
8,3933,[5 2 4 6 1 3 0]
9,3090,[4 1 5 6 0 2 3]
10,4354,[6 0 2 3 5 1 4]
11,2642,[3 5 0 1 4 2 6]
12,2780,[3 6 0 5 2 1 4]
13,3264,[4 3 1 0 2 5 6]
14,3804,[5 1 4 3 0 2 6]
15,4393,[6 0 4 1 2 5 3]
16,600,[0 6 1 2 3 4 5]
17,230,[0 2 6 4 3 1 5]
18,3768,[5 1 3 0 2 4 6]
19,3967,[5 3 0 2 1 6 4]
20,2547,[3 4 1 0 5 6 2]
21,2493,[3 2 5 6 1 4 0]
22,4950,[6 5 1 2 0 3 4]
23,1796,[2 3 6 5 1 0 4]
24,3962,[5 3 0 1 4 2 6]
25,256,[0 3 1 5 6 2 4]
26,3168,[4 2 3 0 1 5 6]
27,273,[0 3 2 4 5 6 1]
28,3748,[5 1 2 0 6 3 4]
29,4246,[5 6 1 4 3 0 2]
30,4358,[6 0 2 4 3 1 5]
31,2165,[3 0 1 2 6 5 4]
32,3367,[4 5 0 2 1 6 3]
33,1390,[1 6 3 5 4 0 2]
34,1273,[1 5 4 0 2 6 3]
35,4891,[6 4 3 5 0 2 1]
36,416,[0 4 3 2 5 1 6]
37,3274,[4 3 1 2 6 0 5]
38,2133,[2 6 4 5 1 3 0]
39,1269,[1 5 3 6 2 4 0]
40,3897,[5 2 3 1 4 6 0]
41,4128,[5 4 2 0 1 3 6]
42,2677,[3 5 1 4 0 6 2]
43,165,[0 2 3 6 4 5 1]
44,1055,[1 3 5 6 4 2 0]
45,4796,[6 3 5 4 1 0 2]
46,2106,[2 6 3 5 0 1 4]
47,228,[0 2 6 4 1 3 5]
48,4760,[6 3 4 1 2 0 5]
49,4169,[5 4 3 2 6 1 0]
50,4534,[6 1 4 5 3 0 2]
51,310,[0 3 4 6 5 1 2]
52,2669,[3 5 1 0 6 4 2]
53,4570,[6 2 0 3 5 1 4]
54,429,[0 4 3 6 2 5 1]
55,607,[0 6 1 3 2 5 4]
56,258,[0 3 1 6 2 4 5]
57,3552,[4 6 3 0 1 2 5]
58,3387,[4 5 1 0 3 6 2]
59,2214,[3 0 4 2 1 5 6]
60,3719,[5 0 6 4 3 2 1]
61,3579,[4 6 5 0 2 3 1]
62,988,[1 3 2 0 6 4 5]
63,4728,[6 3 2 0 1 4 5]
64,3772,[5 1 3 0 6 2 4]
65,2188,[3 0 2 1 6 4 5]
66,4316,[5 6 4 3 1 0 2]
67,1390,[1 6 3 5 4 0 2]
68,1991,[2 5 3 6 4 1 0]
69,3953,[5 2 6 3 4 1 0]
70,4387,[6 0 3 5 1 4 2]
71,2366,[3 1 5 4 2 0 6]
72,3098,[4 1 6 0 3 2 5]
73,2499,[3 2 6 0 4 5 1]
74,352,[0 3 6 4 5 1 2]
75,3459,[4 5 6 0 2 3 1]
76,4857,[6 4 2 1 3 5 0]
77,4694,[6 3 0 4 2 1 5]
78,741,[1 0 2 6 4 5 3]
79,4207,[5 6 0 2 1 4 3]
80,3100,[4 1 6 0 5 2 3]
81,2974,[4 0 5 6 3 1 2]
82,429,[0 4 3 6 2 5 1]
83,4620,[6 2 3 4 0 1 5]
84,4752,[6 3 4 0 1 2 5]
85,4246,[5 6 1 4 3 0 2]
86,4537,[6 1 5 0 2 4 3]
87,3837,[5 1 6 4 2 3 0]
88,960,[1 3 0 2 4 5 6]
89,665,[0 6 3 4 5 2 1]
90,4727,[6 3 1 5 4 2 0]
91,1493,[2 0 4 1 6 5 3]
92,4928,[6 5 0 2 3 1 4]
93,4959,[6 5 1 3 2 4 0]
94,2590,[3 4 2 6 5 0 1]
95,103,[0 1 6 3 2 5 4]
96,3140,[4 2 0 6 3 1 5]
97,2989,[4 0 6 3 1 5 2]
98,1524,[2 0 5 4 1 3 6]
99,3907,[5 2 3 6 0 4 1]
100,479,[0 4 6 5 3 2 1]
1,716,[0 6 5 4 2 1 3]
2,3243,[4 3 0 1 5 6 2]
3,806,[1 0 5 4 3 2 6]
4,4822,[6 4 0 5 3 1 2]
5,2167,[3 0 1 4 2 6 5]
6,2053,[2 6 0 4 1 5 3]
7,251,[0 3 1 4 6 5 2]
8,4500,[6 1 3 4 0 2 5]
9,2011,[2 5 4 6 0 3 1]
10,791,[1 0 4 6 5 3 2]
11,509,[0 5 2 1 6 4 3]
12,2810,[3 6 2 0 4 1 5]
13,4221,[5 6 0 4 2 3 1]
14,4155,[5 4 3 0 2 6 1]
15,745,[1 0 3 2 4 6 5]
16,3150,[4 2 1 3 0 5 6]
17,1408,[1 6 4 3 5 0 2]
18,5016,[6 5 4 0 1 2 3]
19,4566,[6 2 0 3 1 4 5]
20,2692,[3 5 2 0 6 1 4]
21,478,[0 4 6 5 3 1 2]
22,429,[0 4 3 6 2 5 1]
23,1325,[1 6 0 2 5 4 3]
24,4266,[5 6 2 4 0 1 3]
25,2894,[4 0 1 5 3 2 6]
26,2479,[3 2 5 1 0 6 4]
27,3180,[4 2 3 5 0 1 6]
28,4949,[6 5 1 0 4 3 2]
29,4792,[6 3 5 2 4 0 1]
30,102,[0 1 6 3 2 4 5]
31,1867,[2 4 3 6 0 5 1]
32,3169,[4 2 3 0 1 6 5]
33,1875,[2 4 5 0 3 6 1]
34,3727,[5 1 0 3 2 6 4]
35,2383,[3 1 6 2 0 5 4]
36,4771,[6 3 4 5 0 2 1]
37,4663,[6 2 5 1 0 4 3]
38,4839,[6 4 1 3 2 5 0]
39,2585,[3 4 2 5 6 1 0]
40,2193,[3 0 2 4 5 6 1]
41,4366,[6 0 2 5 4 1 3]
42,4377,[6 0 3 2 4 5 1]
43,3990,[5 3 1 2 0 4 6]
44,4914,[6 4 5 3 0 1 2]
45,4217,[5 6 0 3 4 2 1]
46,3723,[5 1 0 2 4 6 3]
47,706,[0 6 5 2 4 1 3]
48,803,[1 0 5 3 6 4 2]
49,1845,[2 4 1 6 3 5 0]
50,2209,[3 0 4 1 2 6 5]
51,1731,[2 3 4 0 5 6 1]
52,3014,[4 1 0 5 3 2 6]
53,1998,[2 5 4 1 0 3 6]
54,1214,[1 5 0 4 3 2 6]
55,135,[0 2 1 5 4 6 3]
56,1918,[2 4 6 5 3 0 1]
57,1580,[2 1 0 6 4 3 5]
58,1927,[2 5 0 3 1 6 4]
59,4728,[6 3 2 0 1 4 5]
60,3914,[5 2 4 0 3 1 6]
61,160,[0 2 3 5 6 1 4]
62,4749,[6 3 2 5 1 4 0]
63,1692,[2 3 0 5 1 4 6]
64,3965,[5 3 0 1 6 4 2]
65,2381,[3 1 6 0 5 4 2]
66,935,[1 2 5 6 4 3 0]
67,493,[0 5 1 4 2 6 3]
68,1772,[2 3 5 6 1 0 4]
69,1014,[1 3 4 2 0 5 6]
70,3527,[4 6 1 5 3 2 0]
71,1610,[2 1 4 0 5 3 6]
72,2431,[3 2 1 4 0 6 5]
73,2373,[3 1 5 6 2 4 0]
74,3366,[4 5 0 2 1 3 6]
75,1141,[1 4 3 5 0 6 2]
76,1480,[2 0 3 5 6 1 4]
77,1451,[2 0 1 4 6 5 3]
78,372,[0 4 1 5 2 3 6]
79,4212,[5 6 0 3 1 2 4]
80,1772,[2 3 5 6 1 0 4]
81,2376,[3 1 6 0 2 4 5]
82,3104,[4 1 6 2 3 0 5]
83,2583,[3 4 2 5 1 6 0]
84,3628,[5 0 2 1 6 3 4]
85,3894,[5 2 3 1 0 4 6]
86,1170,[1 4 5 6 0 2 3]
87,660,[0 6 3 4 1 2 5]
88,3727,[5 1 0 3 2 6 4]
89,2096,[2 6 3 1 4 0 5]
90,2853,[3 6 4 5 1 2 0]
91,3083,[4 1 5 2 6 3 0]
92,2911,[4 0 2 3 1 6 5]
93,2897,[4 0 1 5 6 3 2]
94,3319,[4 3 5 1 0 6 2]
95,4105,[5 4 1 0 2 6 3]
96,4669,[6 2 5 3 0 4 1]
97,2298,[3 1 0 6 2 4 5]
98,949,[1 2 6 4 0 5 3]
99,1836,[2 4 1 5 0 3 6]
100,2787,[3 6 1 0 4 5 2]
1,208,[0 2 5 4 6 1 3]
2,4072,[5 3 6 2 4 0 1]
3,830,[1 0 6 4 3 2 5]
4,3722,[5 1 0 2 4 3 6]
5,300,[0 3 4 5 1 2 6]
6,582,[0 5 6 2 1 3 4]
7,4666,[6 2 5 1 4 0 3]
8,2889,[4 0 1 3 5 6 2]
9,3899,[5 2 3 1 6 4 0]
10,3847,[5 2 0 3 1 6 4]
11,466,[0 4 6 2 5 1 3]
12,1531,[2 0 5 6 1 4 3]
13,2756,[3 5 6 4 1 0 2]
14,2956,[4 0 5 1 6 2 3]
15,1537,[2 0 6 1 3 5 4]
16,2198,[3 0 2 5 4 1 6]
17,2165,[3 0 1 2 6 5 4]
18,3104,[4 1 6 2 3 0 5]
19,351,[0 3 6 4 2 5 1]
20,1210,[1 5 0 3 6 2 4]
21,146,[0 2 3 1 5 4 6]
22,1807,[2 4 0 3 1 6 5]
23,4717,[6 3 1 4 0 5 2]
24,3202,[4 2 5 1 6 0 3]
25,444,[0 4 5 3 1 2 6]
26,3739,[5 1 0 6 2 4 3]
27,4574,[6 2 0 4 3 1 5]
28,4094,[5 4 0 3 2 1 6]
29,4302,[5 6 4 1 0 2 3]
30,1513,[2 0 5 1 3 6 4]
31,4223,[5 6 0 4 3 2 1]
32,501,[0 5 1 6 3 4 2]
33,3253,[4 3 0 5 1 6 2]
34,1424,[1 6 5 2 3 0 4]
35,1558,[2 0 6 5 4 1 3]
36,3345,[4 3 6 1 2 5 0]
37,2273,[3 0 6 4 5 2 1]
38,3901,[5 2 3 4 0 6 1]
39,3507,[4 6 1 0 3 5 2]
40,3311,[4 3 2 6 5 1 0]
41,1545,[2 0 6 3 4 5 1]
42,2812,[3 6 2 0 5 1 4]
43,4868,[6 4 2 5 1 0 3]
44,3289,[4 3 2 0 1 6 5]
45,2387,[3 1 6 2 5 4 0]
46,1551,[2 0 6 4 3 5 1]
47,266,[0 3 2 1 5 4 6]
48,4981,[6 5 2 3 0 4 1]
49,1782,[2 3 6 1 0 4 5]
50,1906,[2 4 6 1 5 0 3]
51,2504,[3 2 6 1 4 0 5]
52,4234,[5 6 1 2 4 0 3]
53,879,[1 2 3 5 4 6 0]
54,626,[0 6 2 1 4 3 5]
55,2512,[3 2 6 4 5 0 1]
56,3447,[4 5 3 2 1 6 0]
57,4396,[6 0 4 1 5 2 3]
58,2669,[3 5 1 0 6 4 2]
59,3278,[4 3 1 5 2 0 6]
60,1422,[1 6 5 2 0 3 4]
61,1049,[1 3 5 4 6 2 0]
62,571,[0 5 4 6 1 3 2]
63,3627,[5 0 2 1 4 6 3]
64,2386,[3 1 6 2 5 0 4]
65,4665,[6 2 5 1 3 4 0]
66,5005,[6 5 3 2 0 4 1]
67,3318,[4 3 5 1 0 2 6]
68,1332,[1 6 0 4 2 3 5]
69,1397,[1 6 4 0 5 3 2]
70,3233,[4 2 6 3 5 1 0]
