70%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,1909,[2 4 6 3 0 5 1]
2,948,[1 2 6 4 0 3 5]
3,2270,[3 0 6 4 2 1 5]
4,3247,[4 3 0 2 1 6 5]
5,2512,[3 2 6 4 5 0 1]
6,964,[1 3 0 2 6 4 5]
7,628,[0 6 2 1 5 3 4]
8,2346,[3 1 4 6 0 2 5]
9,2961,[4 0 5 2 3 6 1]
10,1752,[2 3 5 0 1 4 6]
11,2014,[2 5 4 6 3 0 1]
12,1149,[1 4 3 6 2 5 0]
13,3450,[4 5 3 6 0 1 2]
14,2478,[3 2 5 1 0 4 6]
15,1741,[2 3 4 5 0 6 1]
16,3364,[4 5 0 1 6 2 3]
17,3350,[4 3 6 2 1 0 5]
18,2341,[3 1 4 5 0 6 2]
19,2887,[4 0 1 3 2 6 5]
20,2706,[3 5 2 6 0 1 4]
21,3422,[4 5 2 3 1 0 6]
22,1849,[2 4 3 0 1 6 5]
23,1540,[2 0 6 1 5 3 4]
24,1231,[1 5 2 3 0 6 4]
25,2358,[3 1 5 2 0 4 6]
26,2686,[3 5 1 6 4 0 2]
27,3566,[4 6 3 2 1 0 5]
28,3210,[4 2 5 6 0 1 3]
29,3219,[4 2 6 0 3 5 1]
30,1482,[2 0 3 6 1 4 5]
31,1798,[2 3 6 5 4 0 1]
32,2506,[3 2 6 1 5 0 4]
33,391,[0 4 2 3 1 6 5]
34,1620,[2 1 4 5 0 3 6]
35,1518,[2 0 5 3 1 4 6]
36,1371,[1 6 3 0 4 5 2]
37,1500,[2 0 4 5 1 3 6]
38,2596,[3 4 5 0 6 1 2]
39,206,[0 2 5 4 3 1 6]
40,2974,[4 0 5 6 3 1 2]
41,1975,[2 5 3 1 0 6 4]
42,1063,[1 3 6 2 0 5 4]
43,163,[0 2 3 6 1 5 4]
44,440,[0 4 5 2 3 1 6]
45,1765,[2 3 5 4 0 6 1]
46,1599,[2 1 3 5 4 6 0]
47,1851,[2 4 3 0 5 6 1]
48,1121,[1 4 2 5 6 3 0]
49,1430,[1 6 5 3 2 0 4]
50,323,[0 3 5 2 6 4 1]
51,836,[1 0 6 5 3 2 4]
52,1571,[2 1 0 4 6 5 3]
53,1719,[2 3 1 5 4 6 0]
54,2143,[2 6 5 1 0 4 3]
55,2941,[4 0 3 5 1 6 2]
56,362,[0 4 1 2 5 3 6]
57,3062,[4 1 3 5 2 0 6]
58,1165,[1 4 5 3 0 6 2]
59,1016,[1 3 4 2 5 0 6]
60,3480,[4 6 0 1 2 3 5]
61,1053,[1 3 5 6 2 4 0]
62,1073,[1 3 6 4 5 2 0]
63,2781,[3 6 0 5 2 4 1]
64,1606,[2 1 3 6 5 0 4]
65,3609,[5 0 1 3 4 6 2]
66,3163,[4 2 1 6 0 5 3]
67,1119,[1 4 2 5 3 6 0]
68,1956,[2 5 1 4 0 3 6]
69,1087,[1 4 0 3 2 6 5]
70,497,[0 5 1 4 6 3 2]
71,1990,[2 5 3 6 4 0 1]
72,880,[1 2 3 5 6 0 4]
73,2125,[2 6 4 3 0 5 1]
74,3567,[4 6 3 2 1 5 0]
75,857,[1 2 0 5 6 4 3]
76,2485,[3 2 5 4 0 6 1]
77,1590,[2 1 3 4 0 5 6]
78,1226,[1 5 2 0 4 3 6]
79,3121,[4 2 0 1 3 6 5]
80,885,[1 2 3 6 4 5 0]
81,962,[1 3 0 2 5 4 6]
82,2572,[3 4 2 0 6 1 5]
83,1906,[2 4 6 1 5 0 3]
84,3121,[4 2 0 1 3 6 5]
85,772,[1 0 4 2 6 3 5]
86,195,[0 2 5 1 4 6 3]
87,913,[1 2 5 0 3 6 4]
88,1668,[2 1 6 4 0 3 5]
89,2334,[3 1 4 2 0 5 6]
90,1458,[2 0 1 6 3 4 5]
91,1963,[2 5 1 6 0 4 3]
92,461,[0 4 6 1 5 3 2]
93,1707,[2 3 1 0 5 6 4]
94,517,[0 5 2 4 1 6 3]
95,2048,[2 6 0 3 4 1 5]
96,1029,[1 3 4 6 2 5 0]
97,1936,[2 5 0 4 6 1 3]
98,2433,[3 2 1 4 5 6 0]
99,486,[0 5 1 3 2 4 6]
100,2256,[3 0 6 1 2 4 5]
1,607,[0 6 1 3 2 5 4]
2,3549,[4 6 2 5 1 3 0]
3,388,[0 4 2 1 6 3 5]
4,1060,[1 3 6 0 5 2 4]
5,1889,[2 4 5 3 6 1 0]
6,3610,[5 0 1 3 6 2 4]
7,3101,[4 1 6 0 5 3 2]
8,1806,[2 4 0 3 1 5 6]
9,1413,[1 6 4 5 2 3 0]
10,582,[0 5 6 2 1 3 4]
11,2251,[3 0 5 6 1 4 2]
12,1963,[2 5 1 6 0 4 3]
13,1699,[2 3 0 6 1 5 4]
14,290,[0 3 4 1 5 2 6]
15,2644,[3 5 0 1 6 2 4]
16,2135,[2 6 4 5 3 1 0]
17,2822,[3 6 2 4 1 0 5]
18,3315,[4 3 5 0 2 6 1]
19,961,[1 3 0 2 4 6 5]
20,3382,[4 5 0 6 3 1 2]
21,2377,[3 1 6 0 2 5 4]
22,3106,[4 1 6 2 5 0 3]
23,3277,[4 3 1 5 0 6 2]
24,3284,[4 3 1 6 2 0 5]
25,2189,[3 0 2 1 6 5 4]
26,1656,[2 1 6 0 3 4 5]
27,2827,[3 6 2 5 0 4 1]
28,1735,[2 3 4 1 0 6 5]
29,1646,[2 1 5 4 3 0 6]
30,3483,[4 6 0 1 3 5 2]
31,675,[0 6 4 1 3 5 2]
32,2811,[3 6 2 0 4 5 1]
33,867,[1 2 3 0 5 6 4]
34,991,[1 3 2 4 0 6 5]
35,144,[0 2 3 1 4 5 6]
36,1067,[1 3 6 2 5 4 0]
37,2538,[3 4 0 6 1 2 5]
38,972,[1 3 0 5 2 4 6]
39,1358,[1 6 2 4 3 0 5]
40,816,[1 0 6 2 3 4 5]
41,906,[1 2 4 6 0 3 5]
42,2761,[3 6 0 1 2 5 4]
43,167,[0 2 3 6 5 4 1]
44,1878,[2 4 5 1 0 3 6]
45,2861,[3 6 5 0 4 2 1]
46,2417,[3 2 0 5 6 4 1]
47,1576,[2 1 0 5 6 3 4]
48,1527,[2 0 5 4 3 6 1]
49,3567,[4 6 3 2 1 5 0]
50,1862,[2 4 3 5 1 0 6]
51,2276,[3 0 6 5 2 1 4]
52,1599,[2 1 3 5 4 6 0]
53,758,[1 0 3 5 4 2 6]
54,3534,[4 6 2 1 0 3 5]
55,1156,[1 4 5 0 6 2 3]
56,149,[0 2 3 1 6 5 4]
57,531,[0 5 3 1 4 6 2]
58,2525,[3 4 0 1 6 5 2]
59,188,[0 2 4 6 3 1 5]
60,910,[1 2 4 6 5 0 3]
61,1492,[2 0 4 1 6 3 5]
62,261,[0 3 1 6 4 5 2]
63,1585,[2 1 3 0 4 6 5]
64,3561,[4 6 3 1 2 5 0]
65,3094,[4 1 5 6 3 0 2]
66,1222,[1 5 0 6 4 2 3]
67,834,[1 0 6 5 2 3 4]
68,3508,[4 6 1 0 5 2 3]
69,1703,[2 3 0 6 5 4 1]
70,3252,[4 3 0 5 1 2 6]
71,1976,[2 5 3 1 4 0 6]
72,2084,[2 6 1 5 3 0 4]
73,276,[0 3 2 5 1 4 6]
74,2602,[3 4 5 1 6 0 2]
75,3270,[4 3 1 2 0 5 6]
76,2851,[3 6 4 5 0 2 1]
77,1525,[2 0 5 4 1 6 3]
78,550,[0 5 3 6 4 1 2]
79,2189,[3 0 2 1 6 5 4]
80,2894,[4 0 1 5 3 2 6]
81,1378,[1 6 3 2 5 0 4]
82,213,[0 2 5 6 3 4 1]
83,1734,[2 3 4 1 0 5 6]
84,1748,[2 3 4 6 1 0 5]
85,2054,[2 6 0 4 3 1 5]
86,1339,[1 6 0 5 2 4 3]
87,313,[0 3 5 1 2 6 4]
88,1112,[1 4 2 3 5 0 6]
89,2903,[4 0 1 6 5 3 2]
90,795,[1 0 5 2 4 6 3]
91,2134,[2 6 4 5 3 0 1]
92,2101,[2 6 3 4 0 5 1]
93,1125,[1 4 2 6 3 5 0]
94,3561,[4 6 3 1 2 5 0]
95,3069,[4 1 3 6 2 5 0]
96,2601,[3 4 5 1 2 6 0]
97,2451,[3 2 4 0 5 6 1]
98,1971,[2 5 3 0 4 6 1]
99,3422,[4 5 2 3 1 0 6]
100,2559,[3 4 1 5 2 6 0]
1,1709,[2 3 1 0 6 5 4]
2,1723,[2 3 1 6 0 5 4]
3,3478,[4 5 6 3 2 0 1]
4,441,[0 4 5 2 3 6 1]
5,3540,[4 6 2 3 0 1 5]
6,230,[0 2 6 4 3 1 5]
7,1454,[2 0 1 5 4 3 6]
8,1810,[2 4 0 3 6 1 5]
9,158,[0 2 3 5 4 1 6]
10,1959,[2 5 1 4 3 6 0]
11,2528,[3 4 0 2 5 1 6]
12,3636,[5 0 2 4 1 3 6]
13,463,[0 4 6 2 1 5 3]
14,1120,[1 4 2 5 6 0 3]
15,3186,[4 2 3 6 0 1 5]
16,1284,[1 5 4 3 0 2 6]
17,2207,[3 0 2 6 5 4 1]
18,3491,[4 6 0 2 5 3 1]
19,1634,[2 1 5 0 4 3 6]
20,1882,[2 4 5 1 6 0 3]
21,1113,[1 4 2 3 5 6 0]
22,3377,[4 5 0 3 6 2 1]
23,732,[1 0 2 5 3 4 6]
24,1035,[1 3 5 0 4 6 2]
25,1245,[1 5 2 6 3 4 0]
26,3529,[4 6 2 0 1 5 3]
27,1086,[1 4 0 3 2 5 6]
28,183,[0 2 4 5 3 6 1]
29,3188,[4 2 3 6 1 0 5]
30,796,[1 0 5 2 6 3 4]
31,527,[0 5 2 6 4 3 1]
32,3208,[4 2 5 3 6 0 1]
33,782,[1 0 4 5 3 2 6]
34,3284,[4 3 1 6 2 0 5]
35,1311,[1 5 6 3 2 4 0]
36,3310,[4 3 2 6 5 0 1]
37,511,[0 5 2 3 1 6 4]
38,1419,[1 6 5 0 3 4 2]
39,1862,[2 4 3 5 1 0 6]
40,1862,[2 4 3 5 1 0 6]
41,3540,[4 6 2 3 0 1 5]
42,2080,[2 6 1 4 5 0 3]
43,848,[1 2 0 4 5 3 6]
44,1070,[1 3 6 4 2 0 5]
45,1921,[2 5 0 1 3 6 4]
46,2153,[2 6 5 3 4 1 0]
47,1765,[2 3 5 4 0 6 1]
48,417,[0 4 3 2 5 6 1]
49,501,[0 5 1 6 3 4 2]
50,1911,[2 4 6 3 1 5 0]
51,520,[0 5 2 4 6 1 3]
52,2614,[3 4 5 6 2 0 1]
53,464,[0 4 6 2 3 1 5]
54,1666,[2 1 6 3 5 0 4]
55,1573,[2 1 0 5 3 6 4]
56,1987,[2 5 3 6 0 4 1]
57,1117,[1 4 2 5 0 6 3]
58,2569,[3 4 2 0 1 6 5]
59,2851,[3 6 4 5 0 2 1]
60,410,[0 4 3 1 5 2 6]
61,2887,[4 0 1 3 2 6 5]
62,1215,[1 5 0 4 3 6 2]
63,2276,[3 0 6 5 2 1 4]
64,3249,[4 3 0 2 5 6 1]
65,1559,[2 0 6 5 4 3 1]
66,2975,[4 0 5 6 3 2 1]
67,2980,[4 0 6 1 5 2 3]
68,834,[1 0 6 5 2 3 4]
69,3464,[4 5 6 1 2 0 3]
70,3531,[4 6 2 0 3 5 1]
71,900,[1 2 4 5 0 3 6]
