100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,2634790,[7 2 3 8 4 5 9 6 0 1],2949151,[8 1 2 3 0 5 6 4 9 7],278185,[0 7 9 2 4 3 1 5 8 6],1252161,[3 5 0 6 1 8 4 7 9 2],1821644,[5 0 2 6 1 4 9 7 3 8],3047921,[8 3 5 7 1 2 6 9 4 0],200410,[0 5 9 7 3 1 4 8 2 6],1893071,[5 1 9 6 2 4 8 7 3 0],437812,[1 2 8 9 0 5 3 7 4 6],2873325,[7 9 2 0 6 3 8 4 5 1],3566653,[9 7 3 5 6 0 4 1 8 2],2411274,[6 5 8 2 9 7 4 0 1 3],1353321,[3 7 5 4 6 8 1 2 9 0],3610205,[9 8 4 2 1 0 3 7 6 5],3509533,[9 6 0 3 4 1 7 2 8 5],1535589,[4 2 0 7 8 5 9 3 6 1],2713380,[7 4 2 3 6 5 8 0 1 9],1251655,[3 5 0 4 6 7 2 1 9 8],37458,[0 1 9 5 2 3 8 4 6 7],3119871,[8 5 3 0 1 9 6 4 7 2]
3,3305395,[9 0 8 6 5 7 4 1 3 2],2274821,[6 2 4 3 5 9 0 8 7 1],1060640,[2 9 3 5 0 7 4 6 1 8],3118161,[8 5 2 6 7 4 1 3 9 0],2981402,[8 1 9 4 7 0 2 5 3 6],119340,[0 3 9 6 7 4 5 1 2 8],757335,[2 0 8 3 9 1 6 5 7 4],2918495,[8 0 4 1 5 7 9 6 3 2],2242272,[6 1 5 9 2 7 0 3 4 8],2184358,[6 0 2 4 8 9 7 5 1 3],3602374,[9 8 2 6 1 5 7 4 0 3],1505875,[4 1 3 8 5 9 7 0 6 2],1848769,[5 0 8 7 6 3 1 2 9 4],1945672,[5 3 2 0 4 9 7 8 1 6],1345257,[3 7 2 9 4 5 1 6 8 0],70434,[0 2 7 9 6 8 5 1 3 4],991203,[2 7 5 6 8 0 1 4 9 3],1593594,[4 3 6 1 2 9 8 0 5 7],829144,[2 3 6 5 7 4 8 9 0 1],186264,[0 5 6 9 7 2 1 3 4 8]
5,2440191,[6 7 4 1 0 9 5 3 8 2],957278,[2 6 7 9 4 1 5 3 0 8],2866557,[7 9 0 6 2 8 5 3 4 1],2232719,[6 1 3 9 8 7 5 4 2 0],2675940,[7 3 2 9 5 4 6 0 1 8],2281219,[6 2 5 7 3 0 9 1 8 4],3376775,[9 2 6 8 7 4 5 3 1 0],2419310,[6 7 0 1 2 9 5 4 3 8],3079279,[8 4 2 9 6 5 1 0 7 3],3276818,[9 0 3 2 1 8 4 6 5 7],2929570,[8 0 6 2 9 1 4 7 3 5],1703132,[4 7 1 9 3 6 8 2 0 5],501980,[1 4 5 7 2 0 9 6 3 8],2762925,[7 5 4 1 3 2 9 6 8 0],3618228,[9 8 5 7 1 6 3 0 2 4],2473085,[6 8 2 5 9 0 1 7 4 3],1076181,[2 9 6 4 7 0 8 3 5 1],2054214,[5 6 9 4 0 3 2 1 7 8],185661,[0 5 6 8 9 1 7 3 4 2],668748,[1 8 5 6 7 9 3 0 2 4]
7,991397,[2 7 5 6 9 4 0 8 3 1],2471910,[6 8 2 4 1 3 5 0 7 9],145233,[0 4 6 8 7 2 3 5 9 1],2900212,[7 9 8 3 0 4 1 6 2 5],1336424,[3 7 1 2 0 9 5 6 4 8],983007,[2 7 4 0 3 8 6 5 9 1],1238562,[3 4 7 8 1 2 9 0 5 6],2432315,[6 7 2 5 1 3 4 9 8 0],2751016,[7 5 1 8 9 0 4 6 2 3],3573670,[9 7 5 0 3 4 8 6 1 2],79909,[0 2 9 7 8 6 4 1 5 3],1885345,[5 1 8 0 6 3 2 4 9 7],3371159,[9 2 5 8 0 7 6 4 3 1],1596629,[4 3 6 8 5 1 0 9 7 2],871157,[2 4 6 8 9 5 0 7 3 1],1271231,[3 5 6 1 7 4 9 8 2 0],1396511,[3 8 6 0 5 4 9 7 2 1],610916,[1 7 2 3 5 9 8 4 0 6],1655127,[4 6 0 3 8 7 5 2 9 1],3500570,[9 5 7 3 8 2 0 4 1 6]
9,3122928,[8 5 3 6 2 4 0 1 7 9],2740969,[7 4 9 6 8 2 0 1 5 3],1383183,[3 8 2 5 0 6 7 4 9 1],607070,[1 7 0 5 2 9 6 4 3 8],3472901,[9 5 1 0 4 8 2 7 6 3],667498,[1 8 5 4 0 6 3 9 2 7],687504,[1 9 0 4 8 3 2 5 6 7],272629,[0 7 8 1 5 9 4 2 6 3],105636,[0 3 6 9 7 2 5 1 4 8],2056911,[5 7 0 1 8 9 4 3 6 2],3240705,[8 9 2 7 6 5 1 3 4 0],2448899,[6 7 5 9 1 3 2 8 4 0],3122958,[8 5 3 6 2 7 1 0 4 9],2568151,[7 0 6 4 9 2 3 1 8 5],827771,[2 3 6 1 8 0 5 9 7 4],742408,[2 0 5 4 1 8 7 9 3 6],2376059,[6 4 9 3 0 5 2 8 7 1],1340848,[3 7 2 0 4 8 6 9 1 5],3494759,[9 5 6 2 7 8 4 3 1 0],2421099,[6 7 0 3 5 9 1 4 8 2]
11,1501613,[4 1 2 9 6 5 0 8 7 3],458503,[1 3 4 9 7 8 2 0 6 5],812406,[2 3 1 4 6 0 7 5 8 9],1242845,[3 4 8 6 1 0 2 9 7 5],2009356,[5 4 8 6 7 3 0 9 1 2],2067202,[5 7 2 1 0 8 4 9 3 6],2004793,[5 4 7 8 2 6 0 1 9 3],2332318,[6 3 8 7 1 9 5 4 0 2],2262600,[6 2 0 9 5 1 3 4 7 8],3864,[0 1 2 8 5 4 3 6 7 9],2430573,[6 7 2 1 8 5 9 3 4 0],2305150,[6 3 1 4 7 5 9 8 0 2],1907424,[5 2 3 6 1 4 0 7 8 9],2423968,[6 7 0 9 4 5 3 8 1 2],1608404,[4 3 9 0 8 2 7 5 1 6],316952,[0 8 7 9 2 3 4 5 1 6],388542,[1 0 7 2 6 9 4 3 5 8],3157670,[8 6 2 4 5 9 3 1 0 7],3078026,[8 4 2 7 0 3 1 6 5 9],127529,[0 4 2 5 1 8 7 9 6 3]
13,1385454,[3 8 2 9 1 5 4 0 6 7],624653,[1 7 4 9 5 3 0 8 6 2],1167459,[3 1 9 6 4 8 0 5 7 2],2037258,[5 6 4 1 7 0 9 2 3 8],3129773,[8 5 4 9 7 2 0 6 3 1],1013428,[2 8 1 0 6 4 3 9 5 7],1477920,[4 0 7 2 8 1 3 5 6 9],2225910,[6 1 2 7 5 3 4 0 8 9],131713,[0 4 3 1 9 7 2 5 8 6],2046892,[5 6 8 0 9 3 1 7 2 4],2941496,[8 0 9 5 3 4 2 6 1 7],3179605,[8 6 7 9 0 4 3 1 5 2],1041370,[2 8 7 5 3 0 4 9 1 6],2181478,[6 0 1 8 7 9 5 4 2 3],2313803,[6 3 4 0 7 8 2 9 5 1],2813871,[7 6 8 2 0 9 4 3 5 1],1048133,[2 8 9 7 5 3 0 6 4 1],986825,[2 7 4 8 5 3 6 9 1 0],201477,[0 5 9 8 6 7 4 2 3 1],3377800,[9 2 7 1 4 3 6 8 0 5]
