100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,2299121,[6 3 0 2 4 5 8 9 7 1],1052967,[2 9 0 8 4 6 5 3 7 1],1334485,[3 7 0 8 4 6 5 1 9 2],1267468,[3 5 4 6 2 1 0 9 7 8],1175128,[3 2 1 4 0 8 7 9 5 6],627961,[1 7 5 6 2 0 3 4 9 8],1760862,[4 8 6 2 5 9 1 0 3 7],2403731,[6 5 4 9 3 0 2 8 7 1],806532,[2 3 0 1 5 4 8 6 7 9],2323410,[6 3 5 9 8 4 7 0 1 2],2844495,[7 8 4 2 6 0 5 3 9 1],3228902,[8 9 0 5 4 3 6 2 1 7],483676,[1 3 9 8 6 5 0 7 2 4],704601,[1 9 4 7 5 6 2 3 8 0],3084254,[8 4 3 9 6 0 5 2 1 7],1352208,[3 7 5 2 0 6 1 4 8 9],837662,[2 3 8 1 5 6 7 4 0 9],1545893,[4 2 3 8 0 6 1 9 7 5],2299993,[6 3 0 4 5 8 1 2 9 7],554413,[1 5 8 0 2 3 7 4 9 6]
2,3540954,[9 6 7 3 8 5 4 0 1 2],1915940,[5 2 6 1 0 3 9 7 4 8],824365,[2 3 5 6 9 7 4 0 8 1],1937872,[5 3 0 6 4 9 7 8 1 2],1575481,[4 3 0 7 2 1 5 6 9 8],2751816,[7 5 1 9 8 6 0 2 3 4],3473986,[9 5 1 2 8 7 3 6 0 4],1164924,[3 1 9 0 8 6 5 2 4 7],138597,[0 4 5 6 3 9 8 2 7 1],2533845,[6 9 7 5 1 2 8 3 4 0],1494144,[4 1 0 6 3 5 2 7 8 9],572725,[1 6 2 7 4 8 5 0 9 3],2739820,[7 4 9 5 1 8 0 6 2 3],3427736,[9 4 0 1 7 5 3 6 2 8],1513748,[4 1 6 3 5 7 9 2 0 8],546314,[1 5 6 3 8 7 0 4 2 9],2465879,[6 8 1 2 7 9 5 4 3 0],244715,[0 7 1 5 9 3 4 8 6 2],2702801,[7 4 0 2 9 3 6 8 5 1],3438827,[9 4 2 3 0 8 5 7 6 1]
3,304357,[0 8 5 3 7 2 6 1 9 4],3008595,[8 2 5 9 4 6 0 3 7 1],1644716,[4 5 8 2 1 9 7 3 0 6],2926660,[8 0 5 6 7 9 1 4 2 3],3208845,[8 7 4 5 6 1 9 2 3 0],3164147,[8 6 3 7 4 9 1 5 2 0],219188,[0 6 4 5 3 7 9 2 1 8],2904365,[8 0 1 3 9 2 4 7 6 5],889567,[2 5 0 6 7 1 4 3 9 8],1103588,[3 0 4 9 7 5 8 2 1 6],384502,[1 0 6 4 2 3 9 8 5 7],480536,[1 3 9 4 5 6 2 7 0 8],2917930,[8 0 3 9 6 1 4 7 2 5],2398235,[6 5 3 8 9 1 2 7 4 0],3405110,[9 3 4 6 1 8 5 2 0 7],828267,[2 3 6 4 5 1 0 8 9 7],2928646,[8 0 6 1 5 3 9 7 2 4],3505755,[9 5 8 4 0 6 1 3 7 2],2698761,[7 3 9 4 1 6 2 5 8 0],1527293,[4 1 9 0 3 6 2 8 7 5]
4,1312017,[3 6 5 2 1 7 4 8 9 0],936407,[2 6 1 8 5 3 9 7 4 0],252260,[0 7 3 1 5 2 9 6 4 8],551342,[1 5 7 3 8 4 6 2 0 9],2281780,[6 2 5 8 0 9 1 7 3 4],1465291,[4 0 3 8 1 7 9 2 6 5],3343422,[9 1 8 3 5 7 2 0 4 6],1261994,[3 5 2 4 8 7 0 6 1 9],1463933,[4 0 3 6 2 7 1 9 8 5],1400741,[3 8 6 9 2 7 0 5 4 1],605529,[1 7 0 3 2 4 6 8 9 5],3403597,[9 3 4 2 1 5 7 0 8 6],1115812,[3 0 7 4 8 5 1 9 2 6],2295369,[6 2 9 4 0 1 5 7 8 3],27293,[0 1 7 4 9 5 2 8 6 3],3437735,[9 4 2 0 6 7 8 5 3 1],713323,[1 9 6 4 7 2 8 0 5 3],942861,[2 6 4 0 7 1 9 5 8 3],700689,[1 9 4 0 3 2 6 7 8 5],1103797,[3 0 5 1 2 6 8 4 9 7]
5,1681825,[4 6 7 5 9 1 0 2 8 3],2323401,[6 3 5 9 8 4 1 2 7 0],2275162,[6 2 4 3 9 7 1 8 0 5],855391,[2 4 1 8 0 5 6 3 9 7],1704646,[4 7 2 1 6 3 9 8 0 5],968838,[2 7 0 3 6 8 4 1 5 9],2234811,[6 1 4 3 9 5 0 7 8 2],2591098,[7 1 3 0 8 5 4 9 2 6],2796483,[7 6 2 9 0 1 3 5 8 4],1769191,[4 8 9 0 2 3 5 1 7 6],367766,[1 0 2 9 7 6 5 4 3 8],1560086,[4 2 7 5 8 6 3 1 0 9],1339256,[3 7 1 8 0 5 4 6 2 9],990326,[2 7 5 4 3 8 6 1 0 9],154596,[0 4 8 6 7 2 5 1 3 9],492333,[1 4 2 7 8 6 9 3 5 0],1703722,[4 7 2 0 3 8 5 9 1 6],1347953,[3 7 4 5 0 9 6 8 2 1],3184040,[8 6 9 5 1 4 2 3 0 7],1769665,[4 8 9 0 7 2 1 3 6 5]
6,1750420,[4 8 3 2 0 9 1 7 5 6],2343440,[6 4 0 9 7 5 2 3 1 8],507825,[1 4 6 8 2 9 3 5 7 0],2343582,[6 4 0 9 8 7 2 1 3 5],918033,[2 5 8 1 0 4 6 7 9 3],3361263,[9 2 3 8 4 5 6 1 7 0],2586742,[7 1 2 3 8 0 9 6 4 5],1427455,[3 9 4 1 6 5 2 0 8 7],789089,[2 1 6 5 9 7 4 8 3 0],1972242,[5 3 9 2 1 4 8 0 6 7],2534276,[6 9 7 5 4 8 3 1 0 2],2309293,[6 3 2 1 5 0 8 4 9 7],1860275,[5 1 2 0 8 4 6 9 7 3],850245,[2 4 0 7 9 3 8 5 6 1],3466920,[9 4 8 7 1 0 2 3 5 6],1989370,[5 4 2 8 0 1 6 9 3 7],1409982,[3 8 9 6 1 7 2 0 4 5],2962366,[8 1 4 7 3 2 9 6 0 5],261392,[0 7 4 9 1 3 5 6 2 8],3507086,[9 5 8 6 7 3 2 1 0 4]
7,1604313,[4 3 8 2 1 5 6 7 9 0],648646,[1 8 0 6 9 3 7 5 2 4],2537801,[6 9 8 3 5 1 4 7 2 0],3442810,[9 4 3 0 7 1 5 8 2 6],809377,[2 3 0 7 1 9 4 5 8 6],1051379,[2 9 0 6 3 5 4 8 7 1],3079215,[8 4 2 9 6 0 5 3 7 1],1382321,[3 8 2 1 9 4 6 7 5 0],2677795,[7 3 4 2 0 9 8 1 6 5],3286976,[9 0 5 2 3 6 4 7 1 8],2631286,[7 2 3 0 6 4 9 8 1 5],2824932,[7 8 0 4 5 1 6 2 3 9],161662,[0 5 1 2 7 3 9 8 4 6],2176205,[5 9 8 6 3 0 1 7 4 2],243410,[0 7 1 4 2 6 3 8 5 9],1046081,[2 8 9 4 7 1 5 6 3 0],2206494,[6 0 7 8 4 3 2 1 5 9],2272679,[6 2 3 9 4 8 7 5 1 0],1034834,[2 8 6 3 1 7 0 5 4 9],2101780,[5 8 1 0 2 9 3 7 4 6]
