99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,3048233,[8 3 5 7 4 9 2 6 1 0],933707,[2 6 1 3 8 9 4 7 5 0],3113744,[8 5 1 7 4 9 2 3 0 6],2463156,[6 8 0 7 1 3 5 2 4 9],2757101,[7 5 3 0 2 9 1 8 6 4]
2,1336707,[3 7 1 2 6 4 0 8 9 5],2433495,[6 7 2 8 9 0 4 3 5 1],1182380,[3 2 4 7 1 0 9 6 5 8],1426359,[3 9 4 0 1 5 7 6 8 2],760647,[2 0 8 9 4 6 5 3 7 1]
3,2225886,[6 1 2 7 5 0 4 3 8 9],2061048,[5 7 0 9 4 3 1 2 6 8],1300520,[3 6 2 0 4 8 5 7 1 9],1004353,[2 7 9 1 8 5 0 3 6 4],3545678,[9 6 8 3 4 1 5 2 0 7]
4,3024216,[8 3 0 1 4 9 2 5 6 7],1165984,[3 1 9 4 5 6 7 8 0 2],329659,[0 9 2 4 8 1 7 3 6 5],897500,[2 5 3 0 7 1 9 6 4 8],1614599,[4 5 0 3 6 9 8 7 2 1]
5,3144518,[8 5 9 7 2 1 4 3 0 6],1568243,[4 2 9 1 0 7 5 8 6 3],178962,[0 5 4 6 7 2 9 1 3 8],2413631,[6 5 8 9 1 3 7 4 2 0],1809094,[4 9 7 8 3 5 6 2 0 1]
6,2700462,[7 3 9 6 4 8 1 0 2 5],1398371,[3 8 6 4 1 0 5 9 7 2],1827732,[5 0 3 7 6 1 8 2 4 9],3486025,[9 5 3 6 7 1 0 2 8 4],797302,[2 1 8 3 5 0 9 7 4 6]
7,2483119,[6 8 4 5 7 3 1 0 9 2],2651881,[7 2 8 1 3 0 4 5 9 6],754596,[2 0 7 8 1 4 6 3 5 9],572594,[1 6 2 7 3 8 0 5 4 9],2757281,[7 5 3 0 6 2 8 9 4 1]
8,770122,[2 1 0 8 6 7 4 9 3 5],2448939,[6 7 5 9 1 8 0 3 4 2],494764,[1 4 3 2 5 0 6 9 7 8],1830022,[5 0 4 1 8 2 9 7 3 6],1622257,[4 5 1 9 0 8 2 3 7 6]
9,917517,[2 5 8 0 3 9 7 4 6 1],2853530,[7 8 6 1 2 4 0 5 3 9],854669,[2 4 1 7 0 5 3 9 8 6],744986,[2 0 5 8 7 3 1 6 4 9],3260725,[8 9 6 7 4 3 2 0 5 1]
10,618889,[1 7 3 8 5 4 0 2 9 6],668079,[1 8 5 4 9 2 6 3 7 0],2161503,[5 9 4 8 0 3 6 2 7 1],2782730,[7 6 0 1 9 4 2 5 3 8],2398122,[6 5 3 8 7 1 9 0 2 4]
11,2490977,[6 8 7 1 5 0 4 9 3 2],2936172,[8 0 7 5 1 2 6 3 4 9],1169532,[3 2 0 1 6 4 8 5 7 9],2069183,[5 7 2 4 9 0 8 6 3 1],1965404,[5 3 7 9 6 1 8 2 0 4]
12,3568098,[9 7 3 8 5 0 6 1 2 4],2591320,[7 1 3 2 0 5 8 9 4 6],2726831,[7 4 6 0 2 5 9 8 3 1],3195924,[8 7 2 0 6 5 4 1 3 9],969970,[2 7 0 5 3 1 6 9 4 8]
13,3203262,[8 7 3 4 9 6 1 0 2 5],237033,[0 6 9 1 3 4 5 7 8 2],2003600,[5 4 7 3 8 6 1 2 0 9],10445,[0 1 4 2 7 3 5 9 8 6],1733680,[4 7 9 8 6 1 3 5 0 2]
14,431015,[1 2 7 5 6 8 9 4 3 0],2982499,[8 1 9 6 3 0 7 2 5 4],939201,[2 6 3 4 5 8 1 7 9 0],2213606,[6 0 9 2 4 7 5 3 1 8],1529050,[4 1 9 3 7 0 5 8 2 6]
15,1779108,[4 9 0 8 7 6 3 1 2 5],2205956,[6 0 7 5 8 9 4 2 1 3],2925989,[8 0 5 4 9 2 1 7 6 3],2703516,[7 4 0 3 9 2 6 1 5 8],1198804,[3 2 7 9 0 1 4 8 5 6]
16,537779,[1 5 3 7 9 4 2 8 6 0],123846,[0 4 1 7 2 3 6 5 8 9],1123666,[3 0 8 9 5 7 2 6 1 4],585578,[1 6 5 2 3 9 0 7 4 8],1696412,[4 7 0 6 1 8 9 3 2 5]
17,2014023,[5 4 9 6 1 3 7 2 8 0],576176,[1 6 3 4 2 7 5 8 0 9],3420265,[9 3 7 5 2 1 0 4 8 6],544528,[1 5 6 0 3 8 7 9 2 4],938684,[2 6 3 1 8 4 9 5 0 7]
18,892693,[2 5 1 0 9 3 7 4 8 6],3198301,[8 7 2 5 0 4 6 1 9 3],2993221,[8 2 1 9 3 5 6 0 7 4],403183,[1 0 9 8 7 6 3 2 5 4],2334217,[6 3 9 0 8 7 1 2 5 4]
19,3130541,[8 5 6 0 9 7 1 4 3 2],1906906,[5 2 3 4 6 9 1 8 0 7],855494,[2 4 1 8 3 0 7 6 5 9],3348951,[9 2 0 5 3 8 6 4 7 1],1572652,[4 3 0 1 5 7 2 9 6 8]
20,2843567,[7 8 4 1 3 2 9 6 5 0],1308261,[3 6 4 7 0 1 9 5 8 2],1926061,[5 2 8 1 0 6 7 3 9 4],597472,[1 6 8 4 7 9 3 5 0 2],1099425,[3 0 4 1 9 8 5 6 7 2]
21,2531410,[6 9 7 1 8 0 3 5 2 4],3189221,[8 7 0 6 3 9 1 5 4 2],1879104,[5 1 6 8 9 2 0 3 4 7],429421,[1 2 7 3 5 6 8 0 9 4],3544916,[9 6 8 2 3 7 5 1 0 4]
22,3218100,[8 7 6 3 4 2 5 0 1 9],199394,[0 5 9 4 8 6 1 3 2 7],456698,[1 3 4 7 2 9 0 6 5 8],3153080,[8 6 1 5 2 7 3 4 0 9],1235519,[3 4 7 0 9 8 6 5 2 1]
23,3149841,[8 6 0 9 5 4 2 3 7 1],2151620,[5 9 2 8 3 0 7 4 1 6],410519,[1 2 3 6 0 9 8 7 5 4],2436853,[6 7 3 4 5 0 8 1 9 2],1214583,[3 4 0 9 8 5 6 2 7 1]
24,1331250,[3 7 0 1 9 6 8 2 4 5],827697,[2 3 6 1 7 5 4 8 9 0],2936433,[8 0 7 5 3 2 4 6 9 1],671751,[1 8 6 2 9 7 4 3 5 0],1893576,[5 1 9 6 8 7 0 2 3 4]
25,1279110,[3 5 7 8 4 1 2 0 6 9],3239440,[8 9 2 6 1 3 5 7 0 4],2777352,[7 5 9 0 3 6 1 2 4 8],3244500,[8 9 3 6 1 4 5 0 2 7],402237,[1 0 9 7 5 8 6 3 4 2]
26,1163876,[3 1 8 9 4 7 6 2 0 5],1842592,[5 0 7 6 1 9 4 8 2 3],2820500,[7 6 9 4 2 0 8 3 1 5],923366,[2 5 9 1 4 7 6 3 0 8],128034,[0 4 2 5 8 9 7 1 3 6]
27,195845,[0 5 8 9 1 2 3 7 6 4],1507748,[4 1 5 2 0 7 9 6 3 8],2272812,[6 2 3 9 7 0 5 1 4 8],89948,[0 3 2 8 9 5 7 4 1 6],1691509,[4 6 9 5 1 8 3 0 7 2]
28,2687805,[7 3 6 2 0 4 9 5 8 1],1837291,[5 0 6 4 8 7 9 1 3 2],1752407,[4 8 3 6 9 1 7 5 2 0],1207138,[3 2 9 5 6 4 1 8 0 7],3382305,[9 2 8 0 5 7 3 4 6 1]
29,218856,[0 6 4 3 9 8 1 2 5 7],870120,[2 4 6 7 5 0 1 3 8 9],3515739,[9 6 1 4 8 7 0 3 5 2],2649008,[7 2 6 5 1 0 4 8 3 9],2015193,[5 4 9 7 8 1 2 3 6 0]
30,1078541,[2 9 6 8 7 5 0 4 3 1],1317974,[3 6 7 4 5 0 8 2 1 9],695080,[1 9 2 8 4 3 6 7 0 5],1408801,[3 8 9 4 6 0 1 2 7 5],2866625,[7 9 0 6 3 4 5 8 2 1]
31,1012164,[2 8 0 7 6 5 4 1 3 9],1836503,[5 0 6 3 8 1 9 7 4 2],1088427,[2 9 8 7 5 1 0 4 6 3],2663878,[7 3 0 5 8 9 6 4 1 2],213750,[0 6 3 4 9 2 5 1 7 8]
32,1631878,[4 5 3 8 2 9 7 6 0 1],3457571,[9 4 7 0 2 1 5 8 6 3],2168914,[5 9 7 2 3 1 4 8 0 6],3183700,[8 6 9 4 5 7 0 3 1 2],3370715,[9 2 5 7 4 1 3 8 6 0]
33,794881,[2 1 7 8 0 3 4 5 9 6],1122289,[3 0 8 6 7 4 1 2 9 5],1014508,[2 8 1 4 0 5 3 9 6 7],3023387,[8 2 9 7 0 6 3 5 4 1],2256367,[6 1 9 5 8 0 3 2 7 4]
34,440618,[1 2 9 4 8 7 0 5 3 6],3089119,[8 4 5 9 2 6 1 0 7 3],2561660,[7 0 5 2 9 1 8 4 3 6],1898363,[5 2 0 7 6 8 3 9 4 1],3186965,[8 7 0 3 4 1 2 9 6 5]
35,2771725,[7 5 6 9 3 4 2 0 8 1],1398463,[3 8 6 4 1 9 2 0 7 5],3578656,[9 7 6 0 3 1 5 8 2 4],1345770,[3 7 4 0 1 8 9 2 5 6],736451,[2 0 4 1 9 3 6 8 7 5]
36,148231,[0 4 7 3 9 2 5 1 8 6],1475150,[4 0 6 7 8 9 3 2 1 5],3036305,[8 3 2 5 0 6 7 9 4 1],3231810,[8 9 1 2 5 6 7 0 3 4],3216576,[8 7 6 1 3 9 0 2 4 5]
37,1177260,[3 2 1 7 0 6 8 4 5 9],812245,[2 3 1 4 0 8 7 5 9 6],825695,[2 3 5 8 7 6 9 4 1 0],1664362,[4 6 2 1 7 8 3 9 0 5],1298998,[3 6 1 8 0 9 7 5 2 4]
38,1984612,[5 4 1 8 3 6 0 9 2 7],2006043,[5 4 8 0 2 1 3 7 9 6],1179433,[3 2 4 0 1 8 5 6 9 7],1884748,[5 1 7 9 6 2 0 8 3 4],774795,[2 1 3 8 0 7 4 6 9 5]
39,2070799,[5 7 2 9 0 6 3 1 8 4],3479054,[9 5 2 3 0 1 7 6 4 8],3539908,[9 6 7 2 4 1 0 8 3 5],6120,[0 1 3 4 7 2 5 6 8 9],1883053,[5 1 7 6 3 0 8 2 9 4]
