10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,57965,[0 2 5 6 7 1 3 9 8 4],1744624,[4 8 2 1 0 6 7 9 3 5],475592,[1 3 8 4 6 2 5 7 0 9],324579,[0 9 1 4 7 8 2 5 6 3],1312912,[3 6 5 4 2 9 7 8 0 1]
2,314184,[0 8 7 3 4 2 1 5 6 9],1780870,[4 9 1 3 5 6 8 7 0 2],495888,[1 4 3 5 8 6 0 2 7 9],604542,[1 6 9 8 4 7 2 0 3 5],1321380,[3 6 8 1 2 5 7 0 4 9]
3,201608,[0 6 1 2 3 4 7 8 5 9],1533548,[4 2 0 3 9 6 8 5 1 7],737204,[2 0 4 3 9 5 8 6 1 7],302021,[0 8 4 9 3 7 1 6 5 2],1358266,[3 7 6 4 2 9 1 8 0 5]
4,184030,[0 5 6 4 7 3 9 8 1 2],1620722,[4 5 1 7 0 2 3 8 6 9],760726,[2 0 8 9 5 3 7 6 1 4],603225,[1 6 9 5 7 8 2 3 4 0],1078163,[2 9 6 8 3 5 1 7 4 0]
5,338677,[0 9 4 2 5 3 7 1 8 6],1868498,[5 1 3 8 0 9 2 6 4 7],731786,[2 0 3 4 6 5 1 8 7 9],315361,[0 8 7 5 1 2 3 4 9 6],1198380,[3 2 7 8 4 5 6 0 1 9]
6,279715,[0 7 9 4 3 8 6 1 5 2],1561017,[4 2 7 8 0 5 3 6 9 1],504305,[1 4 6 0 5 7 8 9 3 2],546232,[1 5 6 3 7 9 4 8 0 2],1036572,[2 8 6 5 7 0 4 1 3 9]
7,32222,[0 1 8 4 7 5 6 3 2 9],1713342,[4 7 3 9 5 8 1 0 2 6],720994,[1 9 8 0 4 3 5 7 2 6],492462,[1 4 2 7 9 8 3 0 5 6],1231291,[3 4 6 2 0 8 9 1 7 5]
8,263699,[0 7 5 3 2 6 4 9 8 1],1873902,[5 1 4 8 6 9 2 0 3 7],762250,[2 0 9 3 7 1 5 8 4 6],385457,[1 0 6 5 4 2 8 9 7 3],1198395,[3 2 7 8 4 6 0 5 9 1]
9,214300,[0 6 3 5 7 9 1 8 2 4],1882724,[5 1 7 4 9 2 8 3 0 6],558358,[1 5 8 7 3 9 6 4 0 2],567944,[1 6 0 7 8 9 3 4 2 5],1260854,[3 5 2 1 4 0 8 7 6 9]
10,238177,[0 6 9 2 7 8 1 3 5 4],1552829,[4 2 6 0 8 3 1 9 7 5],768281,[2 1 0 6 3 5 8 9 7 4],611596,[1 7 2 4 5 8 0 9 3 6],1187726,[3 2 5 7 6 8 4 1 0 9]
11,46391,[0 2 3 4 6 7 9 8 5 1],1753763,[4 8 3 9 6 5 1 7 2 0],442631,[1 2 9 7 6 4 8 5 3 0],553607,[1 5 7 8 9 2 6 4 3 0],1285775,[3 5 9 0 7 6 8 4 2 1]
12,50112,[0 2 3 9 6 7 1 4 5 8],1814339,[4 9 8 7 6 2 1 5 3 0],708498,[1 9 5 6 0 2 8 3 4 7],421372,[1 2 5 7 3 6 0 9 4 8],1337506,[3 7 1 4 6 9 2 8 0 5]
13,334357,[0 9 3 4 5 2 7 1 8 6],1810164,[4 9 8 1 0 6 5 2 3 7],754747,[2 0 7 8 3 5 9 1 6 4],338269,[0 9 4 1 7 8 5 2 6 3],1147686,[3 1 5 8 0 2 6 4 7 9]
14,259434,[0 7 4 5 2 9 8 1 3 6],1524606,[4 1 8 5 6 0 3 2 7 9],646937,[1 8 0 4 6 2 7 9 5 3],346511,[0 9 5 7 2 4 8 6 3 1],1086635,[2 9 8 5 1 3 4 7 6 0]
15,13868,[0 1 4 8 3 6 9 5 2 7],1804286,[4 9 6 8 7 3 2 1 0 5],440920,[1 2 9 5 4 3 7 8 0 6],624379,[1 7 4 9 2 0 8 3 6 5],1071302,[2 9 5 4 8 3 6 1 0 7]
16,71846,[0 2 8 3 7 6 5 4 1 9],1788994,[4 9 2 8 6 1 3 7 0 5],698706,[1 9 3 6 4 5 8 0 2 7],369542,[1 0 3 5 4 7 8 6 2 9],1114017,[3 0 7 1 4 6 5 8 9 2]
17,215560,[0 6 3 8 4 2 7 9 1 5],1593435,[4 3 6 1 0 8 2 7 9 5],591969,[1 6 7 4 2 0 5 8 9 3],342212,[0 9 4 8 2 6 7 3 1 5],1057491,[2 9 1 7 6 4 0 5 8 3]
18,339853,[0 9 4 5 1 2 7 3 8 6],1530964,[4 1 9 7 3 0 2 8 5 6],649492,[1 8 0 9 2 5 3 7 4 6],617605,[1 7 3 5 8 6 4 0 9 2],1303528,[3 6 2 7 4 8 5 9 0 1]
19,216275,[0 6 3 9 4 2 5 8 7 1],1698472,[4 7 0 9 8 6 3 5 1 2],635605,[1 7 8 0 6 5 4 2 9 3],556732,[1 5 8 4 2 6 0 9 3 7],1202966,[3 2 8 6 7 5 4 1 0 9]
20,48328,[0 2 3 7 1 8 6 9 4 5],1553593,[4 2 6 1 8 7 0 3 9 5],528199,[1 5 0 8 6 7 3 2 9 4],653553,[1 8 2 6 7 3 4 5 9 0],1014420,[2 8 1 3 9 5 6 0 4 7]
21,99152,[0 3 5 7 8 2 4 6 1 9],1725540,[4 7 8 2 5 3 6 0 1 9],787864,[2 1 6 4 3 7 8 9 0 5],326225,[0 9 1 7 2 5 6 8 4 3],1125884,[3 0 9 4 7 2 8 5 1 6]
22,228527,[0 6 7 3 4 2 9 8 5 1],1685647,[4 6 8 3 1 0 5 2 9 7],524444,[1 5 0 2 6 4 9 7 3 8],321224,[0 8 9 6 1 7 3 4 2 5],1093454,[3 0 1 9 7 2 6 5 4 8]
23,232619,[0 6 8 2 1 5 4 9 7 3],1876275,[5 1 6 2 9 7 0 4 8 3],476747,[1 3 8 6 0 9 4 7 5 2],327459,[0 9 1 8 6 7 2 4 5 3],1142734,[3 1 4 8 0 7 9 6 2 5]
24,318098,[0 8 9 1 6 7 2 4 3 5],1837256,[5 0 6 4 8 3 2 7 1 9],467941,[1 3 6 8 9 4 5 0 7 2],334054,[0 9 3 2 8 6 7 5 1 4],1304993,[3 6 2 9 4 8 5 7 1 0]
25,115459,[0 3 8 9 4 1 7 2 6 5],1696787,[4 7 0 6 5 9 2 8 3 1],760880,[2 0 8 9 6 5 3 4 1 7],650540,[1 8 2 0 6 3 9 5 4 7],1095550,[3 0 2 5 7 6 9 8 1 4]
26,345381,[0 9 5 4 7 1 8 3 6 2],1688281,[4 6 8 9 7 0 1 2 5 3],615573,[1 7 3 0 9 6 8 4 5 2],516701,[1 4 8 5 6 9 0 7 3 2],1013714,[2 8 1 0 9 6 3 5 4 7]
27,251084,[0 7 2 8 6 3 9 4 1 5],1733415,[4 7 9 8 3 0 5 2 6 1],596345,[1 6 8 3 2 5 7 9 4 0],391236,[1 0 7 6 4 3 8 2 5 9],1246719,[3 4 9 2 6 1 7 5 8 0]
28,187528,[0 5 7 2 4 8 6 9 1 3],1876353,[5 1 6 3 0 4 7 8 9 2],632168,[1 7 6 4 0 2 5 8 3 9],382602,[1 0 5 9 4 3 8 2 6 7],1088916,[3 0 1 2 6 5 8 4 7 9]
29,230252,[0 6 7 5 8 4 9 2 1 3],1627258,[4 5 2 9 0 6 3 8 1 7],688278,[1 9 0 5 8 6 3 2 4 7],560192,[1 5 9 2 0 4 6 7 3 8],1045958,[2 8 9 4 6 1 5 3 0 7]
30,15544,[0 1 5 2 7 6 8 9 3 4],1555672,[4 2 6 7 5 9 3 8 0 1],513821,[1 4 7 9 5 8 0 6 3 2],303323,[0 8 5 2 3 7 4 9 6 1],1063014,[2 9 3 8 4 5 1 0 6 7]
31,42219,[0 2 1 5 7 9 3 6 8 4],1754991,[4 8 5 1 3 9 6 2 7 0],772626,[2 1 3 5 0 7 9 4 6 8],533358,[1 5 2 8 7 6 3 0 4 9],1128571,[3 0 9 8 4 6 7 1 5 2]
32,127949,[0 4 2 5 8 3 1 9 7 6],1610798,[4 3 9 6 1 2 7 5 0 8],513573,[1 4 7 9 2 6 8 3 5 0],620433,[1 7 4 0 8 3 5 6 9 2],1193132,[3 2 6 8 0 7 9 4 1 5]
33,142336,[0 4 6 2 8 1 7 9 3 5],1836109,[5 0 6 3 1 9 7 2 8 4],514569,[1 4 8 0 7 2 5 6 9 3],435330,[1 2 8 4 6 7 9 0 3 5],1198772,[3 2 7 8 9 5 6 1 0 4]
34,185166,[0 5 6 8 2 1 4 3 7 9],1807985,[4 9 7 6 0 3 5 8 2 1],676815,[1 8 7 3 0 2 6 5 9 4],382324,[1 0 5 9 2 3 4 8 6 7],1271516,[3 5 6 1 9 8 7 2 0 4]
35,98653,[0 3 5 7 1 2 8 4 9 6],1665941,[4 6 2 5 8 9 0 7 3 1],718047,[1 9 7 4 2 6 5 3 8 0],514294,[1 4 8 0 3 7 9 6 2 5],1314120,[3 6 5 8 1 0 2 4 7 9]
36,106646,[0 3 7 2 1 8 6 5 4 9],1861715,[5 1 2 4 8 3 6 9 7 0],530031,[1 5 2 3 0 9 7 6 8 4],651402,[1 8 2 3 7 4 9 0 5 6],1298575,[3 6 1 7 5 4 2 0 9 8]
37,262304,[0 7 5 1 3 9 4 6 2 8],1605913,[4 3 8 6 2 7 0 1 9 5],727107,[2 0 1 4 9 5 3 7 8 6],454231,[1 3 4 0 9 5 6 2 8 7],1250077,[3 5 0 1 4 6 8 2 9 7]
38,122534,[0 4 1 5 3 2 8 7 6 9],1636882,[4 5 6 8 2 7 1 9 0 3],486476,[1 4 0 6 7 9 8 3 2 5],572096,[1 6 2 5 7 4 3 8 0 9],1302910,[3 6 2 5 7 4 9 8 0 1]
39,65362,[0 2 6 9 7 5 3 8 1 4],1698622,[4 7 1 0 3 2 9 8 5 6],765281,[2 0 9 7 8 3 5 6 4 1],648852,[1 8 0 7 3 2 6 4 5 9],1145317,[3 1 5 2 8 4 7 0 9 6]
40,284322,[0 8 1 4 9 3 7 2 5 6],1851982,[5 0 9 4 2 1 8 7 3 6],573032,[1 6 2 7 9 3 4 5 0 8],428170,[1 2 6 9 7 0 4 8 3 5],1051620,[2 9 0 6 5 4 7 1 3 8]
