100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1205,[1 5 0 2 6 4 3],3214,[4 2 5 6 3 0 1],1105,[1 4 2 0 3 6 5],5027,[6 5 4 1 3 2 0]
2,429,[0 4 3 6 2 5 1],1924,[2 5 0 1 6 3 4],628,[0 6 2 1 5 3 4],3384,[4 5 1 0 2 3 6]
3,2222,[3 0 4 5 2 1 6],3668,[5 0 3 6 2 1 4],4947,[6 5 1 0 3 4 2],3382,[4 5 0 6 3 1 2]
4,4727,[6 3 1 5 4 2 0],2508,[3 2 6 4 0 1 5],2580,[3 4 2 5 0 1 6],3303,[4 3 2 5 1 6 0]
5,840,[1 2 0 3 4 5 6],104,[0 1 6 3 4 2 5],1374,[1 6 3 2 0 4 5],1674,[2 1 6 5 0 3 4]
6,3144,[4 2 1 0 3 5 6],1402,[1 6 4 2 5 0 3],1971,[2 5 3 0 4 6 1],2275,[3 0 6 5 1 4 2]
7,2466,[3 2 4 6 0 1 5],39,[0 1 3 5 4 6 2],3730,[5 1 0 3 6 2 4],139,[0 2 1 6 3 5 4]
8,4235,[5 6 1 2 4 3 0],4679,[6 2 5 4 3 1 0],2124,[2 6 4 3 0 1 5],973,[1 3 0 5 2 6 4]
9,4851,[6 4 2 0 3 5 1],3171,[4 2 3 0 5 6 1],362,[0 4 1 2 5 3 6],3266,[4 3 1 0 5 2 6]
10,202,[0 2 5 3 6 1 4],1942,[2 5 0 6 4 1 3],2939,[4 0 3 2 6 5 1],2596,[3 4 5 0 6 1 2]
11,605,[0 6 1 2 5 4 3],2447,[3 2 1 6 5 4 0],751,[1 0 3 4 2 6 5],2943,[4 0 3 5 2 6 1]
12,1953,[2 5 1 3 4 6 0],1756,[2 3 5 0 6 1 4],1159,[1 4 5 2 0 6 3],2339,[3 1 4 2 6 5 0]
13,2074,[2 6 1 3 5 0 4],3254,[4 3 0 5 2 1 6],1210,[1 5 0 3 6 2 4],2345,[3 1 4 5 6 2 0]
14,3673,[5 0 4 1 2 6 3],3172,[4 2 3 0 6 1 5],977,[1 3 0 5 6 4 2],3933,[5 2 4 6 1 3 0]
15,2631,[3 4 6 2 1 5 0],175,[0 2 4 3 1 6 5],4487,[6 1 2 5 4 3 0],2426,[3 2 1 0 5 4 6]
16,987,[1 3 2 0 5 6 4],4640,[6 2 4 1 3 0 5],4895,[6 4 3 5 2 1 0],1388,[1 6 3 5 2 0 4]
17,2106,[2 6 3 5 0 1 4],3860,[5 2 0 6 3 1 4],1420,[1 6 5 0 4 2 3],538,[0 5 3 2 6 1 4]
