70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,2541,[3 4 0 6 2 5 1],967,[1 3 0 4 2 6 5],714,[0 6 5 4 1 2 3],3743,[5 1 0 6 4 3 2]
2,1631,[2 1 4 6 5 3 0],4272,[5 6 3 0 1 2 4],1244,[1 5 2 6 3 0 4],2868,[3 6 5 2 0 1 4]
3,2805,[3 6 1 5 2 4 0],2196,[3 0 2 5 1 4 6],1272,[1 5 4 0 2 3 6],2095,[2 6 3 1 0 5 4]
4,3342,[4 3 6 1 0 2 5],1154,[1 4 5 0 3 2 6],3877,[5 2 1 4 0 6 3],685,[0 6 4 3 1 5 2]
5,3489,[4 6 0 2 3 5 1],1268,[1 5 3 6 2 0 4],1865,[2 4 3 5 6 1 0],3820,[5 1 6 0 4 2 3]
6,1929,[2 5 0 3 4 6 1],3893,[5 2 3 0 6 4 1],3580,[4 6 5 0 3 1 2],2539,[3 4 0 6 1 5 2]
7,2834,[3 6 4 0 2 1 5],3509,[4 6 1 0 5 3 2],1189,[1 4 6 3 0 5 2],3393,[4 5 1 2 3 6 0]
8,247,[0 3 1 4 2 6 5],2587,[3 4 2 6 0 5 1],3334,[4 3 5 6 2 0 1],3551,[4 6 2 5 3 1 0]
9,1577,[2 1 0 5 6 4 3],3333,[4 3 5 6 1 2 0],1577,[2 1 0 5 6 4 3],1380,[1 6 3 4 0 2 5]
10,3458,[4 5 6 0 2 1 3],4272,[5 6 3 0 1 2 4],2067,[2 6 1 0 4 5 3],4124,[5 4 1 6 2 0 3]
11,717,[0 6 5 4 2 3 1],2844,[3 6 4 2 0 1 5],1808,[2 4 0 3 5 1 6],1449,[2 0 1 4 5 6 3]
12,3543,[4 6 2 3 1 5 0],1176,[1 4 6 0 2 3 5],2115,[2 6 4 0 3 5 1],2486,[3 2 5 4 1 0 6]
13,1615,[2 1 4 3 0 6 5],952,[1 2 6 4 5 0 3],3861,[5 2 0 6 3 4 1],2644,[3 5 0 1 6 2 4]
14,3072,[4 1 5 0 2 3 6],1531,[2 0 5 6 1 4 3],1250,[1 5 3 0 4 2 6],1688,[2 3 0 4 5 1 6]
15,927,[1 2 5 4 3 6 0],1460,[2 0 1 6 4 3 5],1002,[1 3 2 6 0 4 5],2291,[3 1 0 4 6 5 2]
16,241,[0 3 1 2 4 6 5],2096,[2 6 3 1 4 0 5],2986,[4 0 6 2 5 1 3],2373,[3 1 5 6 2 4 0]
17,831,[1 0 6 4 3 5 2],1042,[1 3 5 2 6 0 4],2850,[3 6 4 5 0 1 2],3444,[4 5 3 2 0 1 6]
