40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1211,[1 5 0 3 6 4 2],2953,[4 0 5 1 2 6 3],2054,[2 6 0 4 3 1 5],1518,[2 0 5 3 1 4 6]
2,2138,[2 6 5 0 3 1 4],3762,[5 1 2 6 0 3 4],1852,[2 4 3 0 6 1 5],1438,[1 6 5 4 3 0 2]
3,1957,[2 5 1 4 0 6 3],2152,[2 6 5 3 4 0 1],1269,[1 5 3 6 2 4 0],2046,[2 6 0 3 1 4 5]
4,784,[1 0 4 5 6 2 3],3125,[4 2 0 1 6 5 3],2926,[4 0 2 6 5 1 3],1332,[1 6 0 4 2 3 5]
5,2144,[2 6 5 1 3 0 4],2237,[3 0 5 1 6 4 2],2803,[3 6 1 5 0 4 2],1762,[2 3 5 1 6 0 4]
6,915,[1 2 5 0 4 6 3],2872,[3 6 5 2 4 0 1],2354,[3 1 5 0 4 2 6],1634,[2 1 5 0 4 3 6]
7,314,[0 3 5 1 4 2 6],3439,[4 5 3 1 0 6 2],1412,[1 6 4 5 2 0 3],1672,[2 1 6 4 5 0 3]
8,1030,[1 3 4 6 5 0 2],3606,[5 0 1 3 2 4 6],1930,[2 5 0 3 6 1 4],2203,[3 0 2 6 1 5 4]
9,966,[1 3 0 4 2 5 6],2180,[3 0 1 6 4 2 5],2775,[3 6 0 4 2 5 1],2959,[4 0 5 2 1 6 3]
10,2211,[3 0 4 1 5 6 2],3252,[4 3 0 5 1 2 6],1544,[2 0 6 3 4 1 5],1896,[2 4 6 0 1 3 5]
11,1521,[2 0 5 3 4 6 1],2559,[3 4 1 5 2 6 0],1538,[2 0 6 1 4 3 5],2899,[4 0 1 6 2 5 3]
12,317,[0 3 5 1 6 4 2],2720,[3 5 4 1 2 0 6],2562,[3 4 1 6 0 2 5],2815,[3 6 2 1 0 5 4]
13,2185,[3 0 2 1 4 6 5],2561,[3 4 1 5 6 2 0],2869,[3 6 5 2 0 4 1],3140,[4 2 0 6 3 1 5]
14,2145,[2 6 5 1 3 4 0],2324,[3 1 2 6 4 0 5],1713,[2 3 1 4 5 6 0],1925,[2 5 0 1 6 4 3]
15,1228,[1 5 2 0 6 3 4],2377,[3 1 6 0 2 5 4],1995,[2 5 4 0 3 6 1],2929,[4 0 3 1 2 6 5]
16,2103,[2 6 3 4 1 5 0],2240,[3 0 5 2 4 1 6],2849,[3 6 4 2 5 1 0],3266,[4 3 1 0 5 2 6]
17,1129,[1 4 3 0 2 6 5],2665,[3 5 1 0 2 6 4],1079,[1 3 6 5 4 2 0],1674,[2 1 6 5 0 3 4]
