100%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,1017544,[2 8 1 9 3 5 6 7 0 4],2354206,[6 4 3 0 8 2 9 7 1 5]
2,317384,[0 8 7 9 5 6 2 3 1 4],1791396,[4 9 3 5 0 2 7 1 6 8]
3,72388,[0 2 8 4 6 3 1 9 5 7],2275804,[6 2 4 5 9 0 1 8 3 7]
4,2082906,[5 7 6 1 9 3 8 0 2 4],1444018,[3 9 7 4 5 2 1 8 0 6]
5,1896572,[5 2 0 4 1 8 9 6 3 7],350075,[0 9 6 4 2 3 5 8 7 1]
6,445742,[1 3 0 6 2 7 8 5 4 9],69906,[0 2 7 9 1 5 8 3 4 6]
7,899179,[2 5 3 4 9 0 8 1 7 6],88096,[0 3 2 6 5 1 8 9 4 7]
8,2697670,[7 3 9 1 6 4 8 5 0 2],2746279,[7 5 0 9 2 6 3 1 8 4]
9,1283669,[3 5 8 6 9 1 0 7 4 2],3619408,[9 8 6 0 7 4 3 5 1 2]
10,1772232,[4 8 9 5 2 6 0 1 3 7],2309225,[6 3 2 1 4 7 8 9 5 0]
11,3442197,[9 4 2 8 6 7 5 1 3 0],1609224,[4 3 9 2 0 5 1 6 7 8]
12,726870,[2 0 1 4 7 5 6 3 8 9],672700,[1 8 6 4 2 9 0 7 3 5]
13,1474443,[4 0 6 5 9 1 2 7 8 3],141193,[0 4 6 1 2 8 3 5 9 7]
14,2756205,[7 5 2 9 0 3 8 4 6 1],3020220,[8 2 9 1 6 4 5 0 3 7]
15,315867,[0 8 7 5 6 2 1 4 9 3],1696201,[4 7 0 5 9 1 2 3 8 6]
16,612826,[1 7 2 6 0 9 4 8 3 5],801130,[2 1 8 9 6 0 4 7 3 5]
17,630404,[1 7 6 0 5 3 9 4 2 8],1792206,[4 9 3 6 1 0 5 2 7 8]
18,3096666,[8 4 7 2 9 3 6 0 1 5],1522936,[4 1 8 2 3 0 7 9 5 6]
19,3389699,[9 3 0 5 8 4 2 7 6 1],1783403,[4 9 1 7 8 5 2 6 3 0]
20,1281980,[3 5 8 2 6 0 9 4 1 7],3124388,[8 5 3 9 2 4 7 1 0 6]
21,670635,[1 8 6 0 4 7 2 5 9 3],1008406,[2 8 0 1 6 4 9 7 3 5]
22,1388608,[3 8 4 5 6 7 2 9 0 1],1853822,[5 0 9 7 6 3 4 2 1 8]
23,80411,[0 2 9 8 6 1 4 7 5 3],3113701,[8 5 1 7 4 3 6 0 9 2]
24,1514596,[4 1 6 5 7 8 0 9 2 3],3175126,[8 6 5 9 7 1 4 3 0 2]
25,2023865,[5 6 1 4 9 3 7 8 2 0],2843532,[7 8 4 1 3 0 6 2 5 9]
26,2306962,[6 3 1 8 0 7 4 9 2 5],1017987,[2 8 1 9 7 3 0 5 6 4]
27,744756,[2 0 5 8 4 3 7 1 6 9],3491460,[9 5 4 7 1 3 6 0 2 8]
28,945003,[2 6 4 5 7 0 1 8 9 3],1039930,[2 8 7 3 4 0 5 9 1 6]
29,3152634,[8 6 1 4 5 9 7 0 2 3],640493,[1 7 9 0 5 4 2 8 6 3]
30,2204455,[6 0 7 3 8 4 2 1 9 5],1482297,[4 0 8 1 7 5 3 6 9 2]
31,2392453,[6 5 2 7 9 0 4 1 8 3],2841921,[7 8 3 9 0 5 2 4 6 1]
32,2228893,[6 1 3 2 8 0 7 4 9 5],644641,[1 7 9 8 3 0 2 4 6 5]
33,1557959,[4 2 7 0 8 9 6 5 3 1],1781496,[4 9 1 5 2 8 0 3 6 7]
34,2131723,[5 8 7 9 4 1 6 0 3 2],447290,[1 3 0 8 4 6 2 7 5 9]
35,1081393,[2 9 7 4 8 5 0 1 6 3],41775,[0 2 1 5 3 4 8 7 9 6]
36,1957639,[5 3 6 2 9 7 1 0 8 4],1859907,[5 1 2 0 4 6 3 8 9 7]
37,2378358,[6 4 9 8 1 5 2 0 3 7],3273024,[9 0 2 4 8 3 1 5 6 7]
38,1174261,[3 2 0 9 8 5 6 1 7 4],2978336,[8 1 7 9 4 3 2 5 0 6]
39,1017508,[2 8 1 9 3 4 0 7 5 6],1353993,[3 7 5 6 4 1 2 8 9 0]
40,810518,[2 3 0 8 7 4 6 5 1 9],2212702,[6 0 9 1 3 2 8 7 4 5]
41,684965,[1 8 9 7 3 0 2 6 5 4],3441202,[9 4 2 7 3 6 1 8 0 5]
42,1980196,[5 4 0 9 2 7 1 8 3 6],1886753,[5 1 8 3 4 9 6 7 2 0]
43,260056,[0 7 4 6 2 1 8 9 3 5],1462562,[4 0 3 2 6 1 5 8 7 9]
44,884776,[2 4 9 5 8 0 6 7 1 3],3500387,[9 5 7 3 4 8 1 6 2 0]
45,1310035,[3 6 4 9 2 8 7 0 5 1],1136421,[3 1 2 6 5 0 9 7 8 4]
46,3061441,[8 3 9 4 0 1 2 5 7 6],1976637,[5 4 0 2 3 9 8 6 7 1]
47,140092,[0 4 5 8 6 3 1 9 2 7],1151420,[3 1 6 5 2 0 9 7 4 8]
48,481660,[1 3 9 5 8 7 0 6 2 4],3438916,[9 4 2 3 1 7 0 8 5 6]
49,675155,[1 8 6 9 5 2 3 7 4 0],663717,[1 8 4 6 7 9 5 2 3 0]
50,2762714,[7 5 4 1 0 8 2 6 3 9],3194491,[8 7 1 6 5 4 9 0 3 2]
51,3501759,[9 5 7 6 3 1 4 2 8 0],129809,[0 4 2 8 3 7 6 9 5 1]
52,634984,[1 7 6 9 8 3 4 5 0 2],323505,[0 9 1 3 4 8 5 6 7 2]
53,2395807,[6 5 3 2 7 0 4 1 9 8],567361,[1 6 0 7 2 3 4 5 9 8]
54,1914876,[5 2 4 9 6 1 7 0 3 8],2009745,[5 4 8 7 1 9 2 3 6 0]
55,1452637,[4 0 1 3 7 5 8 2 9 6],1140766,[3 1 4 5 6 2 9 8 0 7]
56,1946018,[5 3 2 0 8 9 1 6 4 7],273038,[0 7 8 2 3 4 6 5 1 9]
57,1797221,[4 9 5 6 0 8 1 7 3 2],136535,[0 4 5 1 7 8 9 6 3 2]
58,3014327,[8 2 7 0 5 3 9 6 4 1],207363,[0 6 2 3 1 4 5 8 9 7]
59,1988142,[5 4 2 6 1 9 3 0 7 8],2744875,[7 5 0 6 2 9 8 1 4 3]
60,1911360,[5 2 4 1 8 0 3 6 7 9],3329780,[9 1 5 6 7 0 8 3 2 4]
61,3603707,[9 8 3 0 1 7 4 6 5 2],326217,[0 9 1 7 2 5 4 6 8 3]
62,2613742,[7 1 8 5 2 0 9 6 3 4],1473123,[4 0 6 3 1 2 5 8 9 7]
63,1498825,[4 1 2 5 8 3 0 6 9 7],2723890,[7 4 5 3 1 0 6 9 2 8]
64,2166019,[5 9 6 7 2 0 8 1 4 3],2064637,[5 7 1 6 4 2 8 0 9 3]
65,2472304,[6 8 2 4 7 3 5 9 0 1],1593518,[4 3 6 1 2 5 8 7 0 9]
66,2111085,[5 8 2 9 0 3 7 4 6 1],2611646,[7 1 8 2 3 6 5 4 0 9]
67,1150916,[3 1 6 4 5 9 8 2 0 7],1396554,[3 8 6 0 5 9 7 1 2 4]
68,365927,[1 0 2 7 4 5 9 8 6 3],1243680,[3 4 8 7 2 0 1 5 6 9]
69,427023,[1 2 6 8 0 5 7 4 9 3],1364559,[3 7 8 6 1 2 5 4 9 0]
70,2520456,[6 9 4 0 5 8 1 2 3 7],2401492,[6 5 4 3 2 7 0 9 1 8]
71,1661483,[4 6 1 7 5 8 2 9 3 0],2787221,[7 6 1 0 2 9 3 8 5 4]
72,2244191,[6 1 7 2 9 4 8 5 3 0],1205306,[3 2 9 1 0 5 4 7 6 8]
73,230534,[0 6 7 8 2 1 5 4 3 9],872996,[2 4 7 1 5 9 8 3 0 6]
74,57370,[0 2 5 4 8 1 6 9 3 7],1523035,[4 1 8 2 3 9 7 0 6 5]
75,2992685,[8 2 1 7 5 0 3 9 6 4],2104057,[5 8 1 4 2 9 0 3 7 6]
76,2096565,[5 7 9 8 6 1 4 2 3 0],2890103,[7 9 5 3 0 1 8 6 4 2]
77,50786,[0 2 4 1 7 5 3 8 6 9],3190276,[8 7 0 9 6 4 1 5 2 3]
