99%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,2244358,[6 1 7 3 0 9 8 5 2 4],2145318,[5 9 1 6 4 7 2 0 3 8]
2,2576637,[7 0 9 2 5 8 6 3 4 1],375903,[1 0 4 7 2 6 8 5 9 3]
3,241260,[0 6 9 8 1 4 5 2 3 7],2059094,[5 7 0 4 9 1 6 3 2 8]
4,2588180,[7 1 2 5 8 0 9 4 3 6],2127588,[5 8 7 0 9 6 3 1 2 4]
5,3267799,[9 0 1 4 6 7 3 2 8 5],2593982,[7 1 3 6 8 4 5 2 0 9]
6,2095566,[5 7 9 6 3 0 2 1 4 8],1502286,[4 1 3 0 7 2 6 5 8 9]
7,3281936,[9 0 4 2 3 6 5 7 1 8],1652000,[4 5 9 7 2 6 1 3 0 8]
8,3538742,[9 6 7 0 8 3 4 2 1 5],2890196,[7 9 5 3 0 8 6 2 1 4]
9,1488388,[4 0 9 3 2 5 1 8 6 7],3169239,[8 6 4 7 5 1 3 2 9 0]
10,449196,[1 3 2 0 9 5 7 4 6 8],644634,[1 7 9 8 2 6 5 0 3 4]
11,782322,[2 1 5 3 7 4 9 0 6 8],2482615,[6 8 4 5 0 3 2 1 9 7]
12,2198430,[6 0 5 2 4 3 7 1 8 9],932314,[2 6 0 9 8 3 4 7 1 5]
13,2392608,[6 5 2 8 0 4 1 3 7 9],712937,[1 9 6 4 2 0 7 8 5 3]
14,2344763,[6 4 1 2 7 8 3 9 5 0],3576790,[9 7 5 4 6 2 8 3 0 1]
15,3019527,[8 2 9 0 6 5 4 3 7 1],1854488,[5 0 9 8 6 1 3 4 2 7]
16,151964,[0 4 8 2 1 5 9 6 3 7],814807,[2 3 1 7 8 0 5 4 9 6]
17,2954682,[8 1 3 2 7 4 9 0 5 6],3409795,[9 3 5 4 7 8 6 0 2 1]
18,2210278,[6 0 8 4 7 9 5 3 1 2],1957960,[5 3 6 4 2 1 8 9 0 7]
19,108248,[0 3 7 5 4 1 6 8 2 9],2739553,[7 4 9 3 8 5 0 1 6 2]
20,1740870,[4 8 1 3 9 2 5 0 6 7],2187617,[6 0 3 1 5 2 8 9 7 4]
21,1328546,[3 6 9 5 1 2 0 7 4 8],1496589,[4 1 0 9 6 5 8 3 7 2]
22,2537622,[6 9 8 3 2 7 1 0 4 5],1429626,[3 9 4 6 5 2 8 0 1 7]
23,882236,[2 4 9 0 3 8 7 5 1 6],1864510,[5 1 2 9 6 4 8 7 0 3]
24,89787,[0 3 2 8 7 4 1 6 9 5],647396,[1 8 0 5 2 9 7 4 3 6]
25,947246,[2 6 4 9 5 7 3 1 0 8],269216,[0 7 6 3 9 4 2 5 1 8]
26,300387,[0 8 4 6 2 3 1 7 9 5],2212295,[6 0 8 9 4 5 7 3 2 1]
27,3410520,[9 3 5 6 8 0 1 2 4 7],1875183,[5 1 6 0 4 7 8 3 9 2]
28,2074242,[5 7 3 4 9 1 8 0 2 6],2057841,[5 7 0 3 1 8 4 6 9 2]
29,2383605,[6 5 0 9 4 2 8 3 7 1],3306298,[9 1 0 2 3 6 5 8 4 7]
30,2627678,[7 2 1 4 6 3 8 5 0 9],3578061,[9 7 5 8 3 0 6 2 4 1]
31,885232,[2 4 9 6 3 8 5 7 0 1],1612063,[4 3 9 7 8 6 1 0 5 2]
32,745722,[2 0 5 9 7 3 8 1 4 6],1543773,[4 2 3 5 0 8 9 6 7 1]
33,2082691,[5 7 6 1 4 8 9 0 3 2],1317973,[3 6 7 4 5 0 8 1 9 2]
34,176303,[0 5 3 9 8 1 7 6 4 2],812878,[2 3 1 4 9 8 7 6 0 5]
35,196872,[0 5 9 1 4 7 2 3 6 8],2572967,[7 0 8 4 5 2 9 6 3 1]
36,1889892,[5 1 8 9 7 0 4 2 3 6],1700812,[4 7 1 5 2 6 0 9 3 8]
37,3442570,[9 4 3 0 5 1 6 8 2 7],2352774,[6 4 2 8 7 3 1 0 5 9]
38,174569,[0 5 3 7 4 8 6 9 2 1],25229,[0 1 7 2 3 5 4 9 8 6]
39,3014870,[8 2 7 1 3 9 5 4 0 6],366017,[1 0 2 7 5 3 8 9 6 4]
40,822585,[2 3 5 1 6 9 4 7 8 0],1805826,[4 9 7 2 0 5 8 1 3 6]
41,1458594,[4 0 2 5 8 9 7 1 3 6],3311824,[9 1 2 0 7 5 6 8 3 4]
42,2659558,[7 2 9 5 6 8 4 3 0 1],809259,[2 3 0 6 9 8 1 5 7 4]
43,1404702,[3 8 7 5 9 6 1 0 2 4],2149492,[5 9 2 4 3 6 0 8 1 7]
44,2971253,[8 1 6 4 7 3 0 9 5 2],2005465,[5 4 7 9 2 1 0 3 8 6]
45,255787,[0 7 3 8 2 5 9 1 6 4],2255140,[6 1 9 4 0 8 2 7 3 5]
46,193631,[0 5 8 3 9 4 7 6 2 1],429277,[1 2 7 3 4 5 8 0 9 6]
47,3398119,[9 3 2 1 6 7 4 0 8 5],1532864,[4 2 0 1 9 8 5 6 3 7]
48,847528,[2 4 0 3 1 8 7 9 5 6],1924342,[5 2 7 8 6 0 9 4 1 3]
49,2141485,[5 9 0 8 2 6 4 1 7 3],1436263,[3 9 5 8 6 7 1 0 4 2]
50,2270963,[6 2 3 7 0 8 4 9 5 1],536177,[1 5 3 4 8 0 7 9 6 2]
51,2127048,[5 8 7 0 2 4 1 3 6 9],1078732,[2 9 7 0 3 5 1 8 4 6]
52,2450850,[6 7 8 1 9 4 5 0 2 3],3500869,[9 5 7 4 1 8 3 0 6 2]
53,2011901,[5 4 9 1 2 8 0 7 6 3],3397988,[9 3 2 1 5 6 8 4 0 7]
54,357921,[0 9 8 1 2 6 4 5 7 3],1657569,[4 6 0 9 2 1 5 7 8 3]
55,965817,[2 6 9 5 3 4 1 7 8 0],3579758,[9 7 6 1 8 2 4 3 0 5]
56,2651683,[7 2 8 0 9 3 6 1 5 4],1614655,[4 5 0 3 7 6 2 1 9 8]
57,1065838,[2 9 4 5 1 8 7 6 0 3],1784367,[4 9 2 0 3 7 6 5 8 1]
58,812164,[2 3 1 4 0 5 6 9 7 8],1901309,[5 2 1 3 8 4 0 9 7 6]
59,860819,[2 4 3 8 6 5 1 9 7 0],3229166,[8 9 0 5 7 4 3 2 1 6]
60,2289642,[6 2 8 3 0 4 9 1 5 7],3490837,[9 5 4 6 2 1 7 0 8 3]
61,1778732,[4 9 0 8 3 6 7 2 1 5],1455730,[4 0 1 8 9 2 5 7 3 6]
62,3095610,[8 4 7 1 3 6 9 0 2 5],2495112,[6 8 9 0 3 5 1 2 4 7]
63,839690,[2 3 8 6 1 5 0 7 4 9],2118492,[5 8 4 2 3 0 7 1 6 9]
64,1231035,[3 4 6 1 8 7 0 5 9 2],2814884,[7 6 8 3 4 1 9 2 0 5]
65,1144736,[3 1 5 0 9 6 4 7 2 8],583505,[1 6 4 8 3 5 7 9 2 0]
66,939022,[2 6 3 4 1 0 9 8 5 7],3077148,[8 4 2 5 7 9 3 0 1 6]
67,2055289,[5 6 9 7 3 2 0 1 8 4],1247135,[3 4 9 5 0 7 8 6 2 1]
68,1090702,[3 0 1 5 9 2 8 7 4 6],1525582,[4 1 8 6 9 0 7 5 2 3]
69,1128089,[3 0 9 7 6 5 4 8 2 1],383436,[1 0 6 2 7 4 8 3 5 9]
70,397135,[1 0 8 7 5 4 3 2 9 6],848260,[2 4 0 5 1 9 3 8 6 7]
71,2815675,[7 6 8 4 3 9 5 0 2 1],1941437,[5 3 1 2 6 8 0 9 7 4]
72,1140305,[3 1 4 2 8 6 7 9 5 0],2065911,[5 7 1 9 2 8 4 3 6 0]
73,2174273,[5 9 8 2 6 7 3 4 1 0],1421646,[3 9 2 0 6 1 5 4 7 8]
74,2863384,[7 9 0 1 8 4 5 6 2 3],3021784,[8 2 9 4 7 3 5 6 0 1]
75,3045462,[8 3 5 1 7 9 2 0 4 6],3034521,[8 3 2 0 6 7 4 5 9 1]
76,873270,[2 4 7 1 9 3 5 0 6 8],1716923,[4 7 5 6 3 8 1 9 2 0]
77,1775087,[4 9 0 2 5 3 8 7 6 1],1103262,[3 0 4 9 2 8 5 1 6 7]
