98%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,1908248,[5 2 3 7 4 0 6 8 1 9],2398270,[6 5 3 8 9 2 7 4 0 1]
2,1449386,[3 9 8 5 0 2 1 6 4 7],3564749,[9 7 3 2 0 4 1 8 6 5]
3,1213030,[3 4 0 7 8 5 9 6 1 2],2132810,[5 8 9 1 2 4 0 6 3 7]
4,2751368,[7 5 1 9 3 0 4 6 2 8],1998310,[5 4 6 3 2 7 9 8 0 1]
5,3136606,[8 5 7 2 3 1 9 6 0 4],1750164,[4 8 3 1 7 6 5 0 2 9]
6,1023655,[2 8 4 0 7 5 3 1 9 6],2112940,[5 8 3 1 6 9 0 7 2 4]
7,2438001,[6 7 3 8 0 5 2 4 9 1],765043,[2 0 9 7 5 3 8 1 6 4]
8,1801162,[4 9 6 2 5 7 1 8 0 3],2036749,[5 6 4 0 8 9 3 1 7 2]
9,1586674,[4 3 2 8 7 1 5 9 0 6],1389416,[3 8 4 6 7 2 1 5 0 9]
10,1880712,[5 1 7 2 0 8 3 4 6 9],520335,[1 4 9 2 7 0 6 5 8 3]
11,1692697,[4 6 9 7 8 5 0 1 3 2],850107,[2 4 0 7 8 3 1 6 9 5]
12,2607871,[7 1 6 4 0 3 5 2 9 8],1756314,[4 8 5 3 1 9 7 0 2 6]
13,3382311,[9 2 8 0 5 7 4 3 6 1],1357403,[3 7 6 2 1 8 4 9 5 0]
14,877467,[2 4 8 0 7 3 1 6 9 5],2048022,[5 6 8 2 3 9 1 0 4 7]
15,1449381,[3 9 8 5 0 1 7 4 6 2],2496953,[6 8 9 2 7 5 3 4 1 0]
16,2490573,[6 8 7 1 0 5 9 3 4 2],402510,[1 0 9 8 2 4 5 3 6 7]
17,2365679,[6 4 7 2 5 9 8 3 1 0],877175,[2 4 8 0 3 7 9 6 5 1]
18,722918,[1 9 8 4 0 3 6 5 2 7],3119960,[8 5 3 0 2 7 4 6 1 9]
19,2255380,[6 1 9 4 3 8 0 7 2 5],1628448,[4 5 3 0 8 6 1 2 7 9]
20,652847,[1 8 2 5 7 3 9 6 4 0],1096263,[3 0 2 6 7 5 8 4 9 1]
21,2206845,[6 0 7 9 1 3 8 4 5 2],3281532,[9 0 4 1 7 2 6 3 5 8]
22,575484,[1 6 3 2 4 8 7 0 5 9],84730,[0 3 1 8 7 2 5 9 4 6]
23,2319375,[6 3 5 1 4 0 8 7 9 2],1029395,[2 8 5 1 7 3 4 9 6 0]
24,3176292,[8 6 7 1 4 0 5 2 3 9],388608,[1 0 7 2 8 5 3 4 6 9]
25,66146,[0 2 7 1 9 4 3 6 5 8],3412021,[9 3 5 8 7 2 4 0 6 1]
26,1382726,[3 8 2 4 5 7 6 1 0 9],80873,[0 3 1 2 5 9 7 8 6 4]
27,301541,[0 8 4 7 6 9 1 5 3 2],3534293,[9 6 5 1 7 3 0 8 4 2]
28,2331815,[6 3 8 5 4 7 9 2 1 0],1530734,[4 1 9 7 0 2 6 5 3 8]
29,2943820,[8 1 0 2 6 9 3 7 4 5],933421,[2 6 1 3 5 7 8 0 9 4]
30,3269751,[9 0 1 7 3 8 5 4 6 2],429321,[1 2 7 3 4 8 5 6 9 0]
31,1849536,[5 0 8 9 6 7 1 2 3 4],3389666,[9 3 0 5 8 2 1 6 4 7]
32,2081531,[5 7 6 0 1 2 4 9 8 3],3310553,[9 1 0 7 8 6 4 5 3 2]
33,2550978,[7 0 3 2 1 4 9 5 6 8],2372212,[6 4 8 5 7 2 0 9 1 3]
34,3250516,[8 9 4 7 3 5 0 6 1 2],587799,[1 6 5 7 3 2 8 4 9 0]
35,2348796,[6 4 2 0 3 5 8 1 7 9],406823,[1 2 0 8 3 4 9 7 6 5]
36,331744,[0 9 2 7 6 4 5 8 1 3],1959810,[5 3 6 8 9 4 7 0 1 2]
37,1059999,[2 9 3 4 1 5 7 6 8 0],459163,[1 3 5 0 8 4 9 2 7 6]
38,1708809,[4 7 3 0 5 1 6 8 9 2],2882623,[7 9 3 8 4 6 1 0 5 2]
39,416754,[1 2 4 7 8 9 6 0 3 5],1413855,[3 9 0 5 7 1 6 4 8 2]
40,695697,[1 9 3 0 4 6 5 7 8 2],1135264,[3 1 2 4 8 6 7 9 0 5]
41,1955942,[5 3 6 0 7 4 8 2 1 9],1126999,[3 0 9 6 2 7 4 1 8 5]
42,3083167,[8 4 3 7 1 0 5 2 9 6],2372990,[6 4 8 7 5 9 2 1 0 3]
43,1952318,[5 3 4 2 7 1 8 6 0 9],2912301,[8 0 2 7 9 1 6 4 5 3]
44,30845,[0 1 8 2 9 3 4 7 6 5],3443747,[9 4 3 1 8 7 2 6 5 0]
45,2563419,[7 0 5 6 2 9 1 4 8 3],118643,[0 3 9 5 7 6 2 8 4 1]
46,1353251,[3 7 5 4 6 0 2 9 8 1],3192910,[8 7 1 4 5 3 9 6 0 2]
47,3287332,[9 0 5 2 7 4 1 8 3 6],1336978,[3 7 1 2 9 5 4 8 0 6]
48,1699032,[4 7 1 0 8 6 2 3 5 9],2998360,[8 2 3 9 4 1 6 7 0 5]
49,2836187,[7 8 2 6 0 9 3 5 4 1],1969144,[5 3 8 6 9 2 4 7 0 1]
50,2734779,[7 4 8 5 1 9 0 3 6 2],1899248,[5 2 0 8 9 1 4 6 3 7]
51,2657213,[7 2 9 1 5 4 0 8 6 3],2785941,[7 6 0 8 3 1 9 4 5 2]
52,918560,[2 5 8 1 7 6 3 4 0 9],2962100,[8 1 4 7 0 2 9 5 3 6]
53,448711,[1 3 2 0 5 6 7 4 9 8],2288486,[6 2 8 0 4 7 5 3 1 9]
54,2435007,[6 7 3 0 9 5 4 2 8 1],2152046,[5 9 2 8 7 4 3 1 0 6]
55,894809,[2 5 1 6 8 7 4 9 3 0],1285133,[3 5 8 9 7 2 0 6 4 1]
56,2582999,[7 1 0 5 4 9 8 6 3 2],3297771,[9 0 7 3 2 5 1 6 8 4]
57,2976106,[8 1 7 4 3 9 2 6 0 5],3248760,[8 9 4 5 1 0 2 3 6 7]
58,724168,[1 9 8 5 6 4 3 7 0 2],1226440,[3 4 5 2 6 1 8 9 0 7]
59,2425274,[6 7 1 2 4 8 0 5 3 9],1061842,[2 9 3 6 7 5 1 8 0 4]
60,2031511,[5 6 3 0 7 2 4 1 9 8],2452088,[6 7 8 3 5 0 2 4 1 9]
61,2100850,[5 8 0 7 9 1 3 6 2 4],176208,[0 5 3 9 7 4 1 2 6 8]
62,1478628,[4 0 7 3 6 9 5 1 2 8],2652016,[7 2 8 1 4 0 6 9 3 5]
63,2982276,[8 1 9 6 0 3 5 2 4 7],1249298,[3 4 9 8 0 7 1 5 2 6]
64,1289825,[3 5 9 8 2 4 6 7 1 0],2319856,[6 3 5 2 0 1 8 9 4 7]
65,237179,[0 6 9 1 4 5 3 8 7 2],1898008,[5 2 0 7 1 8 6 9 3 4]
66,1876229,[5 1 6 2 9 3 0 8 7 4],739329,[2 0 4 7 9 1 5 6 8 3]
67,3181110,[8 6 9 1 2 3 4 0 5 7],917223,[2 5 7 9 8 3 4 1 6 0]
68,625571,[1 7 5 0 9 2 4 8 6 3],847198,[2 4 0 1 7 9 8 6 3 5]
69,2691126,[7 3 6 9 5 0 2 1 4 8],968479,[2 7 0 3 1 8 5 4 9 6]
70,794195,[2 1 7 6 0 4 5 9 8 3],1502498,[4 1 3 0 8 9 2 6 5 7]
71,554192,[1 5 7 9 6 2 3 4 0 8],2175199,[5 9 8 4 0 6 2 1 7 3]
72,458747,[1 3 5 0 2 9 6 8 7 4],1042153,[2 8 7 6 3 5 0 1 9 4]
73,3191550,[8 7 1 2 6 3 4 0 5 9],2380315,[6 5 0 2 9 8 7 1 4 3]
74,3374512,[9 2 6 4 7 8 3 5 0 1],333699,[0 9 3 2 5 8 1 6 7 4]
75,1614683,[4 5 0 3 7 8 2 9 6 1],2355513,[6 4 3 2 7 1 5 8 9 0]
76,2902600,[7 9 8 6 2 1 4 5 0 3],3031824,[8 3 1 5 9 2 0 4 6 7]
77,1788312,[4 9 2 7 6 5 0 1 3 8],975958,[2 7 1 6 4 9 8 5 0 3]
