100%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,702193,[1 9 4 3 2 7 0 5 8 6],3098825,[8 4 7 6 9 2 3 5 1 0]
2,2626781,[7 2 1 3 4 9 0 8 6 5],3342041,[9 1 8 0 6 3 5 7 4 2]
3,1510284,[4 1 5 7 6 8 3 0 2 9],2742527,[7 5 0 2 1 4 9 8 6 3]
4,1530307,[4 1 9 6 3 5 8 0 7 2],943061,[2 6 4 0 8 9 1 7 5 3]
5,3614676,[9 8 5 1 3 2 6 0 4 7],2435827,[6 7 3 2 0 5 9 1 8 4]
6,2517165,[6 9 3 4 0 2 8 5 7 1],2503879,[6 9 0 7 4 5 2 1 8 3]
7,3387423,[9 3 0 1 7 5 6 4 8 2],1722664,[4 7 6 8 3 2 5 9 0 1]
8,2853991,[7 8 6 1 9 2 3 0 5 4],2765902,[7 5 4 8 3 0 9 6 1 2]
9,734702,[2 0 3 8 5 6 7 4 1 9],2886457,[7 9 4 5 8 6 0 1 3 2]
10,2329455,[6 3 8 1 4 0 7 5 9 2],3119166,[8 5 2 9 1 0 4 3 6 7]
11,3441593,[9 4 2 7 8 6 3 5 1 0],3452542,[9 4 6 0 2 1 8 7 3 5]
12,3130452,[8 5 6 0 9 1 4 2 3 7],2402062,[6 5 4 7 1 0 9 8 2 3]
13,197674,[0 5 9 2 6 3 4 8 1 7],2989970,[8 2 1 3 7 5 0 6 4 9]
14,3086597,[8 4 5 2 9 6 0 7 3 1],3138537,[8 5 7 6 0 3 2 4 9 1]
15,2324440,[6 3 7 1 4 2 8 9 0 5],2517923,[6 9 3 5 0 7 2 8 4 1]
16,1651074,[4 5 9 6 0 8 7 1 2 3],997853,[2 7 6 9 8 3 0 5 4 1]
17,1205129,[3 2 9 0 7 6 5 8 4 1],2667453,[7 3 1 2 8 6 9 4 5 0]
18,333353,[0 9 3 1 8 7 5 6 4 2],563085,[1 5 9 7 0 3 8 4 6 2]
19,2230273,[6 1 3 5 7 8 0 2 9 4],259253,[0 7 4 5 1 6 2 9 8 3]
20,3569887,[9 7 4 2 1 0 5 3 8 6],1302327,[3 6 2 4 8 7 5 1 9 0]
21,2224782,[6 1 2 4 9 8 3 0 5 7],2438262,[6 7 3 8 2 9 1 0 4 5]
22,1929543,[5 2 8 7 9 3 4 1 6 0],2046087,[5 6 7 9 4 3 2 1 8 0]
23,2318946,[6 3 5 0 8 4 9 1 2 7],3199392,[8 7 2 6 4 5 0 1 3 9]
24,3230066,[8 9 0 7 2 3 1 5 4 6],1366579,[3 7 9 1 0 2 8 4 6 5]
25,2354162,[6 4 3 0 8 1 2 7 5 9],2480589,[6 8 4 1 2 5 9 3 7 0]
26,1045073,[2 8 9 3 4 7 5 6 1 0],2444898,[6 7 5 0 8 1 9 2 3 4]
27,2099916,[5 8 0 6 4 2 7 1 3 9],2181535,[6 0 1 8 9 4 3 2 7 5]
28,2779612,[7 5 9 3 4 2 0 8 1 6],1131630,[3 1 0 6 8 4 5 2 7 9]
29,1686110,[4 6 8 3 7 9 2 1 0 5],1837973,[5 0 6 7 8 3 1 9 4 2]
30,972424,[2 7 0 9 5 4 6 8 1 3],2415694,[6 5 9 2 0 7 8 4 1 3]
