10%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,122862,[0 4 1 5 7 9 3 2 6 8],183243,[0 5 6 3 7 1 2 8 9 4]
2,265908,[0 7 5 8 2 9 4 1 3 6],230485,[0 6 7 8 1 5 4 2 9 3]
3,240230,[0 6 9 5 4 8 3 2 1 7],471512,[1 3 7 5 9 2 4 6 0 8]
4,394613,[1 0 8 4 2 6 3 9 7 5],196869,[0 5 9 1 4 6 8 3 7 2]
5,292116,[0 8 2 9 6 3 5 1 4 7],438270,[1 2 8 9 6 3 4 0 5 7]
6,128196,[0 4 2 6 1 5 8 3 7 9],130796,[0 4 2 9 6 8 7 3 1 5]
7,477870,[1 3 8 7 6 2 4 0 5 9],249050,[0 7 2 4 9 5 1 6 3 8]
8,361545,[0 9 8 6 1 7 3 4 5 2],388626,[1 0 7 2 8 5 9 3 4 6]
9,433929,[1 2 8 0 7 3 5 6 9 4],417662,[1 2 4 9 0 6 7 5 3 8]
10,463093,[1 3 5 9 2 0 7 4 8 6],229239,[0 6 7 4 3 2 8 5 9 1]
11,183131,[0 5 6 3 4 1 7 9 8 2],155454,[0 4 8 7 9 3 2 1 5 6]
12,243940,[0 7 1 4 8 9 2 6 3 5],240082,[0 6 9 5 3 7 2 8 1 4]
13,458706,[1 3 5 0 2 7 9 4 6 8],264714,[0 7 5 4 6 9 8 1 2 3]
14,422264,[1 2 5 8 4 9 3 6 0 7],405197,[1 2 0 5 8 7 3 9 6 4]
15,266185,[0 7 5 8 6 2 1 3 9 4],254578,[0 7 3 5 6 4 2 9 1 8]
16,298073,[0 8 4 1 9 7 5 6 3 2],420550,[1 2 5 6 0 7 9 8 3 4]
17,254404,[0 7 3 5 4 1 2 9 6 8],374038,[1 0 4 3 6 9 8 7 2 5]
18,199266,[0 5 9 4 7 3 8 1 2 6],174695,[0 5 3 7 6 8 9 4 2 1]
19,401075,[1 0 9 6 2 4 5 8 7 3],230784,[0 6 7 8 4 2 1 3 5 9]
20,400300,[1 0 9 4 8 7 2 6 3 5],160351,[0 4 9 7 6 2 3 1 8 5]
21,274368,[0 7 8 4 1 5 2 3 6 9],160598,[0 4 9 8 1 3 6 5 2 7]
22,415328,[1 2 4 5 9 0 6 7 3 8],155037,[0 4 8 7 2 9 6 3 5 1]
23,205535,[0 6 1 8 4 7 9 5 3 2],193529,[0 5 8 3 7 6 4 9 2 1]
24,453240,[1 3 2 9 6 0 4 5 7 8],208904,[0 6 2 5 1 9 4 7 3 8]
25,321785,[0 8 9 6 7 3 4 5 2 1],132184,[0 4 3 2 7 6 8 9 1 5]
26,141969,[0 4 6 2 3 1 7 8 9 5],404873,[1 2 0 5 4 9 7 8 6 3]
27,272656,[0 7 8 1 6 2 5 9 3 4],339656,[0 9 4 3 7 5 2 6 1 8]
28,407588,[1 2 0 9 3 6 8 5 4 7],320980,[0 8 9 5 6 7 1 4 2 3]
29,409527,[1 2 3 4 8 7 6 5 9 0],233935,[0 6 8 3 9 4 2 1 7 5]
30,441581,[1 2 9 6 3 8 0 7 5 4],187427,[0 5 7 2 3 9 4 8 6 1]
31,189445,[0 5 7 6 1 8 4 2 9 3],357783,[0 9 7 8 6 3 4 2 5 1]
