10%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,200022,[0 5 9 6 7 8 2 1 3 4],1860458,[5 1 2 0 9 8 3 6 4 7]
2,354503,[0 9 7 3 4 1 8 6 5 2],1733447,[4 7 9 8 3 1 6 5 2 0]
3,185298,[0 5 6 8 3 1 9 2 4 7],1582350,[4 3 1 9 7 2 5 0 6 8]
4,359170,[0 9 8 2 7 1 4 6 3 5],1762600,[4 8 6 7 0 2 5 9 1 3]
5,241025,[0 6 9 7 5 3 4 8 2 1],1798156,[4 9 5 7 2 6 0 8 1 3]
6,9301,[0 1 3 8 9 5 6 2 7 4],1522729,[4 1 8 0 9 5 2 3 7 6]
7,282219,[0 7 9 8 6 5 1 3 4 2],1819070,[5 0 1 9 4 8 6 3 2 7]
8,370251,[1 0 3 6 4 7 2 8 9 5],1557433,[4 2 7 0 1 8 3 5 9 6]
9,177346,[0 5 4 2 3 9 6 8 1 7],1593008,[4 3 6 0 7 1 5 8 2 9]
10,216184,[0 6 3 9 2 5 7 8 1 4],1753827,[4 8 3 9 7 1 0 5 6 2]
11,153009,[0 4 8 3 6 1 5 7 9 2],1866666,[5 1 3 4 7 6 9 0 2 8]
12,249564,[0 7 2 5 6 8 4 1 3 9],1651029,[4 5 9 6 0 3 8 2 7 1]
13,170344,[0 5 2 8 6 4 7 9 1 3],1664835,[4 6 2 3 1 8 0 7 9 5]
14,323250,[0 9 1 2 8 6 7 3 4 5],1794094,[4 9 3 8 6 5 7 2 0 1]
15,36028,[0 1 9 3 2 5 4 8 6 7],1783385,[4 9 1 7 8 3 5 6 2 0]
16,274648,[0 7 8 4 3 6 5 9 1 2],1853956,[5 0 9 7 8 4 1 6 2 3]
17,280583,[0 7 9 5 6 1 8 4 3 2],1715440,[4 7 5 2 6 1 8 9 0 3]
18,307588,[0 8 6 1 3 4 2 9 5 7],1822397,[5 0 2 7 1 8 3 9 6 4]
19,371475,[1 0 3 7 9 6 2 5 8 4],1822877,[5 0 2 7 8 6 1 9 4 3]
20,101688,[0 3 6 2 4 7 1 5 8 9],1626531,[4 5 2 8 0 6 1 7 9 3]
21,167564,[0 5 2 3 8 4 9 6 1 7],1843471,[5 0 7 8 3 2 4 1 9 6]
22,301144,[0 8 4 7 2 5 6 9 1 3],1585264,[4 3 2 6 8 5 7 9 0 1]
23,15489,[0 1 5 2 7 3 6 8 9 4],1763950,[4 8 6 9 7 2 5 3 0 1]
24,354392,[0 9 7 3 2 4 5 6 1 8],1596793,[4 3 6 8 7 5 0 1 9 2]
25,104378,[0 3 6 7 9 8 1 4 2 5],1827529,[5 0 3 7 2 6 1 4 9 8]
26,224820,[0 6 5 7 2 4 8 1 3 9],1633032,[4 5 6 0 1 8 2 3 7 9]
27,361714,[0 9 8 6 3 2 4 7 1 5],1851287,[5 0 9 3 2 4 8 7 6 1]
28,292028,[0 8 2 9 5 4 7 3 1 6],1537599,[4 2 1 0 7 5 8 6 9 3]
29,145034,[0 4 6 8 3 7 1 5 2 9],1709670,[4 7 3 1 6 2 5 0 8 9]
30,24598,[0 1 6 9 2 8 7 5 3 4],1756774,[4 8 5 3 9 6 7 2 0 1]
31,200409,[0 5 9 7 3 1 4 6 8 2],1668063,[4 6 2 9 7 3 5 1 8 0]
32,139339,[0 4 5 7 6 1 9 2 8 3],1579915,[4 3 1 6 2 9 8 0 7 5]
33,186013,[0 5 6 9 3 1 7 2 8 4],1644260,[4 5 8 1 7 0 9 3 2 6]
34,80073,[0 2 9 8 3 4 5 6 7 1],1857536,[5 1 0 6 9 4 3 7 2 8]
35,268715,[0 7 6 3 2 4 5 9 8 1],1575727,[4 3 0 7 6 1 5 2 9 8]
36,286555,[0 8 1 7 9 6 5 2 4 3],1668138,[4 6 2 9 8 0 7 1 3 5]
37,205040,[0 6 1 7 8 5 3 4 2 9],1555664,[4 2 6 7 5 9 1 3 0 8]
38,326995,[0 9 1 8 2 7 6 3 5 4],1740110,[4 8 1 2 7 9 5 3 0 6]
39,275395,[0 7 8 5 3 9 6 1 4 2],1834132,[5 0 4 9 3 6 1 8 2 7]
40,92831,[0 3 4 5 9 6 8 7 2 1],1674597,[4 6 5 1 8 9 7 2 3 0]
41,46028,[0 2 3 1 9 6 8 5 4 7],1622127,[4 5 1 8 9 6 3 2 7 0]
42,58661,[0 2 5 7 4 9 1 8 6 3],1598711,[4 3 7 1 5 6 9 8 2 0]
43,110337,[0 3 7 9 2 5 4 6 8 1],1628053,[4 5 3 0 2 1 8 6 9 7]
44,113415,[0 3 8 5 6 1 7 4 9 2],1645969,[4 5 8 6 0 3 1 2 9 7]
45,367040,[1 0 2 8 7 6 4 5 3 9],1783955,[4 9 1 8 6 2 3 7 5 0]
46,267594,[0 7 6 1 5 9 8 2 3 4],1738447,[4 8 0 9 5 1 3 2 7 6]
47,16701,[0 1 5 4 3 2 9 7 8 6],1687206,[4 6 8 7 2 0 3 1 5 9]
48,294435,[0 8 3 4 9 6 1 5 7 2],1848772,[5 0 8 7 6 3 1 9 2 4]
49,171151,[0 5 2 9 7 3 4 1 8 6],1772473,[4 8 9 5 6 3 0 1 7 2]
50,336060,[0 9 3 6 7 4 5 1 2 8],1613814,[4 5 0 2 6 7 3 1 8 9]
51,203940,[0 6 1 5 3 7 8 2 4 9],1644800,[4 5 8 2 3 7 1 6 0 9]
52,39289,[0 1 9 7 5 4 2 3 8 6],1812438,[4 9 8 5 1 6 2 0 3 7]
53,246088,[0 7 1 8 6 5 4 9 2 3],1520803,[4 1 7 8 2 3 9 0 6 5]
54,350899,[0 9 6 5 3 1 8 2 7 4],1729009,[4 7 9 0 3 5 1 2 8 6]
55,281619,[0 7 9 8 1 6 2 4 5 3],1799878,[4 9 6 0 7 8 5 3 1 2]
56,159542,[0 4 9 6 5 3 7 2 1 8],1716579,[4 7 5 6 0 9 1 3 8 2]
57,229768,[0 6 7 5 1 8 4 9 2 3],1831168,[5 0 4 3 2 8 7 9 1 6]
58,328283,[0 9 2 1 8 6 4 7 5 3],1655423,[4 6 0 5 2 1 9 8 7 3]
59,163495,[0 5 1 6 2 7 4 3 9 8],1878059,[5 1 6 7 3 4 2 9 8 0]
60,253460,[0 7 3 4 1 2 9 6 5 8],1613258,[4 5 0 1 7 9 2 6 3 8]
61,99304,[0 3 5 7 9 4 6 8 1 2],1759437,[4 8 6 0 5 9 7 2 3 1]
62,16831,[0 1 5 4 6 3 7 2 9 8],1578115,[4 3 1 0 8 9 7 2 6 5]
63,104022,[0 3 6 7 4 9 2 1 5 8],1853563,[5 0 9 7 3 2 8 1 6 4]
64,223467,[0 6 5 3 4 2 1 8 9 7],1641199,[4 5 7 6 2 8 1 0 9 3]
65,264446,[0 7 5 4 2 8 6 3 1 9],1719422,[4 7 6 1 0 5 8 3 2 9]
66,28460,[0 1 7 6 5 2 9 4 3 8],1710516,[4 7 3 2 8 1 6 0 5 9]
67,141146,[0 4 6 1 2 5 3 8 7 9],1582241,[4 3 1 9 6 2 7 8 5 0]
68,292220,[0 8 2 9 7 1 6 4 3 5],1708158,[4 7 2 9 3 6 1 0 5 8]
69,201272,[0 5 9 8 4 2 3 6 1 7],1658491,[4 6 1 0 5 8 9 2 7 3]
70,141615,[0 4 6 1 8 2 7 5 9 3],1771316,[4 8 9 3 0 7 6 2 1 5]
71,370405,[1 0 3 6 5 8 7 2 9 4],1564155,[4 2 8 3 5 7 0 6 9 1]
72,56307,[0 2 5 3 4 6 1 8 9 7],1665454,[4 6 2 5 0 8 9 7 1 3]
73,46651,[0 2 3 4 8 7 9 1 6 5],1639843,[4 5 7 2 6 1 9 0 8 3]
74,301854,[0 8 4 9 2 5 3 1 6 7],1674116,[4 6 5 1 0 9 8 3 2 7]
75,199751,[0 5 9 6 3 4 8 7 2 1],1829870,[5 0 4 1 6 9 7 3 2 8]
76,290892,[0 8 2 7 1 3 6 4 5 9],1526409,[4 1 8 9 0 2 5 6 7 3]
77,175966,[0 5 3 9 4 2 8 7 1 6],1798783,[4 9 5 8 1 7 2 0 6 3]
78,315964,[0 8 7 5 9 1 2 6 3 4],1649867,[4 5 9 2 3 8 1 7 6 0]
