2%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,157322,[0 4 9 2 6 1 3 7 5 8],156404,[0 4 9 1 3 5 8 6 2 7]
2,155451,[0 4 8 7 9 3 1 5 6 2],150766,[0 4 7 9 3 2 8 6 1 5]
3,185482,[0 5 6 8 4 7 2 9 1 3],147631,[0 4 7 3 1 5 6 2 9 8]
4,163261,[0 5 1 4 8 6 7 2 9 3],133110,[0 4 3 5 9 2 6 1 7 8]
5,189869,[0 5 7 6 8 2 1 9 4 3],133403,[0 4 3 6 2 8 5 9 7 1]
6,140965,[0 4 5 9 7 6 3 1 8 2],133614,[0 4 3 6 7 5 2 1 8 9]
7,133475,[0 4 3 6 5 2 7 9 8 1],156043,[0 4 8 9 6 2 7 1 5 3]
8,177530,[0 5 4 2 7 6 1 8 3 9],138479,[0 4 5 6 2 9 8 7 3 1]
9,134954,[0 4 3 8 5 7 1 6 2 9],136224,[0 4 5 1 3 6 2 7 8 9]
10,177661,[0 5 4 2 8 6 7 1 9 3],184247,[0 5 6 4 9 2 8 7 3 1]
11,127981,[0 4 2 5 8 6 7 1 9 3],188163,[0 5 7 3 4 1 2 8 9 6]
12,171044,[0 5 2 9 6 3 8 4 1 7],167733,[0 5 2 3 9 7 8 4 6 1]
13,162517,[0 5 1 3 8 4 7 2 9 6],177144,[0 5 4 2 1 6 3 7 8 9]
14,149455,[0 4 7 6 5 3 2 1 9 8],163218,[0 5 1 4 8 2 9 3 6 7]
15,166932,[0 5 2 1 9 3 7 4 6 8],193187,[0 5 8 3 2 9 4 7 6 1]
16,190704,[0 5 7 8 9 2 1 3 4 6],143167,[0 4 6 3 9 1 5 2 8 7]
17,192032,[0 5 8 1 7 3 4 6 2 9],190080,[0 5 7 8 1 2 3 4 6 9]
18,172189,[0 5 3 2 1 9 7 4 8 6],140779,[0 4 5 9 6 1 8 2 7 3]
19,162458,[0 5 1 3 7 9 2 6 4 8],165013,[0 5 1 8 3 2 7 4 9 6]
20,178849,[0 5 4 6 3 7 1 2 9 8],135779,[0 4 3 9 6 5 2 8 7 1]
21,169866,[0 5 2 7 9 4 8 1 3 6],134416,[0 4 3 7 8 1 6 9 2 5]
22,154544,[0 4 8 6 5 9 2 3 1 7],163669,[0 5 1 6 3 9 7 2 8 4]
23,134436,[0 4 3 7 8 2 6 1 5 9],178206,[0 5 4 3 7 1 6 2 8 9]
24,126814,[0 4 2 3 1 8 9 7 5 6],198897,[0 5 9 4 2 6 3 7 8 1]
25,172874,[0 5 3 4 1 8 2 7 6 9],162459,[0 5 1 3 7 9 2 6 8 4]
26,198369,[0 5 9 3 6 1 4 7 8 2],189764,[0 5 7 6 4 2 9 3 1 8]
27,156002,[0 4 8 9 6 1 2 5 3 7],172886,[0 5 3 4 1 8 7 6 2 9]
28,185559,[0 5 6 8 7 2 4 3 9 1],145239,[0 4 6 8 7 2 5 3 9 1]
29,140678,[0 4 5 9 3 2 7 6 1 8],164549,[0 5 1 7 6 3 2 9 8 4]
30,164017,[0 5 1 6 8 9 2 3 7 4],176287,[0 5 3 9 8 1 4 2 7 6]
31,161043,[0 4 9 8 6 1 2 5 7 3],152712,[0 4 8 3 1 7 2 5 6 9]
