10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,487,[0 5 1 3 2 6 4],2872,[3 6 5 2 4 0 1],1752,[2 3 5 0 1 4 6],2105,[2 6 3 4 5 1 0]
2,490,[0 5 1 3 6 2 4],2753,[3 5 6 2 4 1 0],1955,[2 5 1 3 6 4 0],2173,[3 0 1 5 2 6 4]
3,590,[0 5 6 3 2 1 4],3068,[4 1 3 6 2 0 5],1703,[2 3 0 6 5 4 1],2227,[3 0 4 6 1 5 2]
4,668,[0 6 3 5 2 1 4],3178,[4 2 3 1 6 0 5],2015,[2 5 4 6 3 1 0],2118,[2 6 4 1 0 3 5]
5,810,[1 0 5 6 2 3 4],3007,[4 1 0 3 2 6 5],1723,[2 3 1 6 0 5 4],2387,[3 1 6 2 5 4 0]
6,858,[1 2 0 6 3 4 5],3129,[4 2 0 3 5 6 1],1744,[2 3 4 5 6 0 1],2378,[3 1 6 0 4 2 5]
7,854,[1 2 0 5 4 3 6],3104,[4 1 6 2 3 0 5],1912,[2 4 6 3 5 0 1],2412,[3 2 0 5 1 4 6]
8,470,[0 4 6 3 2 1 5],3209,[4 2 5 3 6 1 0],1668,[2 1 6 4 0 3 5],2413,[3 2 0 5 1 6 4]
9,845,[1 2 0 3 6 5 4],2987,[4 0 6 2 5 3 1],1647,[2 1 5 4 3 6 0],1967,[2 5 1 6 4 3 0]
10,565,[0 5 4 3 1 6 2],2929,[4 0 3 1 2 6 5],1707,[2 3 1 0 5 6 4],2216,[3 0 4 2 5 1 6]
11,866,[1 2 3 0 5 4 6],3204,[4 2 5 3 0 1 6],1687,[2 3 0 4 1 6 5],2155,[2 6 5 4 0 3 1]
12,868,[1 2 3 0 6 4 5],3133,[4 2 0 5 1 6 3],1902,[2 4 6 1 0 3 5],2316,[3 1 2 5 0 4 6]
13,769,[1 0 4 2 3 6 5],2859,[3 6 5 0 2 4 1],1723,[2 3 1 6 0 5 4],2402,[3 2 0 1 5 4 6]
14,664,[0 6 3 4 5 1 2],2838,[3 6 4 1 0 2 5],1573,[2 1 0 5 3 6 4],1947,[2 5 1 0 4 6 3]
15,631,[0 6 2 3 1 5 4],3138,[4 2 0 6 1 3 5],1751,[2 3 4 6 5 1 0],1990,[2 5 3 6 4 0 1]
16,667,[0 6 3 5 1 4 2],3138,[4 2 0 6 1 3 5],1557,[2 0 6 5 3 4 1],2312,[3 1 2 4 5 0 6]
17,614,[0 6 1 4 3 2 5],3198,[4 2 5 1 0 3 6],1786,[2 3 6 1 5 0 4],2127,[2 6 4 3 1 5 0]
