100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1,[0 1 2 3 4 6 5],100,[0 1 6 2 5 3 4],200,[0 2 5 3 4 1 6],300,[0 3 4 5 1 2 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,4139,[5 4 2 1 6 3 0],3578,[4 6 5 0 2 1 3],1151,[1 4 3 6 5 2 0],1144,[1 4 3 5 6 0 2]
2,1155,[1 4 5 0 3 6 2],492,[0 5 1 4 2 3 6],1711,[2 3 1 4 0 6 5],2905,[4 0 2 1 3 6 5]
3,4419,[6 0 5 1 3 4 2],487,[0 5 1 3 2 6 4],1882,[2 4 5 1 6 0 3],356,[0 3 6 5 2 1 4]
4,785,[1 0 4 5 6 3 2],3751,[5 1 2 3 0 6 4],4553,[6 1 5 3 4 2 0],4568,[6 2 0 3 4 1 5]
5,3520,[4 6 1 3 5 0 2],1930,[2 5 0 3 6 1 4],4500,[6 1 3 4 0 2 5],37,[0 1 3 5 2 6 4]
6,3033,[4 1 2 3 5 6 0],1558,[2 0 6 5 4 1 3],3425,[4 5 2 3 6 1 0],4954,[6 5 1 2 4 0 3]
7,4956,[6 5 1 3 0 2 4],1327,[1 6 0 3 2 5 4],2501,[3 2 6 0 5 4 1],706,[0 6 5 2 4 1 3]
8,714,[0 6 5 4 1 2 3],1041,[1 3 5 2 4 6 0],3428,[4 5 2 6 1 0 3],9,[0 1 2 4 5 6 3]
9,4441,[6 1 0 2 3 5 4],909,[1 2 4 6 3 5 0],302,[0 3 4 5 2 1 6],1567,[2 1 0 4 3 6 5]
10,1891,[2 4 5 6 0 3 1],450,[0 4 5 6 1 2 3],3056,[4 1 3 2 5 0 6],4266,[5 6 2 4 0 1 3]
11,2408,[3 2 0 4 5 1 6],334,[0 3 5 6 4 1 2],4567,[6 2 0 3 1 5 4],4359,[6 0 2 4 3 5 1]
12,3193,[4 2 5 0 1 6 3],2777,[3 6 0 4 5 2 1],673,[0 6 4 1 2 5 3],1371,[1 6 3 0 4 5 2]
13,4924,[6 5 0 1 4 2 3],3542,[4 6 2 3 1 0 5],2061,[2 6 0 5 3 4 1],88,[0 1 5 4 6 2 3]
14,4551,[6 1 5 3 2 4 0],4560,[6 2 0 1 3 4 5],2092,[2 6 3 0 5 1 4],3903,[5 2 3 4 1 6 0]
15,4559,[6 1 5 4 3 2 0],1352,[1 6 2 3 4 0 5],4567,[6 2 0 3 1 5 4],758,[1 0 3 5 4 2 6]
16,3105,[4 1 6 2 3 5 0],1636,[2 1 5 0 6 3 4],3889,[5 2 3 0 1 6 4],1804,[2 4 0 1 6 3 5]
17,2875,[3 6 5 4 0 2 1],3962,[5 3 0 1 4 2 6],4844,[6 4 1 5 2 0 3],129,[0 2 1 4 5 6 3]
18,2539,[3 4 0 6 1 5 2],366,[0 4 1 3 2 5 6],3144,[4 2 1 0 3 5 6],673,[0 6 4 1 2 5 3]
19,2090,[2 6 3 0 4 1 5],2428,[3 2 1 0 6 4 5],498,[0 5 1 6 2 3 4],1341,[1 6 0 5 3 4 2]
20,4531,[6 1 4 5 0 3 2],2855,[3 6 4 5 2 1 0],4056,[5 3 6 0 1 2 4],609,[0 6 1 3 4 5 2]
21,3920,[5 2 4 1 3 0 6],2803,[3 6 1 5 0 4 2],2249,[3 0 5 4 6 2 1],1883,[2 4 5 1 6 3 0]
22,947,[1 2 6 3 5 4 0],719,[0 6 5 4 3 2 1],3713,[5 0 6 3 4 2 1],3441,[4 5 3 1 2 6 0]
23,4456,[6 1 0 4 5 2 3],3443,[4 5 3 1 6 2 0],326,[0 3 5 4 2 1 6],605,[0 6 1 2 5 4 3]
24,501,[0 5 1 6 3 4 2],4804,[6 4 0 1 5 2 3],1100,[1 4 0 6 3 2 5],3944,[5 2 6 1 3 0 4]
25,1321,[1 6 0 2 3 5 4],2200,[3 0 2 5 6 1 4],703,[0 6 5 2 1 4 3],3525,[4 6 1 5 2 3 0]
26,1835,[2 4 1 3 6 5 0],4796,[6 3 5 4 1 0 2],1717,[2 3 1 5 0 6 4],992,[1 3 2 4 5 0 6]
27,1451,[2 0 1 4 6 5 3],359,[0 3 6 5 4 2 1],1369,[1 6 3 0 2 5 4],482,[0 5 1 2 4 3 6]
28,4199,[5 4 6 3 2 1 0],2600,[3 4 5 1 2 0 6],1459,[2 0 1 6 3 5 4],561,[0 5 4 2 3 6 1]
29,1600,[2 1 3 5 6 0 4],4195,[5 4 6 3 0 2 1],1913,[2 4 6 3 5 1 0],2750,[3 5 6 2 1 0 4]
30,4923,[6 5 0 1 3 4 2],4227,[5 6 1 0 3 4 2],2517,[3 2 6 5 1 4 0],4621,[6 2 3 4 0 5 1]
31,4405,[6 0 4 3 1 5 2],727,[1 0 2 4 3 6 5],2241,[3 0 5 2 4 6 1],2722,[3 5 4 1 6 0 2]
32,2833,[3 6 4 0 1 5 2],4024,[5 3 2 4 6 0 1],2870,[3 6 5 2 1 0 4],1688,[2 3 0 4 5 1 6]
33,1907,[2 4 6 1 5 3 0],554,[0 5 4 1 3 2 6],4234,[5 6 1 2 4 0 3],754,[1 0 3 4 6 2 5]
34,311,[0 3 4 6 5 2 1],889,[1 2 4 0 3 6 5],971,[1 3 0 4 6 5 2],574,[0 5 4 6 3 1 2]
35,3426,[4 5 2 6 0 1 3],703,[0 6 5 2 1 4 3],1998,[2 5 4 1 0 3 6],893,[1 2 4 0 6 5 3]
36,277,[0 3 2 5 1 6 4],3242,[4 3 0 1 5 2 6],2529,[3 4 0 2 5 6 1],2337,[3 1 4 2 5 6 0]
37,4411,[6 0 4 5 1 3 2],2435,[3 2 1 4 6 5 0],3687,[5 0 4 3 2 6 1],18,[0 1 2 6 3 4 5]
38,4992,[6 5 3 0 1 2 4],3433,[4 5 3 0 1 6 2],4206,[5 6 0 2 1 3 4],1307,[1 5 6 2 4 3 0]
39,395,[0 4 2 3 6 5 1],1688,[2 3 0 4 5 1 6],2310,[3 1 2 4 0 5 6],2957,[4 0 5 1 6 3 2]
40,3512,[4 6 1 2 3 0 5],658,[0 6 3 2 5 1 4],2319,[3 1 2 5 4 6 0],3188,[4 2 3 6 1 0 5]
41,2314,[3 1 2 4 6 0 5],2152,[2 6 5 3 4 0 1],955,[1 2 6 5 0 4 3],4361,[6 0 2 4 5 3 1]
42,441,[0 4 5 2 3 6 1],4387,[6 0 3 5 1 4 2],2221,[3 0 4 5 1 6 2],305,[0 3 4 5 6 2 1]
43,559,[0 5 4 2 1 6 3],110,[0 1 6 4 3 2 5],3116,[4 1 6 5 2 0 3],1417,[1 6 5 0 2 4 3]
44,3436,[4 5 3 0 6 1 2],76,[0 1 5 2 6 3 4],2382,[3 1 6 2 0 4 5],950,[1 2 6 4 3 0 5]
45,25,[0 1 3 2 4 6 5],4407,[6 0 4 3 2 5 1],923,[1 2 5 3 6 4 0],586,[0 5 6 2 4 1 3]
46,1620,[2 1 4 5 0 3 6],1749,[2 3 4 6 1 5 0],798,[1 0 5 3 2 4 6],2927,[4 0 2 6 5 3 1]
47,2349,[3 1 4 6 2 5 0],3325,[4 3 5 2 0 6 1],2460,[3 2 4 5 0 1 6],851,[1 2 0 4 6 5 3]
