10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1,[0 1 2 3 4 6 5],100,[0 1 6 2 5 3 4],200,[0 2 5 3 4 1 6],300,[0 3 4 5 1 2 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,484,[0 5 1 2 6 3 4],206,[0 2 5 4 3 1 6],312,[0 3 5 1 2 4 6],288,[0 3 4 1 2 5 6]
2,234,[0 2 6 5 1 3 4],457,[0 4 6 1 2 5 3],478,[0 4 6 5 3 1 2],628,[0 6 2 1 5 3 4]
3,69,[0 1 4 6 3 5 2],261,[0 3 1 6 4 5 2],341,[0 3 6 1 5 4 2],750,[1 0 3 4 2 5 6]
4,16,[0 1 2 5 6 3 4],163,[0 2 3 6 1 5 4],401,[0 4 2 5 6 3 1],376,[0 4 1 5 6 2 3]
5,376,[0 4 1 5 6 2 3],183,[0 2 4 5 3 6 1],424,[0 4 3 5 6 1 2],522,[0 5 2 6 1 3 4]
6,195,[0 2 5 1 4 6 3],351,[0 3 6 4 2 5 1],630,[0 6 2 3 1 4 5],603,[0 6 1 2 4 5 3]
7,472,[0 4 6 3 5 1 2],568,[0 5 4 3 6 1 2],603,[0 6 1 2 4 5 3],757,[1 0 3 5 2 6 4]
8,119,[0 1 6 5 4 3 2],487,[0 5 1 3 2 6 4],494,[0 5 1 4 3 2 6],355,[0 3 6 5 1 4 2]
9,4,[0 1 2 3 6 4 5],458,[0 4 6 1 3 2 5],470,[0 4 6 3 2 1 5],470,[0 4 6 3 2 1 5]
10,216,[0 2 6 1 3 4 5],174,[0 2 4 3 1 5 6],524,[0 5 2 6 3 1 4],661,[0 6 3 4 1 5 2]
11,135,[0 2 1 5 4 6 3],358,[0 3 6 5 4 1 2],258,[0 3 1 6 2 4 5],699,[0 6 5 1 3 4 2]
12,154,[0 2 3 4 6 1 5],439,[0 4 5 2 1 6 3],316,[0 3 5 1 6 2 4],613,[0 6 1 4 2 5 3]
13,192,[0 2 5 1 3 4 6],424,[0 4 3 5 6 1 2],372,[0 4 1 5 2 3 6],492,[0 5 1 4 2 3 6]
14,203,[0 2 5 3 6 4 1],494,[0 5 1 4 3 2 6],506,[0 5 2 1 4 3 6],572,[0 5 4 6 2 1 3]
15,406,[0 4 2 6 5 1 3],233,[0 2 6 4 5 3 1],345,[0 3 6 2 4 5 1],383,[0 4 1 6 5 3 2]
16,128,[0 2 1 4 5 3 6],177,[0 2 4 3 5 6 1],452,[0 4 5 6 2 1 3],420,[0 4 3 5 1 2 6]
17,341,[0 3 6 1 5 4 2],460,[0 4 6 1 5 2 3],241,[0 3 1 2 4 6 5],439,[0 4 5 2 1 6 3]
18,109,[0 1 6 4 2 5 3],216,[0 2 6 1 3 4 5],492,[0 5 1 4 2 3 6],452,[0 4 5 6 2 1 3]
19,392,[0 4 2 3 5 1 6],378,[0 4 1 6 2 3 5],655,[0 6 3 2 1 5 4],319,[0 3 5 2 1 6 4]
20,476,[0 4 6 5 2 1 3],460,[0 4 6 1 5 2 3],664,[0 6 3 4 5 1 2],422,[0 4 3 5 2 1 6]
21,51,[0 1 4 2 5 6 3],528,[0 5 3 1 2 4 6],541,[0 5 3 4 1 6 2],284,[0 3 2 6 4 1 5]
22,429,[0 4 3 6 2 5 1],267,[0 3 2 1 5 6 4],220,[0 2 6 1 5 3 4],355,[0 3 6 5 1 4 2]
23,97,[0 1 6 2 3 5 4],162,[0 2 3 6 1 4 5],208,[0 2 5 4 6 1 3],648,[0 6 3 1 2 4 5]
24,93,[0 1 5 6 3 4 2],549,[0 5 3 6 2 4 1],301,[0 3 4 5 1 6 2],753,[1 0 3 4 5 6 2]
25,28,[0 1 3 2 6 4 5],512,[0 5 2 3 4 1 6],228,[0 2 6 4 1 3 5],691,[0 6 4 5 1 3 2]
26,225,[0 2 6 3 4 5 1],142,[0 2 1 6 5 3 4],477,[0 4 6 5 2 3 1],428,[0 4 3 6 2 1 5]
27,252,[0 3 1 5 2 4 6],92,[0 1 5 6 3 2 4],556,[0 5 4 1 6 2 3],450,[0 4 5 6 1 2 3]
28,6,[0 1 2 4 3 5 6],414,[0 4 3 2 1 5 6],645,[0 6 2 5 3 4 1],522,[0 5 2 6 1 3 4]
29,114,[0 1 6 5 2 3 4],176,[0 2 4 3 5 1 6],205,[0 2 5 4 1 6 3],304,[0 3 4 5 6 1 2]
30,93,[0 1 5 6 3 4 2],172,[0 2 4 1 6 3 5],592,[0 5 6 3 4 1 2],653,[0 6 3 1 5 4 2]
31,447,[0 4 5 3 2 6 1],142,[0 2 1 6 5 3 4],375,[0 4 1 5 3 6 2],662,[0 6 3 4 2 1 5]
32,30,[0 1 3 4 2 5 6],431,[0 4 3 6 5 2 1],192,[0 2 5 1 3 4 6],741,[1 0 2 6 4 5 3]
33,429,[0 4 3 6 2 5 1],128,[0 2 1 4 5 3 6],386,[0 4 2 1 5 3 6],672,[0 6 4 1 2 3 5]
34,46,[0 1 3 6 5 2 4],500,[0 5 1 6 3 2 4],448,[0 4 5 3 6 1 2],512,[0 5 2 3 4 1 6]
35,176,[0 2 4 3 5 1 6],126,[0 2 1 4 3 5 6],268,[0 3 2 1 6 4 5],644,[0 6 2 5 3 1 4]
36,253,[0 3 1 5 2 6 4],517,[0 5 2 4 1 6 3],463,[0 4 6 2 1 5 3],279,[0 3 2 5 4 6 1]
37,343,[0 3 6 2 1 5 4],100,[0 1 6 2 5 3 4],577,[0 5 6 1 2 4 3],713,[0 6 5 3 4 2 1]
38,160,[0 2 3 5 6 1 4],406,[0 4 2 6 5 1 3],328,[0 3 5 4 6 1 2],424,[0 4 3 5 6 1 2]
39,224,[0 2 6 3 4 1 5],351,[0 3 6 4 2 5 1],232,[0 2 6 4 5 1 3],670,[0 6 3 5 4 1 2]
40,37,[0 1 3 5 2 6 4],586,[0 5 6 2 4 1 3],506,[0 5 2 1 4 3 6],634,[0 6 2 3 5 1 4]
41,224,[0 2 6 3 4 1 5],188,[0 2 4 6 3 1 5],471,[0 4 6 3 2 5 1],377,[0 4 1 5 6 3 2]
42,483,[0 5 1 2 4 6 3],318,[0 3 5 2 1 4 6],451,[0 4 5 6 1 3 2],765,[1 0 3 6 4 5 2]
43,308,[0 3 4 6 2 1 5],185,[0 2 4 5 6 3 1],648,[0 6 3 1 2 4 5],759,[1 0 3 5 4 6 2]
44,137,[0 2 1 5 6 4 3],413,[0 4 3 1 6 5 2],529,[0 5 3 1 2 6 4],549,[0 5 3 6 2 4 1]
45,190,[0 2 4 6 5 1 3],361,[0 4 1 2 3 6 5],640,[0 6 2 4 5 1 3],538,[0 5 3 2 6 1 4]
46,497,[0 5 1 4 6 3 2],478,[0 4 6 5 3 1 2],539,[0 5 3 2 6 4 1],461,[0 4 6 1 5 3 2]
47,496,[0 5 1 4 6 2 3],150,[0 2 3 4 1 5 6],447,[0 4 5 3 2 6 1],467,[0 4 6 2 5 3 1]
48,361,[0 4 1 2 3 6 5],144,[0 2 3 1 4 5 6],640,[0 6 2 4 5 1 3],753,[1 0 3 4 5 6 2]
49,52,[0 1 4 2 6 3 5],132,[0 2 1 5 3 4 6],364,[0 4 1 2 6 3 5],698,[0 6 5 1 3 2 4]
