40%,Optima 1, Optima [1]
 ,421,[0 4 3 5 1 6 2]
------------------------------------------------
#,Optima 1, Optima [1]
1,527,[0 5 2 6 4 3 1]
2,1259,[1 5 3 2 6 4 0]
3,869,[1 2 3 0 6 5 4]
4,668,[0 6 3 5 2 1 4]
5,609,[0 6 1 3 4 5 2]
6,1545,[2 0 6 3 4 5 1]
7,1983,[2 5 3 4 1 6 0]
8,2116,[2 6 4 0 5 1 3]
9,1898,[2 4 6 0 3 1 5]
10,1793,[2 3 6 4 5 1 0]
11,726,[1 0 2 4 3 5 6]
12,1203,[1 5 0 2 4 6 3]
13,1146,[1 4 3 6 0 2 5]
14,609,[0 6 1 3 4 5 2]
15,1733,[2 3 4 0 6 5 1]
16,907,[1 2 4 6 0 5 3]
17,729,[1 0 2 4 5 6 3]
18,1527,[2 0 5 4 3 6 1]
19,283,[0 3 2 6 1 5 4]
20,1028,[1 3 4 6 2 0 5]
21,1909,[2 4 6 3 0 5 1]
22,1580,[2 1 0 6 4 3 5]
23,457,[0 4 6 1 2 5 3]
24,1893,[2 4 5 6 1 3 0]
25,1339,[1 6 0 5 2 4 3]
26,2259,[3 0 6 1 4 5 2]
27,2218,[3 0 4 2 6 1 5]
28,543,[0 5 3 4 2 6 1]
29,1650,[2 1 5 6 0 3 4]
30,1106,[1 4 2 0 5 3 6]
31,2004,[2 5 4 3 0 1 6]
32,1494,[2 0 4 3 1 5 6]
33,1057,[1 3 6 0 2 5 4]
34,775,[1 0 4 3 2 6 5]
35,2167,[3 0 1 4 2 6 5]
36,281,[0 3 2 5 6 4 1]
37,765,[1 0 3 6 4 5 2]
38,2054,[2 6 0 4 3 1 5]
39,2113,[2 6 4 0 1 5 3]
40,471,[0 4 6 3 2 5 1]
41,2015,[2 5 4 6 3 1 0]
42,1486,[2 0 3 6 5 1 4]
43,1158,[1 4 5 2 0 3 6]
44,1140,[1 4 3 5 0 2 6]
45,1703,[2 3 0 6 5 4 1]
46,1298,[1 5 6 0 3 2 4]
47,603,[0 6 1 2 4 5 3]
48,2247,[3 0 5 4 2 6 1]
49,962,[1 3 0 2 5 4 6]
50,665,[0 6 3 4 5 2 1]
51,454,[0 4 5 6 3 1 2]
52,2204,[3 0 2 6 4 1 5]
53,1892,[2 4 5 6 1 0 3]
54,1509,[2 0 4 6 3 5 1]
55,864,[1 2 3 0 4 5 6]
56,1216,[1 5 0 4 6 2 3]
57,1055,[1 3 5 6 4 2 0]
58,1245,[1 5 2 6 3 4 0]
59,1597,[2 1 3 5 0 6 4]
60,619,[0 6 1 5 2 4 3]
61,1596,[2 1 3 5 0 4 6]
62,1692,[2 3 0 5 1 4 6]
63,718,[0 6 5 4 3 1 2]
64,1045,[1 3 5 4 0 6 2]
65,2057,[2 6 0 4 5 3 1]
66,1500,[2 0 4 5 1 3 6]
67,275,[0 3 2 4 6 5 1]
68,623,[0 6 1 5 4 3 2]
69,710,[0 6 5 3 2 1 4]
70,1593,[2 1 3 4 5 6 0]
71,280,[0 3 2 5 6 1 4]
72,943,[1 2 6 3 0 5 4]
73,1683,[2 3 0 1 5 6 4]
74,2189,[3 0 2 1 6 5 4]
75,1281,[1 5 4 2 3 6 0]
76,676,[0 6 4 1 5 2 3]
77,674,[0 6 4 1 3 2 5]
78,1585,[2 1 3 0 4 6 5]
79,442,[0 4 5 2 6 1 3]
80,381,[0 4 1 6 3 5 2]
81,1908,[2 4 6 3 0 1 5]
82,2239,[3 0 5 2 1 6 4]
83,1849,[2 4 3 0 1 6 5]
84,1238,[1 5 2 4 3 0 6]
85,904,[1 2 4 5 6 0 3]
86,2069,[2 6 1 0 5 4 3]
87,1871,[2 4 3 6 5 1 0]
88,1816,[2 4 0 5 6 1 3]
89,2179,[3 0 1 6 2 5 4]
90,1204,[1 5 0 2 6 3 4]
91,1607,[2 1 3 6 5 4 0]
92,1789,[2 3 6 4 0 5 1]
93,709,[0 6 5 3 1 4 2]
94,1747,[2 3 4 6 0 5 1]
95,1143,[1 4 3 5 2 6 0]
96,575,[0 5 4 6 3 2 1]
97,1021,[1 3 4 5 0 6 2]
98,308,[0 3 4 6 2 1 5]
99,1352,[1 6 2 3 4 0 5]
100,456,[0 4 6 1 2 3 5]
1,1152,[1 4 5 0 2 3 6]
2,2249,[3 0 5 4 6 2 1]
3,1789,[2 3 6 4 0 5 1]
4,1638,[2 1 5 3 0 4 6]
5,523,[0 5 2 6 1 4 3]
6,1780,[2 3 6 0 5 1 4]
7,774,[1 0 4 3 2 5 6]
8,1971,[2 5 3 0 4 6 1]
9,480,[0 5 1 2 3 4 6]
10,441,[0 4 5 2 3 6 1]
11,794,[1 0 5 2 4 3 6]
12,1738,[2 3 4 1 6 0 5]
13,1055,[1 3 5 6 4 2 0]
14,1557,[2 0 6 5 3 4 1]
15,979,[1 3 0 6 2 5 4]
16,1625,[2 1 4 5 6 3 0]
17,2112,[2 6 4 0 1 3 5]
18,1749,[2 3 4 6 1 5 0]
19,280,[0 3 2 5 6 1 4]
20,2257,[3 0 6 1 2 5 4]
21,1898,[2 4 6 0 3 1 5]
22,851,[1 2 0 4 6 5 3]
23,713,[0 6 5 3 4 2 1]
24,1775,[2 3 5 6 4 1 0]
25,2254,[3 0 5 6 4 1 2]
26,873,[1 2 3 4 5 6 0]
27,486,[0 5 1 3 2 4 6]
28,2204,[3 0 2 6 4 1 5]
29,1298,[1 5 6 0 3 2 4]
30,959,[1 2 6 5 4 3 0]
31,1923,[2 5 0 1 4 6 3]
32,561,[0 5 4 2 3 6 1]
33,486,[0 5 1 3 2 4 6]
34,2254,[3 0 5 6 4 1 2]
35,1409,[1 6 4 3 5 2 0]
36,1928,[2 5 0 3 4 1 6]
37,703,[0 6 5 2 1 4 3]
38,464,[0 4 6 2 3 1 5]
39,967,[1 3 0 4 2 6 5]
40,1393,[1 6 4 0 2 5 3]
41,1547,[2 0 6 3 5 4 1]
42,2168,[3 0 1 4 5 2 6]
43,1588,[2 1 3 0 6 4 5]
44,1990,[2 5 3 6 4 0 1]
45,662,[0 6 3 4 2 1 5]
46,2138,[2 6 5 0 3 1 4]
47,986,[1 3 2 0 5 4 6]
48,1421,[1 6 5 0 4 3 2]
49,1021,[1 3 4 5 0 6 2]
50,1787,[2 3 6 1 5 4 0]
51,732,[1 0 2 5 3 4 6]
52,1540,[2 0 6 1 5 3 4]
53,2240,[3 0 5 2 4 1 6]
54,1363,[1 6 2 5 0 4 3]
55,827,[1 0 6 3 5 4 2]
56,554,[0 5 4 1 3 2 6]
57,1788,[2 3 6 4 0 1 5]
58,407,[0 4 2 6 5 3 1]
59,1652,[2 1 5 6 3 0 4]
60,1918,[2 4 6 5 3 0 1]
61,1546,[2 0 6 3 5 1 4]
62,838,[1 0 6 5 4 2 3]
63,926,[1 2 5 4 3 0 6]
64,1790,[2 3 6 4 1 0 5]
65,786,[1 0 4 6 2 3 5]
66,486,[0 5 1 3 2 4 6]
67,1504,[2 0 4 5 6 1 3]
68,1069,[1 3 6 4 0 5 2]
69,274,[0 3 2 4 6 1 5]
70,1319,[1 5 6 4 3 2 0]
71,1175,[1 4 5 6 3 2 0]
72,1900,[2 4 6 0 5 1 3]
73,1035,[1 3 5 0 4 6 2]
74,1269,[1 5 3 6 2 4 0]
75,962,[1 3 0 2 5 4 6]
76,1999,[2 5 4 1 0 6 3]
77,1532,[2 0 5 6 3 1 4]
78,991,[1 3 2 4 0 6 5]
79,1365,[1 6 2 5 3 4 0]
80,305,[0 3 4 5 6 2 1]
81,2156,[2 6 5 4 1 0 3]
82,1333,[1 6 0 4 2 5 3]
83,1436,[1 6 5 4 2 0 3]
84,1780,[2 3 6 0 5 1 4]
85,479,[0 4 6 5 3 2 1]
86,635,[0 6 2 3 5 4 1]
87,589,[0 5 6 3 1 4 2]
88,1391,[1 6 3 5 4 2 0]
89,1680,[2 3 0 1 4 5 6]
90,1108,[1 4 2 0 6 3 5]
91,282,[0 3 2 6 1 4 5]
92,688,[0 6 4 3 5 1 2]
93,1081,[1 4 0 2 3 6 5]
94,1317,[1 5 6 4 2 3 0]
95,2115,[2 6 4 0 3 5 1]
96,962,[1 3 0 2 5 4 6]
97,1494,[2 0 4 3 1 5 6]
98,2066,[2 6 1 0 4 3 5]
99,1456,[2 0 1 5 6 3 4]
100,429,[0 4 3 6 2 5 1]
1,887,[1 2 3 6 5 4 0]
2,2186,[3 0 2 1 5 4 6]
3,1273,[1 5 4 0 2 6 3]
4,1970,[2 5 3 0 4 1 6]
5,865,[1 2 3 0 4 6 5]
6,1101,[1 4 0 6 3 5 2]
7,758,[1 0 3 5 4 2 6]
8,1224,[1 5 2 0 3 4 6]
9,654,[0 6 3 2 1 4 5]
10,1096,[1 4 0 5 6 2 3]
11,1291,[1 5 4 6 0 3 2]
12,1050,[1 3 5 6 0 2 4]
13,1170,[1 4 5 6 0 2 3]
14,1536,[2 0 6 1 3 4 5]
15,2031,[2 5 6 3 1 4 0]
16,465,[0 4 6 2 3 5 1]
17,1671,[2 1 6 4 3 5 0]
18,1414,[1 6 4 5 3 0 2]
19,1564,[2 1 0 3 6 4 5]
20,271,[0 3 2 4 1 6 5]
21,2165,[3 0 1 2 6 5 4]
22,309,[0 3 4 6 2 5 1]
23,1658,[2 1 6 0 4 3 5]
24,1561,[2 1 0 3 4 6 5]
25,1179,[1 4 6 0 3 5 2]
26,739,[1 0 2 6 3 5 4]
27,1072,[1 3 6 4 5 0 2]
28,1986,[2 5 3 6 0 1 4]
29,1423,[1 6 5 2 0 4 3]
30,757,[1 0 3 5 2 6 4]
31,1734,[2 3 4 1 0 5 6]
32,1803,[2 4 0 1 5 6 3]
33,1188,[1 4 6 3 0 2 5]
34,1750,[2 3 4 6 5 0 1]
35,2239,[3 0 5 2 1 6 4]
36,361,[0 4 1 2 3 6 5]
37,1735,[2 3 4 1 0 6 5]
38,1168,[1 4 5 3 6 0 2]
39,1647,[2 1 5 4 3 6 0]
40,2146,[2 6 5 1 4 0 3]
41,1634,[2 1 5 0 4 3 6]
42,990,[1 3 2 4 0 5 6]
43,836,[1 0 6 5 3 2 4]
44,2086,[2 6 1 5 4 0 3]
45,1611,[2 1 4 0 5 6 3]
46,1787,[2 3 6 1 5 4 0]
47,1813,[2 4 0 5 1 6 3]
48,1554,[2 0 6 5 1 3 4]
49,1903,[2 4 6 1 0 5 3]
50,1559,[2 0 6 5 4 3 1]
51,341,[0 3 6 1 5 4 2]
52,755,[1 0 3 4 6 5 2]
53,1305,[1 5 6 2 3 4 0]
54,533,[0 5 3 1 6 4 2]
55,775,[1 0 4 3 2 6 5]
56,780,[1 0 4 5 2 3 6]
57,1981,[2 5 3 4 0 6 1]
58,1043,[1 3 5 2 6 4 0]
59,296,[0 3 4 2 5 1 6]
60,393,[0 4 2 3 5 6 1]
61,1041,[1 3 5 2 4 6 0]
62,2069,[2 6 1 0 5 4 3]
63,653,[0 6 3 1 5 4 2]
64,592,[0 5 6 3 4 1 2]
65,1825,[2 4 1 0 3 6 5]
66,1515,[2 0 5 1 4 6 3]
67,2250,[3 0 5 6 1 2 4]
68,2054,[2 6 0 4 3 1 5]
69,2061,[2 6 0 5 3 4 1]
70,269,[0 3 2 1 6 5 4]
71,2204,[3 0 2 6 4 1 5]
72,499,[0 5 1 6 2 4 3]
