99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,2530004,[6 9 5 8 7 1 4 2 0 3],1149294,[3 1 6 0 4 7 5 2 8 9],520467,[1 4 9 2 8 3 0 6 7 5],2039209,[5 6 4 7 1 3 0 2 9 8],1560055,[4 2 7 5 8 3 1 0 9 6]
2,3048945,[8 3 5 9 4 7 1 2 6 0],501108,[1 4 5 3 9 8 6 0 2 7],3362105,[9 2 4 0 6 5 7 8 3 1],2370801,[6 4 8 2 7 5 1 3 9 0],858940,[2 4 3 5 9 8 0 7 1 6]
3,380495,[1 0 5 6 4 8 9 7 3 2],3289551,[9 0 5 6 7 8 3 2 4 1],97525,[0 3 5 4 6 8 7 1 9 2],2280463,[6 2 5 4 1 9 3 0 8 7],1872262,[5 1 4 6 3 0 9 8 2 7]
4,457275,[1 3 4 8 0 7 2 6 9 5],2826171,[7 8 0 6 2 4 1 5 9 3],1908169,[5 2 3 7 1 6 0 4 9 8],3520223,[9 6 2 4 1 0 8 7 5 3],1960044,[5 3 6 9 1 7 4 0 2 8]
5,1764388,[4 8 7 0 5 2 1 9 3 6],1385807,[3 8 2 9 6 1 7 5 4 0],1870995,[5 1 4 2 7 8 0 6 9 3],3021618,[8 2 9 4 6 0 7 1 3 5],2363656,[6 4 5 9 8 0 3 7 1 2]
6,1691692,[4 6 9 5 3 2 0 8 1 7],2719326,[7 4 3 5 9 0 2 1 6 8],141857,[0 4 6 2 1 3 8 9 7 5],633728,[1 7 6 8 2 0 4 5 3 9],1057451,[2 9 1 7 6 0 4 8 5 3]
7,559054,[1 5 8 9 3 6 7 4 0 2],679668,[1 8 7 6 9 5 3 0 2 4],1962124,[5 3 7 2 1 0 4 9 6 8],2289346,[6 2 8 1 5 9 3 7 0 4],1640997,[4 5 7 6 0 9 8 2 3 1]
8,1694552,[4 7 0 2 6 3 5 8 1 9],1704661,[4 7 2 1 6 5 8 0 9 3],3514982,[9 6 1 3 8 4 5 2 0 7],2021973,[5 6 1 2 3 8 9 4 7 0],2141711,[5 9 0 8 4 3 7 6 2 1]
9,320172,[0 8 9 4 6 1 5 2 3 7],538734,[1 5 3 9 2 6 4 0 7 8],3452714,[9 4 6 0 3 7 1 5 2 8],1706034,[4 7 2 5 3 9 8 0 1 6],1892317,[5 1 9 4 2 3 7 0 8 6]
10,2407624,[6 5 7 4 9 2 3 8 0 1],1779458,[4 9 1 0 5 8 2 6 3 7],2867426,[7 9 0 8 4 2 1 5 3 6],1764800,[4 8 7 1 0 6 3 5 2 9],2596556,[7 1 4 2 3 9 8 5 0 6]
11,2099880,[5 8 0 6 4 1 2 3 7 9],261128,[0 7 4 8 6 1 3 5 2 9],667323,[1 8 5 3 9 0 2 6 7 4],2474992,[6 8 3 0 4 9 5 7 1 2],2010300,[5 4 8 9 0 3 6 1 2 7]
12,894757,[2 5 1 6 8 3 7 0 9 4],1447363,[3 9 8 1 2 4 7 0 6 5],1237692,[3 4 7 6 0 1 8 2 5 9],2165137,[5 9 6 4 0 8 1 2 7 3],431929,[1 2 7 6 9 4 0 3 8 5]
13,2419346,[6 7 0 1 3 4 2 8 5 9],1476191,[4 0 6 9 2 5 8 7 3 1],3538693,[9 6 7 0 8 1 4 2 5 3],2238955,[6 1 5 2 7 9 8 0 4 3],2004550,[5 4 7 8 0 3 9 6 1 2]
14,1465711,[4 0 3 8 7 2 5 1 9 6],3044562,[8 3 5 0 6 2 9 1 4 7],2215395,[6 0 9 4 8 5 1 3 7 2],1080204,[2 9 7 3 1 6 5 0 4 8],346120,[0 9 5 6 7 2 4 8 1 3]
15,1937995,[5 3 0 6 7 9 8 1 4 2],751147,[2 0 7 1 4 6 9 3 8 5],853218,[2 4 1 5 0 3 9 6 7 8],1953054,[5 3 4 6 7 2 1 0 8 9],2416626,[6 5 9 3 2 4 8 0 1 7]
16,1082940,[2 9 7 8 0 4 5 1 3 6],596602,[1 6 8 3 5 7 2 9 0 4],3576484,[9 7 5 4 2 0 1 8 3 6],359085,[0 9 8 2 6 3 7 4 5 1],258455,[0 7 4 2 9 6 8 5 3 1]
17,2418486,[6 5 9 8 0 1 3 2 4 7],1321737,[3 6 8 1 7 4 2 5 9 0],2653398,[7 2 8 4 1 6 3 0 5 9],3511609,[9 6 0 7 2 4 1 3 8 5],3430395,[9 4 0 6 3 7 1 5 8 2]
18,1962208,[5 3 7 2 1 8 6 9 0 4],2970198,[8 1 6 3 2 7 4 0 5 9],30013,[0 1 7 9 6 2 5 3 8 4],2846420,[7 8 4 6 2 0 9 3 1 5],632904,[1 7 6 5 0 3 2 4 8 9]
19,1999433,[5 4 6 7 9 8 2 3 1 0],2505859,[6 9 1 2 4 0 8 3 7 5],227715,[0 6 7 2 3 8 1 5 9 4],1340965,[3 7 2 0 5 8 6 1 9 4],3337865,[9 1 7 2 8 4 5 6 3 0]
20,1549742,[4 2 5 6 3 7 8 1 0 9],1824041,[5 0 2 9 4 3 7 8 6 1],645710,[1 8 0 2 7 9 5 4 3 6],2295952,[6 2 9 4 7 8 3 5 0 1],680059,[1 8 7 9 4 0 6 2 5 3]
21,53051,[0 2 4 6 8 1 5 9 7 3],2608994,[7 1 6 5 4 8 0 3 2 9],2759012,[7 5 3 2 9 6 8 1 0 4],1425866,[3 9 2 8 4 1 0 6 5 7],2254620,[6 1 9 3 4 5 7 0 2 8]
22,1178305,[3 2 1 8 6 4 0 5 9 7],1683327,[4 6 7 9 8 3 2 1 5 0],2900021,[7 9 8 2 5 6 0 4 3 1],1803156,[4 9 6 7 2 1 5 0 3 8],2836513,[7 8 2 6 4 5 0 1 9 3]
23,2419284,[6 7 0 1 2 8 5 3 4 9],657899,[1 8 3 5 7 4 2 9 6 0],2141059,[5 9 0 7 6 1 8 2 4 3],1205705,[3 2 9 1 6 5 7 8 4 0],2938233,[8 0 7 9 6 2 3 4 5 1]
24,76505,[0 2 9 3 4 6 7 8 5 1],160459,[0 4 9 7 8 1 6 2 5 3],1566405,[4 2 8 7 5 1 9 3 6 0],1503591,[4 1 3 5 2 9 7 6 8 0],851517,[2 4 0 9 6 8 7 3 5 1]
25,2558036,[7 0 4 5 8 9 6 2 1 3],3072042,[8 4 1 5 7 2 9 0 3 6],3102330,[8 4 9 3 6 5 7 0 1 2],1513191,[4 1 6 2 7 9 5 3 8 0],961077,[2 6 8 5 7 9 4 1 3 0]
26,1515184,[4 1 6 7 3 5 8 9 0 2],1300519,[3 6 2 0 4 8 5 1 9 7],1174446,[3 2 1 0 5 4 7 6 8 9],2573262,[7 0 8 4 9 6 2 1 3 5],400430,[1 0 9 5 2 8 6 4 3 7]
27,2589936,[7 1 2 9 0 8 3 4 5 6],1781566,[4 9 1 5 3 2 8 7 0 6],2079436,[5 7 4 6 0 8 1 9 2 3],208289,[0 6 2 4 3 8 7 9 5 1],2994440,[8 2 3 0 9 6 4 5 1 7]
28,903693,[2 5 4 3 0 8 9 6 7 1],1379919,[3 8 1 7 5 2 6 4 9 0],1434515,[3 9 5 6 2 1 4 8 7 0],817092,[2 3 4 0 9 1 7 5 6 8],15610,[0 1 5 2 8 3 6 9 4 7]
29,1974652,[5 3 9 7 4 2 0 8 1 6],2611408,[7 1 8 0 9 5 4 6 2 3],654626,[1 8 2 9 3 4 0 6 5 7],2399133,[6 5 4 0 1 8 9 3 7 2],1732727,[4 7 9 6 3 1 8 5 2 0]
30,216545,[0 6 3 9 7 4 5 8 2 1],3176425,[8 6 7 1 5 2 0 3 9 4],3313009,[9 1 2 4 5 6 0 3 8 7],2977159,[8 1 7 5 9 4 2 0 6 3],1332461,[3 7 0 4 6 9 1 8 5 2]
31,1568110,[4 2 9 0 8 5 7 6 1 3],355488,[0 9 7 4 6 3 1 2 5 8],1209152,[3 2 9 8 4 1 5 6 0 7],144399,[0 4 6 7 5 2 8 3 9 1],2612174,[7 1 8 3 0 2 6 5 4 9]
32,300,[0 1 2 3 6 7 8 4 5 9],1485311,[4 0 8 6 9 3 7 5 2 1],673252,[1 8 6 5 0 4 2 9 3 7],26560,[0 1 7 3 9 4 6 8 2 5],2467525,[6 8 1 5 0 7 4 2 9 3]
33,1954294,[5 3 4 8 1 7 9 6 0 2],913970,[2 5 7 3 4 6 0 8 1 9],982785,[2 7 3 9 8 6 1 4 5 0],1339914,[3 7 1 8 9 6 5 0 2 4],1436338,[3 9 5 8 7 2 1 6 0 4]
34,2190014,[6 0 3 5 8 1 7 4 2 9],3023246,[8 2 9 6 7 4 3 1 0 5],1918787,[5 2 6 7 9 8 1 4 3 0],123195,[0 4 1 6 2 8 3 7 9 5],3325225,[9 1 4 7 3 2 0 5 8 6]
35,2673487,[7 3 2 5 1 0 6 4 9 8],1321049,[3 6 8 0 7 5 4 9 2 1],2403318,[6 5 4 8 9 3 1 0 2 7],2754458,[7 5 2 4 6 9 0 3 1 8],3183754,[8 6 9 4 7 1 2 5 0 3]
36,1190219,[3 2 6 1 0 7 5 9 8 4],3220608,[8 7 9 0 1 4 2 3 5 6],334202,[0 9 3 4 2 1 5 7 6 8],2155323,[5 9 3 6 4 0 1 7 8 2],2452852,[6 7 8 4 5 2 0 9 1 3]
37,3274307,[9 0 2 6 5 8 3 7 4 1],2171406,[5 9 7 6 8 0 2 1 3 4],3121752,[8 5 3 2 7 6 0 1 4 9],682548,[1 8 9 3 7 6 4 0 2 5],3134115,[8 5 6 7 9 3 0 2 4 1]
38,1625723,[4 5 2 6 9 7 1 8 3 0],98442,[0 3 5 6 8 2 9 1 4 7],1730873,[4 7 9 2 8 6 3 5 1 0],223384,[0 6 5 3 2 7 8 9 1 4],2731676,[7 4 6 9 8 5 3 1 0 2]
39,1964350,[5 3 7 8 1 4 9 6 0 2],3262883,[8 9 7 2 5 4 1 6 3 0],1507064,[4 1 5 0 2 9 6 7 3 8],884701,[2 4 9 5 7 3 6 0 8 1],2200582,[6 0 5 7 3 1 9 8 2 4]
