98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,1557380,[4 2 7 0 1 3 9 6 5 8],245127,[0 7 1 6 4 8 5 3 9 2],1436656,[3 9 6 0 4 1 7 8 2 5],1976151,[5 4 0 1 7 9 6 3 8 2],1713834,[4 7 5 0 2 9 8 1 3 6]
2,841867,[2 3 9 0 4 6 8 1 7 5],1263778,[3 5 2 8 1 6 4 9 0 7],140488,[0 4 5 9 1 7 6 8 2 3],1558286,[4 2 7 1 3 8 6 5 0 9],694839,[1 9 2 8 0 4 6 5 7 3]
3,1541058,[4 2 1 8 5 0 9 3 6 7],653573,[1 8 2 6 7 4 0 9 5 3],2694101,[7 3 8 4 6 9 0 5 2 1],518713,[1 4 8 9 3 6 0 2 7 5],2893711,[7 9 6 1 0 3 4 2 8 5]
4,2680863,[7 3 4 9 2 5 6 1 8 0],882124,[2 4 9 0 3 1 5 8 6 7],359525,[0 9 8 3 4 1 2 7 6 5],356139,[0 9 7 5 4 8 1 3 6 2],2430298,[6 7 2 1 4 5 3 9 0 8]
5,2944953,[8 1 0 4 3 5 6 7 9 2],2927530,[8 0 5 9 1 2 4 7 3 6],1303103,[3 6 2 5 9 0 8 7 4 1],3475649,[9 5 1 6 2 7 4 8 3 0],3538084,[9 6 7 0 1 2 3 8 4 5]
6,3519454,[9 6 2 3 0 7 8 5 1 4],744640,[2 0 5 8 3 4 7 9 1 6],970481,[2 7 0 5 9 3 6 8 4 1],337361,[0 9 3 8 5 2 6 7 4 1],3064220,[8 3 9 7 6 0 5 2 1 4]
7,1344633,[3 7 2 8 5 1 4 6 9 0],3528706,[9 6 4 0 8 7 2 5 1 3],1327659,[3 6 9 2 8 7 0 4 5 1],3408375,[9 3 5 1 8 0 6 4 7 2],1895157,[5 2 0 1 3 9 8 6 7 4]
8,1957698,[5 3 6 4 0 1 9 2 7 8],996445,[2 7 6 5 9 4 3 0 8 1],498337,[1 4 3 9 0 8 2 5 7 6],2100010,[5 8 0 6 7 1 3 9 2 4],1105269,[3 0 5 4 1 7 9 6 8 2]
9,3004386,[8 2 5 0 7 4 9 1 3 6],2801949,[7 6 3 9 4 2 8 1 5 0],2428949,[6 7 1 9 4 2 0 8 5 3],2844755,[7 8 4 3 0 2 5 9 6 1],3155031,[8 6 1 9 7 5 3 2 4 0]
10,245887,[0 7 1 8 5 2 4 3 9 6],1656426,[4 6 0 7 5 3 9 1 2 8],1765795,[4 8 7 2 3 9 6 0 5 1],1393900,[3 8 5 4 9 7 0 6 1 2],1690265,[4 6 9 2 5 3 7 8 1 0]
11,2112705,[5 8 3 1 2 9 4 6 7 0],2596914,[7 1 4 2 8 9 6 0 3 5],2583348,[7 1 0 5 9 8 4 2 3 6],2913353,[8 0 3 1 4 9 6 7 5 2],2662797,[7 3 0 4 2 9 8 5 6 1]
12,959083,[2 6 8 3 0 4 9 1 7 5],789672,[2 1 6 7 8 5 0 3 4 9],1149126,[3 1 6 0 2 4 7 5 8 9],1712840,[4 7 3 8 9 5 1 2 0 6],934927,[2 6 1 5 7 0 4 3 9 8]
13,490094,[1 4 2 3 8 0 7 6 5 9],797384,[2 1 8 3 5 9 4 6 0 7],637123,[1 7 8 3 9 2 6 0 5 4],1383321,[3 8 2 5 1 7 4 6 9 0],178629,[0 5 4 6 1 7 9 3 8 2]
14,1692367,[4 6 9 7 3 0 2 1 8 5],2532357,[6 9 7 3 0 8 5 2 4 1],2159651,[5 9 4 3 6 0 2 8 7 1],1014239,[2 8 1 3 6 9 7 5 4 0],2594402,[7 1 3 8 4 0 2 6 5 9]
15,3356746,[9 2 3 0 1 8 5 7 4 6],2427181,[6 7 1 5 0 4 8 2 9 3],39021,[0 1 9 7 3 2 8 5 6 4],1004148,[2 7 9 1 5 8 4 0 3 6],2404571,[6 5 7 0 8 1 3 9 4 2]
16,3246095,[8 9 4 0 3 6 7 5 2 1],3146692,[8 6 0 3 4 5 1 9 2 7],184783,[0 5 6 7 4 9 2 1 8 3],2291334,[6 2 8 5 3 4 1 0 7 9],1900904,[5 2 1 3 0 9 6 7 4 8]
17,1171253,[3 2 0 5 8 6 1 9 7 4],1009464,[2 8 0 4 1 5 3 6 7 9],3259137,[8 9 6 4 3 2 1 5 7 0],16066,[0 1 5 3 4 9 6 8 2 7],569657,[1 6 2 0 4 3 8 9 7 5]
18,1199493,[3 2 7 9 8 5 6 1 4 0],1053615,[2 9 1 0 5 3 7 6 8 4],3276493,[9 0 3 1 7 2 6 4 8 5],613669,[1 7 2 8 3 9 5 0 6 4],1706626,[4 7 2 6 1 9 3 8 0 5]
19,2501325,[6 9 0 3 1 4 8 5 7 2],3161448,[8 6 3 1 9 4 0 2 5 7],2100786,[5 8 0 7 6 3 9 1 2 4],2113861,[5 8 3 2 9 4 6 0 7 1],3117696,[8 5 2 6 0 9 1 3 4 7]
20,1977990,[5 4 0 6 2 3 7 1 8 9],3069832,[8 4 1 0 6 9 5 7 2 3],2100760,[5 8 0 7 6 2 4 9 1 3],1919544,[5 2 6 9 0 3 1 4 7 8],2635044,[7 2 3 8 6 5 4 0 1 9]
21,2253728,[6 1 9 2 3 0 5 7 4 8],1442025,[3 9 7 0 6 8 2 4 5 1],3167080,[8 6 4 2 7 1 5 9 0 3],2279306,[6 2 5 1 8 3 0 7 4 9],2023025,[5 6 1 3 8 4 7 9 2 0]
22,1184985,[3 2 5 0 8 9 4 6 7 1],302097,[0 8 4 9 5 3 2 6 7 1],2987082,[8 2 0 6 7 3 9 1 4 5],1294287,[3 6 0 8 5 7 4 2 9 1],2926050,[8 0 5 4 9 6 7 1 2 3]
23,257880,[0 7 4 2 3 1 5 6 8 9],2395832,[6 5 3 2 7 1 4 8 0 9],3421043,[9 3 7 6 2 5 1 8 4 0],3332904,[9 1 6 3 0 4 2 5 7 8],2097488,[5 8 0 2 3 1 6 7 4 9]
24,173090,[0 5 3 4 6 7 1 8 2 9],535830,[1 5 3 4 2 6 7 0 8 9],105985,[0 3 7 1 4 5 2 6 9 8],1476433,[4 0 6 9 5 7 1 2 8 3],1841615,[5 0 7 3 8 6 9 4 2 1]
25,1794072,[4 9 3 8 6 5 0 1 2 7],2210744,[6 0 8 5 3 9 2 4 1 7],1102938,[3 0 4 8 9 1 7 2 5 6],3035761,[8 3 2 4 5 0 1 6 9 7],55560,[0 2 5 1 4 3 6 7 8 9]
26,247800,[0 7 2 3 4 1 5 6 8 9],461965,[1 3 5 7 6 8 4 0 9 2],112825,[0 3 8 4 7 2 1 5 9 6],687296,[1 9 0 4 6 5 3 7 2 8],2122969,[5 8 6 1 4 3 0 2 9 7]
27,2245371,[6 1 7 4 5 3 0 8 9 2],3509455,[9 6 0 3 2 5 4 1 8 7],2111790,[5 8 3 0 1 4 6 2 7 9],1471983,[4 0 6 1 5 7 8 3 9 2],1743028,[4 8 1 7 9 2 0 6 3 5]
28,2455033,[6 7 9 0 5 4 1 2 8 3],2764472,[7 5 4 3 6 1 2 8 0 9],70561,[0 2 8 1 3 4 5 6 9 7],512372,[1 4 7 6 5 8 9 2 0 3],23480,[0 1 6 7 5 8 3 4 2 9]
29,726949,[2 0 1 4 7 9 6 3 8 5],1438041,[3 9 6 2 1 7 4 5 8 0],2601854,[7 1 5 2 8 0 6 4 3 9],1459913,[4 0 2 7 6 9 5 8 3 1],1528233,[4 1 9 2 6 3 5 7 8 0]
30,736988,[2 0 4 3 7 6 9 5 1 8],2934379,[8 0 7 2 5 1 9 3 6 4],2600044,[7 1 4 9 2 0 3 8 5 6],994640,[2 7 6 3 4 8 1 5 0 9],205797,[0 6 1 8 7 9 5 3 4 2]
31,3151592,[8 6 1 3 2 4 5 7 0 9],51544,[0 2 4 3 7 6 8 9 1 5],1414902,[3 9 0 7 1 8 4 2 5 6],3079415,[8 4 2 9 7 5 6 3 1 0],881568,[2 4 8 9 3 5 0 1 6 7]
32,3518304,[9 6 2 0 5 3 1 4 7 8],1039670,[2 8 7 1 9 6 4 3 0 5],180303,[0 5 4 8 3 6 7 2 9 1],3438316,[9 4 2 1 5 7 0 8 3 6],1191083,[3 2 6 4 1 8 5 9 7 0]
33,3113766,[8 5 1 7 6 0 3 2 4 9],3493705,[9 5 6 1 3 2 0 4 8 7],3111653,[8 5 1 3 7 4 0 9 6 2],2780029,[7 5 9 4 0 8 3 1 6 2],428919,[1 2 7 0 8 4 6 5 9 3]
34,1974867,[5 3 9 7 8 1 0 4 6 2],805580,[2 1 9 7 8 0 6 4 3 5],2190855,[6 0 3 7 9 1 5 4 8 2],2332480,[6 3 8 7 4 1 5 9 0 2],677742,[1 8 7 4 2 9 3 0 5 6]
35,1709932,[4 7 3 1 9 5 0 8 2 6],1442081,[3 9 7 0 8 2 5 6 4 1],1169643,[3 2 0 1 7 4 5 8 9 6],1680861,[4 6 7 3 5 0 9 2 8 1],1834376,[5 0 4 9 7 3 2 6 1 8]
36,2113599,[5 8 3 2 6 1 7 4 9 0],2152418,[5 9 3 0 4 8 1 6 2 7],1348457,[3 7 4 5 9 0 6 8 2 1],531536,[1 5 2 6 3 7 4 8 0 9],501101,[1 4 5 3 9 8 0 7 6 2]
37,2345381,[6 4 1 3 5 9 0 8 7 2],873279,[2 4 7 1 9 3 6 5 8 0],604599,[1 6 9 8 5 2 4 3 7 0],597752,[1 6 8 5 2 3 4 7 0 9],503282,[1 4 5 9 0 2 3 7 6 8]
38,437750,[1 2 8 7 9 6 4 3 0 5],2340269,[6 4 0 3 5 2 1 9 8 7],17317,[0 1 5 6 2 4 8 3 9 7],1715357,[4 7 5 2 3 8 0 9 6 1],584732,[1 6 5 0 2 8 9 4 3 7]
39,207662,[0 6 2 3 5 7 8 4 1 9],3481144,[9 5 2 6 8 3 4 7 0 1],2397935,[6 5 3 8 2 7 9 4 1 0],1908821,[5 2 3 8 0 9 1 7 6 4],2784061,[7 6 0 3 8 4 5 1 9 2]
