100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1696,[2 3 0 5 6 1 4],4338,[6 0 1 5 2 3 4],2511,[3 2 6 4 1 5 0],1738,[2 3 4 1 6 0 5]
2,4628,[6 2 3 5 1 0 4],138,[0 2 1 6 3 4 5],518,[0 5 2 4 3 1 6],3310,[4 3 2 6 5 0 1]
3,305,[0 3 4 5 6 2 1],1852,[2 4 3 0 6 1 5],4562,[6 2 0 1 4 3 5],4956,[6 5 1 3 0 2 4]
4,4073,[5 3 6 2 4 1 0],3824,[5 1 6 2 3 0 4],1392,[1 6 4 0 2 3 5],4586,[6 2 1 0 4 3 5]
5,3308,[4 3 2 6 1 0 5],1784,[2 3 6 1 4 0 5],1394,[1 6 4 0 3 2 5],1359,[1 6 2 4 3 5 0]
6,1024,[1 3 4 5 6 0 2],558,[0 5 4 2 1 3 6],4608,[6 2 3 0 1 4 5],1594,[2 1 3 4 6 0 5]
7,1307,[1 5 6 2 4 3 0],3872,[5 2 1 3 4 0 6],1865,[2 4 3 5 6 1 0],1861,[2 4 3 5 0 6 1]
8,4952,[6 5 1 2 3 0 4],3313,[4 3 5 0 1 6 2],3694,[5 0 4 6 3 1 2],3343,[4 3 6 1 0 5 2]
9,2411,[3 2 0 4 6 5 1],3316,[4 3 5 0 6 1 2],852,[1 2 0 5 3 4 6],3311,[4 3 2 6 5 1 0]
10,2352,[3 1 5 0 2 4 6],1167,[1 4 5 3 2 6 0],3793,[5 1 4 0 2 6 3],2378,[3 1 6 0 4 2 5]
11,4873,[6 4 3 0 1 5 2],3826,[5 1 6 2 4 0 3],1998,[2 5 4 1 0 3 6],4617,[6 2 3 1 4 5 0]
12,3755,[5 1 2 3 6 4 0],677,[0 6 4 1 5 3 2],2304,[3 1 2 0 4 5 6],3690,[5 0 4 6 1 2 3]
13,3735,[5 1 0 4 3 6 2],2760,[3 6 0 1 2 4 5],3083,[4 1 5 2 6 3 0],3717,[5 0 6 4 2 3 1]
14,310,[0 3 4 6 5 1 2],181,[0 2 4 5 1 6 3],2697,[3 5 2 1 4 6 0],2594,[3 4 5 0 2 1 6]
15,1421,[1 6 5 0 4 3 2],4574,[6 2 0 4 3 1 5],3277,[4 3 1 5 0 6 2],2208,[3 0 4 1 2 5 6]
16,1255,[1 5 3 2 0 6 4],4881,[6 4 3 1 2 5 0],3363,[4 5 0 1 3 6 2],1552,[2 0 6 4 5 1 3]
17,876,[1 2 3 5 0 4 6],4756,[6 3 4 0 5 1 2],3531,[4 6 2 0 3 5 1],4085,[5 4 0 1 6 3 2]
