10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,477,[0 4 6 5 2 3 1],2988,[4 0 6 3 1 2 5],1962,[2 5 1 6 0 3 4],2140,[2 6 5 0 4 1 3]
2,781,[1 0 4 5 2 6 3],2934,[4 0 3 2 1 5 6],1665,[2 1 6 3 4 5 0],2190,[3 0 2 4 1 5 6]
3,940,[1 2 6 0 5 3 4],2806,[3 6 1 5 4 0 2],1764,[2 3 5 4 0 1 6],2107,[2 6 3 5 0 4 1]
4,740,[1 0 2 6 4 3 5],2922,[4 0 2 6 1 3 5],1712,[2 3 1 4 5 0 6],2433,[3 2 1 4 5 6 0]
5,634,[0 6 2 3 5 1 4],2796,[3 6 1 4 0 2 5],1803,[2 4 0 1 5 6 3],2432,[3 2 1 4 5 0 6]
6,928,[1 2 5 4 6 0 3],2987,[4 0 6 2 5 3 1],1740,[2 3 4 5 0 1 6],2205,[3 0 2 6 4 5 1]
7,892,[1 2 4 0 6 3 5],2781,[3 6 0 5 2 4 1],1728,[2 3 4 0 1 5 6],2393,[3 1 6 4 5 2 0]
8,632,[0 6 2 3 4 1 5],2872,[3 6 5 2 4 0 1],1935,[2 5 0 4 3 6 1],2321,[3 1 2 5 6 4 0]
9,462,[0 4 6 2 1 3 5],3165,[4 2 1 6 3 5 0],1731,[2 3 4 0 5 6 1],2004,[2 5 4 3 0 1 6]
10,461,[0 4 6 1 5 3 2],2740,[3 5 6 0 4 1 2],1928,[2 5 0 3 4 1 6],2059,[2 6 0 5 1 4 3]
11,663,[0 6 3 4 2 5 1],3106,[4 1 6 2 5 0 3],1751,[2 3 4 6 5 1 0],2045,[2 6 0 1 5 4 3]
12,818,[1 0 6 2 4 3 5],3150,[4 2 1 3 0 5 6],1609,[2 1 4 0 3 6 5],2412,[3 2 0 5 1 4 6]
13,606,[0 6 1 3 2 4 5],2841,[3 6 4 1 2 5 0],1807,[2 4 0 3 1 6 5],2310,[3 1 2 4 0 5 6]
14,493,[0 5 1 4 2 6 3],3198,[4 2 5 1 0 3 6],1951,[2 5 1 3 0 6 4],1960,[2 5 1 4 6 0 3]
15,685,[0 6 4 3 1 5 2],3048,[4 1 3 0 2 5 6],1719,[2 3 1 5 4 6 0],2074,[2 6 1 3 5 0 4]
16,586,[0 5 6 2 4 1 3],2958,[4 0 5 2 1 3 6],2015,[2 5 4 6 3 1 0],2243,[3 0 5 2 6 4 1]
17,809,[1 0 5 4 6 3 2],2884,[4 0 1 2 6 3 5],1916,[2 4 6 5 1 0 3],1960,[2 5 1 4 6 0 3]
