40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,2224,[3 0 4 5 6 1 2],1962,[2 5 1 6 0 3 4],1184,[1 4 6 2 3 0 5],1378,[1 6 3 2 5 0 4]
2,1920,[2 5 0 1 3 4 6],2191,[3 0 2 4 1 6 5],2041,[2 6 0 1 3 5 4],2375,[3 1 5 6 4 2 0]
3,482,[0 5 1 2 4 3 6],2355,[3 1 5 0 4 6 2],1765,[2 3 5 4 0 6 1],2903,[4 0 1 6 5 3 2]
4,1473,[2 0 3 4 5 6 1],2376,[3 1 6 0 2 4 5],1323,[1 6 0 2 4 5 3],3179,[4 2 3 1 6 5 0]
5,843,[1 2 0 3 5 6 4],3051,[4 1 3 0 5 6 2],2559,[3 4 1 5 2 6 0],2591,[3 4 2 6 5 1 0]
6,1921,[2 5 0 1 3 6 4],3092,[4 1 5 6 2 0 3],1831,[2 4 1 3 0 6 5],2757,[3 5 6 4 1 2 0]
7,2140,[2 6 5 0 4 1 3],3127,[4 2 0 3 1 6 5],1673,[2 1 6 4 5 3 0],2630,[3 4 6 2 1 0 5]
8,1714,[2 3 1 4 6 0 5],2652,[3 5 0 4 1 2 6],1009,[1 3 4 0 2 6 5],1808,[2 4 0 3 5 1 6]
9,1950,[2 5 1 3 0 4 6],3724,[5 1 0 2 6 3 4],1553,[2 0 6 4 5 3 1],2720,[3 5 4 1 2 0 6]
10,1606,[2 1 3 6 5 0 4],3012,[4 1 0 5 2 3 6],1146,[1 4 3 6 0 2 5],1379,[1 6 3 2 5 4 0]
11,655,[0 6 3 2 1 5 4],3772,[5 1 3 0 6 2 4],2960,[4 0 5 2 3 1 6],1397,[1 6 4 0 5 3 2]
12,1212,[1 5 0 4 2 3 6],3128,[4 2 0 3 5 1 6],1302,[1 5 6 2 0 3 4],3078,[4 1 5 2 0 3 6]
13,2095,[2 6 3 1 0 5 4],3516,[4 6 1 3 0 2 5],1193,[1 4 6 3 5 2 0],2298,[3 1 0 6 2 4 5]
14,2264,[3 0 6 2 4 1 5],2142,[2 6 5 1 0 3 4],2225,[3 0 4 5 6 2 1],2665,[3 5 1 0 2 6 4]
15,592,[0 5 6 3 4 1 2],2828,[3 6 2 5 1 0 4],3011,[4 1 0 3 6 5 2],3170,[4 2 3 0 5 1 6]
16,1443,[2 0 1 3 5 6 4],2254,[3 0 5 6 4 1 2],1708,[2 3 1 0 6 4 5],2002,[2 5 4 1 6 0 3]
17,1165,[1 4 5 3 0 6 2],3302,[4 3 2 5 1 0 6],1996,[2 5 4 0 6 1 3],2447,[3 2 1 6 5 4 0]
