70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3073,[4 1 5 0 2 6 3],2678,[3 5 1 4 2 0 6],2366,[3 1 5 4 2 0 6],1351,[1 6 2 3 0 5 4]
2,2986,[4 0 6 2 5 1 3],4188,[5 4 6 2 0 1 3],2776,[3 6 0 4 5 1 2],2312,[3 1 2 4 5 0 6]
3,2416,[3 2 0 5 6 1 4],1124,[1 4 2 6 3 0 5],3614,[5 0 1 4 3 2 6],1126,[1 4 2 6 5 0 3]
4,1233,[1 5 2 3 4 6 0],4145,[5 4 2 3 6 1 0],2914,[4 0 2 3 6 1 5],4092,[5 4 0 3 1 2 6]
5,3572,[4 6 3 5 1 0 2],3253,[4 3 0 5 1 6 2],2687,[3 5 1 6 4 2 0],2162,[3 0 1 2 5 4 6]
6,524,[0 5 2 6 3 1 4],4420,[6 0 5 1 4 2 3],3577,[4 6 5 0 1 3 2],1299,[1 5 6 0 3 4 2]
7,2950,[4 0 3 6 5 1 2],2284,[3 1 0 2 6 4 5],1012,[1 3 4 0 6 2 5],1795,[2 3 6 5 0 4 1]
8,1818,[2 4 0 6 1 3 5],2929,[4 0 3 1 2 6 5],3216,[4 2 6 0 1 3 5],2114,[2 6 4 0 3 1 5]
9,434,[0 4 5 1 3 2 6],1678,[2 1 6 5 4 0 3],2527,[3 4 0 2 1 6 5],1801,[2 4 0 1 3 6 5]
10,2348,[3 1 4 6 2 0 5],4161,[5 4 3 1 2 6 0],714,[0 6 5 4 1 2 3],3562,[4 6 3 1 5 0 2]
11,2391,[3 1 6 4 2 5 0],2713,[3 5 4 0 1 6 2],1680,[2 3 0 1 4 5 6],3019,[4 1 0 6 2 5 3]
12,3666,[5 0 3 6 1 2 4],1944,[2 5 1 0 3 4 6],2293,[3 1 0 5 2 6 4],1708,[2 3 1 0 6 4 5]
13,2168,[3 0 1 4 5 2 6],1857,[2 4 3 1 5 6 0],2801,[3 6 1 4 5 2 0],3655,[5 0 3 2 1 6 4]
14,804,[1 0 5 4 2 3 6],1966,[2 5 1 6 4 0 3],3619,[5 0 1 6 2 4 3],1759,[2 3 5 1 0 6 4]
15,3421,[4 5 2 3 0 6 1],2446,[3 2 1 6 5 0 4],3285,[4 3 1 6 2 5 0],1907,[2 4 6 1 5 3 0]
16,1208,[1 5 0 3 4 2 6],1494,[2 0 4 3 1 5 6],746,[1 0 3 2 5 4 6],3959,[5 2 6 4 3 1 0]
17,2852,[3 6 4 5 1 0 2],3801,[5 1 4 2 3 6 0],2571,[3 4 2 0 5 6 1],1725,[2 3 1 6 4 5 0]
