100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,1443090,[3 9 7 2 1 6 8 0 4 5],438956,[1 2 9 0 6 8 7 4 3 5],3128991,[8 5 4 7 6 9 2 1 3 0],2067246,[5 7 2 1 3 0 6 4 8 9],543704,[1 5 4 9 0 8 3 6 2 7]
2,2565424,[7 0 6 1 2 5 8 9 3 4],2691007,[7 3 6 9 4 0 2 1 8 5],3438327,[9 4 2 1 5 7 6 3 8 0],2160716,[5 9 4 6 8 7 3 1 0 2],99121,[0 3 5 7 8 1 2 4 9 6]
3,855909,[2 4 1 8 7 5 9 3 6 0],1061516,[2 9 3 6 1 8 7 4 0 5],792691,[2 1 7 3 9 6 8 0 5 4],3307809,[9 1 0 4 3 2 6 7 8 5],612130,[1 7 2 5 3 0 6 9 4 8]
4,528536,[1 5 0 9 2 6 4 7 3 8],2787961,[7 6 1 2 3 0 4 5 9 8],3140816,[8 5 9 1 2 4 3 6 0 7],1915566,[5 2 6 0 7 1 4 3 8 9],1879560,[5 1 6 9 4 0 2 3 7 8]
5,1481819,[4 0 8 1 2 6 5 9 7 3],2423596,[6 7 0 9 1 5 2 8 3 4],250753,[0 7 2 8 3 6 1 4 9 5],1394150,[3 8 5 6 1 9 4 2 0 7],3023499,[8 2 9 7 1 6 0 4 5 3]
6,3413725,[9 3 6 2 1 7 5 0 8 4],934663,[2 6 1 5 0 9 4 3 8 7],965100,[2 6 9 4 3 5 7 0 1 8],291688,[0 8 2 9 1 6 5 7 3 4],2550423,[7 0 3 1 4 6 8 5 9 2]
7,2550990,[7 0 3 2 1 5 6 4 8 9],971119,[2 7 0 6 8 5 3 1 9 4],2171166,[5 9 7 6 3 0 2 1 4 8],1604050,[4 3 8 1 9 0 5 7 2 6],1333290,[3 7 0 5 8 6 9 1 2 4]
8,1512669,[4 1 6 0 9 5 8 3 7 2],3625799,[9 8 7 2 5 6 4 3 1 0],704048,[1 9 4 6 8 0 3 5 2 7],2778379,[7 5 9 1 8 0 6 2 4 3],2825929,[7 8 0 5 9 3 1 2 6 4]
