2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,180588,[0 5 4 8 7 9 3 1 2 6],179144,[0 5 4 6 8 9 2 3 1 7],533087,[1 5 2 8 4 3 9 7 6 0],358206,[0 9 8 1 5 2 4 3 6 7],1130638,[3 1 0 5 4 9 8 7 2 6]
2,145903,[0 4 6 9 5 8 2 1 7 3],162911,[0 5 1 4 3 7 9 8 6 2],494702,[1 4 3 2 0 7 8 6 5 9],349496,[0 9 6 3 4 5 2 7 1 8],1154531,[3 1 7 0 6 2 5 9 8 4]
3,140137,[0 4 5 8 6 9 1 2 7 3],182021,[0 5 6 1 8 9 2 7 4 3],525125,[1 5 0 3 6 2 4 9 8 7],325205,[0 9 1 5 7 2 3 8 6 4],1117105,[3 0 7 6 5 2 1 4 9 8]
4,176603,[0 5 4 1 3 8 6 9 7 2],145309,[0 4 6 8 7 9 3 1 5 2],537950,[1 5 3 8 0 9 6 4 2 7],388601,[1 0 7 2 8 4 6 9 5 3],1104859,[3 0 5 2 7 1 9 4 8 6]
5,131260,[0 4 3 1 5 9 2 8 6 7],138107,[0 4 5 3 8 9 2 7 6 1],496912,[1 4 3 7 0 9 6 8 2 5],378960,[1 0 5 3 6 2 4 7 8 9],1155955,[3 1 7 4 5 9 8 0 6 2]
6,145419,[0 4 6 8 9 7 1 3 5 2],200671,[0 5 9 7 6 2 3 1 8 4],487983,[1 4 0 8 7 5 6 3 9 2],377084,[1 0 4 8 7 3 9 5 2 6],1168845,[3 1 9 8 4 2 7 5 6 0]
7,141318,[0 4 6 1 3 8 5 2 7 9],160766,[0 4 9 8 2 6 5 3 1 7],518581,[1 4 8 9 2 5 6 0 7 3],379966,[1 0 5 4 8 3 9 7 2 6],1163033,[3 1 8 7 2 9 5 6 4 0]
8,170914,[0 5 2 9 4 3 6 8 1 7],180053,[0 5 4 8 1 6 2 9 7 3],524616,[1 5 0 2 7 9 3 4 6 8],346719,[0 9 5 7 4 2 6 3 8 1],1156834,[3 1 7 5 8 2 4 9 0 6]
