99%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,3161962,[8 6 3 2 5 7 1 9 0 4],913380,[2 5 7 1 6 4 8 0 3 9],1484897,[4 0 8 6 3 1 7 9 5 2],775676,[2 1 3 9 4 8 7 5 0 6],282664,[0 8 1 2 6 5 7 9 3 4]
2,868588,[2 4 6 3 5 1 0 9 7 8],454947,[1 3 4 2 9 5 0 7 8 6],1193165,[3 2 6 8 1 0 4 9 7 5],2746014,[7 5 0 8 9 3 2 1 4 6],2411263,[6 5 8 2 9 7 1 0 4 3]
3,558996,[1 5 8 9 3 2 6 0 4 7],2594174,[7 1 3 8 0 2 6 5 4 9],3397722,[9 3 2 1 0 5 8 4 6 7],2778859,[7 5 9 2 4 0 8 1 6 3],2623251,[7 2 0 5 4 6 1 8 9 3]
4,245239,[0 7 1 6 5 8 3 2 9 4],225479,[0 6 5 8 1 9 7 4 3 2],2870199,[7 9 1 4 3 2 6 5 8 0],1495303,[4 1 0 7 8 9 3 2 6 5],1538226,[4 2 1 3 6 7 9 0 5 8]
5,665789,[1 8 5 0 7 3 2 9 6 4],2199275,[6 0 5 3 7 2 4 9 8 1],2830657,[7 8 1 5 3 9 0 2 6 4],3542728,[9 6 7 8 2 4 3 5 0 1],1725784,[4 7 8 2 9 3 5 6 0 1]
6,563046,[1 5 9 7 0 2 4 3 6 8],1069460,[2 9 5 1 4 0 8 6 3 7],1977645,[5 4 0 3 8 2 9 6 7 1],140205,[0 4 5 8 7 2 9 3 6 1],3457403,[9 4 6 8 7 3 1 5 2 0]
7,3181352,[8 6 9 1 4 2 3 5 0 7],3186670,[8 7 0 2 9 4 6 5 1 3],296788,[0 8 3 9 2 4 1 7 5 6],3075116,[8 4 2 0 9 7 6 3 1 5],1288893,[3 5 9 7 0 6 8 2 4 1]
8,1527559,[4 1 9 0 6 7 3 2 8 5],2103810,[5 8 1 3 9 6 7 0 2 4],394992,[1 0 8 4 6 7 2 3 5 9],531786,[1 5 2 6 7 4 9 0 3 8],499458,[1 4 5 0 8 2 9 3 6 7]
