100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1709,[2 3 1 0 6 5 4],1903,[2 4 6 1 0 5 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3228,[4 2 6 3 0 1 5],3252,[4 3 0 5 1 2 6],3283,[4 3 1 6 0 5 2],4106,[5 4 1 0 3 2 6]
2,3528,[4 6 2 0 1 3 5],3511,[4 6 1 2 0 5 3],1728,[2 3 4 0 1 5 6],1156,[1 4 5 0 6 2 3]
3,2441,[3 2 1 5 6 4 0],4503,[6 1 3 4 2 5 0],3782,[5 1 3 4 2 0 6],4195,[5 4 6 3 0 2 1]
4,2456,[3 2 4 1 5 0 6],894,[1 2 4 3 0 5 6],1277,[1 5 4 0 6 3 2],1070,[1 3 6 4 2 0 5]
5,3739,[5 1 0 6 2 4 3],73,[0 1 5 2 3 6 4],2696,[3 5 2 1 4 0 6],3738,[5 1 0 6 2 3 4]
6,4960,[6 5 1 3 4 0 2],2613,[3 4 5 6 1 2 0],425,[0 4 3 5 6 2 1],3787,[5 1 3 6 0 4 2]
7,2367,[3 1 5 4 2 6 0],2310,[3 1 2 4 0 5 6],367,[0 4 1 3 2 6 5],4268,[5 6 2 4 1 0 3]
8,3980,[5 3 0 6 2 1 4],3100,[4 1 6 0 5 2 3],3830,[5 1 6 3 2 0 4],3198,[4 2 5 1 0 3 6]
9,1795,[2 3 6 5 0 4 1],1209,[1 5 0 3 4 6 2],2744,[3 5 6 1 2 0 4],2231,[3 0 4 6 5 2 1]
10,503,[0 5 1 6 4 3 2],1625,[2 1 4 5 6 3 0],3131,[4 2 0 3 6 5 1],3762,[5 1 2 6 0 3 4]
11,3406,[4 5 1 6 3 0 2],3163,[4 2 1 6 0 5 3],828,[1 0 6 4 2 3 5],4593,[6 2 1 3 4 5 0]
12,646,[0 6 2 5 4 1 3],4165,[5 4 3 2 0 6 1],2717,[3 5 4 0 6 2 1],374,[0 4 1 5 3 2 6]
13,2168,[3 0 1 4 5 2 6],3769,[5 1 3 0 2 6 4],3006,[4 1 0 3 2 5 6],1017,[1 3 4 2 5 6 0]
14,1607,[2 1 3 6 5 4 0],2035,[2 5 6 4 0 3 1],181,[0 2 4 5 1 6 3],880,[1 2 3 5 6 0 4]
15,3380,[4 5 0 6 2 1 3],4847,[6 4 1 5 3 2 0],975,[1 3 0 5 4 6 2],4885,[6 4 3 2 0 5 1]
16,3315,[4 3 5 0 2 6 1],359,[0 3 6 5 4 2 1],2048,[2 6 0 3 4 1 5],2710,[3 5 2 6 4 0 1]
17,4358,[6 0 2 4 3 1 5],3218,[4 2 6 0 3 1 5],3712,[5 0 6 3 4 1 2],2860,[3 6 5 0 4 1 2]
18,1032,[1 3 5 0 2 4 6],2441,[3 2 1 5 6 4 0],804,[1 0 5 4 2 3 6],1502,[2 0 4 5 3 1 6]
19,35,[0 1 3 4 6 5 2],1313,[1 5 6 3 4 2 0],372,[0 4 1 5 2 3 6],534,[0 5 3 2 1 4 6]
20,3530,[4 6 2 0 3 1 5],387,[0 4 2 1 5 6 3],138,[0 2 1 6 3 4 5],736,[1 0 2 5 6 3 4]
21,3283,[4 3 1 6 0 5 2],1780,[2 3 6 0 5 1 4],1694,[2 3 0 5 4 1 6],290,[0 3 4 1 5 2 6]
22,1645,[2 1 5 4 0 6 3],1529,[2 0 5 4 6 3 1],4451,[6 1 0 3 5 4 2],400,[0 4 2 5 6 1 3]
23,1988,[2 5 3 6 1 0 4],2020,[2 5 6 0 4 1 3],2879,[3 6 5 4 2 1 0],3359,[4 3 6 5 2 1 0]
24,2662,[3 5 0 6 4 1 2],2048,[2 6 0 3 4 1 5],3665,[5 0 3 4 6 2 1],2916,[4 0 2 5 1 3 6]
25,4114,[5 4 1 2 6 0 3],2534,[3 4 0 5 2 1 6],3380,[4 5 0 6 2 1 3],1799,[2 3 6 5 4 1 0]
26,3982,[5 3 0 6 4 1 2],4685,[6 3 0 1 5 4 2],1776,[2 3 6 0 1 4 5],137,[0 2 1 5 6 4 3]
27,2816,[3 6 2 1 4 0 5],297,[0 3 4 2 5 6 1],2787,[3 6 1 0 4 5 2],110,[0 1 6 4 3 2 5]
