2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1709,[2 3 1 0 6 5 4],1903,[2 4 6 1 0 5 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1628,[2 1 4 6 3 0 5],1943,[2 5 0 6 4 3 1],1733,[2 3 4 0 6 5 1],1920,[2 5 0 1 3 4 6]
2,1680,[2 3 0 1 4 5 6],1947,[2 5 1 0 4 6 3],1744,[2 3 4 5 6 0 1],1961,[2 5 1 4 6 3 0]
3,1693,[2 3 0 5 1 6 4],1899,[2 4 6 0 3 5 1],1706,[2 3 1 0 5 4 6],1923,[2 5 0 1 4 6 3]
4,1674,[2 1 6 5 0 3 4],1902,[2 4 6 1 0 3 5],1767,[2 3 5 4 1 6 0],1909,[2 4 6 3 0 5 1]
5,1677,[2 1 6 5 3 4 0],1973,[2 5 3 0 6 4 1],1677,[2 1 6 5 3 4 0],1884,[2 4 5 3 0 1 6]
6,1685,[2 3 0 1 6 5 4],1920,[2 5 0 1 3 4 6],1732,[2 3 4 0 6 1 5],1888,[2 4 5 3 6 0 1]
7,1649,[2 1 5 4 6 3 0],1975,[2 5 3 1 0 6 4],1748,[2 3 4 6 1 0 5],1915,[2 4 6 5 0 3 1]
8,1620,[2 1 4 5 0 3 6],1891,[2 4 5 6 0 3 1],1703,[2 3 0 6 5 4 1],1922,[2 5 0 1 4 3 6]
9,1661,[2 1 6 0 5 4 3],1911,[2 4 6 3 1 5 0],1718,[2 3 1 5 4 0 6],1913,[2 4 6 3 5 1 0]
10,1694,[2 3 0 5 4 1 6],1961,[2 5 1 4 6 3 0],1747,[2 3 4 6 0 5 1],1902,[2 4 6 1 0 3 5]
11,1640,[2 1 5 3 4 0 6],1966,[2 5 1 6 4 0 3],1753,[2 3 5 0 1 6 4],1946,[2 5 1 0 4 3 6]
12,1667,[2 1 6 3 5 4 0],1884,[2 4 5 3 0 1 6],1701,[2 3 0 6 4 5 1],1930,[2 5 0 3 6 1 4]
13,1688,[2 3 0 4 5 1 6],1945,[2 5 1 0 3 6 4],1722,[2 3 1 6 0 4 5],1951,[2 5 1 3 0 6 4]
14,1669,[2 1 6 4 0 5 3],1960,[2 5 1 4 6 0 3],1707,[2 3 1 0 5 6 4],1964,[2 5 1 6 3 0 4]
15,1656,[2 1 6 0 3 4 5],1938,[2 5 0 6 1 3 4],1677,[2 1 6 5 3 4 0],1932,[2 5 0 4 1 3 6]
16,1641,[2 1 5 3 4 6 0],1953,[2 5 1 3 4 6 0],1760,[2 3 5 1 4 0 6],1928,[2 5 0 3 4 1 6]
17,1610,[2 1 4 0 5 3 6],1945,[2 5 1 0 3 6 4],1752,[2 3 5 0 1 4 6],1885,[2 4 5 3 0 6 1]
18,1651,[2 1 5 6 0 4 3],1914,[2 4 6 5 0 1 3],1721,[2 3 1 5 6 4 0],1902,[2 4 6 1 0 3 5]
19,1675,[2 1 6 5 0 4 3],1972,[2 5 3 0 6 1 4],1733,[2 3 4 0 6 5 1],1897,[2 4 6 0 1 5 3]
20,1699,[2 3 0 6 1 5 4],1944,[2 5 1 0 3 4 6],1770,[2 3 5 6 0 1 4],1934,[2 5 0 4 3 1 6]
21,1678,[2 1 6 5 4 0 3],1916,[2 4 6 5 1 0 3],1698,[2 3 0 6 1 4 5],1949,[2 5 1 0 6 4 3]
22,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1682,[2 3 0 1 5 4 6],1931,[2 5 0 3 6 4 1]
23,1691,[2 3 0 4 6 5 1],1911,[2 4 6 3 1 5 0],1729,[2 3 4 0 1 6 5],1936,[2 5 0 4 6 1 3]
24,1643,[2 1 5 3 6 4 0],1914,[2 4 6 5 0 1 3],1721,[2 3 1 5 6 4 0],1932,[2 5 0 4 1 3 6]
25,1633,[2 1 5 0 3 6 4],1980,[2 5 3 4 0 1 6],1707,[2 3 1 0 5 6 4],1942,[2 5 0 6 4 1 3]
26,1655,[2 1 5 6 4 3 0],1934,[2 5 0 4 3 1 6],1775,[2 3 5 6 4 1 0],1867,[2 4 3 6 0 5 1]
27,1677,[2 1 6 5 3 4 0],1941,[2 5 0 6 3 4 1],1699,[2 3 0 6 1 5 4],1914,[2 4 6 5 0 1 3]
