40%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1709,[2 3 1 0 6 5 4],1903,[2 4 6 1 0 5 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1133,[1 4 3 0 6 5 2],2355,[3 1 5 0 4 6 2],2669,[3 5 1 0 6 4 2],3137,[4 2 0 5 6 3 1]
2,2017,[2 5 6 0 1 4 3],1194,[1 4 6 5 0 2 3],2503,[3 2 6 1 0 5 4],2544,[3 4 1 0 2 5 6]
3,1226,[1 5 2 0 4 3 6],1378,[1 6 3 2 5 0 4],1142,[1 4 3 5 2 0 6],1403,[1 6 4 2 5 3 0]
4,1423,[1 6 5 2 0 4 3],2738,[3 5 6 0 2 1 4],2547,[3 4 1 0 5 6 2],1743,[2 3 4 5 1 6 0]
5,2673,[3 5 1 2 4 6 0],2119,[2 6 4 1 0 5 3],1437,[1 6 5 4 2 3 0],1295,[1 5 4 6 3 2 0]
6,1542,[2 0 6 3 1 4 5],3143,[4 2 0 6 5 3 1],1166,[1 4 5 3 2 0 6],1779,[2 3 6 0 4 5 1]
7,1886,[2 4 5 3 1 0 6],1872,[2 4 5 0 1 3 6],2486,[3 2 5 4 1 0 6],1598,[2 1 3 5 4 0 6]
8,1684,[2 3 0 1 6 4 5],3052,[4 1 3 0 6 2 5],1041,[1 3 5 2 4 6 0],2736,[3 5 6 0 1 2 4]
9,2302,[3 1 0 6 5 2 4],3044,[4 1 2 6 3 0 5],2839,[3 6 4 1 0 5 2],2847,[3 6 4 2 1 5 0]
10,1571,[2 1 0 4 6 5 3],2615,[3 4 5 6 2 1 0],2254,[3 0 5 6 4 1 2],2286,[3 1 0 4 2 5 6]
11,1515,[2 0 5 1 4 6 3],1829,[2 4 1 0 6 5 3],1519,[2 0 5 3 1 6 4],2621,[3 4 6 0 5 2 1]
12,1133,[1 4 3 0 6 5 2],2492,[3 2 5 6 1 0 4],1199,[1 4 6 5 3 2 0],2282,[3 1 0 2 5 4 6]
13,2615,[3 4 5 6 2 1 0],2576,[3 4 2 1 5 0 6],2617,[3 4 6 0 1 5 2],1337,[1 6 0 4 5 3 2]
14,2893,[4 0 1 5 2 6 3],3128,[4 2 0 3 5 1 6],1976,[2 5 3 1 4 0 6],2656,[3 5 0 4 6 1 2]
15,2856,[3 6 5 0 1 2 4],2883,[4 0 1 2 5 6 3],1733,[2 3 4 0 6 5 1],2172,[3 0 1 5 2 4 6]
16,2163,[3 0 1 2 5 6 4],1634,[2 1 5 0 4 3 6],1278,[1 5 4 2 0 3 6],3067,[4 1 3 6 0 5 2]
17,1428,[1 6 5 3 0 2 4],1480,[2 0 3 5 6 1 4],2138,[2 6 5 0 3 1 4],1826,[2 4 1 0 5 3 6]
18,2639,[3 4 6 5 2 1 0],1369,[1 6 3 0 2 5 4],2967,[4 0 5 3 2 6 1],2053,[2 6 0 4 1 5 3]
19,2030,[2 5 6 3 1 0 4],3075,[4 1 5 0 3 6 2],2561,[3 4 1 5 6 2 0],2344,[3 1 4 5 6 0 2]
20,1576,[2 1 0 5 6 3 4],2946,[4 0 3 6 1 2 5],2556,[3 4 1 5 0 2 6],2810,[3 6 2 0 4 1 5]
21,1956,[2 5 1 4 0 3 6],1523,[2 0 5 3 6 4 1],1492,[2 0 4 1 6 3 5],2508,[3 2 6 4 0 1 5]
22,1251,[1 5 3 0 4 6 2],2007,[2 5 4 3 1 6 0],1423,[1 6 5 2 0 4 3],2663,[3 5 0 6 4 2 1]
23,1198,[1 4 6 5 3 0 2],2115,[2 6 4 0 3 5 1],2312,[3 1 2 4 5 0 6],3067,[4 1 3 6 0 5 2]
24,992,[1 3 2 4 5 0 6],1212,[1 5 0 4 2 3 6],2081,[2 6 1 4 5 3 0],2189,[3 0 2 1 6 5 4]
25,1204,[1 5 0 2 6 3 4],1543,[2 0 6 3 1 5 4],2830,[3 6 2 5 4 0 1],2900,[4 0 1 6 3 2 5]
26,2387,[3 1 6 2 5 4 0],1700,[2 3 0 6 4 1 5],2192,[3 0 2 4 5 1 6],2569,[3 4 2 0 1 6 5]
27,1787,[2 3 6 1 5 4 0],1194,[1 4 6 5 0 2 3],2761,[3 6 0 1 2 5 4],1626,[2 1 4 6 0 3 5]
