10%,Optima 1, Optima [1],Optima 2, Optima [2]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2]
1,228290,[0 6 7 3 1 5 2 8 4 9],1637584,[4 5 6 9 2 3 7 8 0 1]
2,342592,[0 9 4 8 6 7 3 5 1 2],1610306,[4 3 9 5 6 1 0 7 2 8]
3,61409,[0 2 6 3 4 8 7 9 5 1],1792968,[4 9 3 7 1 5 0 2 6 8]
4,370620,[1 0 3 6 8 5 7 2 4 9],1672746,[4 6 3 9 1 5 8 0 2 7]
5,75284,[0 2 8 9 5 3 7 4 1 6],1782179,[4 9 1 6 2 5 3 8 7 0]
6,289851,[0 8 2 5 6 4 1 7 9 3],1794564,[4 9 5 0 3 7 6 1 2 8]
7,355768,[0 9 7 5 1 6 4 8 2 3],1783990,[4 9 1 8 6 3 7 5 0 2]
8,289821,[0 8 2 5 6 1 9 4 7 3],1838232,[5 0 6 8 1 7 2 3 4 9]
9,46728,[0 2 3 4 9 6 1 5 7 8],1820808,[5 0 2 3 9 6 1 4 7 8]
10,262127,[0 7 5 1 2 4 9 8 6 3],1612811,[4 5 0 1 2 3 7 9 8 6]
11,233506,[0 6 8 3 2 9 4 7 1 5],1744555,[4 8 2 0 9 7 6 1 5 3]
12,297329,[0 8 3 9 7 5 4 6 2 1],1655183,[4 6 0 3 9 1 8 7 5 2]
13,244376,[0 7 1 5 4 6 3 8 2 9],1801677,[4 9 6 3 1 8 7 2 5 0]
14,29802,[0 1 7 9 4 3 8 2 5 6],1711246,[4 7 3 5 8 1 9 6 0 2]
15,163538,[0 5 1 6 2 9 3 7 4 8],1628658,[4 5 3 1 0 2 9 6 7 8]
16,324203,[0 9 1 4 3 7 5 8 6 2],1750468,[4 8 3 2 1 5 0 9 6 7]
17,19433,[0 1 5 8 9 7 4 6 3 2],1772492,[4 8 9 5 6 3 7 1 0 2]
18,238563,[0 6 9 3 4 1 2 7 8 5],1794835,[4 9 5 0 7 8 6 1 3 2]
19,251694,[0 7 2 9 5 4 3 1 6 8],1754840,[4 8 5 1 2 7 3 6 0 9]
20,363081,[1 0 2 3 5 8 6 7 9 4],1553328,[4 2 6 1 5 7 0 3 8 9]
21,343412,[0 9 5 1 8 6 7 3 2 4],1880066,[5 1 7 0 3 4 2 8 6 9]
22,153055,[0 4 8 3 6 5 2 1 9 7],1735336,[4 8 0 3 2 1 7 9 5 6]
23,154382,[0 4 8 6 3 5 7 2 1 9],1689361,[4 6 9 1 3 0 2 5 8 7]
24,174271,[0 5 3 7 1 4 6 2 9 8],1551261,[4 2 5 8 6 0 9 3 7 1]
25,257761,[0 7 4 2 1 3 5 6 9 8],1623765,[4 5 2 1 3 6 9 7 8 0]
26,174879,[0 5 3 7 9 2 6 4 8 1],1769735,[4 8 9 0 7 5 6 3 2 1]
27,125036,[0 4 1 8 6 9 7 3 2 5],1559509,[4 2 7 3 9 8 5 0 6 1]
28,371559,[1 0 3 8 2 5 7 6 9 4],1619540,[4 5 1 3 6 0 9 7 2 8]
29,78406,[0 2 9 5 8 3 7 6 1 4],1659530,[4 6 1 2 9 5 0 7 3 8]
30,322412,[0 8 9 7 5 4 6 2 1 3],1716910,[4 7 5 6 3 2 9 8 0 1]
31,105310,[0 3 6 9 2 5 8 7 1 4],1855208,[5 1 0 2 8 3 6 7 4 9]
32,299596,[0 8 4 5 1 7 2 9 3 6],1583015,[4 3 2 0 7 8 9 6 5 1]
33,25099,[0 1 6 9 8 2 7 3 5 4],1743503,[4 8 1 9 5 0 7 6 3 2]
34,122353,[0 4 1 3 9 7 2 5 8 6],1604761,[4 3 8 2 9 0 1 5 7 6]
35,139830,[0 4 5 8 2 3 6 1 7 9],1734003,[4 8 0 1 5 2 3 7 9 6]
36,164255,[0 5 1 7 2 8 9 6 4 3],1529325,[4 1 9 5 0 3 8 6 7 2]
37,38615,[0 1 9 6 5 7 8 4 3 2],1561202,[4 2 7 8 3 0 1 6 5 9]
38,206951,[0 6 2 1 5 7 9 8 4 3],1847574,[5 0 8 6 1 4 3 2 7 9]
39,154411,[0 4 8 6 3 7 9 1 5 2],1532823,[4 2 0 1 9 6 7 5 8 3]
40,279250,[0 7 9 3 8 1 4 6 2 5],1810017,[4 9 8 0 7 3 2 5 6 1]
41,234883,[0 6 8 5 2 3 9 1 7 4],1770926,[4 8 9 2 5 6 3 1 0 7]
42,102944,[0 3 6 4 9 8 2 5 1 7],1881229,[5 1 7 2 8 9 4 0 6 3]
43,201062,[0 5 9 8 2 4 6 3 1 7],1530498,[4 1 9 6 7 0 8 2 3 5]
44,180861,[0 5 4 9 2 1 8 6 7 3],1703487,[4 7 1 9 8 5 3 2 6 0]
45,190689,[0 5 7 8 9 1 3 4 6 2],1671059,[4 6 3 5 9 2 1 8 7 0]
46,50030,[0 2 3 9 5 8 6 4 1 7],1697305,[4 7 0 8 3 2 1 5 9 6]
47,93791,[0 3 4 7 2 6 9 8 5 1],1566068,[4 2 8 7 0 5 9 3 1 6]
48,191559,[0 5 8 1 2 4 7 6 9 3],1776306,[4 9 0 5 1 6 8 2 3 7]
49,354028,[0 9 7 2 6 3 1 8 4 5],1740268,[4 8 1 3 0 5 2 9 6 7]
50,19176,[0 1 5 8 6 9 2 3 4 7],1826232,[5 0 3 4 6 8 1 2 7 9]
51,337588,[0 9 3 8 7 2 1 6 4 5],1583420,[4 3 2 1 5 0 9 7 6 8]
52,130012,[0 4 2 8 6 5 1 9 3 7],1619454,[4 5 1 3 2 7 6 0 8 9]
53,94064,[0 3 4 7 6 9 2 5 1 8],1618170,[4 5 1 0 6 8 9 2 3 7]
54,162266,[0 5 1 3 6 4 2 8 7 9],1773978,[4 8 9 7 6 0 5 1 2 3]
55,259570,[0 7 4 5 6 1 3 9 2 8],1556464,[4 2 6 8 7 3 5 9 0 1]
56,304241,[0 8 5 3 6 2 7 9 4 1],1545998,[4 2 3 8 1 5 7 6 0 9]
57,294556,[0 8 3 5 1 7 2 9 4 6],1533952,[4 2 0 5 6 9 7 8 1 3]
58,30853,[0 1 8 2 9 3 6 4 7 5],1799494,[4 9 6 0 2 7 8 5 1 3]
59,115301,[0 3 8 9 1 7 2 6 5 4],1639914,[4 5 7 2 6 9 8 0 1 3]
60,312218,[0 8 6 9 4 7 1 3 2 5],1826765,[5 0 3 6 2 1 4 9 8 7]
61,125533,[0 4 1 9 5 2 7 3 8 6],1601884,[4 3 7 8 9 0 1 6 2 5]
62,57649,[0 2 5 6 1 7 3 4 9 8],1809156,[4 9 7 8 5 1 3 0 2 6]
63,143286,[0 4 6 5 1 2 7 3 8 9],1594333,[4 3 6 2 5 0 8 1 9 7]
64,38293,[0 1 9 6 3 2 7 4 8 5],1813020,[4 9 8 6 0 3 5 1 2 7]
65,309466,[0 8 6 3 7 9 2 5 1 4],1543940,[4 2 3 5 6 0 9 7 1 8]
66,315440,[0 8 7 5 1 6 3 4 2 9],1861893,[5 1 2 4 9 7 8 3 6 0]
67,168157,[0 5 2 4 7 3 8 1 9 6],1852952,[5 0 9 6 4 2 3 7 1 8]
68,74232,[0 2 8 7 1 6 3 4 5 9],1543012,[4 2 3 1 0 7 5 9 6 8]
69,163147,[0 5 1 4 7 6 9 2 8 3],1765884,[4 8 7 2 5 6 3 0 1 9]
70,286120,[0 8 1 7 4 3 6 9 2 5],1567164,[4 2 8 9 5 6 3 0 1 7]
71,277374,[0 7 9 1 3 5 4 2 6 8],1757034,[4 8 5 6 1 9 7 0 2 3]
72,31716,[0 1 8 4 2 5 7 3 6 9],1767039,[4 8 7 5 1 2 6 3 9 0]
73,227924,[0 6 7 2 5 3 9 4 1 8],1569297,[4 2 9 3 6 5 1 7 8 0]
74,55796,[0 2 5 1 6 9 8 4 3 7],1682321,[4 6 7 8 3 1 5 9 2 0]
75,201699,[0 6 1 2 3 9 4 7 8 5],1619019,[4 5 1 2 7 9 0 6 8 3]
76,126433,[0 4 2 1 7 8 3 5 9 6],1559513,[4 2 7 3 9 8 5 6 1 0]
77,204588,[0 6 1 7 2 9 5 3 4 8],1778745,[4 9 0 8 3 7 2 5 6 1]
78,277236,[0 7 9 1 2 4 6 3 5 8],1721559,[4 7 6 5 0 2 8 3 9 1]
