98%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,3571,[4 6 3 5 0 2 1],3942,[5 2 6 1 0 3 4],2897,[4 0 1 5 6 3 2],3240,[4 3 0 1 2 5 6]
2,534,[0 5 3 2 1 4 6],4772,[6 3 4 5 1 0 2],1337,[1 6 0 4 5 3 2],2530,[3 4 0 2 6 1 5]
3,1970,[2 5 3 0 4 1 6],1747,[2 3 4 6 0 5 1],1795,[2 3 6 5 0 4 1],4634,[6 2 4 0 3 1 5]
4,3496,[4 6 0 3 5 1 2],1154,[1 4 5 0 3 2 6],4133,[5 4 2 0 6 3 1],1326,[1 6 0 3 2 4 5]
5,2237,[3 0 5 1 6 4 2],2906,[4 0 2 1 5 3 6],3924,[5 2 4 3 0 1 6],277,[0 3 2 5 1 6 4]
6,363,[0 4 1 2 5 6 3],766,[1 0 3 6 5 2 4],4148,[5 4 2 6 1 0 3],1535,[2 0 5 6 4 3 1]
7,3904,[5 2 3 4 6 0 1],1056,[1 3 6 0 2 4 5],4561,[6 2 0 1 3 5 4],470,[0 4 6 3 2 1 5]
8,1588,[2 1 3 0 6 4 5],3276,[4 3 1 5 0 2 6],4348,[6 0 2 1 5 3 4],2831,[3 6 2 5 4 1 0]
9,2962,[4 0 5 2 6 1 3],1612,[2 1 4 0 6 3 5],3468,[4 5 6 2 0 1 3],2963,[4 0 5 2 6 3 1]
10,585,[0 5 6 2 3 4 1],4954,[6 5 1 2 4 0 3],2721,[3 5 4 1 2 6 0],576,[0 5 6 1 2 3 4]
11,3118,[4 1 6 5 3 0 2],2487,[3 2 5 4 1 6 0],740,[1 0 2 6 4 3 5],342,[0 3 6 2 1 4 5]
12,4564,[6 2 0 1 5 3 4],3331,[4 3 5 6 0 2 1],150,[0 2 3 4 1 5 6],3280,[4 3 1 5 6 0 2]
13,4486,[6 1 2 5 4 0 3],3353,[4 3 6 2 5 1 0],335,[0 3 5 6 4 2 1],1989,[2 5 3 6 1 4 0]
14,311,[0 3 4 6 5 2 1],2850,[3 6 4 5 0 1 2],4356,[6 0 2 4 1 3 5],1395,[1 6 4 0 3 5 2]
15,1474,[2 0 3 4 6 1 5],590,[0 5 6 3 2 1 4],2203,[3 0 2 6 1 5 4],1354,[1 6 2 3 5 0 4]
16,3982,[5 3 0 6 4 1 2],962,[1 3 0 2 5 4 6],539,[0 5 3 2 6 4 1],1554,[2 0 6 5 1 3 4]
17,749,[1 0 3 2 6 5 4],4337,[6 0 1 4 5 3 2],3183,[4 2 3 5 1 6 0],722,[1 0 2 3 5 4 6]
