100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1132,[1 4 3 0 6 2 5],2128,[2 6 4 3 5 0 1],2172,[3 0 1 5 2 4 6],3519,[4 6 1 3 2 5 0]
2,4092,[5 4 0 3 1 2 6],3061,[4 1 3 5 0 6 2],2079,[2 6 1 4 3 5 0],2463,[3 2 4 5 1 6 0]
3,3829,[5 1 6 3 0 4 2],1600,[2 1 3 5 6 0 4],553,[0 5 4 1 2 6 3],4322,[6 0 1 2 4 3 5]
4,260,[0 3 1 6 4 2 5],1102,[1 4 0 6 5 2 3],2372,[3 1 5 6 2 0 4],1494,[2 0 4 3 1 5 6]
5,2000,[2 5 4 1 3 0 6],2632,[3 4 6 2 5 0 1],1214,[1 5 0 4 3 2 6],1992,[2 5 4 0 1 3 6]
6,1767,[2 3 5 4 1 6 0],3604,[5 0 1 2 6 3 4],3100,[4 1 6 0 5 2 3],1023,[1 3 4 5 2 6 0]
7,3343,[4 3 6 1 0 5 2],634,[0 6 2 3 5 1 4],4718,[6 3 1 4 2 0 5],3428,[4 5 2 6 1 0 3]
8,1504,[2 0 4 5 6 1 3],4532,[6 1 4 5 2 0 3],295,[0 3 4 2 1 6 5],1430,[1 6 5 3 2 0 4]
9,1226,[1 5 2 0 4 3 6],2249,[3 0 5 4 6 2 1],2669,[3 5 1 0 6 4 2],1221,[1 5 0 6 3 4 2]
10,4064,[5 3 6 1 2 0 4],2497,[3 2 6 0 1 5 4],1421,[1 6 5 0 4 3 2],3618,[5 0 1 6 2 3 4]
11,589,[0 5 6 3 1 4 2],1262,[1 5 3 4 2 0 6],1095,[1 4 0 5 3 6 2],4584,[6 2 1 0 3 4 5]
12,3485,[4 6 0 1 5 3 2],381,[0 4 1 6 3 5 2],3028,[4 1 2 0 6 3 5],4711,[6 3 1 2 0 5 4]
13,2229,[3 0 4 6 2 5 1],1541,[2 0 6 1 5 4 3],2213,[3 0 4 1 6 5 2],934,[1 2 5 6 4 0 3]
14,4703,[6 3 0 5 4 2 1],4992,[6 5 3 0 1 2 4],4065,[5 3 6 1 2 4 0],2902,[4 0 1 6 5 2 3]
15,2450,[3 2 4 0 5 1 6],4682,[6 3 0 1 4 2 5],3099,[4 1 6 0 3 5 2],1239,[1 5 2 4 3 6 0]
16,4847,[6 4 1 5 3 2 0],2787,[3 6 1 0 4 5 2],1680,[2 3 0 1 4 5 6],3721,[5 1 0 2 3 6 4]
17,1345,[1 6 2 0 3 5 4],306,[0 3 4 6 1 2 5],4759,[6 3 4 1 0 5 2],78,[0 1 5 3 2 4 6]
