10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,635,[0 6 2 3 5 4 1],3092,[4 1 5 6 2 0 3],1954,[2 5 1 3 6 0 4],2071,[2 6 1 3 0 5 4]
2,626,[0 6 2 1 4 3 5],3149,[4 2 1 0 6 5 3],1845,[2 4 1 6 3 5 0],2378,[3 1 6 0 4 2 5]
3,895,[1 2 4 3 0 6 5],3219,[4 2 6 0 3 5 1],1635,[2 1 5 0 4 6 3],1962,[2 5 1 6 0 3 4]
4,690,[0 6 4 5 1 2 3],2877,[3 6 5 4 1 2 0],1706,[2 3 1 0 5 4 6],2207,[3 0 2 6 5 4 1]
5,752,[1 0 3 4 5 2 6],3129,[4 2 0 3 5 6 1],1941,[2 5 0 6 3 4 1],2298,[3 1 0 6 2 4 5]
6,572,[0 5 4 6 2 1 3],3223,[4 2 6 1 0 5 3],1523,[2 0 5 3 6 4 1],2175,[3 0 1 5 4 6 2]
7,522,[0 5 2 6 1 3 4],3189,[4 2 3 6 1 5 0],1868,[2 4 3 6 1 0 5],2379,[3 1 6 0 4 5 2]
8,748,[1 0 3 2 6 4 5],2897,[4 0 1 5 6 3 2],2012,[2 5 4 6 1 0 3],2019,[2 5 6 0 3 4 1]
9,779,[1 0 4 3 6 5 2],2735,[3 5 4 6 2 1 0],1723,[2 3 1 6 0 5 4],2277,[3 0 6 5 2 4 1]
10,460,[0 4 6 1 5 2 3],3190,[4 2 3 6 5 0 1],1988,[2 5 3 6 1 0 4],2319,[3 1 2 5 4 6 0]
11,842,[1 2 0 3 5 4 6],3112,[4 1 6 3 5 0 2],1686,[2 3 0 4 1 5 6],2258,[3 0 6 1 4 2 5]
12,488,[0 5 1 3 4 2 6],3209,[4 2 5 3 6 1 0],1930,[2 5 0 3 6 1 4],2304,[3 1 2 0 4 5 6]
13,535,[0 5 3 2 1 6 4],3167,[4 2 1 6 5 3 0],1611,[2 1 4 0 5 6 3],2057,[2 6 0 4 5 3 1]
14,844,[1 2 0 3 6 4 5],3094,[4 1 5 6 3 0 2],1869,[2 4 3 6 1 5 0],2047,[2 6 0 3 1 5 4]
15,931,[1 2 5 6 0 4 3],3072,[4 1 5 0 2 3 6],1661,[2 1 6 0 5 4 3],2038,[2 5 6 4 3 0 1]
16,787,[1 0 4 6 2 5 3],3224,[4 2 6 1 3 0 5],1516,[2 0 5 1 6 3 4],2117,[2 6 4 0 5 3 1]
17,688,[0 6 4 3 5 1 2],2750,[3 5 6 2 1 0 4],1911,[2 4 6 3 1 5 0],1998,[2 5 4 1 0 3 6]
