2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,555,[0 5 4 1 3 6 2],3048,[4 1 3 0 2 5 6],1667,[2 1 6 3 5 4 0],2109,[2 6 3 5 1 4 0]
2,507,[0 5 2 1 4 6 3],3055,[4 1 3 2 0 6 5],1741,[2 3 4 5 0 6 1],2157,[2 6 5 4 1 3 0]
3,572,[0 5 4 6 2 1 3],3046,[4 1 2 6 5 0 3],1711,[2 3 1 4 0 6 5],2169,[3 0 1 4 5 6 2]
4,544,[0 5 3 4 6 1 2],2994,[4 0 6 5 1 2 3],1720,[2 3 1 5 6 0 4],2165,[3 0 1 2 6 5 4]
5,537,[0 5 3 2 4 6 1],2999,[4 0 6 5 3 2 1],1682,[2 3 0 1 5 4 6],2191,[3 0 2 4 1 6 5]
6,509,[0 5 2 1 6 4 3],3023,[4 1 0 6 5 3 2],1727,[2 3 1 6 5 4 0],2162,[3 0 1 2 5 4 6]
7,549,[0 5 3 6 2 4 1],2984,[4 0 6 2 3 1 5],1734,[2 3 4 1 0 5 6],2192,[3 0 2 4 5 1 6]
8,562,[0 5 4 2 6 1 3],3047,[4 1 2 6 5 3 0],1705,[2 3 1 0 4 6 5],2126,[2 6 4 3 1 0 5]
9,595,[0 5 6 4 1 3 2],2985,[4 0 6 2 3 5 1],1691,[2 3 0 4 6 5 1],2178,[3 0 1 6 2 4 5]
10,584,[0 5 6 2 3 1 4],3034,[4 1 2 3 6 0 5],1671,[2 1 6 4 3 5 0],2163,[3 0 1 2 5 6 4]
11,545,[0 5 3 4 6 2 1],2993,[4 0 6 3 5 2 1],1714,[2 3 1 4 6 0 5],2115,[2 6 4 0 3 5 1]
12,507,[0 5 2 1 4 6 3],3007,[4 1 0 3 2 6 5],1687,[2 3 0 4 1 6 5],2160,[3 0 1 2 4 5 6]
13,564,[0 5 4 3 1 2 6],3015,[4 1 0 5 3 6 2],1650,[2 1 5 6 0 3 4],2191,[3 0 2 4 1 6 5]
14,535,[0 5 3 2 1 6 4],3022,[4 1 0 6 5 2 3],1711,[2 3 1 4 0 6 5],2181,[3 0 1 6 4 5 2]
15,500,[0 5 1 6 3 2 4],2975,[4 0 5 6 3 2 1],1651,[2 1 5 6 0 4 3],2163,[3 0 1 2 5 6 4]
16,596,[0 5 6 4 2 1 3],3065,[4 1 3 5 6 2 0],1721,[2 3 1 5 6 4 0],2200,[3 0 2 5 6 1 4]
17,546,[0 5 3 6 1 2 4],2974,[4 0 5 6 3 1 2],1706,[2 3 1 0 5 4 6],2172,[3 0 1 5 2 4 6]
