2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
 ,129000,[0 4 2 7 3 1 5 6 8 9],135650,[0 4 3 9 5 6 1 7 2 8],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3],305111,[0 8 5 4 7 3 9 6 2 1],1178840,[3 2 1 9 4 7 5 6 0 8],2562143,[7 0 5 3 6 1 9 8 4 2],1329233,[3 6 9 7 0 8 4 5 2 1],3119554,[8 5 2 9 6 1 3 7 0 4],3077106,[8 4 2 5 7 3 9 0 1 6],422700,[1 2 5 9 0 6 7 3 4 8],372839,[1 0 3 9 7 8 6 5 4 2],813907,[2 3 1 6 5 7 9 0 8 4],1689280,[4 6 9 1 2 3 7 8 0 5]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10],Optima 11, Optima [11],Optima 12, Optima [12],Optima 13, Optima [13],Optima 14, Optima [14],Optima 15, Optima [15],Optima 16, Optima [16],Optima 17, Optima [17],Optima 18, Optima [18],Optima 19, Optima [19],Optima 20, Optima [20]
1,167779,[0 5 2 4 1 3 9 6 8 7],200920,[0 5 9 8 1 3 6 7 2 4],517771,[1 4 8 7 0 6 9 2 5 3],383080,[1 0 6 2 3 5 8 9 4 7],1128756,[3 0 9 8 6 2 5 1 4 7],1730949,[4 7 9 3 0 5 8 2 6 1],2126654,[5 8 6 9 4 0 3 2 1 7],1382776,[3 8 2 4 6 0 7 9 1 5],1230237,[3 4 6 0 7 9 8 2 5 1],262952,[0 7 5 2 3 4 6 8 1 9],303247,[0 8 5 2 3 1 6 4 9 7],1201767,[3 2 8 5 0 7 6 4 9 1],2531387,[6 9 7 1 5 8 2 4 3 0],1346122,[3 7 4 0 6 8 2 9 1 5],3095406,[8 4 7 1 2 0 5 3 6 9],3025485,[8 3 0 4 1 5 9 6 7 2],459688,[1 3 5 2 6 8 7 9 0 4],387063,[1 0 6 8 5 4 7 3 9 2],836594,[2 3 7 9 8 5 0 4 1 6],1666040,[4 6 2 5 9 7 1 3 0 8]
2,132979,[0 4 3 5 8 1 9 2 7 6],183980,[0 5 6 4 7 1 9 3 2 8],496026,[1 4 3 5 9 6 8 0 2 7],357522,[0 9 7 8 4 2 6 1 3 5],1139966,[3 1 4 2 5 8 7 6 0 9],1708126,[4 7 2 9 3 1 8 6 0 5],2085193,[5 7 6 8 0 4 1 2 9 3],1424592,[3 9 2 6 5 7 0 1 4 8],1231327,[3 4 6 2 1 0 7 5 9 8],325305,[0 9 1 5 7 8 3 4 6 2],359783,[0 9 8 3 6 1 7 5 4 2],1168211,[3 1 9 7 5 0 4 8 6 2],2536570,[6 9 8 2 0 1 4 7 3 5],1357957,[3 7 6 4 0 2 8 1 9 5],3126851,[8 5 4 2 9 0 3 7 6 1],3053250,[8 3 6 7 4 5 9 0 1 2],425382,[1 2 6 4 8 9 3 0 5 7],403135,[1 0 9 8 7 4 3 2 6 5],831986,[2 3 7 0 6 4 1 8 5 9],1690836,[4 6 9 3 2 1 7 0 5 8]
3,169790,[0 5 2 7 8 9 4 3 1 6],178664,[0 5 4 6 1 9 3 7 2 8],530007,[1 5 2 3 0 8 7 6 9 4],358864,[0 9 8 2 4 5 6 7 1 3],1145688,[3 1 5 4 2 7 0 6 8 9],1690902,[4 6 9 3 2 8 1 0 5 7],2092594,[5 7 9 1 3 2 4 8 0 6],1432197,[3 9 5 1 0 8 7 4 6 2],1205923,[3 2 9 1 8 4 7 0 6 5],270252,[0 7 6 5 3 1 8 2 4 9],351599,[0 9 6 7 2 8 5 4 3 1],1208420,[3 2 9 7 4 0 8 5 1 6],2576288,[7 0 9 2 3 1 5 6 4 8],1355154,[3 7 5 9 0 8 6 1 2 4],3061018,[8 3 9 2 4 5 1 7 0 6],3068653,[8 4 0 9 1 2 6 3 7 5],450789,[1 3 2 6 0 7 9 5 8 4],436972,[1 2 8 6 9 4 0 7 3 5],825686,[2 3 5 8 7 6 4 1 0 9],1686508,[4 6 8 5 2 1 0 9 3 7]
4,194155,[0 5 8 4 6 9 7 1 3 2],176134,[0 5 3 9 6 7 8 4 1 2],522237,[1 4 9 6 2 8 7 3 5 0],341203,[0 9 4 6 8 2 7 1 5 3],1148042,[3 1 5 8 6 0 2 7 4 9],1723615,[4 7 6 9 8 2 1 0 5 3],2098659,[5 8 0 3 7 9 1 4 6 2],1426913,[3 9 4 0 7 8 5 6 2 1],1199285,[3 2 7 9 6 0 1 8 5 4],256443,[0 7 3 9 2 1 4 6 8 5],347444,[0 9 5 8 4 2 7 3 1 6],1170849,[3 2 0 5 4 1 7 8 9 6],2548212,[7 0 2 6 3 1 8 4 5 9],1333525,[3 7 0 6 1 8 5 2 9 4],3091251,[8 4 6 2 3 5 0 7 9 1],3027744,[8 3 0 7 2 4 1 5 6 9],415972,[1 2 4 6 8 5 0 9 3 7],430440,[1 2 7 4 9 0 3 5 6 8],798448,[2 1 8 4 9 6 5 7 0 3],1714151,[4 7 5 0 8 3 9 6 2 1]
5,139830,[0 4 5 8 2 3 6 1 7 9],205309,[0 6 1 8 2 9 5 3 7 4],511791,[1 4 7 5 8 9 3 2 6 0],357862,[0 9 8 1 2 3 7 6 4 5],1101521,[3 0 4 6 9 2 7 8 5 1],1682399,[4 6 7 8 3 9 5 2 1 0],2108059,[5 8 2 1 9 0 7 3 6 4],1384225,[3 8 2 6 5 1 0 4 9 7],1222496,[3 4 2 6 9 5 1 7 0 8],255561,[0 7 3 6 9 5 2 4 8 1],338565,[0 9 4 2 3 5 8 6 7 1],1208551,[3 2 9 7 5 1 4 0 8 6],2563375,[7 0 5 6 2 4 3 1 9 8],1327305,[3 6 9 2 4 8 1 5 7 0],3065971,[8 4 0 3 2 7 9 1 6 5],3067734,[8 4 0 6 7 3 2 1 5 9],441946,[1 2 9 6 7 8 3 5 0 4],413065,[1 2 3 9 7 4 0 5 8 6],817995,[2 3 4 5 0 8 1 7 9 6],1655530,[4 6 0 5 3 1 7 9 2 8]
6,137864,[0 4 5 3 6 9 2 7 1 8],188837,[0 5 7 4 2 8 1 9 6 3],491865,[1 4 2 7 0 9 5 6 8 3],343638,[0 9 5 2 3 7 4 1 6 8],1131615,[3 1 0 6 8 2 7 5 9 4],1702447,[4 7 1 8 5 0 3 2 9 6],2080824,[5 7 4 9 0 2 1 3 6 8],1438697,[3 9 6 4 1 0 7 8 5 2],1236398,[3 4 7 2 1 5 8 6 0 9],281847,[0 7 9 8 3 5 4 2 6 1],310819,[0 8 6 5 7 1 9 2 4 3],1162023,[3 1 8 5 9 4 6 2 7 0],2537082,[6 9 8 2 5 1 7 0 3 4],1311439,[3 6 5 1 4 8 2 0 9 7],3081509,[8 4 3 2 9 1 0 7 6 5],3039684,[8 3 4 0 7 6 5 1 2 9],424673,[1 2 6 3 8 9 5 7 4 0],428674,[1 2 7 0 5 4 6 9 3 8],820423,[2 3 4 8 5 9 1 0 7 6],1692741,[4 6 9 8 0 1 7 3 5 2]
7,184929,[0 5 6 7 9 1 3 4 8 2],201874,[0 6 1 2 5 4 7 9 3 8],529350,[1 5 2 0 4 6 7 3 8 9],332102,[0 9 2 8 3 5 6 4 1 7],1145264,[3 1 5 2 7 9 4 6 0 8],1708559,[4 7 2 9 8 6 5 3 1 0],2145842,[5 9 1 7 3 0 2 6 4 8],1422249,[3 9 2 1 5 0 6 7 8 4],1240879,[3 4 8 1 5 7 2 0 9 6],323042,[0 9 1 2 7 3 4 6 5 8],326058,[0 9 1 6 8 2 7 3 4 5],1195929,[3 2 7 4 0 1 6 8 9 5],2538825,[6 9 8 5 0 7 2 3 4 1],1341240,[3 7 2 0 9 1 4 5 6 8],3122485,[8 5 3 4 7 6 2 0 9 1],3035373,[8 3 2 1 7 6 9 4 5 0],483276,[1 3 9 8 2 4 6 0 5 7],381029,[1 0 5 7 3 4 2 9 8 6],800838,[2 1 8 9 3 6 4 0 5 7],1723749,[4 7 8 0 1 5 9 3 6 2]
