2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,506,[0 5 2 1 4 3 6],3025,[4 1 2 0 3 6 5],1680,[2 3 0 1 4 5 6],2147,[2 6 5 1 4 3 0]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,588,[0 5 6 3 1 2 4],3064,[4 1 3 5 6 0 2],1741,[2 3 4 5 0 6 1],2156,[2 6 5 4 1 0 3]
2,580,[0 5 6 1 4 2 3],3010,[4 1 0 3 6 2 5],1684,[2 3 0 1 6 4 5],2180,[3 0 1 6 4 2 5]
3,557,[0 5 4 1 6 3 2],3017,[4 1 0 5 6 3 2],1696,[2 3 0 5 6 1 4],2149,[2 6 5 3 0 4 1]
4,586,[0 5 6 2 4 1 3],3044,[4 1 2 6 3 0 5],1670,[2 1 6 4 3 0 5],2199,[3 0 2 5 4 6 1]
5,538,[0 5 3 2 6 1 4],2987,[4 0 6 2 5 3 1],1703,[2 3 0 6 5 4 1],2178,[3 0 1 6 2 4 5]
6,517,[0 5 2 4 1 6 3],3031,[4 1 2 3 0 6 5],1695,[2 3 0 5 4 6 1],2150,[2 6 5 3 1 0 4]
7,544,[0 5 3 4 6 1 2],3064,[4 1 3 5 6 0 2],1673,[2 1 6 4 5 3 0],2184,[3 0 2 1 4 5 6]
8,541,[0 5 3 4 1 6 2],3017,[4 1 0 5 6 3 2],1658,[2 1 6 0 4 3 5],2130,[2 6 4 5 0 1 3]
9,538,[0 5 3 2 6 1 4],3015,[4 1 0 5 3 6 2],1710,[2 3 1 4 0 5 6],2111,[2 6 3 5 4 1 0]
10,537,[0 5 3 2 4 6 1],2982,[4 0 6 2 1 3 5],1707,[2 3 1 0 5 6 4],2127,[2 6 4 3 1 5 0]
11,521,[0 5 2 4 6 3 1],3057,[4 1 3 2 5 6 0],1712,[2 3 1 4 5 0 6],2137,[2 6 5 0 1 4 3]
12,565,[0 5 4 3 1 6 2],3023,[4 1 0 6 5 3 2],1666,[2 1 6 3 5 0 4],2204,[3 0 2 6 4 1 5]
13,550,[0 5 3 6 4 1 2],2999,[4 0 6 5 3 2 1],1683,[2 3 0 1 5 6 4],2179,[3 0 1 6 2 5 4]
14,570,[0 5 4 6 1 2 3],2994,[4 0 6 5 1 2 3],1679,[2 1 6 5 4 3 0],2120,[2 6 4 1 3 0 5]
15,566,[0 5 4 3 2 1 6],2975,[4 0 5 6 3 2 1],1709,[2 3 1 0 6 5 4],2181,[3 0 1 6 4 5 2]
16,549,[0 5 3 6 2 4 1],2975,[4 0 5 6 3 2 1],1664,[2 1 6 3 4 0 5],2152,[2 6 5 3 4 0 1]
17,501,[0 5 1 6 3 4 2],2996,[4 0 6 5 2 1 3],1721,[2 3 1 5 6 4 0],2120,[2 6 4 1 3 0 5]
