2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5]
1,16000,[0 1 5 3 4 6 8 9 2 7],1680545,[4 6 7 3 0 5 8 9 2 1],498304,[1 4 3 9 0 6 7 8 2 5],349194,[0 9 6 2 8 7 5 1 3 4],1159288,[3 1 8 0 2 7 6 9 4 5]
2,56863,[0 2 5 3 9 8 4 1 7 6],1692941,[4 6 9 8 1 7 0 5 3 2],505104,[1 4 6 2 7 3 0 5 8 9],361843,[0 9 8 6 4 2 7 1 5 3],1154563,[3 1 7 0 6 4 9 2 8 5]
3,53299,[0 2 4 7 1 3 9 5 8 6],1715039,[4 7 5 1 9 8 6 3 2 0],520351,[1 4 9 2 7 3 5 0 8 6],333616,[0 9 3 2 5 1 7 8 4 6],1142800,[3 1 4 8 2 5 7 9 0 6]
4,31266,[0 1 8 3 5 6 9 2 4 7],1664878,[4 6 2 3 1 9 8 7 0 5],497845,[1 4 3 8 5 7 6 0 9 2],348594,[0 9 6 2 1 8 7 3 4 5],1160214,[3 1 8 2 5 6 4 0 7 9]
5,68320,[0 2 7 5 9 3 6 8 1 4],1706472,[4 7 2 6 0 8 1 3 5 9],526543,[1 5 0 6 3 9 4 2 8 7],379684,[1 0 5 4 6 2 3 9 7 8],1116413,[3 0 7 5 6 4 1 9 8 2]
6,49201,[0 2 3 8 5 1 4 6 9 7],1700631,[4 7 1 3 9 8 5 2 6 0],528100,[1 5 0 8 4 9 2 7 3 6],333109,[0 9 3 1 6 8 5 2 7 4],1151493,[3 1 6 5 2 8 9 4 7 0]
7,63590,[0 2 6 7 3 9 5 4 1 8],1678150,[4 6 5 9 7 2 8 3 0 1],509823,[1 4 7 2 0 6 8 5 9 3],362561,[0 9 8 7 4 2 5 6 3 1],1119612,[3 0 8 2 1 4 7 5 6 9]
8,75283,[0 2 8 9 5 3 7 1 6 4],1702762,[4 7 1 8 9 5 2 6 0 3],548375,[1 5 6 8 4 7 9 3 2 0],363254,[1 0 2 3 7 4 8 6 5 9],1142792,[3 1 4 8 2 5 6 7 0 9]
9,80901,[0 3 1 2 6 4 9 7 8 5],1720628,[4 7 6 2 8 3 9 1 0 5],515067,[1 4 8 2 5 3 0 7 9 6],375915,[1 0 4 7 2 8 3 6 9 5],1126821,[3 0 9 6 1 2 8 5 7 4]
10,10349,[0 1 4 2 6 5 3 9 8 7],1698428,[4 7 0 9 8 3 6 2 1 5],504765,[1 4 6 2 0 5 9 7 8 3],387206,[1 0 6 8 7 5 4 3 2 9],1137807,[3 1 2 8 4 7 6 5 9 0]
11,57482,[0 2 5 4 9 1 3 7 6 8],1662982,[4 6 1 9 7 0 8 5 2 3],514153,[1 4 8 0 2 7 3 5 9 6],319265,[0 8 9 3 4 5 6 7 2 1],1149854,[3 1 6 2 0 4 8 7 5 9]
12,37326,[0 1 9 4 8 2 5 3 6 7],1665012,[4 6 2 3 7 0 8 1 5 9],522650,[1 4 9 6 8 3 0 5 2 7],378554,[1 0 5 2 8 7 3 6 4 9],1162320,[3 1 8 6 4 0 2 5 7 9]
13,76308,[0 2 9 1 8 7 5 3 4 6],1667735,[4 6 2 9 1 7 8 5 3 0],477615,[1 3 8 7 4 0 6 5 9 2],320400,[0 8 9 5 1 2 3 4 6 7],1114603,[3 0 7 2 1 5 9 4 8 6]
14,17198,[0 1 5 4 9 3 7 6 2 8],1684565,[4 6 8 1 7 0 2 9 5 3],489628,[1 4 2 3 0 6 5 9 7 8],386631,[1 0 6 7 9 8 4 3 5 2],1161131,[3 1 8 4 7 0 5 9 6 2]
15,33266,[0 1 8 6 3 4 2 7 5 9],1698357,[4 7 0 9 6 8 5 2 3 1],519685,[1 4 9 0 7 6 5 2 8 3],371003,[1 0 3 7 4 8 5 9 6 2],1108289,[3 0 5 9 2 7 6 8 4 1]
16,38856,[0 1 9 6 8 7 2 3 4 5],1663887,[4 6 2 0 9 7 5 3 8 1],492890,[1 4 2 8 6 5 0 7 3 9],347148,[0 9 5 8 1 7 4 2 3 6],1123205,[3 0 8 9 1 2 4 7 6 5]
17,10832,[0 1 4 3 2 6 7 8 5 9],1684836,[4 6 8 2 0 3 7 1 5 9],536970,[1 5 3 6 8 7 9 0 2 4],340510,[0 9 4 5 8 3 7 6 1 2],1146324,[3 1 5 6 0 8 7 2 4 9]
18,67678,[0 2 7 4 9 8 6 5 1 3],1658408,[4 6 1 0 5 2 7 8 3 9],493531,[1 4 2 9 5 7 8 0 6 3],386789,[1 0 6 8 3 4 2 9 7 5],1131664,[3 1 0 6 8 5 7 9 2 4]
19,80407,[0 2 9 8 6 1 4 3 7 5],1700924,[4 7 1 5 3 2 9 6 0 8],478991,[1 3 9 0 4 6 8 7 5 2],383750,[1 0 6 2 9 8 5 4 3 7],1140517,[3 1 4 5 0 6 8 2 9 7]
20,56995,[0 2 5 4 1 9 8 3 7 6],1658292,[4 6 1 0 3 2 8 5 7 9],483940,[1 4 0 2 3 9 5 8 6 7],368001,[1 0 3 2 4 8 6 7 9 5],1168815,[3 1 9 8 4 0 6 5 7 2]
21,28828,[0 1 7 8 2 4 3 9 5 6],1689770,[4 6 9 1 8 3 0 5 2 7],532890,[1 5 2 8 0 7 9 3 4 6],332090,[0 9 2 8 3 5 1 6 4 7],1156266,[3 1 7 4 9 5 8 0 2 6]
22,58836,[0 2 5 7 8 3 6 1 4 9],1677610,[4 6 5 9 0 1 3 8 2 7],547781,[1 5 6 7 8 9 0 4 3 2],344959,[0 9 5 4 1 7 3 2 8 6],1117930,[3 0 7 8 6 1 4 9 2 5]
23,26859,[0 1 7 4 3 9 2 6 8 5],1710716,[4 7 3 2 9 8 6 1 0 5],507910,[1 4 6 8 3 5 9 7 0 2],385606,[1 0 6 5 7 3 9 8 2 4],1125394,[3 0 9 4 1 5 6 8 2 7]
24,43596,[0 2 1 7 6 4 8 3 5 9],1692036,[4 6 9 7 0 2 5 1 3 8],536861,[1 5 3 6 7 9 0 8 4 2],347508,[0 9 5 8 4 7 3 1 2 6],1119406,[3 0 8 1 7 4 9 6 2 5]
25,65054,[0 2 6 9 4 1 7 5 3 8],1686155,[4 6 8 3 9 1 2 7 5 0],481284,[1 3 9 5 4 7 6 0 2 8],377169,[1 0 4 8 9 2 5 6 7 3],1141450,[3 1 4 6 5 0 7 9 2 8]
26,32003,[0 1 8 4 5 7 3 9 6 2],1700164,[4 7 1 3 5 0 2 9 6 8],506330,[1 4 6 5 2 7 0 8 3 9],347438,[0 9 5 8 4 2 6 3 1 7],1142864,[3 1 4 8 2 9 5 6 0 7]
27,80684,[0 3 1 2 4 6 9 7 5 8],1694180,[4 7 0 2 1 3 9 6 5 8],512881,[1 4 7 8 3 0 2 5 9 6],389073,[1 0 7 3 5 4 6 8 9 2],1158231,[3 1 7 8 5 9 4 2 6 0]
28,50434,[0 2 4 1 3 6 7 9 5 8],1720069,[4 7 6 1 9 8 3 0 5 2],525344,[1 5 0 3 7 9 4 6 2 8],338847,[0 9 4 2 6 7 5 3 8 1],1126823,[3 0 9 6 1 2 8 7 5 4]
29,72316,[0 2 8 4 5 7 1 9 3 6],1664506,[4 6 2 1 8 9 3 7 0 5],534064,[1 5 2 9 7 4 6 8 0 3],372103,[1 0 3 8 7 9 4 2 6 5],1137760,[3 1 2 8 4 5 7 9 0 6]
30,58429,[0 2 5 7 1 9 6 3 8 4],1713014,[4 7 3 9 1 0 6 5 2 8],540776,[1 5 4 3 0 7 6 8 2 9],368240,[1 0 3 2 6 8 5 7 4 9],1120100,[3 0 8 2 7 1 9 5 4 6]
31,43687,[0 2 1 7 8 3 5 4 9 6],1687498,[4 6 8 7 5 2 1 9 0 3],482452,[1 3 9 7 0 5 2 8 4 6],331434,[0 9 2 7 3 8 6 1 4 5],1132144,[3 1 0 7 5 6 8 9 2 4]
32,11380,[0 1 4 3 8 9 2 7 5 6],1711377,[4 7 3 5 9 2 1 6 8 0],502507,[1 4 5 7 9 3 8 0 6 2],327682,[0 9 2 1 3 7 5 8 4 6],1127865,[3 0 9 7 4 8 2 5 6 1]
33,19415,[0 1 5 8 9 6 7 4 3 2],1698630,[4 7 1 0 3 5 6 2 8 9],516520,[1 4 8 5 3 2 7 9 0 6],320084,[0 8 9 4 5 2 7 3 1 6],1117530,[3 0 7 8 1 6 9 2 4 5]
34,19891,[0 1 5 9 6 7 8 2 4 3],1716839,[4 7 5 6 2 9 8 3 1 0],539011,[1 5 3 9 6 7 8 0 4 2],337931,[0 9 4 1 5 2 6 8 7 3],1144800,[3 1 5 2 0 4 6 7 8 9]
35,73726,[0 2 8 6 4 3 9 7 1 5],1718837,[4 7 6 0 2 8 1 9 5 3],523062,[1 4 9 7 3 8 2 0 5 6],354843,[0 9 7 3 8 1 2 5 6 4],1102125,[3 0 4 7 8 2 9 5 6 1]
36,17723,[0 1 5 6 7 8 3 9 4 2],1704957,[4 7 2 1 9 8 6 3 5 0],532289,[1 5 2 7 3 8 6 9 4 0],380706,[1 0 5 6 8 4 9 2 3 7],1166127,[3 1 9 4 6 7 5 2 8 0]
37,80418,[0 2 9 8 6 1 7 3 4 5],1683992,[4 6 8 0 9 2 3 5 1 7],489269,[1 4 2 0 7 5 3 9 8 6],323837,[0 9 1 3 7 6 2 8 5 4],1167767,[3 1 9 6 8 2 7 5 4 0]
38,49580,[0 2 3 8 9 1 7 5 4 6],1673250,[4 6 3 9 8 5 7 0 1 2],529612,[1 5 2 0 7 6 3 9 4 8],328170,[0 9 2 1 7 6 8 3 4 5],1151740,[3 1 6 5 7 9 0 8 2 4]
39,45160,[0 2 1 9 7 4 6 8 3 5],1669463,[4 6 3 1 8 0 9 7 5 2],502142,[1 4 5 7 3 6 8 2 0 9],326355,[0 9 1 7 3 6 2 5 8 4],1156819,[3 1 7 5 8 0 9 2 6 4]
40,19722,[0 1 5 9 4 3 8 2 6 7],1705576,[4 7 2 3 9 0 6 8 1 5],520501,[1 4 9 2 8 5 6 0 7 3],379190,[1 0 5 3 7 9 6 4 2 8],1132921,[3 1 0 8 6 2 4 5 9 7]
