70%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1,[0 1 2 3 4 6 5],100,[0 1 6 2 5 3 4],200,[0 2 5 3 4 1 6],300,[0 3 4 5 1 2 6]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1295,[1 5 4 6 3 2 0],1513,[2 0 5 1 3 6 4],1012,[1 3 4 0 6 2 5],3373,[4 5 0 3 1 6 2]
2,104,[0 1 6 3 4 2 5],922,[1 2 5 3 6 0 4],1684,[2 3 0 1 6 4 5],1842,[2 4 1 6 0 3 5]
3,304,[0 3 4 5 6 1 2],2099,[2 6 3 1 5 4 0],2342,[3 1 4 5 2 0 6],2321,[3 1 2 5 6 4 0]
4,2011,[2 5 4 6 0 3 1],1145,[1 4 3 5 6 2 0],2156,[2 6 5 4 1 0 3],3249,[4 3 0 2 5 6 1]
5,2952,[4 0 5 1 2 3 6],730,[1 0 2 4 6 3 5],2247,[3 0 5 4 2 6 1],493,[0 5 1 4 2 6 3]
6,2708,[3 5 2 6 1 0 4],2430,[3 2 1 4 0 5 6],2364,[3 1 5 4 0 2 6],2558,[3 4 1 5 2 0 6]
7,450,[0 4 5 6 1 2 3],2186,[3 0 2 1 5 4 6],151,[0 2 3 4 1 6 5],3280,[4 3 1 5 6 0 2]
8,2953,[4 0 5 1 2 6 3],1284,[1 5 4 3 0 2 6],3056,[4 1 3 2 5 0 6],1463,[2 0 1 6 5 4 3]
9,3354,[4 3 6 5 0 1 2],33,[0 1 3 4 5 6 2],3198,[4 2 5 1 0 3 6],1093,[1 4 0 5 2 6 3]
10,868,[1 2 3 0 6 4 5],2327,[3 1 2 6 5 4 0],1440,[2 0 1 3 4 5 6],2013,[2 5 4 6 1 3 0]
11,2112,[2 6 4 0 1 3 5],2746,[3 5 6 1 4 0 2],3534,[4 6 2 1 0 3 5],1792,[2 3 6 4 5 0 1]
12,2018,[2 5 6 0 3 1 4],1825,[2 4 1 0 3 6 5],207,[0 2 5 4 3 6 1],1820,[2 4 0 6 3 1 5]
13,1454,[2 0 1 5 4 3 6],2849,[3 6 4 2 5 1 0],3291,[4 3 2 0 5 6 1],3099,[4 1 6 0 3 5 2]
14,3447,[4 5 3 2 1 6 0],907,[1 2 4 6 0 5 3],277,[0 3 2 5 1 6 4],1946,[2 5 1 0 4 3 6]
15,2640,[3 5 0 1 2 4 6],2376,[3 1 6 0 2 4 5],287,[0 3 2 6 5 4 1],1318,[1 5 6 4 3 0 2]
16,695,[0 6 4 5 3 2 1],2922,[4 0 2 6 1 3 5],1152,[1 4 5 0 2 3 6],1572,[2 1 0 5 3 4 6]
17,1708,[2 3 1 0 6 4 5],2796,[3 6 1 4 0 2 5],2423,[3 2 0 6 5 4 1],1870,[2 4 3 6 5 0 1]
18,659,[0 6 3 2 5 4 1],3539,[4 6 2 1 5 3 0],697,[0 6 5 1 2 4 3],3367,[4 5 0 2 1 6 3]
19,942,[1 2 6 3 0 4 5],1725,[2 3 1 6 4 5 0],2211,[3 0 4 1 5 6 2],1102,[1 4 0 6 5 2 3]
20,3332,[4 3 5 6 1 0 2],2943,[4 0 3 5 2 6 1],1543,[2 0 6 3 1 5 4],329,[0 3 5 4 6 2 1]
21,2493,[3 2 5 6 1 4 0],317,[0 3 5 1 6 4 2],2662,[3 5 0 6 4 1 2],370,[0 4 1 3 6 2 5]
22,2613,[3 4 5 6 1 2 0],2902,[4 0 1 6 5 2 3],298,[0 3 4 2 6 1 5],1595,[2 1 3 4 6 5 0]
23,888,[1 2 4 0 3 5 6],1269,[1 5 3 6 2 4 0],326,[0 3 5 4 2 1 6],3378,[4 5 0 6 1 2 3]
24,1999,[2 5 4 1 0 6 3],91,[0 1 5 6 2 4 3],1961,[2 5 1 4 6 3 0],2241,[3 0 5 2 4 6 1]
25,1070,[1 3 6 4 2 0 5],1547,[2 0 6 3 5 4 1],2745,[3 5 6 1 2 4 0],152,[0 2 3 4 5 1 6]
26,2875,[3 6 5 4 0 2 1],3057,[4 1 3 2 5 6 0],744,[1 0 3 2 4 5 6],943,[1 2 6 3 0 5 4]
27,2938,[4 0 3 2 6 1 5],2714,[3 5 4 0 2 1 6],2004,[2 5 4 3 0 1 6],2273,[3 0 6 4 5 2 1]
28,292,[0 3 4 1 6 2 5],1115,[1 4 2 3 6 5 0],3008,[4 1 0 3 5 2 6],1626,[2 1 4 6 0 3 5]
29,1092,[1 4 0 5 2 3 6],665,[0 6 3 4 5 2 1],2647,[3 5 0 2 1 6 4],3075,[4 1 5 0 3 6 2]
30,390,[0 4 2 3 1 5 6],3288,[4 3 2 0 1 5 6],1237,[1 5 2 4 0 6 3],2344,[3 1 4 5 6 0 2]
31,3449,[4 5 3 2 6 1 0],112,[0 1 6 4 5 2 3],2029,[2 5 6 3 0 4 1],3523,[4 6 1 5 0 3 2]
32,3004,[4 1 0 2 6 3 5],2383,[3 1 6 2 0 5 4],648,[0 6 3 1 2 4 5],3260,[4 3 0 6 2 1 5]
33,1068,[1 3 6 4 0 2 5],1477,[2 0 3 5 1 6 4],3541,[4 6 2 3 0 5 1],1882,[2 4 5 1 6 0 3]
34,2461,[3 2 4 5 0 6 1],2014,[2 5 4 6 3 0 1],2165,[3 0 1 2 6 5 4],2974,[4 0 5 6 3 1 2]
35,72,[0 1 5 2 3 4 6],486,[0 5 1 3 2 4 6],848,[1 2 0 4 5 3 6],2980,[4 0 6 1 5 2 3]
36,700,[0 6 5 1 4 2 3],635,[0 6 2 3 5 4 1],1172,[1 4 5 6 2 0 3],825,[1 0 6 3 4 5 2]
37,2725,[3 5 4 2 0 6 1],186,[0 2 4 6 1 3 5],2193,[3 0 2 4 5 6 1],2107,[2 6 3 5 0 4 1]
38,3010,[4 1 0 3 6 2 5],1909,[2 4 6 3 0 5 1],1702,[2 3 0 6 5 1 4],3492,[4 6 0 3 1 2 5]
39,1192,[1 4 6 3 5 0 2],3328,[4 3 5 2 6 0 1],1193,[1 4 6 3 5 2 0],1075,[1 3 6 5 0 4 2]
40,471,[0 4 6 3 2 5 1],1933,[2 5 0 4 1 6 3],822,[1 0 6 3 2 4 5],3064,[4 1 3 5 6 0 2]
41,2558,[3 4 1 5 2 0 6],3405,[4 5 1 6 2 3 0],3158,[4 2 1 5 3 0 6],2960,[4 0 5 2 3 1 6]
42,490,[0 5 1 3 6 2 4],698,[0 6 5 1 3 2 4],130,[0 2 1 4 6 3 5],2680,[3 5 1 4 6 0 2]
43,691,[0 6 4 5 1 3 2],3364,[4 5 0 1 6 2 3],3393,[4 5 1 2 3 6 0],2468,[3 2 4 6 1 0 5]
44,1015,[1 3 4 2 0 6 5],1855,[2 4 3 1 0 6 5],473,[0 4 6 3 5 2 1],2317,[3 1 2 5 0 6 4]
45,1405,[1 6 4 3 0 5 2],1773,[2 3 5 6 1 4 0],1339,[1 6 0 5 2 4 3],2704,[3 5 2 4 6 0 1]
46,139,[0 2 1 6 3 5 4],322,[0 3 5 2 6 1 4],1957,[2 5 1 4 0 6 3],3243,[4 3 0 1 5 6 2]
47,788,[1 0 4 6 3 2 5],1011,[1 3 4 0 5 6 2],2917,[4 0 2 5 1 6 3],275,[0 3 2 4 6 5 1]
