100%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,1288315,[3 5 9 6 1 8 7 0 4 2],1018892,[2 8 3 1 0 7 9 5 4 6],178246,[0 5 4 3 7 2 9 8 1 6],2632912,[7 2 3 4 8 9 5 6 0 1],1006278,[2 7 9 5 4 6 1 0 3 8],3241111,[8 9 3 0 5 2 4 1 7 6],170653,[0 5 2 9 1 3 7 4 8 6],762210,[2 0 9 3 6 7 8 1 4 5],2767053,[7 5 6 0 1 8 9 3 4 2],2298438,[6 3 0 1 4 8 5 2 7 9]
2,3469659,[9 5 0 3 8 7 1 4 6 2],2897095,[7 9 6 5 4 2 1 0 8 3],2646877,[7 2 6 1 3 4 8 0 9 5],2847448,[7 8 4 9 5 3 2 6 0 1],2251310,[6 1 8 5 7 9 3 2 0 4],640685,[1 7 9 0 8 2 3 6 5 4],3046010,[8 3 5 2 6 4 0 7 1 9],1237860,[3 4 7 6 1 5 8 0 2 9],1009766,[2 8 0 4 5 7 6 3 1 9],1151971,[3 1 6 5 9 7 8 0 4 2]
3,513523,[1 4 7 9 2 3 8 0 6 5],3579881,[9 7 6 2 0 3 5 8 4 1],2168568,[5 9 7 1 8 3 0 2 4 6],2201194,[6 0 5 8 2 3 4 9 1 7],1016020,[2 8 1 6 0 9 3 7 4 5],694509,[1 9 2 7 5 4 8 3 6 0],2249812,[6 1 8 3 7 4 0 9 2 5],2177641,[6 0 1 2 7 3 4 5 9 8],2331237,[6 3 8 4 7 9 5 1 2 0],442229,[1 2 9 7 3 4 0 8 6 5]
4,2028192,[5 6 2 3 9 7 0 1 4 8],160202,[0 4 9 7 5 1 2 6 3 8],3514999,[9 6 1 3 8 5 2 0 7 4],1290684,[3 6 0 1 7 8 5 2 4 9],1371087,[3 8 0 1 4 7 6 5 9 2],3471848,[9 5 0 8 1 2 4 6 3 7],3485425,[9 5 3 4 8 1 0 2 7 6],2273995,[6 2 4 1 3 9 8 0 7 5],2100035,[5 8 0 6 7 2 3 9 4 1],2033417,[5 6 3 4 1 0 8 9 7 2]
5,127124,[0 4 2 3 7 5 9 6 1 8],1524536,[4 1 8 5 3 6 2 7 0 9],3049992,[8 3 6 1 0 7 2 4 5 9],3133408,[8 5 6 4 9 3 2 7 0 1],1883449,[5 1 7 6 9 3 0 2 8 4],650836,[1 8 2 0 9 6 3 7 4 5],182707,[0 5 6 2 8 4 9 1 7 3],2011530,[5 4 9 0 7 6 8 1 2 3],2087702,[5 7 8 1 4 3 6 2 0 9],1452133,[4 0 1 2 9 3 7 5 8 6]
6,705749,[1 9 5 0 3 4 2 8 7 6],2004530,[5 4 7 8 0 3 1 6 2 9],1225206,[3 4 5 0 8 1 6 2 7 9],3281438,[9 0 4 1 6 3 7 5 2 8],1478665,[4 0 7 3 8 2 1 5 9 6],603222,[1 6 9 5 7 8 2 0 3 4],3589237,[9 8 0 2 1 4 6 3 7 5],2911445,[8 0 2 6 7 1 3 9 5 4],1745967,[4 8 2 3 9 6 5 1 7 0],2847254,[7 8 4 9 3 0 5 2 1 6]
7,1189595,[3 2 6 0 4 5 7 9 8 1],2202202,[6 0 5 9 4 7 2 8 1 3],1318649,[3 6 7 5 2 8 4 9 1 0],2516759,[6 9 3 2 4 8 7 5 1 0],765246,[2 0 9 7 8 1 4 3 5 6],3036293,[8 3 2 5 0 6 1 9 7 4],2531676,[6 9 7 2 1 3 5 0 4 8],1786352,[4 9 2 5 0 3 6 7 1 8],1995906,[5 4 6 0 1 7 9 2 3 8],875140,[2 4 7 6 3 9 0 8 1 5]
8,3189199,[8 7 0 6 3 5 2 1 9 4],3145553,[8 6 0 1 7 9 4 5 3 2],1098586,[3 0 2 9 7 8 4 6 1 5],2050654,[5 6 8 9 0 4 7 3 1 2],3328216,[9 1 5 3 6 0 7 8 2 4],2208549,[6 0 8 2 4 5 9 3 7 1],1867059,[5 1 3 6 0 9 2 7 8 4],3559177,[9 7 2 1 3 8 0 4 6 5],455416,[1 3 4 5 7 0 8 9 2 6],2936937,[8 0 7 6 1 4 3 5 9 2]
9,350318,[0 9 6 4 5 2 7 3 1 8],961146,[2 6 8 5 9 3 7 0 1 4],2439583,[6 7 4 0 2 9 3 1 8 5],1832063,[5 0 4 6 7 1 9 8 3 2],1009415,[2 8 0 3 9 6 7 5 4 1],2067938,[5 7 2 3 0 9 1 6 4 8],984299,[2 7 4 3 0 6 5 9 8 1],2739870,[7 4 9 5 2 1 3 0 6 8],2800624,[7 6 3 5 8 2 4 9 0 1],2708599,[7 4 1 3 9 6 2 0 8 5]
10,875591,[2 4 7 8 0 5 9 6 3 1],2333212,[6 3 8 9 4 2 0 7 1 5],2243796,[6 1 7 2 4 3 8 0 5 9],915700,[2 5 7 6 8 9 0 4 1 3],2088000,[5 7 8 2 0 1 3 4 6 9],3044191,[8 3 5 0 1 4 6 2 9 7],499075,[1 4 5 0 2 9 8 3 7 6],3513173,[9 6 1 0 4 5 2 8 7 3],1525733,[4 1 8 7 0 5 2 9 6 3],3132648,[8 5 6 3 9 2 0 1 4 7]
11,1204140,[3 2 8 9 4 5 6 0 1 7],2692749,[7 3 8 1 9 4 6 2 5 0],3447394,[9 4 5 0 1 3 6 8 2 7],855473,[2 4 1 8 0 9 6 7 5 3],1719488,[4 7 6 1 2 0 5 8 3 9],253991,[0 7 3 4 8 5 9 6 2 1],2540268,[7 0 1 2 3 9 6 4 5 8],2534184,[6 9 7 5 4 1 0 2 3 8],1514715,[4 1 6 5 8 7 0 3 9 2],299079,[0 8 4 3 5 2 7 6 9 1]
12,1231679,[3 4 6 2 7 9 8 5 1 0],3163601,[8 6 3 5 9 1 4 7 2 0],151214,[0 4 8 1 2 3 7 6 5 9],11910,[0 1 4 5 7 3 6 2 8 9],1937404,[5 3 0 4 9 1 2 8 6 7],2753155,[7 5 2 1 8 9 6 0 4 3],3341190,[9 1 7 8 4 2 3 0 5 6],3278205,[9 0 3 5 1 4 8 6 7 2],2340170,[6 4 0 3 2 7 1 8 5 9],2878239,[7 9 3 0 5 2 6 4 8 1]
13,277444,[0 7 9 1 4 2 3 8 5 6],3427133,[9 3 8 7 6 2 0 5 4 1],2315348,[6 3 4 2 8 5 9 1 0 7],163609,[0 5 1 6 3 7 2 4 9 8],2881810,[7 9 3 6 4 0 2 8 1 5],1554527,[4 2 6 5 0 3 9 8 7 1],1150216,[3 1 6 2 7 0 8 9 4 5],729281,[2 0 1 7 9 4 6 8 5 3],2898653,[7 9 8 0 6 3 1 5 4 2],135197,[0 4 3 8 7 6 1 9 5 2]
14,1424433,[3 9 2 6 4 1 5 7 8 0],1335549,[3 7 0 9 8 4 6 2 5 1],1463338,[4 0 3 5 6 7 2 9 1 8],1678625,[4 6 7 0 3 5 8 9 2 1],2797149,[7 6 2 9 8 3 5 1 4 0],2855781,[7 8 6 4 2 0 9 3 5 1],2383675,[6 5 0 9 4 8 7 1 3 2],1901131,[5 2 1 3 6 8 9 0 7 4],2618372,[7 1 9 4 5 6 8 2 0 3],1863826,[5 1 2 8 6 9 3 7 0 4]
15,1064982,[2 9 4 3 0 8 5 1 6 7],2088674,[5 7 8 2 9 4 0 3 1 6],718732,[1 9 7 5 2 4 0 8 3 6],418841,[1 2 5 0 8 4 7 9 6 3],2409684,[6 5 8 0 7 4 3 1 2 9],2785596,[7 6 0 5 9 2 4 1 3 8],562694,[1 5 9 6 4 0 7 3 2 8],1757722,[4 8 5 7 1 6 2 9 0 3],2812589,[7 6 8 0 3 2 1 9 5 4],3476403,[9 5 1 7 3 0 2 6 8 4]
16,3614216,[9 8 5 0 6 3 2 4 1 7],2268359,[6 2 3 0 5 9 8 7 4 1],3585286,[9 7 8 2 4 1 6 5 0 3],2759830,[7 5 3 6 0 4 9 8 1 2],2891433,[7 9 5 4 8 1 2 3 6 0],369575,[1 0 3 5 4 8 9 7 6 2],2038765,[5 6 4 3 7 8 2 0 9 1],3028157,[8 3 0 7 6 5 1 9 4 2],666111,[1 8 5 2 0 9 6 4 7 3],2234033,[6 1 4 2 8 9 5 7 3 0]
17,1893426,[5 1 9 6 7 3 8 0 2 4],752790,[2 0 7 4 6 3 5 1 8 9],3296762,[9 0 7 1 8 2 3 5 4 6],2836066,[7 8 2 5 9 6 1 4 0 3],2764390,[7 5 4 3 2 6 9 8 0 1],1292783,[3 6 0 5 7 1 9 8 4 2],2500470,[6 9 0 1 8 3 4 2 5 7],1544370,[4 2 3 5 9 7 8 0 1 6],2090881,[5 7 8 9 0 1 2 3 6 4],2392500,[6 5 2 7 9 3 4 0 1 8]
18,1834761,[5 0 6 1 3 8 4 7 9 2],2494372,[6 8 7 9 2 3 0 5 1 4],1877021,[5 1 6 3 9 8 0 7 4 2],3009884,[8 2 6 1 4 3 9 5 0 7],1036363,[2 8 6 5 3 1 9 0 7 4],2112699,[5 8 3 1 2 9 0 6 7 4],2364654,[6 4 7 1 2 5 3 0 8 9],1095357,[3 0 2 5 4 9 8 6 7 1],2521222,[6 9 4 1 7 0 8 5 2 3],3543829,[9 6 8 0 7 5 3 1 4 2]
19,366241,[1 0 2 7 8 3 4 5 9 6],1662683,[4 6 1 9 2 7 3 8 5 0],390214,[1 0 7 4 9 6 8 5 2 3],2406510,[6 5 7 3 2 1 4 0 8 9],3340825,[9 1 7 8 0 3 2 4 6 5],2327775,[6 3 7 9 0 1 5 4 8 2],2273681,[6 2 4 0 9 3 7 8 5 1],941659,[2 6 3 8 9 0 7 1 5 4],1244068,[3 4 8 7 9 1 0 6 2 5],3175099,[8 6 5 9 7 0 4 1 3 2]
20,484980,[1 4 0 3 7 6 8 2 5 9],2141598,[5 9 0 8 3 6 2 1 4 7],2052149,[5 6 9 1 2 3 0 8 7 4],2618689,[7 1 9 5 0 4 2 3 8 6],1085849,[2 9 8 4 0 6 5 7 3 1],642889,[1 7 9 4 8 3 0 2 6 5],577723,[1 6 3 7 4 2 9 0 8 5],2348954,[6 4 2 0 5 8 1 7 3 9],2407944,[6 5 7 8 2 1 0 3 4 9],605521,[1 7 0 3 2 4 5 6 9 8]
21,2355725,[6 4 3 2 9 0 1 8 7 5],2182793,[6 0 2 1 7 9 5 8 4 3],2740752,[7 4 9 6 3 5 0 1 2 8],608389,[1 7 0 6 9 8 4 2 5 3],298544,[0 8 4 2 6 9 3 5 1 7],846067,[2 3 9 8 0 5 7 1 6 4],2147390,[5 9 2 0 4 8 6 3 1 7],1787787,[4 9 2 7 0 3 1 6 8 5],1380782,[3 8 1 9 6 4 5 2 0 7],3118843,[8 5 2 7 6 1 9 0 4 3]
22,342823,[0 9 5 1 2 8 4 3 7 6],1174683,[3 2 1 0 7 4 5 8 9 6],96076,[0 3 5 1 6 8 2 9 4 7],2014042,[5 4 9 6 1 7 2 8 0 3],395138,[1 0 8 4 7 9 2 5 3 6],2596342,[7 1 4 2 0 3 9 8 5 6],1975759,[5 4 0 1 2 8 6 3 9 7],975049,[2 7 1 5 3 6 0 4 9 8],2435188,[6 7 3 1 2 4 0 9 5 8],634469,[1 7 6 9 2 3 0 8 5 4]
23,1035467,[2 8 6 4 0 9 3 7 5 1],2436761,[6 7 3 4 2 1 8 9 5 0],2489765,[6 8 7 0 1 2 3 9 5 4],3586761,[9 7 8 4 3 5 1 2 6 0],406803,[1 2 0 8 3 4 5 7 9 6],2225555,[6 1 2 7 0 4 5 9 8 3],2112129,[5 8 3 0 6 1 4 7 9 2],1610143,[4 3 9 5 1 8 2 0 7 6],417097,[1 2 4 8 3 9 0 5 7 6],59076,[0 2 5 8 1 4 7 3 6 9]
24,1064038,[2 9 4 0 7 8 6 5 1 3],2166005,[5 9 6 7 2 0 1 8 4 3],1826804,[5 0 3 6 2 4 9 7 1 8],1920659,[5 2 7 0 6 4 3 9 8 1],2498142,[6 8 9 4 3 7 1 0 2 5],321068,[0 8 9 5 7 3 6 2 1 4],1712565,[4 7 3 8 5 1 9 2 6 0],1114969,[3 0 7 2 6 5 1 4 9 8],1136572,[3 1 2 6 7 5 0 9 4 8],3108321,[8 5 0 7 1 6 3 4 9 2]
25,2271268,[6 2 3 7 5 1 0 9 4 8],2665061,[7 3 0 8 4 9 1 6 5 2],1219937,[3 4 2 0 6 1 8 9 7 5],533960,[1 5 2 9 6 7 3 4 0 8],806342,[2 1 9 8 7 4 5 3 0 6],2865324,[7 9 0 4 5 6 3 1 2 8],1432510,[3 9 5 1 6 4 8 7 0 2],597369,[1 6 8 4 7 0 3 5 9 2],2842142,[7 8 3 9 2 4 5 1 0 6],1790112,[4 9 3 1 2 7 0 5 6 8]
26,208450,[0 6 2 4 7 1 5 9 3 8],2479010,[6 8 3 9 0 4 1 5 2 7],2914480,[8 0 3 2 9 4 6 7 1 5],1775015,[4 9 0 2 3 7 8 6 5 1],954975,[2 6 7 4 3 0 8 5 9 1],3412896,[9 3 6 1 0 8 2 4 5 7],1968886,[5 3 8 6 4 1 9 7 0 2],2058634,[5 7 0 4 2 3 6 9 1 8],3362005,[9 2 4 0 5 7 6 1 8 3],2732394,[7 4 8 0 9 6 5 1 2 3]
27,1516406,[4 1 6 9 0 7 5 3 2 8],2295482,[6 2 9 4 1 0 3 7 5 8],1078730,[2 9 7 0 3 5 1 6 4 8],2356966,[6 4 3 7 5 1 9 8 0 2],3202913,[8 7 3 4 2 9 5 6 1 0],1157264,[3 1 7 6 2 9 4 5 0 8],2916900,[8 0 3 7 2 5 6 1 4 9],1950668,[5 3 4 0 2 7 9 6 1 8],449052,[1 3 2 0 8 4 7 5 6 9],91216,[0 3 4 1 8 2 7 9 5 6]
28,2979566,[8 1 9 2 3 6 5 4 0 7],2313984,[6 3 4 0 9 2 1 5 7 8],7635,[0 1 3 6 7 8 2 5 9 4],3261246,[8 9 7 0 4 1 3 2 5 6],2085198,[5 7 6 8 0 4 2 1 3 9],2359676,[6 4 5 1 2 9 8 3 0 7],829742,[2 3 6 7 4 5 8 1 0 9],2244483,[6 1 7 3 4 0 2 8 9 5],1430182,[3 9 4 7 2 0 8 6 1 5],2604742,[7 1 5 8 6 0 9 4 2 3]
29,1902659,[5 2 1 6 7 4 3 9 8 0],972306,[2 7 0 9 4 5 8 1 3 6],1706844,[4 7 2 6 5 8 3 0 1 9],515395,[1 4 8 2 7 9 6 0 5 3],2796104,[7 6 2 8 3 9 1 4 0 5],3396734,[9 3 1 8 6 0 5 4 2 7],476382,[1 3 8 5 6 9 2 0 4 7],3391731,[9 3 0 8 6 4 1 5 7 2],1041404,[2 8 7 5 3 1 9 4 0 6],3316091,[9 1 2 8 6 0 4 7 5 3]
30,2618265,[7 1 9 4 3 8 2 5 6 0],1988562,[5 4 2 6 9 1 8 0 3 7],1833371,[5 0 4 8 3 1 6 9 7 2],3162345,[8 6 3 4 0 9 2 5 7 1],2993355,[8 2 1 9 4 6 0 5 7 3],1474169,[4 0 6 5 3 8 7 9 2 1],1092900,[3 0 1 8 9 5 6 2 4 7],2950015,[8 1 2 4 3 6 5 0 9 7],1312939,[3 6 5 4 7 0 9 1 8 2],2247886,[6 1 8 0 2 4 9 7 3 5]
