2%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
 ,10210,[0 1 4 2 5 3 7 9 6 8],1689280,[4 6 9 1 2 3 7 8 0 5],486002,[1 4 0 6 2 3 5 8 7 9],324738,[0 9 1 5 2 3 8 4 6 7],1120434,[3 0 8 4 1 9 7 2 5 6],1699998,[4 7 1 3 0 8 5 2 6 9],2117037,[5 8 4 0 2 9 7 3 6 1],1406637,[3 8 9 0 5 7 6 2 4 1],1204758,[3 2 9 0 4 7 5 1 6 8],258085,[0 7 4 2 5 8 6 1 9 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4],Optima 5, Optima [5],Optima 6, Optima [6],Optima 7, Optima [7],Optima 8, Optima [8],Optima 9, Optima [9],Optima 10, Optima [10]
1,73266,[0 2 8 5 7 4 9 1 3 6],1685911,[4 6 8 3 5 1 2 0 9 7],478700,[1 3 8 9 7 0 6 4 2 5],381095,[1 0 5 7 3 8 9 6 4 2],1146981,[3 1 5 7 0 2 9 6 8 4],1718189,[4 7 5 9 2 1 0 8 6 3],2140401,[5 9 0 6 7 4 2 3 8 1],1427076,[3 9 4 1 0 5 7 2 6 8],1222307,[3 4 2 6 7 9 1 8 5 0],288566,[0 8 2 3 7 6 5 4 1 9]
2,36714,[0 1 9 3 8 7 6 2 4 5],1724314,[4 7 8 0 9 2 3 6 1 5],517300,[1 4 8 6 3 9 0 7 2 5],340206,[0 9 4 5 6 1 3 2 7 8],1160843,[3 1 8 4 2 7 5 9 6 0],1710513,[4 7 3 2 8 1 5 6 9 0],2135191,[5 8 9 4 3 1 2 0 7 6],1401484,[3 8 7 0 5 1 2 9 4 6],1193941,[3 2 6 9 1 5 7 0 8 4],287457,[0 8 2 1 4 6 5 7 9 3]
3,20567,[0 1 6 2 7 4 9 8 5 3],1714055,[4 7 5 0 6 8 9 3 2 1],542944,[1 5 4 8 0 6 7 9 2 3],348309,[0 9 6 1 7 4 8 3 5 2],1127137,[3 0 9 6 4 8 1 2 7 5],1682949,[4 6 7 9 2 3 8 1 5 0],2084617,[5 7 6 4 1 9 0 2 8 3],1408206,[3 8 9 2 7 0 4 1 5 6],1196851,[3 2 7 5 1 8 9 0 6 4],322961,[0 9 1 2 6 4 7 8 5 3]
4,49068,[0 2 3 8 1 9 6 4 5 7],1656887,[4 6 0 8 2 3 9 7 5 1],524308,[1 5 0 2 4 6 3 9 7 8],352674,[0 9 6 8 5 7 4 1 2 3],1110650,[3 0 6 4 7 5 1 8 2 9],1714203,[4 7 5 0 9 1 2 6 8 3],2142621,[5 9 1 0 8 2 7 4 6 3],1397848,[3 8 6 2 4 7 5 9 0 1],1211503,[3 4 0 5 7 9 2 1 8 6],295704,[0 8 3 6 7 2 1 4 5 9]
5,74511,[0 2 8 7 4 9 5 3 6 1],1701507,[4 7 1 6 2 3 0 8 9 5],535356,[1 5 3 2 7 4 8 0 6 9],343997,[0 9 5 2 7 6 1 8 4 3],1167189,[3 1 9 6 0 5 8 4 7 2],1703350,[4 7 1 9 6 3 8 5 0 2],2078014,[5 7 4 2 0 8 9 6 1 3],1436262,[3 9 5 8 6 7 1 0 2 4],1181505,[3 2 4 5 9 8 1 6 7 0],284878,[0 8 1 5 6 9 7 4 2 3]
6,79404,[0 2 9 7 3 6 5 1 4 8],1666675,[4 6 2 7 8 9 5 0 3 1],478897,[1 3 9 0 2 8 4 5 7 6],340502,[0 9 4 5 8 3 6 2 1 7],1116532,[3 0 7 5 8 4 1 9 2 6],1738460,[4 8 0 9 5 1 7 3 2 6],2118841,[5 8 4 2 9 0 1 3 7 6],1410337,[3 8 9 6 5 7 0 1 4 2],1193405,[3 2 6 8 5 0 1 9 7 4],297727,[0 8 4 1 6 2 5 3 9 7]
7,61907,[0 2 6 3 9 8 4 7 5 1],1708456,[4 7 2 9 8 0 5 6 1 3],531752,[1 5 2 6 7 3 4 8 0 9],335245,[0 9 3 5 6 7 4 1 8 2],1104228,[3 0 5 1 7 9 6 2 4 8],1730422,[4 7 9 2 3 0 8 6 1 5],2093767,[5 7 9 3 0 1 4 2 8 6],1431250,[3 9 4 8 7 0 2 6 1 5],1208492,[3 2 9 7 4 6 8 1 0 5],278280,[0 7 9 2 5 1 3 4 6 8]
8,64660,[0 2 6 8 7 9 1 5 3 4],1717768,[4 7 5 8 6 3 2 9 0 1],541098,[1 5 4 3 7 0 9 2 6 8],355608,[0 9 7 4 8 3 1 2 5 6],1135276,[3 1 2 4 8 7 0 9 5 6],1668579,[4 6 3 0 5 9 1 7 8 2],2145926,[5 9 1 7 3 6 4 2 0 8],1433145,[3 9 5 2 4 8 1 6 7 0],1201179,[3 2 8 4 1 9 0 6 7 5],299987,[0 8 4 5 6 9 2 7 3 1]
9,58781,[0 2 5 7 6 9 1 8 4 3],1712877,[4 7 3 8 9 6 5 1 2 0],518883,[1 4 8 9 6 0 2 5 7 3],343444,[0 9 5 2 1 3 4 8 6 7],1132895,[3 1 0 8 5 7 9 6 4 2],1735562,[4 8 0 3 6 1 2 7 5 9],2121864,[5 8 6 0 1 3 2 4 7 9],1406899,[3 8 9 1 0 2 7 4 6 5],1226727,[3 4 5 2 8 7 6 1 9 0],283182,[0 8 1 3 4 9 5 2 6 7]
10,60200,[0 2 5 9 6 7 3 4 1 8],1659128,[4 6 1 2 5 0 7 8 3 9],490264,[1 4 2 3 9 6 7 8 0 5],354825,[0 9 7 3 6 8 2 4 5 1],1106781,[3 0 5 7 2 1 9 6 8 4],1718230,[4 7 5 9 2 3 8 6 0 1],2099637,[5 8 0 6 1 9 7 3 4 2],1434264,[3 9 5 6 0 2 1 4 7 8],1211024,[3 4 0 2 9 8 5 6 1 7],316514,[0 8 7 6 4 5 1 3 2 9]
11,38108,[0 1 9 5 8 4 7 3 2 6],1656853,[4 6 0 8 2 1 7 3 9 5],521189,[1 4 9 3 8 2 0 7 6 5],381979,[1 0 5 8 6 2 9 3 7 4],1149562,[3 1 6 0 7 8 4 9 2 5],1736167,[4 8 0 5 3 1 6 2 9 7],2115860,[5 8 3 7 6 0 9 2 1 4],1420768,[3 9 1 8 2 6 5 7 0 4],1200053,[3 2 8 0 7 5 1 9 6 4],263214,[0 7 5 2 6 4 3 1 8 9]
12,79174,[0 2 9 6 8 5 7 4 1 3],1701330,[4 7 1 5 9 6 8 0 2 3],512339,[1 4 7 6 5 3 2 9 8 0],374732,[1 0 4 5 6 8 9 3 2 7],1105529,[3 0 5 4 6 8 7 9 2 1],1674438,[4 6 5 1 7 8 2 0 3 9],2129933,[5 8 7 4 1 3 0 9 6 2],1379268,[3 8 1 6 5 9 4 0 2 7],1238394,[3 4 7 6 9 8 5 0 1 2],261406,[0 7 4 9 1 3 8 6 2 5]
13,35482,[0 1 9 2 4 7 5 8 3 6],1689106,[4 6 9 0 8 7 2 5 1 3],548703,[1 5 6 9 0 4 7 3 8 2],357930,[0 9 8 1 2 6 7 3 4 5],1146747,[3 1 5 6 8 2 0 7 9 4],1718559,[4 7 5 9 8 1 3 2 6 0],2106094,[5 8 1 9 0 6 7 4 2 3],1434941,[3 9 5 6 8 7 0 4 2 1],1218522,[3 4 1 8 5 2 9 0 6 7],303843,[0 8 5 3 1 2 4 7 9 6]
14,57537,[0 2 5 4 9 6 3 7 8 1],1686596,[4 6 8 5 2 9 7 1 0 3],530141,[1 5 2 3 4 9 0 8 7 6],319470,[0 8 9 3 6 2 4 1 5 7],1160914,[3 1 8 4 5 2 6 9 0 7],1678301,[4 6 5 9 8 7 0 3 2 1],2103610,[5 8 1 3 7 0 4 9 2 6],1427376,[3 9 4 1 5 8 0 2 6 7],1200686,[3 2 8 1 6 7 5 4 0 9],281852,[0 7 9 8 3 5 6 2 1 4]
15,67294,[0 2 7 4 5 8 9 6 1 3],1664584,[4 6 2 1 9 5 7 8 0 3],487639,[1 4 0 8 3 7 5 2 9 6],364040,[1 0 2 4 7 8 5 6 3 9],1116700,[3 0 7 5 9 8 1 6 2 4],1669150,[4 6 3 1 2 7 9 8 0 5],2124522,[5 8 6 3 7 1 9 0 2 4],1430869,[3 9 4 8 1 7 5 0 6 2],1224074,[3 4 2 9 0 7 1 6 5 8],321416,[0 8 9 6 3 4 2 5 1 7]
16,61031,[0 2 6 1 8 5 9 7 4 3],1667652,[4 6 2 9 1 0 7 3 5 8],518106,[1 4 8 7 5 3 9 0 2 6],348073,[0 9 6 1 4 7 2 3 8 5],1113312,[3 0 6 9 2 7 1 4 5 8],1666375,[4 6 2 7 3 5 1 0 9 8],2075902,[5 7 3 9 1 0 8 6 2 4],1444271,[3 9 7 4 8 2 6 5 1 0],1186852,[3 2 5 6 4 7 0 9 1 8],322182,[0 8 9 7 3 6 2 1 4 5]
17,69943,[0 2 7 9 1 8 4 3 6 5],1703233,[4 7 1 9 5 6 0 2 8 3],513215,[1 4 7 8 6 5 9 3 2 0],365783,[1 0 2 7 3 4 9 8 6 5],1167589,[3 1 9 6 5 8 4 0 7 2],1693301,[4 6 9 8 5 7 0 3 2 1],2135551,[5 8 9 6 0 2 3 1 7 4],1408911,[3 8 9 4 6 7 2 1 5 0],1236875,[3 4 7 2 9 1 5 8 6 0],261387,[0 7 4 9 1 3 2 6 8 5]
18,24603,[0 1 6 9 3 2 4 7 8 5],1727346,[4 7 8 6 0 3 9 1 2 5],512649,[1 4 7 8 0 2 5 6 9 3],384649,[1 0 6 4 3 7 2 5 9 8],1147461,[3 1 5 7 8 0 9 4 6 2],1716485,[4 7 5 6 0 1 2 9 8 3],2077355,[5 7 4 1 2 3 6 9 8 0],1395097,[3 8 5 7 4 9 0 1 6 2],1213309,[3 4 0 8 1 9 6 2 7 5],253253,[0 7 3 2 8 5 1 9 6 4]
19,16160,[0 1 5 3 6 8 4 7 2 9],1658001,[4 6 0 9 7 5 2 3 8 1],479528,[1 3 9 2 0 4 6 7 5 8],390381,[1 0 7 5 3 2 9 6 8 4],1099042,[3 0 4 1 6 8 5 9 2 7],1704429,[4 7 2 1 3 6 9 5 8 0],2079420,[5 7 4 6 0 3 8 1 2 9],1442866,[3 9 7 1 8 6 2 5 0 4],1241142,[3 4 8 1 7 9 2 0 5 6],267103,[0 7 5 9 8 6 2 1 4 3]
20,53952,[0 2 4 7 9 6 1 3 5 8],1657122,[4 6 0 8 5 2 9 1 3 7],534019,[1 5 2 9 7 0 8 3 6 4],322201,[0 8 9 7 4 1 2 3 6 5],1134511,[3 1 2 0 8 5 6 4 9 7],1698090,[4 7 0 9 3 6 8 1 2 5],2113762,[5 8 3 2 7 6 1 9 0 4],1390138,[3 8 4 7 6 2 1 9 0 5],1232361,[3 4 6 5 7 8 1 2 9 0],314514,[0 8 7 3 6 9 5 1 2 4]
21,54014,[0 2 4 8 1 3 7 6 5 9],1698157,[4 7 0 9 5 2 6 1 8 3],537508,[1 5 3 7 6 2 0 9 4 8],365418,[1 0 2 6 7 3 9 4 5 8],1148972,[3 1 5 9 7 6 8 2 0 4],1678089,[4 6 5 9 7 0 2 3 8 1],2107005,[5 8 2 0 4 3 9 6 7 1],1406591,[3 8 9 0 5 4 7 6 2 1],1187706,[3 2 5 7 6 4 9 0 1 8],293906,[0 8 3 4 2 5 1 7 6 9]
22,18378,[0 1 5 7 6 2 9 3 4 8],1724876,[4 7 8 1 5 9 6 2 0 3],478816,[1 3 9 0 2 4 7 8 5 6],338898,[0 9 4 2 7 1 8 3 5 6],1122206,[3 0 8 6 5 7 4 2 1 9],1720109,[4 7 6 2 0 3 1 9 8 5],2138173,[5 9 0 2 7 1 6 3 8 4],1433632,[3 9 5 4 0 8 6 7 1 2],1215128,[3 4 1 0 8 2 6 7 5 9],267409,[0 7 6 1 4 5 2 3 9 8]
23,16825,[0 1 5 4 6 3 2 7 9 8],1684146,[4 6 8 1 0 5 9 2 3 7],515589,[1 4 8 3 0 6 9 5 7 2],371997,[1 0 3 8 6 9 7 4 5 2],1117224,[3 0 7 6 8 2 1 4 5 9],1697207,[4 7 0 8 2 3 9 6 5 1],2142265,[5 9 1 0 4 3 2 6 8 7],1392720,[3 8 5 2 4 0 1 6 7 9],1193779,[3 2 6 9 0 1 8 4 7 5],322689,[0 9 1 2 4 3 6 7 8 5]
24,58567,[0 2 5 7 4 1 6 3 9 8],1707377,[4 7 2 8 3 0 6 9 5 1],486222,[1 4 0 6 3 9 5 2 7 8],363826,[1 0 2 4 5 9 6 8 3 7],1100516,[3 0 4 5 6 9 8 2 1 7],1719334,[4 7 6 0 9 5 8 3 1 2],2134932,[5 8 9 4 1 0 6 2 3 7],1446340,[3 9 7 8 5 6 0 4 1 2],1218327,[3 4 1 8 0 7 6 5 9 2],257297,[0 7 4 1 5 2 8 9 6 3]
25,56227,[0 2 5 3 1 7 9 4 8 6],1677325,[4 6 5 8 3 7 2 0 9 1],533673,[1 5 2 9 3 4 6 7 8 0],359632,[0 9 8 3 4 7 5 6 1 2],1130563,[3 1 0 5 4 6 9 2 8 7],1670200,[4 6 3 2 8 1 7 9 0 5],2126796,[5 8 6 9 7 1 3 0 2 4],1431724,[3 9 5 0 6 1 2 8 4 7],1240624,[3 4 8 1 0 6 7 9 2 5],283036,[0 8 1 3 2 7 4 9 5 6]
26,52335,[0 2 4 5 8 1 7 6 9 3],1666720,[4 6 2 7 9 1 5 8 0 3],522955,[1 4 9 7 2 8 6 0 5 3],361173,[0 9 8 5 4 6 7 2 3 1],1098181,[3 0 2 9 4 6 7 1 8 5],1732869,[4 7 9 6 5 2 8 1 3 0],2119074,[5 8 4 3 0 9 7 1 2 6],1415919,[3 9 0 8 5 2 6 4 7 1],1234082,[3 4 6 9 0 1 2 7 5 8],269340,[0 7 6 4 1 5 8 2 3 9]
27,78380,[0 2 9 5 8 1 7 4 3 6],1722473,[4 7 6 8 1 9 3 5 2 0],485647,[1 4 0 5 7 2 6 3 9 8],346402,[0 9 5 7 1 6 3 8 2 4],1169082,[3 1 9 8 6 2 7 0 4 5],1726119,[4 7 8 3 2 1 6 5 9 0],2082689,[5 7 6 1 4 8 3 9 2 0],1426854,[3 9 4 0 7 5 2 1 6 8],1245979,[3 4 9 1 6 0 8 2 7 5],308893,[0 8 6 3 1 2 7 4 9 5]
28,16330,[0 1 5 3 8 2 6 9 4 7],1716402,[4 7 5 3 9 1 8 0 2 6],495111,[1 4 3 2 7 9 6 5 8 0],336060,[0 9 3 6 7 4 5 1 2 8],1169582,[3 2 0 1 6 7 8 5 4 9],1708643,[4 7 3 0 1 8 5 9 6 2],2138586,[5 9 0 3 2 6 8 1 4 7],1429033,[3 9 4 5 7 6 0 1 8 2],1247651,[3 4 9 5 8 0 2 7 6 1],287167,[0 8 1 9 7 2 4 3 6 5]
29,53096,[0 2 4 6 8 5 3 7 1 9],1698787,[4 7 1 0 5 6 9 2 8 3],510357,[1 4 7 2 8 9 6 3 5 0],342890,[0 9 5 1 3 6 2 7 4 8],1114066,[3 0 7 1 4 9 5 8 2 6],1678098,[4 6 5 9 7 0 8 1 2 3],2134004,[5 8 9 2 7 1 6 3 0 4],1406338,[3 8 9 0 2 5 4 7 1 6],1205505,[3 2 9 1 4 8 5 6 7 0],262521,[0 7 5 1 6 8 3 4 9 2]
30,14585,[0 1 4 9 3 6 7 8 5 2],1706900,[4 7 2 6 8 0 9 3 1 5],541084,[1 5 4 3 7 0 2 9 6 8],337516,[0 9 3 8 6 5 1 7 2 4],1163571,[3 1 8 9 0 5 2 6 7 4],1716692,[4 7 5 6 1 8 9 2 0 3],2086361,[5 7 6 9 4 1 3 8 2 0],1433969,[3 9 5 4 6 7 2 8 1 0],1207244,[3 2 9 5 7 1 8 4 0 6],309559,[0 8 6 3 9 5 2 1 7 4]
31,30490,[0 1 8 2 5 3 6 9 4 7],1658311,[4 6 1 0 3 5 7 2 9 8],535084,[1 5 3 2 4 0 6 9 7 8],357165,[0 9 7 8 1 3 6 4 5 2],1123537,[3 0 8 9 4 7 1 2 6 5],1721200,[4 7 6 3 5 1 8 9 0 2],2115000,[5 8 3 6 4 0 1 2 7 9],1446584,[3 9 8 0 1 7 4 5 2 6],1207728,[3 2 9 6 4 5 0 1 7 8],258921,[0 7 4 3 6 8 2 5 9 1]
