10%,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
 ,1641,[2 1 5 3 4 6 0],1920,[2 5 0 1 3 4 6],1709,[2 3 1 0 6 5 4],1903,[2 4 6 1 0 5 3]
------------------------------------------------
#,Optima 1, Optima [1],Optima 2, Optima [2],Optima 3, Optima [3],Optima 4, Optima [4]
1,1679,[2 1 6 5 4 3 0],2156,[2 6 5 4 1 0 3],1743,[2 3 4 5 1 6 0],1775,[2 3 5 6 4 1 0]
2,1590,[2 1 3 4 0 5 6],2082,[2 6 1 5 0 3 4],1544,[2 0 6 3 4 1 5],1855,[2 4 3 1 0 6 5]
3,1686,[2 3 0 4 1 5 6],1823,[2 4 0 6 5 3 1],1760,[2 3 5 1 4 0 6],2053,[2 6 0 4 1 5 3]
4,1618,[2 1 4 3 6 0 5],1978,[2 5 3 1 6 0 4],1868,[2 4 3 6 1 0 5],1863,[2 4 3 5 1 6 0]
5,1723,[2 3 1 6 0 5 4],2200,[3 0 2 5 6 1 4],1780,[2 3 6 0 5 1 4],1817,[2 4 0 5 6 3 1]
6,1938,[2 5 0 6 1 3 4],1950,[2 5 1 3 0 4 6],1800,[2 4 0 1 3 5 6],1726,[2 3 1 6 5 0 4]
7,1854,[2 4 3 1 0 5 6],1883,[2 4 5 1 6 3 0],1915,[2 4 6 5 0 3 1],1902,[2 4 6 1 0 3 5]
8,1563,[2 1 0 3 5 6 4],1944,[2 5 1 0 3 4 6],1988,[2 5 3 6 1 0 4],2112,[2 6 4 0 1 3 5]
9,1867,[2 4 3 6 0 5 1],1807,[2 4 0 3 1 6 5],1576,[2 1 0 5 6 3 4],1843,[2 4 1 6 0 5 3]
10,1603,[2 1 3 6 0 5 4],2057,[2 6 0 4 5 3 1],1946,[2 5 1 0 4 3 6],1937,[2 5 0 4 6 3 1]
11,1789,[2 3 6 4 0 5 1],1808,[2 4 0 3 5 1 6],1993,[2 5 4 0 1 6 3],1933,[2 5 0 4 1 6 3]
12,1742,[2 3 4 5 1 0 6],1896,[2 4 6 0 1 3 5],1702,[2 3 0 6 5 1 4],1982,[2 5 3 4 1 0 6]
13,1825,[2 4 1 0 3 6 5],2148,[2 6 5 3 0 1 4],1948,[2 5 1 0 6 3 4],1800,[2 4 0 1 3 5 6]
14,1833,[2 4 1 3 5 6 0],2000,[2 5 4 1 3 0 6],1586,[2 1 3 0 5 4 6],2043,[2 6 0 1 4 5 3]
15,1901,[2 4 6 0 5 3 1],1871,[2 4 3 6 5 1 0],2042,[2 6 0 1 4 3 5],1883,[2 4 5 1 6 3 0]
16,1717,[2 3 1 5 0 6 4],2146,[2 6 5 1 4 0 3],1797,[2 3 6 5 1 4 0],1786,[2 3 6 1 5 0 4]
17,1766,[2 3 5 4 1 0 6],1842,[2 4 1 6 0 3 5],1956,[2 5 1 4 0 3 6],1965,[2 5 1 6 3 4 0]
18,1980,[2 5 3 4 0 1 6],1902,[2 4 6 1 0 3 5],1643,[2 1 5 3 6 4 0],2157,[2 6 5 4 1 3 0]
19,1790,[2 3 6 4 1 0 5],1973,[2 5 3 0 6 4 1],1938,[2 5 0 6 1 3 4],1842,[2 4 1 6 0 3 5]
20,1799,[2 3 6 5 4 1 0],1991,[2 5 3 6 4 1 0],1580,[2 1 0 6 4 3 5],1966,[2 5 1 6 4 0 3]
21,1775,[2 3 5 6 4 1 0],1865,[2 4 3 5 6 1 0],1795,[2 3 6 5 0 4 1],2055,[2 6 0 4 3 5 1]
22,1974,[2 5 3 1 0 4 6],1760,[2 3 5 1 4 0 6],1958,[2 5 1 4 3 0 6],2123,[2 6 4 1 5 3 0]
23,1970,[2 5 3 0 4 1 6],2062,[2 6 0 5 4 1 3],1633,[2 1 5 0 3 6 4],1839,[2 4 1 5 3 6 0]
24,1604,[2 1 3 6 4 0 5],1859,[2 4 3 1 6 5 0],1540,[2 0 6 1 5 3 4],2005,[2 5 4 3 0 6 1]
25,1876,[2 4 5 0 6 1 3],1807,[2 4 0 3 1 6 5],1944,[2 5 1 0 3 4 6],2063,[2 6 0 5 4 3 1]
26,1630,[2 1 4 6 5 0 3],2166,[3 0 1 4 2 5 6],1842,[2 4 1 6 0 3 5],2055,[2 6 0 4 3 5 1]
27,1519,[2 0 5 3 1 6 4],1910,[2 4 6 3 1 0 5],1938,[2 5 0 6 1 3 4],2128,[2 6 4 3 5 0 1]
